rfq_id,target_package,candidate_count,synthetic_engineer_choice,synthetic_engineer_top_score,ground_truth_configuration_id,ground_truth_engineer_rank,ground_truth_engineer_score,ground_truth_selected_by_engineer,preference_label_provenance,preference_generation_method
RFQ731-000067,X731,1,CFG731_31c4aded40f9387f,0.38976416175354484,CFG731_31c4aded40f9387f,1,0.38976416175354484,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000068,X731,7,CFG731_f87794e7a98d0b11,0.9210527150349473,CFG731_04e7216b1ba7f935,7,0.4177443806835356,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000069,X731,2,CFG731_95e2d680672ff303,0.34533713502850155,CFG731_95e2d680672ff303,1,0.34533713502850155,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000070,X731,1,CFG731_5a8170a3daa0efb9,0.849624315380376,CFG731_5a8170a3daa0efb9,1,0.849624315380376,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000071,G731CA,2,CFG731_19ec976991ce75a9,0.8037599577662405,CFG731_19f7d73d8e42e7bd,2,0.3830405500391146,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000072,X731,1,CFG731_d9234c84a58b99ae,0.4989745197293344,CFG731_d9234c84a58b99ae,1,0.4989745197293344,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000073,X731,3,CFG731_af5b0ebc51685059,0.8654138976855865,CFG731_1c1fb7a32bf0146b,3,0.4304087875737461,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000074,G731ST-LT,6,CFG731_7203705eed387b0a,0.8496249150273759,CFG731_7994662aa688a3b5,5,0.3620457020767709,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000075,X731,2,CFG731_ddd1ce28a3456ff6,0.8654138936095865,CFG731_fa2849b259355775,2,0.8511286731018721,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000076,F731WD_SINGLECHANNEL,1,CFG731_a7d2a5a9ae465701,0.8195495976714512,CFG731_a7d2a5a9ae465701,1,0.8195495976714512,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000077,X731,1,CFG731_a385518a9f31baa0,0.3669894948686873,CFG731_a385518a9f31baa0,1,0.3669894948686873,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000078,F731PW,1,CFG731_5995fa9fd5d1242f,0.818046027548955,CFG731_5995fa9fd5d1242f,1,0.818046027548955,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000079,X731,3,CFG731_011ca4ba794bd4d6,0.9052641563737369,CFG731_6472ab3bf7316498,3,0.4686823196397957,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000080,X731,6,CFG731_5e61ce3b60d15e11,0.9210535559359474,CFG731_4fe142d593643ab8,3,0.4850242067882415,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000081,G731ST-LT,12,CFG731_d124ccffa669c3a2,0.9052638797987369,CFG731_a54fd8962307be18,11,0.21868324335279565,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000082,X731,14,CFG731_331927b265de3c55,0.8180457436729549,CFG731_90035585549005ff,14,0.20123911684687923,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000083,F731TE,1,CFG731_574aa7a29f75cd60,0.8338347048391654,CFG731_574aa7a29f75cd60,1,0.8338347048391654,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000084,X731,2,CFG731_9755a9db60d7534d,0.8338354424361655,CFG731_5be5a82ac0b29989,2,0.341844115583678,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000085,X731,2,CFG731_bbcb665ced67f8c3,0.8654140799745865,CFG731_0aa987e1ae960c88,2,0.8511279924878722,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000086,G731CA,2,CFG731_d3d0547b464f691d,0.8037595020992405,CFG731_d3d0547b464f691d,1,0.8037595020992405,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000087,X731,3,CFG731_7308ee8503151ef3,0.8654143856215866,CFG731_6d44172bc82c7ed7,3,0.37507816520280496,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000088,G731ST-HT,2,CFG731_63eca10a00ae1f5d,0.9368422321021579,CFG731_0ce13abf777d04f9,2,0.4335339277207461,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000089,X731,4,CFG731_62d0f0f6bab9bdcb,0.9210528574569473,CFG731_4340f11ba9a46e42,2,0.849624995670376,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000090,X731,1,CFG731_260c36430f7c2d03,0.9210535206709474,CFG731_260c36430f7c2d03,1,0.9210535206709474,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000091,G731ST-LT,2,CFG731_7882c72c21497015,0.9368424022101579,CFG731_e6c0885eb14e429c,2,0.43353395179474613,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000092,X731,1,CFG731_a7a446c7f3b3183f,0.8195489939274512,CFG731_a7a446c7f3b3183f,1,0.8195489939274512,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000093,X731,3,CFG731_12d9cb8d41e8f486,0.8654140787245865,CFG731_7f6c0412b6d497fb,3,0.36846020548998143,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000094,G731CA,1,CFG731_0738cd529389f266,0.8353385784836616,CFG731_0738cd529389f266,1,0.8353385784836616,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000095,X731,7,CFG731_cf543b1c3927ab71,0.9052635238767369,CFG731_235ee3a364b5b6ec,7,0.20820463539932507,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000096,G731ST-LT,2,CFG731_8da1da530d6ae54d,0.8654143956005865,CFG731_1d89d7fdc7355744,2,0.8654141064105865,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000097,X731,12,CFG731_219ac3d01befd6d1,0.9052635155007369,CFG731_78ea99817ca8be6a,11,0.21868323277579566,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000098,G731ST-HT,2,CFG731_a3b03637ed22317c,0.9368426164501579,CFG731_dde2f7fe043f7ade,2,0.8939859156720151,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000099,X731,7,CFG731_5dd42015f6f61801,0.9210530848909474,CFG731_917fc613cc9bf56a,3,0.48502403547524153,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000100,F731WD_DUALCHANNEL,1,CFG731_35ed22cad11f9a11,0.8195490819774511,CFG731_35ed22cad11f9a11,1,0.8195490819774511,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000101,F731WD_DUALCHANNEL,1,CFG731_a4610f5f38e7d946,0.8338353225571655,CFG731_a4610f5f38e7d946,1,0.8338353225571655,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000102,X731,2,CFG731_dbe9c00b3af80524,0.8338349854781655,CFG731_7afa5501026394f9,2,0.8195498000854511,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000103,X731,7,CFG731_37c55138c4eebb90,0.34533734599150157,CFG731_6942facbe6ebb88b,5,0.22254293775944273,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000104,G731CA,2,CFG731_d3d0547b464f691d,0.8037601122922405,CFG731_d3d0547b464f691d,1,0.8037601122922405,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000105,G731ST-LT,2,CFG731_a40ab19ad6671fbe,0.9368421562021579,CFG731_098817d766a37bc2,2,0.8939856100710151,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000106,F731WD_SINGLECHANNEL,1,CFG731_70b6eaf9262ca4d0,0.8195496444264512,CFG731_70b6eaf9262ca4d0,1,0.8195496444264512,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000107,X731,6,CFG731_8c50542218db5cb0,0.9052634688637369,CFG731_b3506a753aafcfa3,3,0.469233773747031,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000108,X731,2,CFG731_cf4bb519cec0df2f,0.881203924598797,CFG731_cf4bb519cec0df2f,1,0.881203924598797,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000109,X731,1,CFG731_8d78781f8753b72a,0.9210534889129474,CFG731_8d78781f8753b72a,1,0.9210534889129474,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000110,X731,3,CFG731_e80085d86d0bbfa9,0.8654136792585865,CFG731_187ec74b5c4854aa,3,0.2541222997088638,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000111,X731,4,CFG731_672458a8e716cdf8,0.8496247317843759,CFG731_2e5bd0d53757f625,4,0.3636998664854768,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000112,X731,6,CFG731_97796c9ac2811c94,0.8338352972471654,CFG731_6084e24782dc3f55,6,0.22033768117750155,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000113,F731WD_SINGLECHANNEL,1,CFG731_4ca309199387f8d5,0.8195496097864511,CFG731_4ca309199387f8d5,1,0.8195496097864511,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000114,X731,1,CFG731_7bb5689e4b06bfe5,0.36590622782641796,CFG731_7bb5689e4b06bfe5,1,0.36590622782641796,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000115,X731,1,CFG731_6920f76e20b3b3ac,0.3581856538821238,CFG731_6920f76e20b3b3ac,1,0.3581856538821238,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000116,X731,1,CFG731_abcee67081353f16,0.9526321574703683,CFG731_abcee67081353f16,1,0.9526321574703683,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000117,G731ST-HT,4,CFG731_d03860c1f327a8d1,0.8496247282753759,CFG731_5882bd12beb09203,4,0.35156765788930033,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000118,G731ST-LT,2,CFG731_a40ab19ad6671fbe,0.9368426284031579,CFG731_bc9146cb8459e9c2,2,0.43353383521774613,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000119,G731ST-HT,1,CFG731_bbffb73f3dff6787,0.9526318778553684,CFG731_bbffb73f3dff6787,1,0.9526318778553684,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000120,G731ST-HT,4,CFG731_d03860c1f327a8d1,0.8496250225323759,CFG731_b5710e5f11e2cbc2,3,0.4146189644615356,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000121,X731,6,CFG731_b7e96d5717c40fd6,0.9210536177479474,CFG731_a89154111c50850c,3,0.3576339950478885,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000122,F731WD_SINGLECHANNEL,2,CFG731_0be7d6198235486b,0.7879705065550301,CFG731_0be7d6198235486b,1,0.7879705065550301,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000123,X731,2,CFG731_a41a2d2cef1a675f,0.9052631652327369,CFG731_56310c55a01272a3,2,0.3482781047950898,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000124,G731CA,1,CFG731_acbf4c45af55caad,0.8353390975166616,CFG731_acbf4c45af55caad,1,0.8353390975166616,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000125,X731,6,CFG731_5e61ce3b60d15e11,0.9210534913839473,CFG731_6b5f6983490bc595,2,0.4831854694191239,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000126,F731PW,1,CFG731_92efd7a3c43da152,0.818045270667955,CFG731_92efd7a3c43da152,1,0.818045270667955,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000127,X731,6,CFG731_8d2d91c46ccfb471,0.9210528354019474,CFG731_9ccdadb28a07accd,2,0.4831856470711239,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000128,X731,4,CFG731_8eb1a4c3831aebc6,0.8496244261213759,CFG731_b2ad61cdb45a54fb,4,0.3515675103693003,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000129,F731TE,1,CFG731_07fb816f7dc25bc8,0.8338349666021655,CFG731_07fb816f7dc25bc8,1,0.8338349666021655,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000130,G731ST-LT,1,CFG731_32b4b1ec4513af66,0.881203458184797,CFG731_32b4b1ec4513af66,1,0.881203458184797,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000131,G731ST-HT,8,CFG731_bbffb73f3dff6787,0.9052632905017369,CFG731_403f51b2e914043b,7,0.40195458822432506,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000132,X731,6,CFG731_ac8195f5cce7d089,0.849624400707376,CFG731_87ce9768865f4127,6,0.23539156620006504,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000133,G731ST-LT,6,CFG731_7882c72c21497015,0.9210533521179474,CFG731_fa6ab94f1cf566b3,5,0.4844718957430062,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000134,X731,5,CFG731_608c0251ef380592,0.9210528251879474,CFG731_5de6ca53a86b09c9,5,0.23281790299330032,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000135,X731,6,CFG731_cf543b1c3927ab71,0.9052634696017369,CFG731_ede0b25f5f83644d,3,0.3368808480405604,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000136,X731,6,CFG731_8d2d91c46ccfb471,0.9210532207729474,CFG731_9ccdadb28a07accd,2,0.48318557515412386,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000137,X731,2,CFG731_da02526d254e2e35,0.936842545958158,CFG731_efc9d6b915117e15,2,0.8939855375460151,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000138,F731WD_SINGLECHANNEL,2,CFG731_ee8e327bbb737abf,0.7879705115590301,CFG731_ee8e327bbb737abf,1,0.7879705115590301,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000139,X731,8,CFG731_12d9cb8d41e8f486,0.8496249706133759,CFG731_72fe206df86509f8,8,0.2273026839099474,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000140,G731ST-LT,2,CFG731_7882c72c21497015,0.9368430034811579,CFG731_175641fe8d1c7f37,2,0.8939851118750151,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000141,G731ST-HT,4,CFG731_2a989bd6dba74d9f,0.849624515515376,CFG731_b7a7770d19b6f648,3,0.48704576622877094,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000142,X731,4,CFG731_36c553adc9f5ebf3,0.8496244422213759,CFG731_e3b7a52ea0694eb1,4,0.36370003239547677,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000143,X731,6,CFG731_91e51485b56960b2,0.9210536148069474,CFG731_8e5ce09a779d2284,6,0.4177440135985356,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000144,X731,2,CFG731_b7e96d5717c40fd6,0.9526318507363684,CFG731_2683cf7e09782f5e,2,0.9097751421952256,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000145,X731,4,CFG731_ddd1ce28a3456ff6,0.849625010967376,CFG731_1d294b2de760852b,3,0.48704585941877093,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000146,X731,4,CFG731_8eb1a4c3831aebc6,0.8496247842003759,CFG731_fd10dd35c97df399,4,0.35763352770488854,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000147,X731,4,CFG731_91e51485b56960b2,0.9368426424541579,CFG731_b83ac25dbd4e47ee,2,0.8654137222645866,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000148,X731,11,CFG731_a6d4830ed3aa2681,0.8894746248255263,CFG731_1b8054cb5a92e4fa,11,0.19645924670717335,False,SYNTHETIC,synthetic_engineer_v1
