rfq_id,characteristic,error_type,predicted_value,actual_value
RFQ731-000005,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000005,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,GP
RFQ731-000005,devCategory,MISSED_REQUIREMENT,NOVALUE,S
RFQ731-000005,explosionApproval,MISSED_REQUIREMENT,NOVALUE,F
RFQ731-000005,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000005,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000005,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000005,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000005,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000006,binaerOpenColl_MP,MISSED_REQUIREMENT,NOVALUE,MP1
RFQ731-000006,certification,FALSE_POSITIVE_OR_WRONG_VALUE,AG,NN
RFQ731-000006,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000006,dynamicGasMaster,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000006,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000006,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000006,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000006,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000006,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000007,binaerDigitalOpenColl_MN,MISSED_REQUIREMENT,NOVALUE,MN1
RFQ731-000007,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000007,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,MN
RFQ731-000007,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000007,devCategory,FALSE_POSITIVE_OR_WRONG_VALUE,G,F
RFQ731-000007,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000007,temperaturEingaenge,FALSE_POSITIVE_OR_WRONG_VALUE,TT1,NOVALUE
RFQ731-000007,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000008,binaerDigitalOpenColl_MN,MISSED_REQUIREMENT,NOVALUE,MN1
RFQ731-000008,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000008,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000008,characteristic,MISSED_REQUIREMENT,NOVALUE,ST
RFQ731-000008,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000008,explosionApproval,MISSED_REQUIREMENT,NOVALUE,F
RFQ731-000008,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000008,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000008,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000008,steamApplication,MISSED_REQUIREMENT,NOVALUE,H
RFQ731-000008,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000008,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000009,binaerDigitalOpenColl_MN,MISSED_REQUIREMENT,NOVALUE,MN1
RFQ731-000009,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000009,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000009,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,ST
RFQ731-000009,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000009,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000009,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000009,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000009,steamApplication,MISSED_REQUIREMENT,NOVALUE,H
RFQ731-000009,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,CAPABILITY,CS1
RFQ731-000009,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000010,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000010,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000010,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,VG,ST
RFQ731-000010,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000010,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000010,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000010,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000010,steamApplication,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000011,binaerOpenColl_MP,MISSED_REQUIREMENT,NOVALUE,MP1
RFQ731-000011,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000011,characteristic,MISSED_REQUIREMENT,NOVALUE,ST
RFQ731-000011,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000011,explosionApproval,MISSED_REQUIREMENT,NOVALUE,A
RFQ731-000011,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000011,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000011,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000011,steamApplication,MISSED_REQUIREMENT,NOVALUE,H
RFQ731-000011,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000011,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000012,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000012,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000012,devCategory,FALSE_POSITIVE_OR_WRONG_VALUE,G,F
RFQ731-000012,explosionApproval,MISSED_REQUIREMENT,NOVALUE,A
RFQ731-000012,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000012,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000012,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000012,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000013,binaerDigitalOpenColl_MN,MISSED_REQUIREMENT,NOVALUE,MN1
RFQ731-000013,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000013,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000013,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,GP
RFQ731-000013,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000013,dataInterface,MISSED_REQUIREMENT,NOVALUE,HS
RFQ731-000013,dynamicGasMaster,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000013,explosionApproval,MISSED_REQUIREMENT,NOVALUE,A
RFQ731-000013,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000013,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000013,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000014,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000014,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000014,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,GP
RFQ731-000014,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000014,dataInterface,FALSE_POSITIVE_OR_WRONG_VALUE,AS,NN
RFQ731-000014,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000014,dynamicGasMaster,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000014,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000014,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000014,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000015,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000015,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000015,dataInterface,MISSED_REQUIREMENT,NOVALUE,HS
RFQ731-000015,devCategory,FALSE_POSITIVE_OR_WRONG_VALUE,G,F
RFQ731-000015,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000015,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000015,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000015,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000015,stromEingaenge,FALSE_POSITIVE_OR_WRONG_VALUE,AS,IS1
RFQ731-000015,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000016,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000016,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000016,dynamicGasMaster,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000016,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000016,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000016,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000016,temperaturEingaenge,FALSE_POSITIVE_OR_WRONG_VALUE,TT1,NOVALUE
RFQ731-000016,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000017,binaerOpenColl_MP,MISSED_REQUIREMENT,NOVALUE,MP4
RFQ731-000017,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000017,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,VG,WD
RFQ731-000017,dataInterface,MISSED_REQUIREMENT,NOVALUE,HS
RFQ731-000017,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000017,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000017,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000017,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,CAPABILITY,CS2
RFQ731-000018,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000018,dataInterface,MISSED_REQUIREMENT,NOVALUE,PA
RFQ731-000018,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000018,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000018,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000018,temperaturEingaenge,FALSE_POSITIVE_OR_WRONG_VALUE,TT1,TT2
RFQ731-000019,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,MN
RFQ731-000019,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000019,dataInterface,MISSED_REQUIREMENT,NOVALUE,HS
RFQ731-000019,devCategory,FALSE_POSITIVE_OR_WRONG_VALUE,G,F
RFQ731-000019,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000019,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000019,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000020,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000020,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,MN
RFQ731-000020,dataInterface,FALSE_POSITIVE_OR_WRONG_VALUE,AS,NN
RFQ731-000020,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000020,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000020,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000020,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000021,certification,FALSE_POSITIVE_OR_WRONG_VALUE,AG,NN
RFQ731-000021,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,ST
RFQ731-000021,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000021,dataInterface,MISSED_REQUIREMENT,NOVALUE,HS
RFQ731-000021,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000021,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000021,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000021,steamApplication,MISSED_REQUIREMENT,NOVALUE,H
RFQ731-000021,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000021,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000022,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000022,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000022,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,ST
RFQ731-000022,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000022,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000022,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000022,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000022,steamApplication,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000022,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000022,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000023,binaerDigitalOpenColl_MN,MISSED_REQUIREMENT,NOVALUE,MN1
RFQ731-000023,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000023,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,MN
RFQ731-000023,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000023,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000023,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,CAPABILITY,CS1
RFQ731-000023,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000024,binaerOpenColl_MP,MISSED_REQUIREMENT,NOVALUE,MP1
RFQ731-000024,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000024,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,ST
RFQ731-000024,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000024,dataInterface,MISSED_REQUIREMENT,NOVALUE,HS
RFQ731-000024,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000024,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000024,steamApplication,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000024,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000025,certification,FALSE_POSITIVE_OR_WRONG_VALUE,AG,NN
RFQ731-000025,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,ST
RFQ731-000025,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000025,devCategory,MISSED_REQUIREMENT,NOVALUE,G
RFQ731-000025,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000025,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000025,steamApplication,MISSED_REQUIREMENT,NOVALUE,H
RFQ731-000025,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000026,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000026,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,MN
RFQ731-000026,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,GP
RFQ731-000026,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000026,dataInterface,MISSED_REQUIREMENT,NOVALUE,HS
RFQ731-000026,explosionApproval,MISSED_REQUIREMENT,NOVALUE,F
RFQ731-000026,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000026,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000026,temperaturEingaenge,FALSE_POSITIVE_OR_WRONG_VALUE,TT1,NOVALUE
RFQ731-000026,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000027,binaerOpenColl_MP,MISSED_REQUIREMENT,NOVALUE,MP1
RFQ731-000027,certification,FALSE_POSITIVE_OR_WRONG_VALUE,AG,NN
RFQ731-000027,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,GP
RFQ731-000027,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000027,dataInterface,MISSED_REQUIREMENT,NOVALUE,NN
RFQ731-000027,dynamicGasMaster,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000027,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000027,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,CAPABILITY,CS1
RFQ731-000027,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000028,binaerOpenColl_MP,MISSED_REQUIREMENT,NOVALUE,MP1
RFQ731-000028,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000028,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,ST
RFQ731-000028,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000028,devCategory,MISSED_REQUIREMENT,NOVALUE,G
RFQ731-000028,explosionApproval,MISSED_REQUIREMENT,NOVALUE,A
RFQ731-000028,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000028,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000028,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000028,steamApplication,MISSED_REQUIREMENT,NOVALUE,H
RFQ731-000028,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000028,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000028,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000029,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000029,certification,FALSE_POSITIVE_OR_WRONG_VALUE,AG,MN
RFQ731-000029,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000029,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000029,dynamicGasMaster,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000029,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000029,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000029,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000030,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000030,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,ST
RFQ731-000030,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000030,devCategory,MISSED_REQUIREMENT,NOVALUE,G
RFQ731-000030,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000030,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000030,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000030,steamApplication,MISSED_REQUIREMENT,NOVALUE,H
RFQ731-000030,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,CAPABILITY,CS1
RFQ731-000030,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000031,binaerDigitalOpenColl_MN,MISSED_REQUIREMENT,NOVALUE,MN1
RFQ731-000031,binaerOpenColl_MP,FALSE_POSITIVE_OR_WRONG_VALUE,MP1,NOVALUE
RFQ731-000031,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000031,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000031,dataInterface,MISSED_REQUIREMENT,NOVALUE,NN
RFQ731-000031,devCategory,FALSE_POSITIVE_OR_WRONG_VALUE,G,F
RFQ731-000031,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000031,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000031,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,CAPABILITY,CS1
RFQ731-000031,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000032,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000032,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000032,dataInterface,FALSE_POSITIVE_OR_WRONG_VALUE,AS,NN
RFQ731-000032,devCategory,FALSE_POSITIVE_OR_WRONG_VALUE,G,F
RFQ731-000032,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000032,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000032,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000032,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000032,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
RFQ731-000033,binaerOpenColl_MP,MISSED_REQUIREMENT,NOVALUE,MP4
RFQ731-000033,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000033,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,CA
RFQ731-000033,dataInterface,MISSED_REQUIREMENT,NOVALUE,PA
RFQ731-000033,dev_advMeterVerification,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000033,explosionApproval,MISSED_REQUIREMENT,NOVALUE,A
RFQ731-000033,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000033,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000033,stromSchaltbar,MISSED_REQUIREMENT,NOVALUE,CS2
RFQ731-000034,certification,FALSE_POSITIVE_OR_WRONG_VALUE,AG,NN
RFQ731-000034,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,CA
RFQ731-000034,dataInterface,MISSED_REQUIREMENT,NOVALUE,PA
RFQ731-000034,explosionApproval,MISSED_REQUIREMENT,NOVALUE,F
RFQ731-000034,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000034,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000034,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000035,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000035,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,VG,ST
RFQ731-000035,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000035,devCategory,MISSED_REQUIREMENT,NOVALUE,G
RFQ731-000035,explosionApproval,MISSED_REQUIREMENT,NOVALUE,K
RFQ731-000035,powerSupply,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000035,protectionArea,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000035,steamApplication,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000035,stromEingaenge,MISSED_REQUIREMENT,NOVALUE,IS1
RFQ731-000036,certification,FALSE_POSITIVE_OR_WRONG_VALUE,IN,NN
RFQ731-000036,characteristic,FALSE_POSITIVE_OR_WRONG_VALUE,TE,ST
RFQ731-000036,customUserFluid,MISSED_REQUIREMENT,NOVALUE,1
RFQ731-000036,explosionApproval,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000036,numberOfChannels,MISSED_REQUIREMENT,NOVALUE,2
RFQ731-000036,protectionArea,MISSED_REQUIREMENT,NOVALUE,N
RFQ731-000036,steamApplication,MISSED_REQUIREMENT,NOVALUE,H
RFQ731-000036,stromSchaltbar,FALSE_POSITIVE_OR_WRONG_VALUE,FUNCTIONALITY,CS1
RFQ731-000036,waveInjector,MISSED_REQUIREMENT,NOVALUE,FWI
