rfq_id,mode,package_aware,target_package,true_configuration_id,recommended_configuration_id,recommended_package,top_score,true_rank,candidate_count,requirement_count
RFQ731-000034,V8_EXTRACTED,True,G731CA,CFG731_9cc92f888af32c8a,CFG731_5bfe9492c76587ec,G731CA,28.129501951658632,6,48,13
RFQ731-000035,V8_EXTRACTED,True,G731ST-LT,CFG731_77fac91021549398,CFG731_87d8ba5b87cf0a3f,G731ST-LT,31.148810794140328,3,153,13
RFQ731-000036,V8_EXTRACTED,True,G731ST-HT,CFG731_b46f92852addf866,CFG731_c32627af59ba1526,G731ST-HT,34.99024227928031,27,151,13
RFQ731-000037,V8_EXTRACTED,True,x731,CFG731_1b5b895b5e259903,CFG731_b7e47b5e3ac0c072,x731,29.076335029698328,19,1549,13
RFQ731-000038,V8_EXTRACTED,True,x731,CFG731_04d60387371e1885,CFG731_04d60387371e1885,x731,35.31934015256156,1,1549,15
RFQ731-000039,V8_EXTRACTED,True,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,F731WD_DualChannel,62.68547305801544,1,19,13
RFQ731-000040,V8_EXTRACTED,True,x731,CFG731_f7f0034a8b15f329,CFG731_6f8c15548921e4c2,x731,29.414428973037055,150,1549,12
RFQ731-000041,V8_EXTRACTED,True,G731ST-HT,CFG731_d71a39e1fcf17083,CFG731_bbffb73f3dff6787,G731ST-HT,25.859356260975222,8,151,14
RFQ731-000042,V8_EXTRACTED,True,x731,CFG731_8e5ce09a779d2284,CFG731_91e51485b56960b2,x731,31.84613211800729,7,1549,15
RFQ731-000043,V8_EXTRACTED,True,x731,CFG731_78ea99817ca8be6a,CFG731_12089d5d54f581ac,x731,27.917919865376113,10,1549,14
RFQ731-000044,V8_EXTRACTED,True,x731,CFG731_c52f7eb3e0603707,CFG731_219ac3d01befd6d1,x731,30.747086002788354,3,1549,16
RFQ731-000045,V8_EXTRACTED,True,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,F731WD_SingleChannel,48.14203820548361,1,10,14
RFQ731-000046,V8_EXTRACTED,True,x731,CFG731_5e0166a160f3ed77,CFG731_70a71b60723e910d,x731,35.26256461926658,7,1549,13
RFQ731-000047,V8_EXTRACTED,True,x731,CFG731_8e97bb2bec352a2c,CFG731_3b2a32abbf148ca1,x731,33.863019251164694,3,1549,16
RFQ731-000048,V8_EXTRACTED,True,G731ST-LT,CFG731_8b6ed3cfa9ed1e59,CFG731_e0009be417f51ccd,G731ST-LT,35.33935381858156,3,153,17
RFQ731-000049,V8_EXTRACTED,True,x731,CFG731_700e5b0584a9b0fc,CFG731_700e5b0584a9b0fc,x731,21.237241211350987,1,1549,14
RFQ731-000050,V8_EXTRACTED,True,F731WD_DualChannel,CFG731_37e3938c6089bb2d,CFG731_819cb4e76943eca6,F731WD_DualChannel,41.11945722816614,2,19,11
RFQ731-000051,V8_EXTRACTED,True,F731TE,CFG731_0c3b33750ffab3ac,CFG731_574aa7a29f75cd60,F731TE,25.991116974416073,4,30,9
RFQ731-000052,V8_EXTRACTED,True,x731,CFG731_fa6b5a7df55858c0,CFG731_a4339f07d181d686,x731,26.149676971517593,3,1549,17
RFQ731-000053,V8_EXTRACTED,True,x731,CFG731_1cbb464ec15ba84f,CFG731_1cbb464ec15ba84f,x731,40.182731617206606,1,1549,14
RFQ731-000054,V8_EXTRACTED,True,G731CA,CFG731_e85a7fcdd0521e90,CFG731_e85a7fcdd0521e90,G731CA,24.89960621814214,1,48,12
RFQ731-000055,V8_EXTRACTED,True,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,F731TE,53.841685492227995,1,30,14
RFQ731-000056,V8_EXTRACTED,True,G731ST-LT,CFG731_d5af433b36265df1,CFG731_d5af433b36265df1,G731ST-LT,31.305254965915385,1,153,17
RFQ731-000057,V8_EXTRACTED,True,x731,CFG731_d61788aab0d61e0f,CFG731_2683cf7e09782f5e,x731,35.11221882490795,2,1549,16
RFQ731-000058,V8_EXTRACTED,True,F731WD_SingleChannel,CFG731_400b0d973c930668,CFG731_11c93eca01984a14,F731WD_SingleChannel,21.646631720438712,5,10,11
RFQ731-000059,V8_EXTRACTED,True,G731VG,CFG731_6a47b38d62a9fed3,CFG731_40b6e1db6c80bcc1,G731VG,40.94143541707074,2,4,14
RFQ731-000060,V8_EXTRACTED,True,x731,CFG731_4e7f75dd9496e7b1,CFG731_496bd7a964d6cd85,x731,34.550140289430026,5,1549,14
RFQ731-000061,V8_EXTRACTED,True,x731,CFG731_15f034f7c265528f,CFG731_8c50542218db5cb0,x731,25.854872443986153,4,1549,16
RFQ731-000062,V8_EXTRACTED,True,F731TE,CFG731_090330aa38b8e80b,CFG731_54559f782190a122,F731TE,24.510857224769303,9,30,11
RFQ731-000063,V8_EXTRACTED,True,x731,CFG731_79377060f99f59f3,CFG731_79377060f99f59f3,x731,37.863873136756084,1,1549,17
RFQ731-000064,V8_EXTRACTED,True,F731PW,CFG731_327bfa077bbbd45e,CFG731_f9fd6a4462ec051a,F731PW,27.640228049215793,3,15,12
RFQ731-000065,V8_EXTRACTED,True,x731,CFG731_f57ccd8e79618aa1,CFG731_05cf1a0209b4f9a8,x731,32.44840979218628,41,1549,15
RFQ731-000066,V8_EXTRACTED,True,F731TE,CFG731_a72f99e8160efda6,CFG731_6886c948a9d1ec0c,F731TE,13.752268808537124,3,30,13
RFQ731-000067,V8_EXTRACTED,True,x731,CFG731_31c4aded40f9387f,CFG731_31c4aded40f9387f,x731,33.46730749420482,1,1549,16
RFQ731-000068,V8_EXTRACTED,True,x731,CFG731_04e7216b1ba7f935,CFG731_1f978c234895178c,x731,38.06385152736255,7,1549,15
RFQ731-000069,V8_EXTRACTED,True,x731,CFG731_95e2d680672ff303,CFG731_073f991a6c9a4683,x731,25.31783930510134,47,1549,14
RFQ731-000070,V8_EXTRACTED,True,x731,CFG731_5a8170a3daa0efb9,CFG731_5a8170a3daa0efb9,x731,34.895218685427785,1,1549,13
RFQ731-000071,V8_EXTRACTED,True,G731CA,CFG731_19f7d73d8e42e7bd,CFG731_757fbd3e8915b462,G731CA,22.079379341930032,5,48,12
RFQ731-000072,V8_EXTRACTED,True,x731,CFG731_d9234c84a58b99ae,CFG731_a4339f07d181d686,x731,33.76161728643238,51,1549,15
RFQ731-000073,V8_EXTRACTED,True,x731,CFG731_1c1fb7a32bf0146b,CFG731_cf4bb519cec0df2f,x731,37.97225853219448,68,1549,17
RFQ731-000074,V8_EXTRACTED,True,G731ST-LT,CFG731_7994662aa688a3b5,CFG731_49cd4cbef1081333,G731ST-LT,29.341859762552158,52,153,13
RFQ731-000075,V8_EXTRACTED,True,x731,CFG731_fa2849b259355775,CFG731_fa2849b259355775,x731,36.26680435917752,1,1549,14
RFQ731-000076,V8_EXTRACTED,True,F731WD_SingleChannel,CFG731_a7d2a5a9ae465701,CFG731_a7d2a5a9ae465701,F731WD_SingleChannel,52.09927468040232,1,10,12
RFQ731-000077,V8_EXTRACTED,True,x731,CFG731_a385518a9f31baa0,CFG731_a385518a9f31baa0,x731,37.61603641932781,1,1549,16
RFQ731-000078,V8_EXTRACTED,True,F731PW,CFG731_5995fa9fd5d1242f,CFG731_a9f22ebc14287e5d,F731PW,28.07504323452484,2,15,12
RFQ731-000079,V8_EXTRACTED,True,x731,CFG731_6472ab3bf7316498,CFG731_2322a268d0a898f9,x731,35.44669758895698,66,1549,13
RFQ731-000080,V8_EXTRACTED,True,x731,CFG731_4fe142d593643ab8,CFG731_496bd7a964d6cd85,x731,23.44535213733335,13,1549,14
RFQ731-000081,V8_EXTRACTED,True,G731ST-LT,CFG731_a54fd8962307be18,CFG731_ae2e4cfccaff4f50,G731ST-LT,28.72459501199591,19,153,10
RFQ731-000082,V8_EXTRACTED,True,x731,CFG731_90035585549005ff,CFG731_226e375c4e7aa2a0,x731,30.638009939267267,7,1549,11
RFQ731-000083,V8_EXTRACTED,True,F731TE,CFG731_574aa7a29f75cd60,CFG731_574aa7a29f75cd60,F731TE,50.18397019594818,1,30,12
RFQ731-000084,V8_EXTRACTED,True,x731,CFG731_5be5a82ac0b29989,CFG731_d9c736acc178c66d,x731,12.371292425450708,36,1549,13
RFQ731-000085,V8_EXTRACTED,True,x731,CFG731_0aa987e1ae960c88,CFG731_abcee67081353f16,x731,32.340285734626626,2,1549,13
RFQ731-000086,V8_EXTRACTED,True,G731CA,CFG731_d3d0547b464f691d,CFG731_b97ce0f180acf155,G731CA,24.592005249449198,3,48,10
RFQ731-000087,V8_EXTRACTED,True,x731,CFG731_6d44172bc82c7ed7,CFG731_6d44172bc82c7ed7,x731,30.019647819372793,1,1549,17
RFQ731-000088,V8_EXTRACTED,True,G731ST-HT,CFG731_0ce13abf777d04f9,CFG731_63eca10a00ae1f5d,G731ST-HT,43.40720629413931,2,151,15
RFQ731-000089,V8_EXTRACTED,True,x731,CFG731_4340f11ba9a46e42,CFG731_9fcbeaf9d5010d3a,x731,37.374503093583684,3,1549,14
RFQ731-000090,V8_EXTRACTED,True,x731,CFG731_260c36430f7c2d03,CFG731_14299a2a74e42d7f,x731,21.768702780054895,2,1549,13
RFQ731-000091,V8_EXTRACTED,True,G731ST-LT,CFG731_e6c0885eb14e429c,CFG731_e6c0885eb14e429c,G731ST-LT,38.170715120191566,1,153,13
RFQ731-000092,V8_EXTRACTED,True,x731,CFG731_a7a446c7f3b3183f,CFG731_a9ec8cda9130252f,x731,20.86147242122776,11,1549,12
RFQ731-000093,V8_EXTRACTED,True,x731,CFG731_7f6c0412b6d497fb,CFG731_2e57977cf2dd500a,x731,30.269113611527537,97,1549,15
RFQ731-000094,V8_EXTRACTED,True,G731CA,CFG731_0738cd529389f266,CFG731_0738cd529389f266,G731CA,48.11973142233829,1,48,14
RFQ731-000095,V8_EXTRACTED,True,x731,CFG731_235ee3a364b5b6ec,CFG731_e8e7b7513a5c9544,x731,20.158211093141027,9,1549,14
RFQ731-000096,V8_EXTRACTED,True,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,G731ST-LT,39.32159268866039,1,153,13
RFQ731-000097,V8_EXTRACTED,True,x731,CFG731_78ea99817ca8be6a,CFG731_357a7724550c556f,x731,33.646014978108695,89,1549,13
RFQ731-000098,V8_EXTRACTED,True,G731ST-HT,CFG731_dde2f7fe043f7ade,CFG731_7b2f69a7ca55041b,G731ST-HT,42.55665278025377,24,151,16
RFQ731-000099,V8_EXTRACTED,True,x731,CFG731_917fc613cc9bf56a,CFG731_7ffc09802c7b60bf,x731,32.42888988572256,32,1549,18
RFQ731-000100,V8_EXTRACTED,True,F731WD_DualChannel,CFG731_35ed22cad11f9a11,CFG731_35ed22cad11f9a11,F731WD_DualChannel,50.91339814921024,1,19,12
RFQ731-000101,V8_EXTRACTED,True,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,F731WD_DualChannel,59.27083848406696,1,19,15
RFQ731-000102,V8_EXTRACTED,True,x731,CFG731_7afa5501026394f9,CFG731_89772de94df83ba5,x731,27.574027964013418,9,1549,13
RFQ731-000103,V8_EXTRACTED,True,x731,CFG731_6942facbe6ebb88b,CFG731_7521d5a6673c8628,x731,31.095303108551192,8,1549,13
RFQ731-000104,V8_EXTRACTED,True,G731CA,CFG731_d3d0547b464f691d,CFG731_b97ce0f180acf155,G731CA,32.828969254904095,3,48,11
RFQ731-000105,V8_EXTRACTED,True,G731ST-LT,CFG731_098817d766a37bc2,CFG731_a40ab19ad6671fbe,G731ST-LT,20.81993638354052,4,153,17
RFQ731-000106,V8_EXTRACTED,True,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_11c93eca01984a14,F731WD_SingleChannel,48.18085591332627,3,10,12
RFQ731-000107,V8_EXTRACTED,True,x731,CFG731_b3506a753aafcfa3,CFG731_b3506a753aafcfa3,x731,26.788303368585627,1,1549,14
RFQ731-000108,V8_EXTRACTED,True,x731,CFG731_cf4bb519cec0df2f,CFG731_cf4bb519cec0df2f,x731,33.17811632361086,1,1549,16
RFQ731-000109,V8_EXTRACTED,True,x731,CFG731_8d78781f8753b72a,CFG731_34e092c266a308aa,x731,34.1751011582531,9,1549,14
RFQ731-000110,V8_EXTRACTED,True,x731,CFG731_187ec74b5c4854aa,CFG731_c3481d11b658e1e9,x731,35.888130568528666,7,1549,14
RFQ731-000111,V8_EXTRACTED,True,x731,CFG731_2e5bd0d53757f625,CFG731_2e5bd0d53757f625,x731,34.72215928635465,1,1549,15
RFQ731-000112,V8_EXTRACTED,True,x731,CFG731_6084e24782dc3f55,CFG731_219ac3d01befd6d1,x731,25.14522510476088,19,1549,15
RFQ731-000113,V8_EXTRACTED,True,F731WD_SingleChannel,CFG731_4ca309199387f8d5,CFG731_4ca309199387f8d5,F731WD_SingleChannel,40.934276220726915,1,10,12
RFQ731-000114,V8_EXTRACTED,True,x731,CFG731_7bb5689e4b06bfe5,CFG731_482678d927834b42,x731,26.370121248216122,3,1549,12
RFQ731-000115,V8_EXTRACTED,True,x731,CFG731_6920f76e20b3b3ac,CFG731_6bdadac99b2f7b39,x731,20.094138015733613,66,1549,13
RFQ731-000116,V8_EXTRACTED,True,x731,CFG731_abcee67081353f16,CFG731_abcee67081353f16,x731,41.88599736286435,1,1549,16
RFQ731-000117,V8_EXTRACTED,True,G731ST-HT,CFG731_5882bd12beb09203,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,28.51988858992095,5,151,12
RFQ731-000118,V8_EXTRACTED,True,G731ST-LT,CFG731_bc9146cb8459e9c2,CFG731_a40ab19ad6671fbe,G731ST-LT,31.050611790674612,6,153,16
RFQ731-000119,V8_EXTRACTED,True,G731ST-HT,CFG731_bbffb73f3dff6787,CFG731_bbffb73f3dff6787,G731ST-HT,38.22830180663899,1,151,15
RFQ731-000120,V8_EXTRACTED,True,G731ST-HT,CFG731_b5710e5f11e2cbc2,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,26.617109187486882,7,151,13
RFQ731-000121,V8_EXTRACTED,True,x731,CFG731_a89154111c50850c,CFG731_b7e96d5717c40fd6,x731,32.54074716241813,15,1549,16
RFQ731-000122,V8_EXTRACTED,True,F731WD_SingleChannel,CFG731_0be7d6198235486b,CFG731_11c93eca01984a14,F731WD_SingleChannel,34.323480861103675,4,10,10
RFQ731-000123,V8_EXTRACTED,True,x731,CFG731_56310c55a01272a3,CFG731_6f8c15548921e4c2,x731,32.534413853250825,13,1549,12
RFQ731-000124,V8_EXTRACTED,True,G731CA,CFG731_acbf4c45af55caad,CFG731_508d465d4c518290,G731CA,33.06438270856319,2,48,13
RFQ731-000125,V8_EXTRACTED,True,x731,CFG731_6b5f6983490bc595,CFG731_9e4fccece4d272d3,x731,23.864435778963774,6,1549,14
RFQ731-000126,V8_EXTRACTED,True,F731PW,CFG731_92efd7a3c43da152,CFG731_92efd7a3c43da152,F731PW,3.8827312784798256,1,15,13
RFQ731-000127,V8_EXTRACTED,True,x731,CFG731_9ccdadb28a07accd,CFG731_5ea309f998205da7,x731,29.85753511103224,7,1549,15
RFQ731-000128,V8_EXTRACTED,True,x731,CFG731_b2ad61cdb45a54fb,CFG731_e8e7b7513a5c9544,x731,19.13914002523898,5,1549,14
RFQ731-000129,V8_EXTRACTED,True,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,F731TE,41.119186450759884,1,30,15
RFQ731-000130,V8_EXTRACTED,True,G731ST-LT,CFG731_32b4b1ec4513af66,CFG731_32b4b1ec4513af66,G731ST-LT,36.21994351673576,1,153,16
RFQ731-000131,V8_EXTRACTED,True,G731ST-HT,CFG731_403f51b2e914043b,CFG731_b30ceef5c5f902ca,G731ST-HT,38.525999538018254,34,151,12
RFQ731-000132,V8_EXTRACTED,True,x731,CFG731_87ce9768865f4127,CFG731_620cb319c2b7c332,x731,27.815493928924,10,1549,14
RFQ731-000133,V8_EXTRACTED,True,G731ST-LT,CFG731_fa6ab94f1cf566b3,CFG731_a57ffd88d58eb498,G731ST-LT,25.801680411769432,3,153,14
RFQ731-000134,V8_EXTRACTED,True,x731,CFG731_5de6ca53a86b09c9,CFG731_6b809c836e3ca8a1,x731,27.14854343750318,2,1549,14
RFQ731-000135,V8_EXTRACTED,True,x731,CFG731_ede0b25f5f83644d,CFG731_8c50542218db5cb0,x731,25.400896228399247,104,1549,15
RFQ731-000136,V8_EXTRACTED,True,x731,CFG731_9ccdadb28a07accd,CFG731_f84558a188ec14c0,x731,31.78634391210923,9,1549,14
RFQ731-000137,V8_EXTRACTED,True,x731,CFG731_efc9d6b915117e15,CFG731_efc9d6b915117e15,x731,38.090248957610676,1,1549,15
RFQ731-000138,V8_EXTRACTED,True,F731WD_SingleChannel,CFG731_ee8e327bbb737abf,CFG731_6357400dd5c2804a,F731WD_SingleChannel,40.98831777725992,5,10,10
RFQ731-000139,V8_EXTRACTED,True,x731,CFG731_72fe206df86509f8,CFG731_d3db38843cf9fb81,x731,18.532122532627348,19,1549,14
RFQ731-000140,V8_EXTRACTED,True,G731ST-LT,CFG731_175641fe8d1c7f37,CFG731_175641fe8d1c7f37,G731ST-LT,38.617819338980375,1,153,13
RFQ731-000141,V8_EXTRACTED,True,G731ST-HT,CFG731_b7a7770d19b6f648,CFG731_e2d64e127f97296d,G731ST-HT,29.868514538543806,56,151,12
RFQ731-000142,V8_EXTRACTED,True,x731,CFG731_e3b7a52ea0694eb1,CFG731_9be0c5ce20280448,x731,19.259208871470562,3,1549,14
RFQ731-000143,V8_EXTRACTED,True,x731,CFG731_8e5ce09a779d2284,CFG731_91e51485b56960b2,x731,31.75050276002465,9,1549,14
RFQ731-000144,V8_EXTRACTED,True,x731,CFG731_2683cf7e09782f5e,CFG731_2683cf7e09782f5e,x731,32.473777270793114,1,1549,18
RFQ731-000145,V8_EXTRACTED,True,x731,CFG731_1d294b2de760852b,CFG731_fa2849b259355775,x731,31.23458788283229,6,1549,15
RFQ731-000146,V8_EXTRACTED,True,x731,CFG731_fd10dd35c97df399,CFG731_ebb861c404a79d91,x731,26.772764037077522,3,1549,16
RFQ731-000147,V8_EXTRACTED,True,x731,CFG731_b83ac25dbd4e47ee,CFG731_91e51485b56960b2,x731,36.15382403337966,5,1549,15
RFQ731-000148,V8_EXTRACTED,True,x731,CFG731_1b8054cb5a92e4fa,CFG731_04a53b6cc81d57d6,x731,22.094161974684905,29,1549,14
RFQ731-000149,V8_EXTRACTED,True,x731,CFG731_88a813121973f952,CFG731_e049618b920d59b6,x731,30.17347728931524,4,1549,17
RFQ731-000150,V8_EXTRACTED,True,x731,CFG731_ef02695e374fc418,CFG731_c39096767a7ae083,x731,37.110890470603174,4,1549,14
RFQ731-000151,V8_EXTRACTED,True,F731WD_DualChannel,CFG731_819cb4e76943eca6,CFG731_819cb4e76943eca6,F731WD_DualChannel,52.117191010861134,1,19,12
RFQ731-000152,V8_EXTRACTED,True,x731,CFG731_bd51fba2aacb1a3c,CFG731_fd3397424975992e,x731,24.931385558658683,6,1549,14
RFQ731-000153,V8_EXTRACTED,True,x731,CFG731_0fbee36816b7af98,CFG731_0fbee36816b7af98,x731,23.76176637080698,1,1549,17
RFQ731-000154,V8_EXTRACTED,True,G731CA,CFG731_24b3128196e55c23,CFG731_691a8f2ff165671d,G731CA,36.98926756786545,7,48,11
RFQ731-000155,V8_EXTRACTED,True,G731ST-LT,CFG731_00533f723f7496de,CFG731_750dd83a06ba43cb,G731ST-LT,28.835544533176805,12,153,15
RFQ731-000156,V8_EXTRACTED,True,x731,CFG731_91e51485b56960b2,CFG731_60f3aae8ede70fe0,x731,33.6210450652087,8,1549,18
RFQ731-000157,V8_EXTRACTED,True,x731,CFG731_97c654bf006e698e,CFG731_97c654bf006e698e,x731,32.49698220046957,1,1549,13
RFQ731-000158,V8_EXTRACTED,True,x731,CFG731_695e540255cc94da,CFG731_3b2a32abbf148ca1,x731,24.419771245281932,19,1549,13
RFQ731-000159,V8_EXTRACTED,True,x731,CFG731_fa6b5a7df55858c0,CFG731_e049618b920d59b6,x731,22.3465359075933,6,1549,16
RFQ731-000160,V8_EXTRACTED,True,x731,CFG731_5331dc313830f4cb,CFG731_a6d4830ed3aa2681,x731,31.563653554467866,8,1549,17
RFQ731-000161,V8_EXTRACTED,True,x731,CFG731_e201a8a6e4588b00,CFG731_9fcbeaf9d5010d3a,x731,26.960089223862674,5,1549,13
RFQ731-000162,V8_EXTRACTED,True,x731,CFG731_65da22cd215fbcf6,CFG731_5dd42015f6f61801,x731,33.92183124931348,4,1549,19
RFQ731-000163,V8_EXTRACTED,True,G731ST-LT,CFG731_49cd4cbef1081333,CFG731_e03b41992c837b34,G731ST-LT,33.53426434119674,5,153,14
RFQ731-000164,V8_EXTRACTED,True,x731,CFG731_9c182e1af1606c9d,CFG731_9c182e1af1606c9d,x731,28.497627909714506,1,1549,14
RFQ731-000165,V8_EXTRACTED,True,G731ST-HT,CFG731_00e033bb831be6d5,CFG731_6cc2f5d089c01baf,G731ST-HT,26.488779577485065,5,151,14
RFQ731-000166,V8_EXTRACTED,True,x731,CFG731_d0bd848c8f934b33,CFG731_f4856d563cc31f77,x731,23.33533300107139,15,1549,13
RFQ731-000167,V8_EXTRACTED,True,x731,CFG731_c41fd04f9eea78e7,CFG731_c41fd04f9eea78e7,x731,35.600610804115156,1,1549,13
RFQ731-000168,V8_EXTRACTED,True,x731,CFG731_6b36d25fda044bf5,CFG731_6b36d25fda044bf5,x731,36.966761992257254,1,1549,15
RFQ731-000169,V8_EXTRACTED,True,G731ST-HT,CFG731_b3ed2928d6d65710,CFG731_b3ed2928d6d65710,G731ST-HT,38.666895665384864,1,151,13
RFQ731-000170,V8_EXTRACTED,True,F731WD_SingleChannel,CFG731_e98d2be876599c40,CFG731_a7d2a5a9ae465701,F731WD_SingleChannel,49.572263448342184,3,10,13
RFQ731-000171,V8_EXTRACTED,True,F731PW,CFG731_956456fc074ebc5a,CFG731_a9f22ebc14287e5d,F731PW,12.570299099265993,3,15,10
RFQ731-000172,V8_EXTRACTED,True,x731,CFG731_9d1ffcce07240574,CFG731_219ac3d01befd6d1,x731,35.100049207690965,6,1549,16
RFQ731-000173,V8_EXTRACTED,True,G731ST-HT,CFG731_1b33a9ed446bc0fd,CFG731_b3ed2928d6d65710,G731ST-HT,29.39026530513509,10,151,9
