evidence_source,package,characteristic_a,characteristic_b,relationship_type,observed_state,sample_size,support_rate,package_coverage,global_mi,conditional_mi,evidence_strength,action,reason
source_observed_rule,F731PW,F731PW,protectionArea,package_to_characteristic,'2',20.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 20 observations.
source_observed_rule,F731PW,F731PW,stromEingaenge,package_to_characteristic,NOVALUE,20.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 20 observations.
source_observed_rule,F731PW,F731PW,temperaturEingaenge,package_to_characteristic,NOVALUE,20.0,1.0,1,,,HARD_SOURCE_OBSERVED,ENFORCE,Perfect observed support with 20 observations.
source_observed_rule,F731PW,F731PW,certification,package_to_characteristic,"in {'NN', 'WN'}",20.0,0.8,1,,,MODERATE_SOURCE_OBSERVED,WEIGHT,Observed support rate = 0.800; use as probabilistic evidence.
source_observed_rule,G731VG,G731VG,devCategory,package_to_characteristic,'G',4.0,1.0,1,,,MODERATE_SOURCE_OBSERVED,WEIGHT,Observed support rate = 1.000; use as probabilistic evidence.
source_observed_rule,G731VG,G731VG,characteristic,package_to_characteristic,'VG',4.0,1.0,1,,,MODERATE_SOURCE_OBSERVED,WEIGHT,Observed support rate = 1.000; use as probabilistic evidence.
source_observed_rule,G731VG,G731VG,housing,package_to_characteristic,"in {'ST', 'AL'}",4.0,1.0,1,,,MODERATE_SOURCE_OBSERVED,WEIGHT,Observed support rate = 1.000; use as probabilistic evidence.
source_observed_rule,G731VG,G731VG,powerSupply,package_to_characteristic,"in {'1', '4'}",4.0,1.0,1,,,MODERATE_SOURCE_OBSERVED,WEIGHT,Observed support rate = 1.000; use as probabilistic evidence.
source_observed_rule,G731VG,G731VG,numberOfChannels,package_to_characteristic,2,4.0,1.0,1,,,MODERATE_SOURCE_OBSERVED,WEIGHT,Observed support rate = 1.000; use as probabilistic evidence.
source_observed_rule,G731VG,G731VG,explosionApproval,package_to_characteristic,'F',4.0,1.0,1,,,MODERATE_SOURCE_OBSERVED,WEIGHT,Observed support rate = 1.000; use as probabilistic evidence.
source_observed_rule,G731VG,G731VG,protectionArea,package_to_characteristic,'2',4.0,1.0,1,,,MODERATE_SOURCE_OBSERVED,WEIGHT,Observed support rate = 1.000; use as probabilistic evidence.
source_observed_rule,G731VG,G731VG,certification,package_to_characteristic,'NN',4.0,1.0,1,,,MODERATE_SOURCE_OBSERVED,WEIGHT,Observed support rate = 1.000; use as probabilistic evidence.
conditional_dependency,,numberOfChannels,temperaturEingaenge,characteristic_to_characteristic,,,,2,0.1748549261734575,1.0,MODERATE_STATISTICAL_DEPENDENCY,WEIGHT,Moderate conditional dependency across 2/2 package contexts.
conditional_dependency,,powerSupply,certification,characteristic_to_characteristic,,,,2,0.920863636627075,0.9899343783255764,MODERATE_STATISTICAL_DEPENDENCY,WEIGHT,Moderate conditional dependency across 2/2 package contexts.
conditional_dependency,,dataInterface,binaerOpenColl_MP,characteristic_to_characteristic,,,,7,0.1843327513594479,0.4343031490350168,MODERATE_STATISTICAL_DEPENDENCY,WEIGHT,Moderate conditional dependency across 7/7 package contexts.
conditional_dependency,,stromSchaltbar,binaerOpenColl_MP,characteristic_to_characteristic,,,,4,0.2447829543025625,0.3819890180823463,MODERATE_STATISTICAL_DEPENDENCY,WEIGHT,Moderate conditional dependency across 4/7 package contexts.
conditional_dependency,,dataInterface,stromEingaenge,characteristic_to_characteristic,,,,5,0.3487157343189775,0.371819264943402,MODERATE_STATISTICAL_DEPENDENCY,WEIGHT,Moderate conditional dependency across 5/5 package contexts.
conditional_dependency,,dataInterface,binaerDigitalOpenColl_MN,characteristic_to_characteristic,,,,6,0.2014879408117824,0.3356749545848903,MODERATE_STATISTICAL_DEPENDENCY,WEIGHT,Moderate conditional dependency across 6/6 package contexts.
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,devCategory,package_to_characteristic,'F',12.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 12; not sufficient for hard enforcement."
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,characteristic,package_to_characteristic,'WD',12.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 12; not sufficient for hard enforcement."
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,housing,package_to_characteristic,"in {'ST', 'AL'}",12.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 12; not sufficient for hard enforcement."
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,numberOfChannels,package_to_characteristic,2,12.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 12; not sufficient for hard enforcement."
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,explosionApproval,package_to_characteristic,'N',12.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 12; not sufficient for hard enforcement."
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,protectionArea,package_to_characteristic,'N',12.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 12; not sufficient for hard enforcement."
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,temperaturEingaenge,package_to_characteristic,NOVALUE,12.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 12; not sufficient for hard enforcement."
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,devCategory,package_to_characteristic,'F',8.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 8; not sufficient for hard enforcement."
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,characteristic,package_to_characteristic,'WD',8.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 8; not sufficient for hard enforcement."
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,housing,package_to_characteristic,"in {'ST', 'AL'}",8.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 8; not sufficient for hard enforcement."
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,numberOfChannels,package_to_characteristic,1,8.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 8; not sufficient for hard enforcement."
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,explosionApproval,package_to_characteristic,'N',8.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 8; not sufficient for hard enforcement."
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,protectionArea,package_to_characteristic,'N',8.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 8; not sufficient for hard enforcement."
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,temperaturEingaenge,package_to_characteristic,NOVALUE,8.0,1.0,1,,,STRONG_SOURCE_OBSERVED_SMALL_SAMPLE,WEIGHT,"Perfect observed support, but sample size is only 8; not sufficient for hard enforcement."
conditional_dependency,,stromEingaenge,temperaturEingaenge,characteristic_to_characteristic,,,,3,2.1146917705843946,1.3721432882335731,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 3/4 package contexts.
conditional_dependency,,explosionApproval,certification,characteristic_to_characteristic,,,,6,1.2350153026194586,1.2658772982655218,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 6/6 package contexts.
conditional_dependency,,stromSchaltbar,stromEingaenge,characteristic_to_characteristic,,,,5,1.0374912097227131,0.8898616358649413,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 5/5 package contexts.
conditional_dependency,,explosionApproval,protectionArea,characteristic_to_characteristic,,,,5,0.9085336377223228,0.8692613471732754,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 5/5 package contexts.
conditional_dependency,,protectionArea,certification,characteristic_to_characteristic,,,,5,0.6418900085633701,0.788348797635386,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 5/5 package contexts.
conditional_dependency,,explosionApproval,dataInterface,characteristic_to_characteristic,,,,6,0.60770086749467,0.7722153226447407,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 6/6 package contexts.
conditional_dependency,,dataInterface,stromSchaltbar,characteristic_to_characteristic,,,,7,0.4485832420962645,0.739617610431394,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 7/7 package contexts.
conditional_dependency,,binaerDigitalOpenColl_MN,binaerOpenColl_MP,characteristic_to_characteristic,,,,6,0.8457266993965157,0.7111291822076686,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 6/6 package contexts.
conditional_dependency,,certification,dataInterface,characteristic_to_characteristic,,,,7,0.5675197873471658,0.6394877243579877,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 7/7 package contexts.
conditional_dependency,,stromSchaltbar,temperaturEingaenge,characteristic_to_characteristic,,,,4,0.9644060770183972,0.5787518622467174,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 4/5 package contexts.
conditional_dependency,,protectionArea,dataInterface,characteristic_to_characteristic,,,,5,0.4118004697431033,0.5335193469748619,STRONG_STATISTICAL_DEPENDENCY,WEIGHT,Conditional dependency remains meaningful across 5/5 package contexts.
source_observed_rule,x731,x731,devCategory,package_to_characteristic,'F',696.0,0.3276,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.328; insufficient evidence.
source_observed_rule,x731,x731,housing,package_to_characteristic,"in {'ST', 'AL'}",696.0,0.5833,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.583; insufficient evidence.
source_observed_rule,x731,x731,powerSupply,package_to_characteristic,"in {'1', '4'}",696.0,0.5833,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.583; insufficient evidence.
source_observed_rule,x731,x731,explosionApproval,package_to_characteristic,'N',696.0,0.3333,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.333; insufficient evidence.
source_observed_rule,x731,x731,protectionArea,package_to_characteristic,'2',696.0,0.6667,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.667; insufficient evidence.
source_observed_rule,x731,x731,certification,package_to_characteristic,'MN',696.0,0.4167,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.417; insufficient evidence.
source_observed_rule,x731,x731,dataInterface,package_to_characteristic,'HS',696.0,0.2759,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.276; insufficient evidence.
source_observed_rule,x731,x731,stromSchaltbar,package_to_characteristic,"in {NOVALUE, 'CS1', 'CS2'}",696.0,0.3448,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.345; insufficient evidence.
source_observed_rule,x731,x731,stromEingaenge,package_to_characteristic,NOVALUE,696.0,0.2414,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.241; insufficient evidence.
source_observed_rule,x731,x731,temperaturEingaenge,package_to_characteristic,"in {NOVALUE, 'TT1', 'TT2'}",696.0,0.2069,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.207; insufficient evidence.
source_observed_rule,G731ST-LT,G731ST-LT,explosionApproval,package_to_characteristic,'N',133.0,0.2857,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.286; insufficient evidence.
source_observed_rule,G731ST-LT,G731ST-LT,protectionArea,package_to_characteristic,'2',133.0,0.7143,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.714; insufficient evidence.
source_observed_rule,G731ST-LT,G731ST-LT,certification,package_to_characteristic,"in {'NN', 'WN'}",133.0,0.5714,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.571; insufficient evidence.
source_observed_rule,G731ST-LT,G731ST-LT,dataInterface,package_to_characteristic,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",133.0,0.3008,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.301; insufficient evidence.
source_observed_rule,G731ST-LT,G731ST-LT,stromSchaltbar,package_to_characteristic,"in {NOVALUE, 'CS1', 'CS2'}",133.0,0.3158,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.316; insufficient evidence.
source_observed_rule,G731ST-LT,G731ST-LT,stromEingaenge,package_to_characteristic,NOVALUE,133.0,0.3684,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.368; insufficient evidence.
source_observed_rule,G731ST-LT,G731ST-LT,temperaturEingaenge,package_to_characteristic,"in {NOVALUE, 'TT1', 'TT2'}",133.0,0.3158,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.316; insufficient evidence.
source_observed_rule,G731ST-HT,G731ST-HT,explosionApproval,package_to_characteristic,'N',133.0,0.2857,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.286; insufficient evidence.
source_observed_rule,G731ST-HT,G731ST-HT,protectionArea,package_to_characteristic,'2',133.0,0.7143,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.714; insufficient evidence.
source_observed_rule,G731ST-HT,G731ST-HT,certification,package_to_characteristic,"in {'NN', 'WN'}",133.0,0.5714,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.571; insufficient evidence.
source_observed_rule,G731ST-HT,G731ST-HT,dataInterface,package_to_characteristic,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",133.0,0.3008,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.301; insufficient evidence.
source_observed_rule,G731ST-HT,G731ST-HT,stromSchaltbar,package_to_characteristic,"in {NOVALUE, 'CS1', 'CS2'}",133.0,0.3158,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.316; insufficient evidence.
source_observed_rule,G731ST-HT,G731ST-HT,stromEingaenge,package_to_characteristic,NOVALUE,133.0,0.3684,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.368; insufficient evidence.
source_observed_rule,G731ST-HT,G731ST-HT,temperaturEingaenge,package_to_characteristic,"in {NOVALUE, 'TT1', 'TT2'}",133.0,0.3158,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.316; insufficient evidence.
source_observed_rule,F731TE,F731TE,numberOfChannels,package_to_characteristic,1,26.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731TE,F731TE,explosionApproval,package_to_characteristic,'N',26.0,0.3077,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.308; insufficient evidence.
source_observed_rule,F731TE,F731TE,protectionArea,package_to_characteristic,'2',26.0,0.6923,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.692; insufficient evidence.
source_observed_rule,F731TE,F731TE,certification,package_to_characteristic,"in {'NN', 'WN'}",26.0,0.4615,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.462; insufficient evidence.
source_observed_rule,F731TE,F731TE,dataInterface,package_to_characteristic,"in {'NN', 'PA', 'MR', 'FF', 'BM', 'HS'}",26.0,0.2308,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.231; insufficient evidence.
source_observed_rule,F731TE,F731TE,stromSchaltbar,package_to_characteristic,NOVALUE,26.0,0.3846,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.385; insufficient evidence.
source_observed_rule,F731TE,F731TE,temperaturEingaenge,package_to_characteristic,'TT2',26.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,G731CA,G731CA,numberOfChannels,package_to_characteristic,1,24.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,G731CA,G731CA,explosionApproval,package_to_characteristic,'N',24.0,0.25,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.250; insufficient evidence.
source_observed_rule,G731CA,G731CA,protectionArea,package_to_characteristic,'2',24.0,0.75,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.750; insufficient evidence.
source_observed_rule,G731CA,G731CA,certification,package_to_characteristic,"in {'NN', 'WN'}",24.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,G731CA,G731CA,dataInterface,package_to_characteristic,'HS',24.0,0.2917,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.292; insufficient evidence.
source_observed_rule,G731CA,G731CA,stromSchaltbar,package_to_characteristic,'CS2',24.0,0.6667,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.667; insufficient evidence.
source_observed_rule,G731CA,G731CA,stromEingaenge,package_to_characteristic,"in {'IS1', 'IS2'}",24.0,0.6667,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.667; insufficient evidence.
source_observed_rule,G731CA,G731CA,temperaturEingaenge,package_to_characteristic,'TT1',24.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731PW,F731PW,explosionApproval,package_to_characteristic,"in {'A', 'E', 'P', 'J', 'S'}",20.0,0.4,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.400; insufficient evidence.
source_observed_rule,F731PW,F731PW,dataInterface,package_to_characteristic,"in {'NN', 'MR', 'BM', 'FF', 'PA'}",20.0,0.2,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.200; insufficient evidence.
source_observed_rule,F731PW,F731PW,stromSchaltbar,package_to_characteristic,"in {'CS1', 'CS2', 'CS4'}",20.0,0.25,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.250; insufficient evidence.
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,powerSupply,package_to_characteristic,"in {'1', '4'}",12.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,certification,package_to_characteristic,"in {'NN', 'WN', 'FN'}",12.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,dataInterface,package_to_characteristic,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",12.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,stromSchaltbar,package_to_characteristic,'CS2',12.0,0.3333,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.333; insufficient evidence.
source_observed_rule,F731WD_DualChannel,F731WD_DualChannel,stromEingaenge,package_to_characteristic,"in {NOVALUE, 'IS1'}",12.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,powerSupply,package_to_characteristic,"in {'1', '4'}",8.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,certification,package_to_characteristic,"in {'NN', 'WN', 'FN'}",8.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,dataInterface,package_to_characteristic,'HS',8.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,stromSchaltbar,package_to_characteristic,'CS2',8.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,F731WD_SingleChannel,F731WD_SingleChannel,stromEingaenge,package_to_characteristic,"in {NOVALUE, 'IS1', 'IS2'}",8.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,G731VG,G731VG,dataInterface,package_to_characteristic,"in {'NN', 'MT', 'MR'}",4.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,G731VG,G731VG,stromSchaltbar,package_to_characteristic,'CS2',4.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,G731VG,G731VG,stromEingaenge,package_to_characteristic,'IS1',4.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
source_observed_rule,G731VG,G731VG,temperaturEingaenge,package_to_characteristic,'TT1',4.0,0.5,1,,,WEAK_SOURCE_OBSERVED,IGNORE,Observed support rate = 0.500; insufficient evidence.
conditional_dependency,,housing,certification,characteristic_to_characteristic,,,,1,0.8480179054769685,0.9798687566511528,WEAK_STATISTICAL_DEPENDENCY,IGNORE,Insufficient package coverage or conditional MI.
conditional_dependency,,housing,powerSupply,characteristic_to_characteristic,,,,1,0.8480179054769685,0.9798687566511528,WEAK_STATISTICAL_DEPENDENCY,IGNORE,Insufficient package coverage or conditional MI.
conditional_dependency,,devCategory,temperaturEingaenge,characteristic_to_characteristic,,,,1,0.7326262863687178,0.9293636260137188,WEAK_STATISTICAL_DEPENDENCY,IGNORE,Insufficient package coverage or conditional MI.
conditional_dependency,,devCategory,stromEingaenge,characteristic_to_characteristic,,,,1,0.6924927405449879,0.9293636260137188,WEAK_STATISTICAL_DEPENDENCY,IGNORE,Insufficient package coverage or conditional MI.
conditional_dependency,,devCategory,customUserFluid,characteristic_to_characteristic,,,,1,0.5372853339772234,0.9293636260137188,WEAK_STATISTICAL_DEPENDENCY,IGNORE,Insufficient package coverage or conditional MI.
