characteristic,phrase,occurrence_count,unique_rfqs,internal_value_count,value_variants,characteristic_evidence_score,evidence_level
binaerDigitalOpenColl_MN,we require a digital open-collector,141,141,1,MN1,70.5,VERY_STRONG
binaerDigitalOpenColl_MN,must,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,must provide,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,proposed,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,proposed solution,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,proposed solution must,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,proposed solution must provide,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,solution,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,solution must,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,solution must provide,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,the proposed,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,the proposed solution,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,the proposed solution must,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,the proposed solution must provide,273,273,3,MN1|MN2|MN4,68.25,VERY_STRONG
binaerDigitalOpenColl_MN,available we would like a,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,like a,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,like a digital,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,like a digital open-collector,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,like a digital open-collector input,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,we would like a,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,we would like a digital,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,would like a,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,would like a digital,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,would like a digital open-collector,136,136,1,MN1,68.0,VERY_STRONG
binaerDigitalOpenColl_MN,application requires a,135,135,1,MN1,67.5,VERY_STRONG
binaerDigitalOpenColl_MN,application requires a digital,135,135,1,MN1,67.5,VERY_STRONG
binaerDigitalOpenColl_MN,application requires a digital open-collector,135,135,1,MN1,67.5,VERY_STRONG
binaerDigitalOpenColl_MN,requires a digital,135,135,1,MN1,67.5,VERY_STRONG
binaerDigitalOpenColl_MN,requires a digital open-collector,135,135,1,MN1,67.5,VERY_STRONG
binaerDigitalOpenColl_MN,requires a digital open-collector input,135,135,1,MN1,67.5,VERY_STRONG
binaerDigitalOpenColl_MN,the application requires a,135,135,1,MN1,67.5,VERY_STRONG
binaerDigitalOpenColl_MN,the application requires a digital,135,135,1,MN1,67.5,VERY_STRONG
binaerDigitalOpenColl_MN,a preferred,256,256,3,MN1|MN2|MN4,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,a preferred option,256,256,3,MN1|MN2|MN4,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,application requires digital,128,128,1,MN1,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,application requires digital signal,128,128,1,MN1,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,application requires digital signal input,128,128,1,MN1,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,as a,256,256,3,MN1|MN2|MN4,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,as a preferred,256,256,3,MN1|MN2|MN4,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,as a preferred option,256,256,3,MN1|MN2|MN4,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,consider,256,256,3,MN1|MN2|MN4,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,please consider,256,256,3,MN1|MN2|MN4,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,preferred,256,256,3,MN1|MN2|MN4,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,preferred option,256,256,3,MN1|MN2|MN4,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,requires digital,128,128,1,MN1,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,requires digital signal,128,128,1,MN1,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,requires digital signal input,128,128,1,MN1,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,requires digital signal input capability,128,128,1,MN1,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,the application requires digital,128,128,1,MN1,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,the application requires digital signal,128,128,1,MN1,64.0,VERY_STRONG
binaerDigitalOpenColl_MN,must provide a,127,127,1,MN1,63.5,VERY_STRONG
binaerDigitalOpenColl_MN,must provide a digital,127,127,1,MN1,63.5,VERY_STRONG
binaerDigitalOpenColl_MN,must provide a digital open-collector,127,127,1,MN1,63.5,VERY_STRONG
binaerDigitalOpenColl_MN,proposed solution must provide a,127,127,1,MN1,63.5,VERY_STRONG
binaerDigitalOpenColl_MN,solution must provide a,127,127,1,MN1,63.5,VERY_STRONG
binaerDigitalOpenColl_MN,solution must provide a digital,127,127,1,MN1,63.5,VERY_STRONG
binaerDigitalOpenColl_MN,is required to support digital,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,required to support digital,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,required to support digital signal,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,support digital,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,support digital signal,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,support digital signal input,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,support digital signal input capability,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,to support digital,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,to support digital signal,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,to support digital signal input,126,126,1,MN1,63.0,VERY_STRONG
binaerDigitalOpenColl_MN,available we would like digital,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,like digital,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,like digital signal,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,like digital signal input,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,like digital signal input capability,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,we would like digital,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,we would like digital signal,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,would like digital,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,would like digital signal,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,would like digital signal input,125,125,1,MN1,62.5,VERY_STRONG
binaerDigitalOpenColl_MN,if possible,246,246,3,MN1|MN2|MN4,61.5,VERY_STRONG
binaerDigitalOpenColl_MN,if possible please,246,246,3,MN1|MN2|MN4,61.5,VERY_STRONG
binaerDigitalOpenColl_MN,if possible please provide,246,246,3,MN1|MN2|MN4,61.5,VERY_STRONG
binaerDigitalOpenColl_MN,possible,246,246,3,MN1|MN2|MN4,61.5,VERY_STRONG
binaerDigitalOpenColl_MN,possible please,246,246,3,MN1|MN2|MN4,61.5,VERY_STRONG
binaerDigitalOpenColl_MN,possible please provide,246,246,3,MN1|MN2|MN4,61.5,VERY_STRONG
binaerDigitalOpenColl_MN,binaerdigitalopencoll,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,binaerdigitalopencoll mn,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,binaerdigitalopencoll mn configuration,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,configuration,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,mn configuration,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,must provide digital,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,must provide digital signal,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,must provide digital signal input,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,proposed solution must provide digital,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,require digital,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,require digital signal,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,require digital signal input,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,require digital signal input capability,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,required binaerdigitalopencoll,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,required binaerdigitalopencoll mn,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,required binaerdigitalopencoll mn configuration,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,solution must provide digital,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,solution must provide digital signal,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,the required binaerdigitalopencoll,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,the required binaerdigitalopencoll mn,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,the required binaerdigitalopencoll mn configuration,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,the required binaerdigitalopencoll_mn configuration,183,183,2,MN2|MN4,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,we require digital,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,we require digital signal,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,we require digital signal input,122,122,1,MN1,61.0,VERY_STRONG
binaerDigitalOpenColl_MN,if possible please provide a,116,116,1,MN1,58.0,VERY_STRONG
binaerDigitalOpenColl_MN,please provide a digital,116,116,1,MN1,58.0,VERY_STRONG
binaerDigitalOpenColl_MN,please provide a digital open-collector,116,116,1,MN1,58.0,VERY_STRONG
binaerDigitalOpenColl_MN,possible please provide a,116,116,1,MN1,58.0,VERY_STRONG
binaerDigitalOpenColl_MN,possible please provide a digital,116,116,1,MN1,58.0,VERY_STRONG
binaerDigitalOpenColl_MN,a digital open-collector input as,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,consider a,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,consider a digital,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,consider a digital open-collector,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,consider a digital open-collector input,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,digital open-collector input as,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,digital open-collector input as a,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,input as,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,input as a,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,input as a preferred,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,input as a preferred option,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,open-collector input as,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,open-collector input as a,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,open-collector input as a preferred,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,please consider a,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,please consider a digital,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,please consider a digital open-collector,115,115,1,MN1,57.5,VERY_STRONG
binaerDigitalOpenColl_MN,prefer,228,228,3,MN1|MN2|MN4,57.0,VERY_STRONG
binaerDigitalOpenColl_MN,we would prefer,228,228,3,MN1|MN2|MN4,57.0,VERY_STRONG
binaerDigitalOpenColl_MN,would prefer,228,228,3,MN1|MN2|MN4,57.0,VERY_STRONG
binaerDigitalOpenColl_MN,capability as,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,capability as a,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,capability as a preferred,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,capability as a preferred option,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,consider digital,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,consider digital signal,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,consider digital signal input,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,consider digital signal input capability,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,digital signal input capability as,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,input capability as,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,input capability as a,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,input capability as a preferred,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,please consider digital,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,please consider digital signal,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,please consider digital signal input,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,signal input capability as,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,signal input capability as a,111,111,1,MN1,55.5,VERY_STRONG
binaerDigitalOpenColl_MN,prefer digital,110,110,1,MN1,55.0,VERY_STRONG
binaerDigitalOpenColl_MN,prefer digital signal,110,110,1,MN1,55.0,VERY_STRONG
binaerDigitalOpenColl_MN,prefer digital signal input,110,110,1,MN1,55.0,VERY_STRONG
binaerDigitalOpenColl_MN,prefer digital signal input capability,110,110,1,MN1,55.0,VERY_STRONG
binaerDigitalOpenColl_MN,we would prefer digital,110,110,1,MN1,55.0,VERY_STRONG
binaerDigitalOpenColl_MN,we would prefer digital signal,110,110,1,MN1,55.0,VERY_STRONG
binaerDigitalOpenColl_MN,would prefer digital,110,110,1,MN1,55.0,VERY_STRONG
binaerDigitalOpenColl_MN,would prefer digital signal,110,110,1,MN1,55.0,VERY_STRONG
binaerDigitalOpenColl_MN,would prefer digital signal input,110,110,1,MN1,55.0,VERY_STRONG
binaerDigitalOpenColl_MN,if possible please provide digital,109,109,1,MN1,54.5,VERY_STRONG
binaerDigitalOpenColl_MN,please provide digital,109,109,1,MN1,54.5,VERY_STRONG
binaerDigitalOpenColl_MN,please provide digital signal,109,109,1,MN1,54.5,VERY_STRONG
binaerDigitalOpenColl_MN,please provide digital signal input,109,109,1,MN1,54.5,VERY_STRONG
binaerDigitalOpenColl_MN,possible please provide digital,109,109,1,MN1,54.5,VERY_STRONG
binaerDigitalOpenColl_MN,possible please provide digital signal,109,109,1,MN1,54.5,VERY_STRONG
binaerDigitalOpenColl_MN,prefer a,95,95,1,MN1,47.5,STRONG
binaerDigitalOpenColl_MN,prefer a digital,95,95,1,MN1,47.5,STRONG
binaerDigitalOpenColl_MN,prefer a digital open-collector,95,95,1,MN1,47.5,STRONG
binaerDigitalOpenColl_MN,prefer a digital open-collector input,95,95,1,MN1,47.5,STRONG
binaerDigitalOpenColl_MN,we would prefer a,95,95,1,MN1,47.5,STRONG
binaerDigitalOpenColl_MN,we would prefer a digital,95,95,1,MN1,47.5,STRONG
binaerDigitalOpenColl_MN,would prefer a,95,95,1,MN1,47.5,STRONG
binaerDigitalOpenColl_MN,would prefer a digital,95,95,1,MN1,47.5,STRONG
binaerDigitalOpenColl_MN,would prefer a digital open-collector,95,95,1,MN1,47.5,STRONG
binaerDigitalOpenColl_MN,provide the required binaerdigitalopencoll,45,45,2,MN2|MN4,15.0,MODERATE
binaerDigitalOpenColl_MN,provide the required binaerdigitalopencoll mn,45,45,2,MN2|MN4,15.0,MODERATE
binaerDigitalOpenColl_MN,binaerdigitalopencoll mn configuration as,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,binaerdigitalopencoll mn configuration as a,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,configuration as,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,configuration as a,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,configuration as a preferred,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,configuration as a preferred option,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,consider the,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,consider the required,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,consider the required binaerdigitalopencoll,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,consider the required binaerdigitalopencoll mn,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,mn configuration as,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,mn configuration as a,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,mn configuration as a preferred,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,please consider the,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,please consider the required,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,please consider the required binaerdigitalopencoll,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,required binaerdigitalopencoll mn configuration as,30,30,2,MN2|MN4,10.0,MODERATE
binaerDigitalOpenColl_MN,must provide the,24,24,2,MN2|MN4,8.0,MODERATE
binaerDigitalOpenColl_MN,must provide the required,24,24,2,MN2|MN4,8.0,MODERATE
binaerDigitalOpenColl_MN,must provide the required binaerdigitalopencoll,24,24,2,MN2|MN4,8.0,MODERATE
binaerDigitalOpenColl_MN,proposed solution must provide the,24,24,2,MN2|MN4,8.0,MODERATE
binaerDigitalOpenColl_MN,solution must provide the,24,24,2,MN2|MN4,8.0,MODERATE
binaerDigitalOpenColl_MN,solution must provide the required,24,24,2,MN2|MN4,8.0,MODERATE
binaerDigitalOpenColl_MN,available we would like the,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,like the,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,like the required,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,like the required binaerdigitalopencoll,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,like the required binaerdigitalopencoll mn,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,prefer the,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,prefer the required,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,prefer the required binaerdigitalopencoll,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,prefer the required binaerdigitalopencoll mn,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,we would like the,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,we would like the required,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,we would prefer the,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,we would prefer the required,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,would like the,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,would like the required,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,would like the required binaerdigitalopencoll,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,would prefer the,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,would prefer the required,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,would prefer the required binaerdigitalopencoll,23,23,2,MN2|MN4,7.666666666666667,MODERATE
binaerDigitalOpenColl_MN,require the required binaerdigitalopencoll,22,22,2,MN2|MN4,7.333333333333333,MODERATE
binaerDigitalOpenColl_MN,require the required binaerdigitalopencoll mn,22,22,2,MN2|MN4,7.333333333333333,MODERATE
binaerDigitalOpenColl_MN,we require the,22,22,2,MN2|MN4,7.333333333333333,MODERATE
binaerDigitalOpenColl_MN,we require the required,22,22,2,MN2|MN4,7.333333333333333,MODERATE
binaerDigitalOpenColl_MN,we require the required binaerdigitalopencoll,22,22,2,MN2|MN4,7.333333333333333,MODERATE
binaerDigitalOpenColl_MN,application requires the,21,21,2,MN2|MN4,7.0,MODERATE
binaerDigitalOpenColl_MN,application requires the required,21,21,2,MN2|MN4,7.0,MODERATE
binaerDigitalOpenColl_MN,application requires the required binaerdigitalopencoll,21,21,2,MN2|MN4,7.0,MODERATE
binaerDigitalOpenColl_MN,if possible please provide the,21,21,2,MN2|MN4,7.0,MODERATE
binaerDigitalOpenColl_MN,please provide the required binaerdigitalopencoll,21,21,2,MN2|MN4,7.0,MODERATE
binaerDigitalOpenColl_MN,possible please provide the,21,21,2,MN2|MN4,7.0,MODERATE
binaerDigitalOpenColl_MN,possible please provide the required,21,21,2,MN2|MN4,7.0,MODERATE
binaerDigitalOpenColl_MN,requires the required binaerdigitalopencoll,21,21,2,MN2|MN4,7.0,MODERATE
binaerDigitalOpenColl_MN,requires the required binaerdigitalopencoll mn,21,21,2,MN2|MN4,7.0,MODERATE
