rfq_id,target_package,predicted_package,true_configuration_id,predicted_configuration_id,true_score,predicted_score,score_difference_predicted_minus_true,exact_id_match,same_technical_signature,same_package,technical_equivalent,package_technical_equivalent,top1_case_category,num_changed_characteristics,changed_characteristics,technical_equivalent_rank,package_technical_equivalent_rank,exact_id_rank
RFQ731-000027,x731,x731,CFG731_59f86789e43d86f1,CFG731_59f86789e43d86f1,23.11716703108541,23.11716703108541,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000028,G731ST-HT,G731ST-HT,CFG731_8b18ac1c34209d63,CFG731_8b18ac1c34209d63,28.09435905711236,28.09435905711236,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000029,x731,x731,CFG731_ff3460f478ef969b,CFG731_8d2d91c46ccfb471,23.662812691181635,23.662812691181635,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,stromSchaltbar,2.0,2.0,2.0
RFQ731-000030,G731ST-HT,G731ST-HT,CFG731_c759934398f2381a,CFG731_eb70dc35972dc4b7,24.904484207716184,24.904484207716184,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,binaerDigitalOpenColl_MN,2.0,2.0,2.0
RFQ731-000031,x731,x731,CFG731_b7fc2f4bee7659de,CFG731_5f9d5671c315ce06,20.295728992317635,20.295728992317635,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,temperaturEingaenge,4.0,4.0,4.0
RFQ731-000032,x731,x731,CFG731_dc2dca106a6c63c6,CFG731_dc2dca106a6c63c6,18.312053794493757,18.312053794493757,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000033,G731CA,G731CA,CFG731_faff6da73df00950,CFG731_faff6da73df00950,33.9910632327716,33.9910632327716,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000034,G731CA,G731CA,CFG731_9cc92f888af32c8a,CFG731_5bfe9492c76587ec,25.557947050597736,25.557947050597736,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|binaerDigitalOpenColl_MN,2.0,2.0,2.0
RFQ731-000035,G731ST-LT,G731ST-LT,CFG731_77fac91021549398,CFG731_87d8ba5b87cf0a3f,22.1571212140856,22.1571212140856,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,temperaturEingaenge|binaerDigitalOpenColl_MN,3.0,3.0,3.0
RFQ731-000036,G731ST-HT,G731ST-HT,CFG731_b46f92852addf866,CFG731_7c70763d4cf79560,25.05446228018259,25.05446228018259,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,stromEingaenge,3.0,3.0,3.0
RFQ731-000037,x731,x731,CFG731_1b5b895b5e259903,CFG731_1b5b895b5e259903,23.62359653228389,23.62359653228389,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000038,x731,x731,CFG731_04d60387371e1885,CFG731_04d60387371e1885,22.475336170575464,22.475336170575464,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000039,F731WD_DualChannel,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,36.30115881302178,36.30115881302178,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000040,x731,x731,CFG731_f7f0034a8b15f329,CFG731_f7f0034a8b15f329,23.38311179663129,23.38311179663129,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000041,G731ST-HT,G731ST-HT,CFG731_d71a39e1fcf17083,CFG731_1a1206cc52132df1,24.97652934108743,24.97652934108743,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,stromSchaltbar,4.0,4.0,4.0
RFQ731-000042,x731,x731,CFG731_8e5ce09a779d2284,CFG731_91e51485b56960b2,19.749176238335373,19.749176238335373,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,3,stromSchaltbar|stromEingaenge|temperaturEingaenge,2.0,2.0,2.0
RFQ731-000043,x731,x731,CFG731_78ea99817ca8be6a,CFG731_12089d5d54f581ac,17.94564785417283,17.94564785417283,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,binaerDigitalOpenColl_MN,10.0,10.0,10.0
RFQ731-000044,x731,x731,CFG731_c52f7eb3e0603707,CFG731_219ac3d01befd6d1,20.56894865017536,20.56894865017536,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|customUserFluid,3.0,3.0,3.0
RFQ731-000045,F731WD_SingleChannel,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,30.762456252706688,30.762456252706688,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000046,x731,x731,CFG731_5e0166a160f3ed77,CFG731_70a71b60723e910d,19.057670306140743,19.057670306140743,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromEingaenge|customUserFluid,7.0,7.0,7.0
RFQ731-000047,x731,x731,CFG731_8e97bb2bec352a2c,CFG731_3b2a32abbf148ca1,21.451333765258923,21.451333765258923,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromEingaenge|temperaturEingaenge,3.0,3.0,3.0
RFQ731-000048,G731ST-LT,G731ST-LT,CFG731_8b6ed3cfa9ed1e59,CFG731_8b6ed3cfa9ed1e59,25.88427072102424,25.88427072102424,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000049,x731,x731,CFG731_700e5b0584a9b0fc,CFG731_700e5b0584a9b0fc,18.57322755993931,18.57322755993931,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000050,F731WD_DualChannel,F731WD_DualChannel,CFG731_37e3938c6089bb2d,CFG731_819cb4e76943eca6,23.304019990790596,23.304019990790596,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|binaerOpenColl_MP,2.0,2.0,2.0
RFQ731-000051,F731TE,F731TE,CFG731_0c3b33750ffab3ac,CFG731_0c3b33750ffab3ac,31.343400174165414,31.343400174165414,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000052,x731,x731,CFG731_fa6b5a7df55858c0,CFG731_0db950a4979d2c52,23.16127590853137,23.16127590853137,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,stromSchaltbar,2.0,2.0,2.0
RFQ731-000053,x731,x731,CFG731_1cbb464ec15ba84f,CFG731_1cbb464ec15ba84f,22.097653614466537,22.097653614466537,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000054,G731CA,G731CA,CFG731_e85a7fcdd0521e90,CFG731_e85a7fcdd0521e90,21.84453250899616,21.84453250899616,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000055,F731TE,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,33.41309765756593,33.41309765756593,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000056,G731ST-LT,G731ST-LT,CFG731_d5af433b36265df1,CFG731_d5af433b36265df1,25.64301101461933,25.64301101461933,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000057,x731,x731,CFG731_d61788aab0d61e0f,CFG731_2683cf7e09782f5e,21.56030578871836,21.56030578871836,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,customUserFluid,2.0,2.0,2.0
RFQ731-000058,F731WD_SingleChannel,F731WD_SingleChannel,CFG731_400b0d973c930668,CFG731_70b6eaf9262ca4d0,21.75786055230172,21.75786055230172,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|binaerOpenColl_MP,2.0,2.0,2.0
RFQ731-000059,G731VG,G731VG,CFG731_6a47b38d62a9fed3,CFG731_6a47b38d62a9fed3,38.92475428030488,38.92475428030488,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000060,x731,x731,CFG731_4e7f75dd9496e7b1,CFG731_4e7f75dd9496e7b1,22.246308921278228,22.246308921278228,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000061,x731,x731,CFG731_15f034f7c265528f,CFG731_8c50542218db5cb0,22.126385525093088,22.126385525093088,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,temperaturEingaenge,2.0,2.0,2.0
RFQ731-000062,F731TE,F731TE,CFG731_090330aa38b8e80b,CFG731_090330aa38b8e80b,41.75183379650011,41.75183379650011,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000063,x731,x731,CFG731_79377060f99f59f3,CFG731_79377060f99f59f3,23.22495003934884,23.22495003934884,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000064,F731PW,F731PW,CFG731_327bfa077bbbd45e,CFG731_327bfa077bbbd45e,34.78332108077815,34.78332108077815,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000065,x731,x731,CFG731_f57ccd8e79618aa1,CFG731_91e51485b56960b2,19.184721888431515,19.184721888431515,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,3,stromSchaltbar|temperaturEingaenge|binaerDigitalOpenColl_MN,3.0,3.0,3.0
RFQ731-000066,F731TE,F731TE,CFG731_a72f99e8160efda6,CFG731_a72f99e8160efda6,39.06972717643011,39.06972717643011,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000067,x731,x731,CFG731_31c4aded40f9387f,CFG731_31c4aded40f9387f,23.26146190494089,23.26146190494089,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000068,x731,x731,CFG731_04e7216b1ba7f935,CFG731_1f978c234895178c,19.53791160601119,19.53791160601119,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|temperaturEingaenge,6.0,6.0,6.0
RFQ731-000069,x731,x731,CFG731_95e2d680672ff303,CFG731_95e2d680672ff303,22.19745234740874,22.19745234740874,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000070,x731,x731,CFG731_5a8170a3daa0efb9,CFG731_5a8170a3daa0efb9,23.425306860834265,23.425306860834265,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000071,G731CA,G731CA,CFG731_19f7d73d8e42e7bd,CFG731_19ec976991ce75a9,23.50282974726883,23.50282974726883,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|binaerDigitalOpenColl_MN,2.0,2.0,2.0
RFQ731-000072,x731,x731,CFG731_d9234c84a58b99ae,CFG731_d9234c84a58b99ae,21.435939795821504,21.435939795821504,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000073,x731,x731,CFG731_1c1fb7a32bf0146b,CFG731_31aa13473958d7d3,21.423177487183047,21.423177487183047,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromEingaenge|temperaturEingaenge,2.0,2.0,2.0
RFQ731-000074,G731ST-LT,G731ST-LT,CFG731_7994662aa688a3b5,CFG731_0029021d98da4557,23.66231649659764,23.66231649659764,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,binaerDigitalOpenColl_MN,4.0,4.0,4.0
RFQ731-000075,x731,x731,CFG731_fa2849b259355775,CFG731_fa2849b259355775,22.969309299781035,22.969309299781035,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000076,F731WD_SingleChannel,F731WD_SingleChannel,CFG731_a7d2a5a9ae465701,CFG731_a7d2a5a9ae465701,34.90497744699932,34.90497744699932,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000077,x731,x731,CFG731_a385518a9f31baa0,CFG731_a385518a9f31baa0,21.87732419972128,21.87732419972128,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000078,F731PW,F731PW,CFG731_5995fa9fd5d1242f,CFG731_5995fa9fd5d1242f,34.211841562547065,34.211841562547065,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000079,x731,x731,CFG731_6472ab3bf7316498,CFG731_8c8856d21252930e,21.002259722229663,21.002259722229663,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,binaerOpenColl_MP,3.0,3.0,3.0
RFQ731-000080,x731,x731,CFG731_4fe142d593643ab8,CFG731_4fe142d593643ab8,21.028220012767903,21.028220012767903,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000081,G731ST-LT,G731ST-LT,CFG731_a54fd8962307be18,CFG731_ae2e4cfccaff4f50,,22.136190922425957,,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromEingaenge|binaerDigitalOpenColl_MN,,,
RFQ731-000082,x731,x731,CFG731_90035585549005ff,CFG731_226e375c4e7aa2a0,18.255104720456977,18.255104720456977,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|dev_advMeterVerification,7.0,7.0,7.0
RFQ731-000083,F731TE,F731TE,CFG731_574aa7a29f75cd60,CFG731_574aa7a29f75cd60,35.46079387870506,35.46079387870506,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000084,x731,x731,CFG731_5be5a82ac0b29989,CFG731_5be5a82ac0b29989,22.247869374211067,22.247869374211067,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000085,x731,x731,CFG731_0aa987e1ae960c88,CFG731_0aa987e1ae960c88,21.53896047256257,21.53896047256257,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000086,G731CA,G731CA,CFG731_d3d0547b464f691d,CFG731_d3d0547b464f691d,24.986467532366643,24.986467532366643,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000087,x731,x731,CFG731_6d44172bc82c7ed7,CFG731_6d44172bc82c7ed7,21.311039687399248,21.311039687399248,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000088,G731ST-HT,G731ST-HT,CFG731_0ce13abf777d04f9,CFG731_63eca10a00ae1f5d,27.240678629717,27.240678629717,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,temperaturEingaenge,2.0,2.0,2.0
RFQ731-000089,x731,x731,CFG731_4340f11ba9a46e42,CFG731_9fcbeaf9d5010d3a,20.32403734037662,20.32403734037662,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,temperaturEingaenge,3.0,3.0,3.0
RFQ731-000090,x731,x731,CFG731_260c36430f7c2d03,CFG731_260c36430f7c2d03,24.010745481975945,24.010745481975945,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000091,G731ST-LT,G731ST-LT,CFG731_e6c0885eb14e429c,CFG731_e6c0885eb14e429c,25.926465785227208,25.926465785227208,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000092,x731,x731,CFG731_a7a446c7f3b3183f,CFG731_a7a446c7f3b3183f,22.821030946600125,22.821030946600125,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000093,x731,x731,CFG731_7f6c0412b6d497fb,CFG731_8f470181ad32eeae,22.850360538077144,22.850360538077144,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromEingaenge|customUserFluid,3.0,3.0,3.0
RFQ731-000094,G731CA,G731CA,CFG731_0738cd529389f266,CFG731_0738cd529389f266,31.9359459294427,31.9359459294427,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000095,x731,x731,CFG731_235ee3a364b5b6ec,CFG731_2a8793475d827bb6,19.19786233084901,19.19786233084901,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|binaerDigitalOpenColl_MN,7.0,7.0,7.0
RFQ731-000096,G731ST-LT,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,26.013318501830994,26.013318501830994,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000097,x731,x731,CFG731_78ea99817ca8be6a,CFG731_12089d5d54f581ac,17.94564785417283,17.94564785417283,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,binaerDigitalOpenColl_MN,10.0,10.0,10.0
RFQ731-000098,G731ST-HT,G731ST-HT,CFG731_dde2f7fe043f7ade,CFG731_a3b03637ed22317c,26.845086059325325,26.845086059325325,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,stromEingaenge,2.0,2.0,2.0
RFQ731-000099,x731,x731,CFG731_917fc613cc9bf56a,CFG731_7ffc09802c7b60bf,20.037649239561134,20.037649239561134,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,temperaturEingaenge|dev_advMeterVerification,2.0,2.0,2.0
RFQ731-000100,F731WD_DualChannel,F731WD_DualChannel,CFG731_35ed22cad11f9a11,CFG731_35ed22cad11f9a11,36.45113688548819,36.45113688548819,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000101,F731WD_DualChannel,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,36.30115881302178,36.30115881302178,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000102,x731,x731,CFG731_7afa5501026394f9,CFG731_7afa5501026394f9,21.63650917233036,21.63650917233036,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000103,x731,x731,CFG731_6942facbe6ebb88b,CFG731_7521d5a6673c8628,18.89412908865333,18.89412908865333,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,dynamicGasMaster|customUserFluid,7.0,7.0,7.0
RFQ731-000104,G731CA,G731CA,CFG731_d3d0547b464f691d,CFG731_d3d0547b464f691d,24.986467532366643,24.986467532366643,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000105,G731ST-LT,G731ST-LT,CFG731_098817d766a37bc2,CFG731_a40ab19ad6671fbe,25.53087321483553,25.53087321483553,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,stromEingaenge,2.0,2.0,2.0
RFQ731-000106,F731WD_SingleChannel,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,30.762456252706688,30.762456252706688,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000107,x731,x731,CFG731_b3506a753aafcfa3,CFG731_b3506a753aafcfa3,19.60419424824873,19.60419424824873,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000108,x731,x731,CFG731_cf4bb519cec0df2f,CFG731_cf4bb519cec0df2f,22.206915178997583,22.206915178997583,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000109,x731,x731,CFG731_8d78781f8753b72a,CFG731_8d78781f8753b72a,23.16094095540965,23.16094095540965,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000110,x731,x731,CFG731_187ec74b5c4854aa,CFG731_c3481d11b658e1e9,21.469472408382405,21.469472408382405,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,1,dev_advMeterVerification,3.0,3.0,3.0
RFQ731-000111,x731,x731,CFG731_2e5bd0d53757f625,CFG731_2e5bd0d53757f625,20.50658751141085,20.50658751141085,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000112,x731,x731,CFG731_6084e24782dc3f55,CFG731_cd4f211fbf872f2e,19.363709512596134,19.363709512596134,0.0,0,0,1,0,0,EXTRA_OPTIONAL_FEATURES,2,stromSchaltbar|customUserFluid,6.0,6.0,6.0
RFQ731-000113,F731WD_SingleChannel,F731WD_SingleChannel,CFG731_4ca309199387f8d5,CFG731_4ca309199387f8d5,30.61247818024028,30.61247818024028,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
RFQ731-000114,x731,x731,CFG731_7bb5689e4b06bfe5,CFG731_7bb5689e4b06bfe5,22.927825164337264,22.927825164337264,0.0,1,1,1,1,1,EXACT_ID_MATCH,0,,1.0,1.0,1.0
