rfq_id,target_package,true_rank,top1,top3,top5,top10,reciprocal_rank,recommended_configuration_id,recommended_package,recommended_score,true_configuration_ids,mode,package_aware
RFQ731-000031,x731,36,0,0,0,0,0.027777777777777776,CFG731_4346df46838fd57e,x731,30.80658512794765,CFG731_b7fc2f4bee7659de,V8_EXTRACTED,False
RFQ731-000032,x731,144,0,0,0,0,0.006944444444444444,CFG731_140a9819128d92da,x731,31.829606926530722,CFG731_dc2dca106a6c63c6,V8_EXTRACTED,False
RFQ731-000033,G731CA,6,0,0,0,1,0.16666666666666666,CFG731_b97ce0f180acf155,G731CA,41.79265282817092,CFG731_faff6da73df00950,V8_EXTRACTED,False
RFQ731-000034,G731CA,17,0,0,0,0,0.058823529411764705,CFG731_5bfe9492c76587ec,G731CA,26.378772745205335,CFG731_9cc92f888af32c8a,V8_EXTRACTED,False
RFQ731-000035,G731ST-LT,3,0,1,1,1,0.3333333333333333,CFG731_87d8ba5b87cf0a3f,G731ST-LT,27.248988133170112,CFG731_77fac91021549398,V8_EXTRACTED,False
RFQ731-000036,G731ST-HT,121,0,0,0,0,0.008264462809917356,CFG731_c32627af59ba1526,G731ST-HT,30.061640711406085,CFG731_b46f92852addf866,V8_EXTRACTED,False
RFQ731-000037,x731,41,0,0,0,0,0.024390243902439025,CFG731_b7e47b5e3ac0c072,x731,33.13930793807229,CFG731_1b5b895b5e259903,V8_EXTRACTED,False
RFQ731-000038,x731,1,1,1,1,1,1.0,CFG731_04d60387371e1885,x731,42.98731150918057,CFG731_04d60387371e1885,V8_EXTRACTED,False
RFQ731-000039,F731WD_DualChannel,1,1,1,1,1,1.0,CFG731_a4610f5f38e7d946,F731WD_DualChannel,50.236689969644374,CFG731_a4610f5f38e7d946,V8_EXTRACTED,False
RFQ731-000040,x731,248,0,0,0,0,0.004032258064516129,CFG731_6f8c15548921e4c2,x731,33.89764397169291,CFG731_f7f0034a8b15f329,V8_EXTRACTED,False
RFQ731-000041,G731ST-HT,10,0,0,0,1,0.1,CFG731_bbffb73f3dff6787,G731ST-HT,25.018730735784683,CFG731_d71a39e1fcf17083,V8_EXTRACTED,False
RFQ731-000042,x731,39,0,0,0,0,0.02564102564102564,CFG731_618cb6c1c21feda4,x731,38.60056043686715,CFG731_8e5ce09a779d2284,V8_EXTRACTED,False
RFQ731-000043,x731,17,0,0,0,0,0.058823529411764705,CFG731_12089d5d54f581ac,x731,28.180143150790332,CFG731_78ea99817ca8be6a,V8_EXTRACTED,False
RFQ731-000044,x731,39,0,0,0,0,0.02564102564102564,CFG731_3b2a32abbf148ca1,x731,32.053503073587464,CFG731_c52f7eb3e0603707,V8_EXTRACTED,False
RFQ731-000045,F731WD_SingleChannel,1,1,1,1,1,1.0,CFG731_70b6eaf9262ca4d0,F731WD_SingleChannel,40.429424544859565,CFG731_70b6eaf9262ca4d0,V8_EXTRACTED,False
RFQ731-000046,x731,11,0,0,0,0,0.09090909090909091,CFG731_70a71b60723e910d,x731,35.20481691144113,CFG731_5e0166a160f3ed77,V8_EXTRACTED,False
RFQ731-000047,x731,3,0,1,1,1,0.3333333333333333,CFG731_3b2a32abbf148ca1,x731,38.005905763615075,CFG731_8e97bb2bec352a2c,V8_EXTRACTED,False
RFQ731-000048,G731ST-LT,12,0,0,0,0,0.08333333333333333,CFG731_e0009be417f51ccd,G731ST-LT,33.942346803319865,CFG731_8b6ed3cfa9ed1e59,V8_EXTRACTED,False
RFQ731-000049,x731,37,0,0,0,0,0.02702702702702703,CFG731_219ac3d01befd6d1,x731,26.394083928997162,CFG731_700e5b0584a9b0fc,V8_EXTRACTED,False
RFQ731-000050,F731WD_DualChannel,4,0,0,1,1,0.25,CFG731_819cb4e76943eca6,F731WD_DualChannel,34.88261319788115,CFG731_37e3938c6089bb2d,V8_EXTRACTED,False
RFQ731-000051,F731TE,8,0,0,0,1,0.125,CFG731_574aa7a29f75cd60,F731TE,25.97557682290212,CFG731_0c3b33750ffab3ac,V8_EXTRACTED,False
RFQ731-000052,x731,11,0,0,0,0,0.09090909090909091,CFG731_5e61ce3b60d15e11,x731,29.61345218165706,CFG731_fa6b5a7df55858c0,V8_EXTRACTED,False
RFQ731-000053,x731,1,1,1,1,1,1.0,CFG731_1cbb464ec15ba84f,x731,38.29605892047256,CFG731_1cbb464ec15ba84f,V8_EXTRACTED,False
RFQ731-000054,G731CA,6,0,0,0,1,0.16666666666666666,CFG731_0029021d98da4557,G731ST-LT,25.10332340553523,CFG731_e85a7fcdd0521e90,V8_EXTRACTED,False
RFQ731-000055,F731TE,1,1,1,1,1,1.0,CFG731_07fb816f7dc25bc8,F731TE,43.710079948737544,CFG731_07fb816f7dc25bc8,V8_EXTRACTED,False
RFQ731-000056,G731ST-LT,1,1,1,1,1,1.0,CFG731_d5af433b36265df1,G731ST-LT,29.098337901890655,CFG731_d5af433b36265df1,V8_EXTRACTED,False
RFQ731-000057,x731,3,0,1,1,1,0.3333333333333333,CFG731_2683cf7e09782f5e,x731,37.55964594106793,CFG731_d61788aab0d61e0f,V8_EXTRACTED,False
RFQ731-000058,F731WD_SingleChannel,16,0,0,0,0,0.0625,CFG731_11c93eca01984a14,F731WD_SingleChannel,22.8295032410291,CFG731_400b0d973c930668,V8_EXTRACTED,False
RFQ731-000059,G731VG,4,0,0,1,1,0.25,CFG731_40b6e1db6c80bcc1,G731VG,45.658175615596264,CFG731_6a47b38d62a9fed3,V8_EXTRACTED,False
RFQ731-000060,x731,20,0,0,0,0,0.05,CFG731_496bd7a964d6cd85,x731,43.149726015572185,CFG731_4e7f75dd9496e7b1,V8_EXTRACTED,False
RFQ731-000061,x731,25,0,0,0,0,0.04,CFG731_2be17a56b0589fd1,x731,24.25852960722392,CFG731_15f034f7c265528f,V8_EXTRACTED,False
RFQ731-000062,F731TE,256,0,0,0,0,0.00390625,CFG731_54559f782190a122,F731TE,30.70932330798459,CFG731_090330aa38b8e80b,V8_EXTRACTED,False
RFQ731-000063,x731,1,1,1,1,1,1.0,CFG731_79377060f99f59f3,x731,40.98872582733263,CFG731_79377060f99f59f3,V8_EXTRACTED,False
RFQ731-000064,F731PW,6,0,0,0,1,0.16666666666666666,CFG731_f9fd6a4462ec051a,F731PW,30.561110106779665,CFG731_327bfa077bbbd45e,V8_EXTRACTED,False
RFQ731-000065,x731,64,0,0,0,0,0.015625,CFG731_05cf1a0209b4f9a8,x731,34.76058987132548,CFG731_f57ccd8e79618aa1,V8_EXTRACTED,False
RFQ731-000066,F731TE,196,0,0,0,0,0.00510204081632653,CFG731_07fb816f7dc25bc8,F731TE,18.97995991207409,CFG731_a72f99e8160efda6,V8_EXTRACTED,False
RFQ731-000067,x731,12,0,0,0,0,0.08333333333333333,CFG731_0acb7cb21878d0cf,x731,35.330243331612685,CFG731_31c4aded40f9387f,V8_EXTRACTED,False
RFQ731-000068,x731,23,0,0,0,0,0.043478260869565216,CFG731_1f978c234895178c,x731,42.21896444004417,CFG731_04e7216b1ba7f935,V8_EXTRACTED,False
RFQ731-000069,x731,294,0,0,0,0,0.003401360544217687,CFG731_073f991a6c9a4683,x731,35.711416506038375,CFG731_95e2d680672ff303,V8_EXTRACTED,False
RFQ731-000070,x731,1,1,1,1,1,1.0,CFG731_5a8170a3daa0efb9,x731,36.114861333682676,CFG731_5a8170a3daa0efb9,V8_EXTRACTED,False
RFQ731-000071,G731CA,26,0,0,0,0,0.038461538461538464,CFG731_40b6e1db6c80bcc1,G731VG,23.6193073360693,CFG731_19f7d73d8e42e7bd,V8_EXTRACTED,False
RFQ731-000072,x731,103,0,0,0,0,0.009708737864077669,CFG731_759c265a697372ea,x731,39.81516096022088,CFG731_d9234c84a58b99ae,V8_EXTRACTED,False
RFQ731-000073,x731,172,0,0,0,0,0.005813953488372093,CFG731_6e096e946540ab4e,x731,42.64177776634424,CFG731_1c1fb7a32bf0146b,V8_EXTRACTED,False
RFQ731-000074,G731ST-LT,283,0,0,0,0,0.0035335689045936395,CFG731_49cd4cbef1081333,G731ST-LT,30.975774418767312,CFG731_7994662aa688a3b5,V8_EXTRACTED,False
RFQ731-000075,x731,1,1,1,1,1,1.0,CFG731_fa2849b259355775,x731,39.53681208099507,CFG731_fa2849b259355775,V8_EXTRACTED,False
RFQ731-000076,F731WD_SingleChannel,1,1,1,1,1,1.0,CFG731_a7d2a5a9ae465701,F731WD_SingleChannel,44.24487965261899,CFG731_a7d2a5a9ae465701,V8_EXTRACTED,False
RFQ731-000077,x731,1,1,1,1,1,1.0,CFG731_a385518a9f31baa0,x731,34.844227664719256,CFG731_a385518a9f31baa0,V8_EXTRACTED,False
RFQ731-000078,F731PW,3,0,1,1,1,0.3333333333333333,CFG731_a9f22ebc14287e5d,F731PW,33.5875417909126,CFG731_5995fa9fd5d1242f,V8_EXTRACTED,False
RFQ731-000079,x731,88,0,0,0,0,0.011363636363636364,CFG731_2322a268d0a898f9,x731,33.95885545641286,CFG731_6472ab3bf7316498,V8_EXTRACTED,False
RFQ731-000080,x731,31,0,0,0,0,0.03225806451612903,CFG731_496bd7a964d6cd85,x731,27.96243333152541,CFG731_4fe142d593643ab8,V8_EXTRACTED,False
RFQ731-000081,G731ST-LT,41,0,0,0,0,0.024390243902439025,CFG731_ae2e4cfccaff4f50,G731ST-LT,28.55866548809636,CFG731_a54fd8962307be18,V8_EXTRACTED,False
RFQ731-000082,x731,8,0,0,0,1,0.125,CFG731_226e375c4e7aa2a0,x731,31.984206368728177,CFG731_90035585549005ff,V8_EXTRACTED,False
RFQ731-000083,F731TE,1,1,1,1,1,1.0,CFG731_574aa7a29f75cd60,F731TE,45.40517640230564,CFG731_574aa7a29f75cd60,V8_EXTRACTED,False
RFQ731-000084,x731,339,0,0,0,0,0.0029498525073746312,CFG731_d9c736acc178c66d,x731,18.955466105991217,CFG731_5be5a82ac0b29989,V8_EXTRACTED,False
RFQ731-000085,x731,2,0,1,1,1,0.5,CFG731_abcee67081353f16,x731,35.0748786404557,CFG731_0aa987e1ae960c88,V8_EXTRACTED,False
RFQ731-000086,G731CA,18,0,0,0,0,0.05555555555555555,CFG731_49cd4cbef1081333,G731ST-LT,28.212094528743435,CFG731_d3d0547b464f691d,V8_EXTRACTED,False
RFQ731-000087,x731,8,0,0,0,1,0.125,CFG731_fde1ab2a4808b544,x731,36.4079369188903,CFG731_6d44172bc82c7ed7,V8_EXTRACTED,False
RFQ731-000088,G731ST-HT,9,0,0,0,1,0.1111111111111111,CFG731_63eca10a00ae1f5d,G731ST-HT,41.42107163197771,CFG731_0ce13abf777d04f9,V8_EXTRACTED,False
RFQ731-000089,x731,13,0,0,0,0,0.07692307692307693,CFG731_9fcbeaf9d5010d3a,x731,37.48813216370057,CFG731_4340f11ba9a46e42,V8_EXTRACTED,False
RFQ731-000090,x731,2,0,1,1,1,0.5,CFG731_14299a2a74e42d7f,x731,21.85988771143252,CFG731_260c36430f7c2d03,V8_EXTRACTED,False
RFQ731-000091,G731ST-LT,1,1,1,1,1,1.0,CFG731_e6c0885eb14e429c,G731ST-LT,36.3615264939394,CFG731_e6c0885eb14e429c,V8_EXTRACTED,False
RFQ731-000092,x731,11,0,0,0,0,0.09090909090909091,CFG731_a9ec8cda9130252f,x731,19.981869722521562,CFG731_a7a446c7f3b3183f,V8_EXTRACTED,False
RFQ731-000093,x731,160,0,0,0,0,0.00625,CFG731_3fe779486d988e69,x731,40.82687878513496,CFG731_7f6c0412b6d497fb,V8_EXTRACTED,False
RFQ731-000094,G731CA,1,1,1,1,1,1.0,CFG731_0738cd529389f266,G731CA,43.84920517084608,CFG731_0738cd529389f266,V8_EXTRACTED,False
RFQ731-000095,x731,12,0,0,0,0,0.08333333333333333,CFG731_e8e7b7513a5c9544,x731,15.39871268011743,CFG731_235ee3a364b5b6ec,V8_EXTRACTED,False
RFQ731-000096,G731ST-LT,1,1,1,1,1,1.0,CFG731_1d89d7fdc7355744,G731ST-LT,36.49263214883517,CFG731_1d89d7fdc7355744,V8_EXTRACTED,False
RFQ731-000097,x731,186,0,0,0,0,0.005376344086021506,CFG731_357a7724550c556f,x731,32.943479044953975,CFG731_78ea99817ca8be6a,V8_EXTRACTED,False
RFQ731-000098,G731ST-HT,191,0,0,0,0,0.005235602094240838,CFG731_8b18ac1c34209d63,G731ST-HT,38.88913836562905,CFG731_dde2f7fe043f7ade,V8_EXTRACTED,False
RFQ731-000099,x731,114,0,0,0,0,0.008771929824561403,CFG731_3b2a32abbf148ca1,x731,37.85275773090804,CFG731_917fc613cc9bf56a,V8_EXTRACTED,False
RFQ731-000100,F731WD_DualChannel,1,1,1,1,1,1.0,CFG731_35ed22cad11f9a11,F731WD_DualChannel,41.937778256069976,CFG731_35ed22cad11f9a11,V8_EXTRACTED,False
RFQ731-000101,F731WD_DualChannel,1,1,1,1,1,1.0,CFG731_a4610f5f38e7d946,F731WD_DualChannel,47.89760501454677,CFG731_a4610f5f38e7d946,V8_EXTRACTED,False
RFQ731-000102,x731,12,0,0,0,0,0.08333333333333333,CFG731_89772de94df83ba5,x731,28.47391680421401,CFG731_7afa5501026394f9,V8_EXTRACTED,False
RFQ731-000103,x731,134,0,0,0,0,0.007462686567164179,CFG731_7521d5a6673c8628,x731,40.043556314062236,CFG731_6942facbe6ebb88b,V8_EXTRACTED,False
RFQ731-000104,G731CA,5,0,0,1,1,0.2,CFG731_b97ce0f180acf155,G731CA,32.210072619137975,CFG731_d3d0547b464f691d,V8_EXTRACTED,False
RFQ731-000105,G731ST-LT,37,0,0,0,0,0.02702702702702703,CFG731_7b1edd53e8bbad40,G731ST-LT,24.01428229503606,CFG731_098817d766a37bc2,V8_EXTRACTED,False
RFQ731-000106,F731WD_SingleChannel,3,0,1,1,1,0.3333333333333333,CFG731_11c93eca01984a14,F731WD_SingleChannel,43.025728629738396,CFG731_70b6eaf9262ca4d0,V8_EXTRACTED,False
RFQ731-000107,x731,156,0,0,0,0,0.00641025641025641,CFG731_97c654bf006e698e,x731,33.0525714411315,CFG731_b3506a753aafcfa3,V8_EXTRACTED,False
RFQ731-000108,x731,13,0,0,0,0,0.07692307692307693,CFG731_1f978c234895178c,x731,40.783707057480484,CFG731_cf4bb519cec0df2f,V8_EXTRACTED,False
RFQ731-000109,x731,20,0,0,0,0,0.05,CFG731_34e092c266a308aa,x731,37.400994238099806,CFG731_8d78781f8753b72a,V8_EXTRACTED,False
RFQ731-000110,x731,8,0,0,0,1,0.125,CFG731_c3481d11b658e1e9,x731,40.72616548128592,CFG731_187ec74b5c4854aa,V8_EXTRACTED,False
RFQ731-000111,x731,6,0,0,0,1,0.16666666666666666,CFG731_226e375c4e7aa2a0,x731,35.37130355056297,CFG731_2e5bd0d53757f625,V8_EXTRACTED,False
RFQ731-000112,x731,197,0,0,0,0,0.005076142131979695,CFG731_3b2a32abbf148ca1,x731,30.52583887235035,CFG731_6084e24782dc3f55,V8_EXTRACTED,False
RFQ731-000113,F731WD_SingleChannel,1,1,1,1,1,1.0,CFG731_4ca309199387f8d5,F731WD_SingleChannel,35.73123388877346,CFG731_4ca309199387f8d5,V8_EXTRACTED,False
RFQ731-000114,x731,4,0,0,1,1,0.25,CFG731_482678d927834b42,x731,34.66797338408141,CFG731_7bb5689e4b06bfe5,V8_EXTRACTED,False
RFQ731-000115,x731,54,0,0,0,0,0.018518518518518517,CFG731_482678d927834b42,x731,26.422290379373294,CFG731_6920f76e20b3b3ac,V8_EXTRACTED,False
RFQ731-000116,x731,1,1,1,1,1,1.0,CFG731_abcee67081353f16,x731,40.51270654515841,CFG731_abcee67081353f16,V8_EXTRACTED,False
RFQ731-000117,G731ST-HT,7,0,0,0,1,0.14285714285714285,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,28.71747813614805,CFG731_5882bd12beb09203,V8_EXTRACTED,False
RFQ731-000118,G731ST-LT,28,0,0,0,0,0.03571428571428571,CFG731_a40ab19ad6671fbe,G731ST-LT,31.749520648242978,CFG731_bc9146cb8459e9c2,V8_EXTRACTED,False
RFQ731-000119,G731ST-HT,1,1,1,1,1,1.0,CFG731_bbffb73f3dff6787,G731ST-HT,34.86444562696933,CFG731_bbffb73f3dff6787,V8_EXTRACTED,False
RFQ731-000120,G731ST-HT,9,0,0,0,1,0.1111111111111111,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,26.414719442930714,CFG731_b5710e5f11e2cbc2,V8_EXTRACTED,False
RFQ731-000121,x731,18,0,0,0,0,0.05555555555555555,CFG731_b7e96d5717c40fd6,x731,36.30632598991559,CFG731_a89154111c50850c,V8_EXTRACTED,False
RFQ731-000122,F731WD_SingleChannel,4,0,0,1,1,0.25,CFG731_11c93eca01984a14,F731WD_SingleChannel,31.639175472153187,CFG731_0be7d6198235486b,V8_EXTRACTED,False
RFQ731-000123,x731,25,0,0,0,0,0.04,CFG731_6f8c15548921e4c2,x731,33.256182338449264,CFG731_56310c55a01272a3,V8_EXTRACTED,False
RFQ731-000124,G731CA,4,0,0,1,1,0.25,CFG731_508d465d4c518290,G731CA,34.995962720620255,CFG731_acbf4c45af55caad,V8_EXTRACTED,False
RFQ731-000125,x731,43,0,0,0,0,0.023255813953488372,CFG731_9e4fccece4d272d3,x731,22.789287288251025,CFG731_6b5f6983490bc595,V8_EXTRACTED,False
RFQ731-000126,F731PW,1546,0,0,0,0,0.000646830530401035,CFG731_241d60e6ef5278be,x731,20.854923501225514,CFG731_92efd7a3c43da152,V8_EXTRACTED,False
RFQ731-000127,x731,14,0,0,0,0,0.07142857142857142,CFG731_5ea309f998205da7,x731,25.095409460674247,CFG731_9ccdadb28a07accd,V8_EXTRACTED,False
RFQ731-000128,x731,6,0,0,0,1,0.16666666666666666,CFG731_e8e7b7513a5c9544,x731,17.10338681488488,CFG731_b2ad61cdb45a54fb,V8_EXTRACTED,False
RFQ731-000129,F731TE,1,1,1,1,1,1.0,CFG731_07fb816f7dc25bc8,F731TE,29.878766493847067,CFG731_07fb816f7dc25bc8,V8_EXTRACTED,False
RFQ731-000130,G731ST-LT,1,1,1,1,1,1.0,CFG731_32b4b1ec4513af66,G731ST-LT,35.52256962904146,CFG731_32b4b1ec4513af66,V8_EXTRACTED,False
RFQ731-000131,G731ST-HT,137,0,0,0,0,0.0072992700729927005,CFG731_b30ceef5c5f902ca,G731ST-HT,35.08555239453553,CFG731_403f51b2e914043b,V8_EXTRACTED,False
RFQ731-000132,x731,18,0,0,0,0,0.05555555555555555,CFG731_620cb319c2b7c332,x731,32.56165653370955,CFG731_87ce9768865f4127,V8_EXTRACTED,False
RFQ731-000133,G731ST-LT,3,0,1,1,1,0.3333333333333333,CFG731_a57ffd88d58eb498,G731ST-LT,26.45445796558524,CFG731_fa6ab94f1cf566b3,V8_EXTRACTED,False
RFQ731-000134,x731,2,0,1,1,1,0.5,CFG731_6b809c836e3ca8a1,x731,22.636872649950405,CFG731_5de6ca53a86b09c9,V8_EXTRACTED,False
RFQ731-000135,x731,372,0,0,0,0,0.002688172043010753,CFG731_c6a3ff6155563d17,x731,21.932145596596754,CFG731_ede0b25f5f83644d,V8_EXTRACTED,False
RFQ731-000136,x731,16,0,0,0,0,0.0625,CFG731_f84558a188ec14c0,x731,34.9439381011819,CFG731_9ccdadb28a07accd,V8_EXTRACTED,False
RFQ731-000137,x731,1,1,1,1,1,1.0,CFG731_efc9d6b915117e15,x731,38.72098678887215,CFG731_efc9d6b915117e15,V8_EXTRACTED,False
RFQ731-000138,F731WD_SingleChannel,13,0,0,0,0,0.07692307692307693,CFG731_6357400dd5c2804a,F731WD_SingleChannel,35.95918505459957,CFG731_ee8e327bbb737abf,V8_EXTRACTED,False
RFQ731-000139,x731,42,0,0,0,0,0.023809523809523808,CFG731_d3db38843cf9fb81,x731,21.137661547374375,CFG731_72fe206df86509f8,V8_EXTRACTED,False
RFQ731-000140,G731ST-LT,1,1,1,1,1,1.0,CFG731_175641fe8d1c7f37,G731ST-LT,36.1401461805668,CFG731_175641fe8d1c7f37,V8_EXTRACTED,False
RFQ731-000141,G731ST-HT,259,0,0,0,0,0.003861003861003861,CFG731_b3ed2928d6d65710,G731ST-HT,31.966433494254602,CFG731_b7a7770d19b6f648,V8_EXTRACTED,False
RFQ731-000142,x731,30,0,0,0,0,0.03333333333333333,CFG731_8d07e19298d09d34,x731,20.1641582020212,CFG731_e3b7a52ea0694eb1,V8_EXTRACTED,False
RFQ731-000143,x731,23,0,0,0,0,0.043478260869565216,CFG731_91e51485b56960b2,x731,40.530410011541306,CFG731_8e5ce09a779d2284,V8_EXTRACTED,False
RFQ731-000144,x731,1,1,1,1,1,1.0,CFG731_2683cf7e09782f5e,x731,37.18735878332899,CFG731_2683cf7e09782f5e,V8_EXTRACTED,False
RFQ731-000145,x731,13,0,0,0,0,0.07692307692307693,CFG731_fa2849b259355775,x731,26.411749980152564,CFG731_1d294b2de760852b,V8_EXTRACTED,False
RFQ731-000146,x731,22,0,0,0,0,0.045454545454545456,CFG731_ebb861c404a79d91,x731,20.239737054862854,CFG731_fd10dd35c97df399,V8_EXTRACTED,False
RFQ731-000147,x731,14,0,0,0,0,0.07142857142857142,CFG731_91e51485b56960b2,x731,42.55576327346617,CFG731_b83ac25dbd4e47ee,V8_EXTRACTED,False
RFQ731-000148,x731,97,0,0,0,0,0.010309278350515464,CFG731_04a53b6cc81d57d6,x731,25.781157257253053,CFG731_1b8054cb5a92e4fa,V8_EXTRACTED,False
RFQ731-000149,x731,5,0,0,1,1,0.2,CFG731_e049618b920d59b6,x731,37.58759525994118,CFG731_88a813121973f952,V8_EXTRACTED,False
RFQ731-000150,x731,9,0,0,0,1,0.1111111111111111,CFG731_c39096767a7ae083,x731,41.443873498295005,CFG731_ef02695e374fc418,V8_EXTRACTED,False
RFQ731-000151,F731WD_DualChannel,1,1,1,1,1,1.0,CFG731_819cb4e76943eca6,F731WD_DualChannel,44.461759464333724,CFG731_819cb4e76943eca6,V8_EXTRACTED,False
RFQ731-000152,x731,23,0,0,0,0,0.043478260869565216,CFG731_fd3397424975992e,x731,20.807941577103975,CFG731_bd51fba2aacb1a3c,V8_EXTRACTED,False
RFQ731-000153,x731,8,0,0,0,1,0.125,CFG731_5e61ce3b60d15e11,x731,30.28340874679943,CFG731_0fbee36816b7af98,V8_EXTRACTED,False
