source_node,target_node,relationship,observed_state,support_rate,sample_size,evidence_level,evidence_strength,constraint_status
G731VG,stromEingaenge,observed_weak_association,'IS1',0.5,4,weak,small_sample,observed_association
G731VG,temperaturEingaenge,observed_weak_association,'TT1',0.5,4,weak,small_sample,observed_association
F731TE,certification,observed_weak_association,"in {'NN', 'WN'}",0.4615,26,weak,small_sample,observed_association
x731,certification,observed_weak_association,'MN',0.4167,696,weak,high_sample,observed_association
F731PW,explosionApproval,observed_weak_association,"in {'A', 'E', 'P', 'J', 'S'}",0.4,20,weak,small_sample,observed_association
F731TE,stromSchaltbar,observed_weak_association,NOVALUE,0.3846,26,weak,small_sample,observed_association
G731ST-LT,stromEingaenge,observed_weak_association,NOVALUE,0.3684,133,weak,high_sample,observed_association
G731ST-HT,stromEingaenge,observed_weak_association,NOVALUE,0.3684,133,weak,high_sample,observed_association
x731,stromSchaltbar,observed_weak_association,"in {NOVALUE, 'CS1', 'CS2'}",0.3448,696,weak,high_sample,observed_association
x731,explosionApproval,observed_weak_association,'N',0.3333,696,weak,high_sample,observed_association
F731WD_DualChannel,stromSchaltbar,observed_weak_association,'CS2',0.3333,12,weak,small_sample,observed_association
x731,devCategory,observed_weak_association,'F',0.3276,696,weak,high_sample,observed_association
G731ST-LT,stromSchaltbar,observed_weak_association,"in {NOVALUE, 'CS1', 'CS2'}",0.3158,133,weak,high_sample,observed_association
G731ST-LT,temperaturEingaenge,observed_weak_association,"in {NOVALUE, 'TT1', 'TT2'}",0.3158,133,weak,high_sample,observed_association
G731ST-HT,stromSchaltbar,observed_weak_association,"in {NOVALUE, 'CS1', 'CS2'}",0.3158,133,weak,high_sample,observed_association
G731ST-HT,temperaturEingaenge,observed_weak_association,"in {NOVALUE, 'TT1', 'TT2'}",0.3158,133,weak,high_sample,observed_association
F731TE,explosionApproval,observed_weak_association,'N',0.3077,26,weak,small_sample,observed_association
G731ST-LT,dataInterface,observed_weak_association,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",0.3008,133,weak,high_sample,observed_association
G731ST-HT,dataInterface,observed_weak_association,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",0.3008,133,weak,high_sample,observed_association
G731CA,dataInterface,observed_weak_association,'HS',0.2917,24,weak,small_sample,observed_association
G731ST-LT,explosionApproval,observed_weak_association,'N',0.2857,133,weak,high_sample,observed_association
G731ST-HT,explosionApproval,observed_weak_association,'N',0.2857,133,weak,high_sample,observed_association
x731,dataInterface,observed_weak_association,'HS',0.2759,696,weak,high_sample,observed_association
G731CA,explosionApproval,observed_weak_association,'N',0.25,24,weak,small_sample,observed_association
F731PW,stromSchaltbar,observed_weak_association,"in {'CS1', 'CS2', 'CS4'}",0.25,20,weak,small_sample,observed_association
x731,stromEingaenge,observed_weak_association,NOVALUE,0.2414,696,weak,high_sample,observed_association
F731TE,dataInterface,observed_weak_association,"in {'NN', 'PA', 'MR', 'FF', 'BM', 'HS'}",0.2308,26,weak,small_sample,observed_association
x731,temperaturEingaenge,observed_weak_association,"in {NOVALUE, 'TT1', 'TT2'}",0.2069,696,weak,high_sample,observed_association
F731PW,dataInterface,observed_weak_association,"in {'NN', 'MR', 'BM', 'FF', 'PA'}",0.2,20,weak,small_sample,observed_association
