rfq_id,sentence_index,characteristic,internal_value,confidence,characteristic_phrase,value_phrase,source_sentence,v4_threshold,v4_decision
RFQ731-000002,14,waveInjector,FWI,2.7,enhanced measurement capability for demanding applications,enhanced measurement capability for demanding applications,We would prefer enhanced measurement capability for demanding applications.,1.2,ACCEPT
RFQ731-000003,11,binaerDigitalOpenColl_MN,MN1,1.7858455882352944,requires digital signal input,requires digital signal input,The application requires digital signal input capability.,1.4,ACCEPT
RFQ731-000003,11,binaerOpenColl_MP,MP1,1.354166666666667,digital signal input,digital signal input,The application requires digital signal input capability.,1.2,ACCEPT
RFQ731-000003,8,certification,NN,1.9544117647058823,we would like standard certification,we would like standard certification,"Where available, we would like standard certification documentation.",0.3,ACCEPT
RFQ731-000003,2,characteristic,GP,1.6975609756097567,we require standard process configuration,we require standard process configuration,We require standard process configuration.,1.3,ACCEPT
RFQ731-000003,9,dataInterface,NN,1.911764705882353,standard communication interface,standard communication interface,The proposed solution must provide the standard communication interface.,1.3,ACCEPT
RFQ731-000003,13,dev_advMeterVerification,1,2.1323529411764706,would like enhanced verification,would like enhanced verification,The customer would like enhanced verification capabilities for maintenance.,1.5,ACCEPT
RFQ731-000003,6,explosionApproval,A,2.0470588235294125,area where the applicable hazardous-area,area where the applicable hazardous-area,The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.,1.5,ACCEPT
RFQ731-000003,14,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000003,5,numberOfChannels,1,1.4352941176470588,requires a single measurement channel,requires a single measurement channel,The application requires a single measurement channel.,1.1,ACCEPT
RFQ731-000003,4,powerSupply,1,1.8292682926829271,we would prefer standard power,we would prefer standard power,We would prefer standard power supply.,1.5,ACCEPT
RFQ731-000003,10,temperaturEingaenge,TT1,1.7858455882352944,we require one temperature,we require one temperature,We require one temperature measurement input.,1.2,ACCEPT
RFQ731-000003,12,waveInjector,FWI,2.7,enhanced measurement capability for demanding applications,enhanced measurement capability for demanding applications,"Where available, we would like enhanced measurement capability for demanding applications.",1.2,ACCEPT
RFQ731-000004,11,binaerOpenColl_MP,MP1,1.4439024390243906,we require an open-collector input,we require an open-collector input,We require an open-collector input capability.,1.2,ACCEPT
RFQ731-000004,9,certification,NN,1.585365853658537,standard certification package,standard certification package,The application requires the standard certification package.,0.3,ACCEPT
RFQ731-000004,3,characteristic,ST,1.4975490196078431,provide standard-temperature service,provide standard-temperature service,"If possible, please provide standard-temperature service.",1.3,ACCEPT
RFQ731-000004,13,customUserFluid,1,2.1323529411764706,customer-specific fluid definition as,customer-specific fluid definition as,Please consider a customer-specific fluid definition as a preferred option.,1.3,ACCEPT
RFQ731-000004,10,dataInterface,NN,1.7858455882352944,we require standard communication,we require standard communication,We require standard communication capability.,1.3,ACCEPT
RFQ731-000004,12,dev_advMeterVerification,1,2.1323529411764706,would like enhanced verification,would like enhanced verification,The customer would like enhanced verification capabilities for maintenance.,1.5,ACCEPT
RFQ731-000004,15,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000004,6,numberOfChannels,1,1.741176470588235,we require one measurement channel,we require one measurement channel,We require one measurement channel.,1.1,ACCEPT
RFQ731-000004,5,powerSupply,1,1.585365853658537,standard electrical supply,standard electrical supply,We require the standard electrical supply option.,1.5,ACCEPT
RFQ731-000004,8,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The equipment is required to support operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-000004,14,steamApplication,H,1.4024390243902445,steamapplication configuration,steamapplication configuration,The proposed solution must provide the required steamApplication configuration.,0.2,ACCEPT
RFQ731-000005,14,binaerDigitalOpenColl_MN,MN1,1.741176470588235,provide a digital open-collector input,provide a digital open-collector input,"If possible, please provide a digital open-collector input.",1.4,ACCEPT
RFQ731-000005,9,certification,NN,1.585365853658537,standard certification package,standard certification package,The proposed solution must provide the standard certification package.,0.3,ACCEPT
RFQ731-000005,3,characteristic,GP,1.585365853658537,standard process configuration,standard process configuration,The equipment is required to support standard process configuration.,1.3,ACCEPT
RFQ731-000005,10,dataInterface,NN,1.911764705882353,standard communication interface,standard communication interface,The proposed solution must provide the standard communication interface.,1.3,ACCEPT
RFQ731-000005,7,explosionApproval,A,2.0470588235294125,area where the applicable hazardous-area,area where the applicable hazardous-area,The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.,1.5,ACCEPT
RFQ731-000005,16,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000005,6,numberOfChannels,1,1.741176470588235,we require one measurement channel,we require one measurement channel,We require one measurement channel.,1.1,ACCEPT
RFQ731-000005,5,powerSupply,1,1.6975609756097567,like the standard electrical supply,like the standard electrical supply,"Where available, we would like the standard electrical supply option.",1.5,ACCEPT
RFQ731-000005,8,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The proposed solution must provide operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-000005,12,stromEingaenge,IS1,2.0470588235294125,we require one current input,we require one current input,We require one current input.,1.5,ACCEPT
RFQ731-000005,11,stromSchaltbar,CS1,1.4809451219512195,requires switchable current-output functionality,requires switchable current-output functionality,The application requires switchable current-output functionality.,1.2,ACCEPT
RFQ731-000005,13,temperaturEingaenge,TT1,1.4439024390243906,if possible please provide temperature,if possible please provide temperature,"If possible, please provide temperature measurement capability.",1.2,ACCEPT
RFQ731-000005,15,waveInjector,FWI,1.2649739583333337,must provide advanced low-temperature,must provide advanced low-temperature,The proposed solution must provide advanced low-temperature measurement capability.,1.2,ACCEPT
RFQ731-000006,11,binaerOpenColl_MP,MP1,1.7682926829268295,additional digital signal input,additional digital signal input,The proposed solution must provide an additional digital signal input.,1.2,ACCEPT
RFQ731-000006,8,certification,NN,1.585365853658537,standard certification package,standard certification package,The proposed solution must provide the standard certification package.,0.3,ACCEPT
RFQ731-000006,2,characteristic,GP,1.4024390243902445,general-purpose configuration,general-purpose configuration,The application requires general-purpose configuration.,1.3,ACCEPT
RFQ731-000006,14,customUserFluid,1,1.6975609756097567,must provide custom fluid configuration,must provide custom fluid configuration,The proposed solution must provide custom fluid configuration.,1.3,ACCEPT
RFQ731-000006,9,dataInterface,NN,1.911764705882353,standard communication interface,standard communication interface,"If possible, please provide the standard communication interface.",1.3,ACCEPT
RFQ731-000006,13,devCategory,G,1.2649739583333337,dynamic gas measurement functionality,dynamic gas measurement functionality,The proposed solution must provide dynamic gas measurement functionality.,0.9,ACCEPT
RFQ731-000006,13,dynamicGasMaster,1,1.4809451219512195,must provide dynamic gas,must provide dynamic gas,The proposed solution must provide dynamic gas measurement functionality.,1.1,ACCEPT
RFQ731-000006,7,explosionApproval,A,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The proposed solution must provide operation in a hazardous area with the applicable protection requirements.,1.5,ACCEPT
RFQ731-000006,6,explosionApproval,K,1.691176470588235,explosionapproval configuration,explosionapproval configuration,The equipment is required to support the required explosionApproval configuration.,1.5,ACCEPT
RFQ731-000006,15,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000006,5,numberOfChannels,1,1.741176470588235,must provide one measurement channel,must provide one measurement channel,The proposed solution must provide one measurement channel.,1.1,ACCEPT
RFQ731-000006,4,powerSupply,1,1.585365853658537,standard electrical supply,standard electrical supply,The proposed solution must provide the standard electrical supply option.,1.5,ACCEPT
RFQ731-000006,7,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The proposed solution must provide operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-000006,10,stromEingaenge,IS1,2.2058823529411766,we would like one current,we would like one current,"Where available, we would like one current input.",1.5,ACCEPT
RFQ731-000006,10,temperaturEingaenge,TT1,1.5625,available we would like one,available we would like one,"Where available, we would like one current input.",1.2,ACCEPT
RFQ731-000006,12,waveInjector,FWI,2.7,enhanced measurement capability for demanding applications,enhanced measurement capability for demanding applications,The application requires enhanced measurement capability for demanding applications.,1.2,ACCEPT
RFQ731-000007,11,binaerDigitalOpenColl_MN,MN1,1.741176470588235,requires a digital open-collector input,requires a digital open-collector input,The application requires a digital open-collector input.,1.4,ACCEPT
RFQ731-000007,9,certification,CN,1.2195121951219514,certification,certification,"If possible, please provide appropriate measurement certification.",0.3,ACCEPT
RFQ731-000007,3,characteristic,GP,1.4024390243902445,general-purpose configuration,general-purpose configuration,"If possible, please provide general-purpose configuration.",1.3,ACCEPT
RFQ731-000007,14,customUserFluid,1,2.2058823529411766,consider custom fluid configuration as,consider custom fluid configuration as,Please consider custom fluid configuration as a preferred option.,1.3,ACCEPT
RFQ731-000007,10,dataInterface,NN,1.911764705882353,standard communication interface,standard communication interface,The application requires the standard communication interface.,1.3,ACCEPT
RFQ731-000007,13,dev_advMeterVerification,1,2.2058823529411766,we would like advanced meter,we would like advanced meter,"Where available, we would like advanced meter verification.",1.5,ACCEPT
RFQ731-000007,7,explosionApproval,N,2.0470588235294125,does not require hazardous-area approval,does not require hazardous-area approval,We require the installation does not require hazardous-area approval.,1.5,ACCEPT
RFQ731-000007,15,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000007,6,numberOfChannels,1,1.4352941176470588,requires a single measurement channel,requires a single measurement channel,The application requires a single measurement channel.,1.1,ACCEPT
RFQ731-000007,5,powerSupply,4,1.741176470588235,provide the alternative electrical supply,provide the alternative electrical supply,The proposed solution must provide the alternative electrical supply option.,1.5,ACCEPT
RFQ731-000007,8,protectionArea,N,1.585365853658537,non-hazardous installation area,non-hazardous installation area,The equipment is required to support a non-hazardous installation area.,1.3,ACCEPT
RFQ731-000007,13,temperaturEingaenge,TT1,1.3312499999999998,available we would like advanced,available we would like advanced,"Where available, we would like advanced meter verification.",1.2,ACCEPT
RFQ731-000007,13,waveInjector,FWI,1.5625,available we would like advanced,available we would like advanced,"Where available, we would like advanced meter verification.",1.2,ACCEPT
RFQ731-000008,12,binaerDigitalOpenColl_MN,MN1,1.741176470588235,provide a digital open-collector input,provide a digital open-collector input,"If possible, please provide a digital open-collector input.",1.4,ACCEPT
RFQ731-000008,9,certification,NN,1.585365853658537,standard certification documentation,standard certification documentation,The application requires standard certification documentation.,0.3,ACCEPT
RFQ731-000008,3,characteristic,ST,1.4809451219512195,must provide standard temperature,must provide standard temperature,The proposed solution must provide standard temperature application.,1.3,ACCEPT
RFQ731-000008,14,customUserFluid,1,2.2058823529411766,available we would like custom,available we would like custom,"Where available, we would like custom fluid configuration.",1.3,ACCEPT
RFQ731-000008,13,dynamicGasMaster,1,1.2333333333333334,proposed solution must provide enhanced,proposed solution must provide enhanced,The proposed solution must provide enhanced measurement capability for demanding applications.,1.1,ACCEPT
RFQ731-000008,7,explosionApproval,A,2.0470588235294125,area where the applicable hazardous-area,area where the applicable hazardous-area,The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.,1.5,ACCEPT
RFQ731-000008,16,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000008,6,numberOfChannels,2,1.4809451219512195,two independent measurement channels,two independent measurement channels,The equipment is required to support two independent measurement channels.,1.1,ACCEPT
RFQ731-000008,5,powerSupply,1,1.585365853658537,standard electrical supply,standard electrical supply,The proposed solution must provide the standard electrical supply option.,1.5,ACCEPT
RFQ731-000008,8,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The application requires operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-000008,15,steamApplication,H,1.4024390243902445,steamapplication configuration,steamapplication configuration,The equipment is required to support the required steamApplication configuration.,0.2,ACCEPT
RFQ731-000008,11,stromSchaltbar,CS1,1.4809451219512195,requires switchable current-output functionality,requires switchable current-output functionality,The application requires switchable current-output functionality.,1.2,ACCEPT
RFQ731-000008,13,waveInjector,FWI,2.7,enhanced measurement capability for demanding applications,enhanced measurement capability for demanding applications,The proposed solution must provide enhanced measurement capability for demanding applications.,1.2,ACCEPT
RFQ731-000009,14,binaerDigitalOpenColl_MN,MN1,1.985647058823529,prefer a digital open-collector input,prefer a digital open-collector input,We would prefer a digital open-collector input.,1.4,ACCEPT
RFQ731-000009,10,certification,NN,1.585365853658537,standard certification documentation,standard certification documentation,We would prefer standard certification documentation.,0.3,ACCEPT
RFQ731-000009,4,characteristic,ST,1.4809451219512195,must provide standard temperature,must provide standard temperature,The proposed solution must provide standard temperature application.,1.3,ACCEPT
RFQ731-000009,16,customUserFluid,1,2.0470588235294125,prefer a customer-specific fluid definition,prefer a customer-specific fluid definition,We would prefer a customer-specific fluid definition.,1.3,ACCEPT
RFQ731-000009,15,dev_advMeterVerification,1,1.5104166666666663,we would prefer advanced,we would prefer advanced,We would prefer advanced low-temperature measurement capability.,1.5,ACCEPT
RFQ731-000009,9,explosionApproval,A,1.660214634146342,in a protected hazardous area,in a protected hazardous area,We require installation in a protected hazardous area.,1.5,ACCEPT
RFQ731-000009,8,explosionApproval,K,1.691176470588235,explosionapproval configuration,explosionapproval configuration,The equipment is required to support the required explosionApproval configuration.,1.5,ACCEPT
RFQ731-000009,18,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000009,7,numberOfChannels,2,1.2195121951219514,dual-channel,dual-channel,The application requires dual-channel measurement.,1.1,ACCEPT
RFQ731-000009,6,powerSupply,1,1.6975609756097567,must provide standard power supply,must provide standard power supply,The proposed solution must provide standard power supply.,1.5,ACCEPT
RFQ731-000009,9,protectionArea,2,3.5666666666666678,installation in a protected hazardous area,installation in a protected hazardous area,We require installation in a protected hazardous area.,1.3,ACCEPT
RFQ731-000009,17,steamApplication,H,1.4024390243902445,steamapplication configuration,steamapplication configuration,The proposed solution must provide the required steamApplication configuration.,0.2,ACCEPT
RFQ731-000009,12,stromSchaltbar,CS1,1.741176470588235,must provide a switchable current-output,must provide a switchable current-output,The proposed solution must provide a switchable current-output capability.,1.2,ACCEPT
RFQ731-000009,13,temperaturEingaenge,TT1,1.7858455882352944,we require one temperature,we require one temperature,We require one temperature measurement input.,1.2,ACCEPT
RFQ731-000009,15,waveInjector,FWI,1.5625,we would prefer advanced low-temperature,we would prefer advanced low-temperature,We would prefer advanced low-temperature measurement capability.,1.2,ACCEPT
RFQ731-000010,11,binaerDigitalOpenColl_MN,MN1,1.4809451219512195,digital signal input capability,digital signal input capability,The equipment is required to support digital signal input capability.,1.4,ACCEPT
RFQ731-000010,11,binaerOpenColl_MP,MP1,1.354166666666667,digital signal input,digital signal input,The equipment is required to support digital signal input capability.,1.2,ACCEPT
RFQ731-000010,9,certification,NN,1.585365853658537,standard certification package,standard certification package,The proposed solution must provide the standard certification package.,0.3,ACCEPT
RFQ731-000010,3,characteristic,ST,1.4024390243902445,standard temperature,standard temperature,"Where available, we would like standard temperature application.",1.3,ACCEPT
RFQ731-000010,13,customUserFluid,1,1.585365853658537,customer-specific fluid definition,customer-specific fluid definition,The equipment is required to support a customer-specific fluid definition.,1.3,ACCEPT
RFQ731-000010,10,dataInterface,NN,2.344444444444445,we would like standard communication,we would like standard communication,"Where available, we would like standard communication capability.",1.3,ACCEPT
RFQ731-000010,12,dev_advMeterVerification,1,2.0470588235294125,we require advanced meter verification,we require advanced meter verification,We require advanced meter verification.,1.5,ACCEPT
RFQ731-000010,7,explosionApproval,A,2.0470588235294125,area where the applicable hazardous-area,area where the applicable hazardous-area,The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.,1.5,ACCEPT
RFQ731-000010,15,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000010,6,numberOfChannels,1,1.741176470588235,must provide one measurement channel,must provide one measurement channel,The proposed solution must provide one measurement channel.,1.1,ACCEPT
RFQ731-000010,5,powerSupply,1,1.585365853658537,standard electrical supply,standard electrical supply,The equipment is required to support the standard electrical supply option.,1.5,ACCEPT
RFQ731-000010,8,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The equipment is required to support operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-000010,14,steamApplication,H,1.4024390243902445,steamapplication configuration,steamapplication configuration,"Where available, we would like the required steamApplication configuration.",0.2,ACCEPT
RFQ731-000010,6,temperaturEingaenge,TT1,1.2333333333333334,proposed solution must provide one,proposed solution must provide one,The proposed solution must provide one measurement channel.,1.2,ACCEPT
RFQ731-000011,13,binaerOpenColl_MP,MP1,1.7682926829268295,additional digital signal input,additional digital signal input,The application requires an additional digital signal input.,1.2,ACCEPT
RFQ731-000011,10,certification,NN,1.6975609756097567,must provide standard certification documentation,must provide standard certification documentation,The proposed solution must provide standard certification documentation.,0.3,ACCEPT
RFQ731-000011,4,characteristic,ST,1.7858455882352944,must provide standard-temperature service,must provide standard-temperature service,The proposed solution must provide standard-temperature service.,1.3,ACCEPT
RFQ731-000011,15,customUserFluid,1,2.2058823529411766,we would prefer custom fluid,we would prefer custom fluid,We would prefer custom fluid configuration.,1.3,ACCEPT
RFQ731-000011,11,dataInterface,NN,1.691176470588235,standard communication,standard communication,The equipment is required to support standard communication capability.,1.3,ACCEPT
RFQ731-000011,14,dynamicGasMaster,1,1.2333333333333334,proposed solution must provide enhanced,proposed solution must provide enhanced,The proposed solution must provide enhanced measurement capability for demanding applications.,1.1,ACCEPT
RFQ731-000011,8,explosionApproval,A,2.0470588235294125,area where the applicable hazardous-area,area where the applicable hazardous-area,The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.,1.5,ACCEPT
RFQ731-000011,17,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000011,7,numberOfChannels,2,1.4975490196078431,we require dual-channel,we require dual-channel,We require dual-channel measurement.,1.1,ACCEPT
RFQ731-000011,6,powerSupply,1,1.585365853658537,standard electrical supply,standard electrical supply,We require the standard electrical supply option.,1.5,ACCEPT
RFQ731-000011,9,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The equipment is required to support operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-000011,16,steamApplication,H,1.4024390243902445,steamapplication configuration,steamapplication configuration,The equipment is required to support the required steamApplication configuration.,0.2,ACCEPT
RFQ731-000011,12,stromEingaenge,IS1,1.741176470588235,require a dedicated current-input channel,require a dedicated current-input channel,We require a dedicated current-input channel.,1.5,ACCEPT
RFQ731-000011,14,waveInjector,FWI,2.7,enhanced measurement capability for demanding applications,enhanced measurement capability for demanding applications,The proposed solution must provide enhanced measurement capability for demanding applications.,1.2,ACCEPT
RFQ731-000012,15,binaerOpenColl_MP,MP1,1.241869918699187,an open-collector input,an open-collector input,The equipment is required to support an open-collector input capability.,1.2,ACCEPT
RFQ731-000012,10,certification,NN,1.585365853658537,standard certification package,standard certification package,The application requires the standard certification package.,0.3,ACCEPT
RFQ731-000012,4,characteristic,GP,1.4024390243902445,general-purpose configuration,general-purpose configuration,The application requires general-purpose configuration.,1.3,ACCEPT
RFQ731-000012,18,customUserFluid,1,2.2058823529411766,available we would like custom,available we would like custom,"Where available, we would like custom fluid configuration.",1.3,ACCEPT
RFQ731-000012,17,dev_advMeterVerification,1,2.2058823529411766,we would prefer advanced meter,we would prefer advanced meter,We would prefer advanced meter verification.,1.5,ACCEPT
RFQ731-000012,8,explosionApproval,A,1.7858455882352944,must provide hazardous-area operation,must provide hazardous-area operation,The proposed solution must provide hazardous-area operation.,1.5,ACCEPT
RFQ731-000012,19,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-000012,7,numberOfChannels,1,1.741176470588235,must provide one measurement channel,must provide one measurement channel,The proposed solution must provide one measurement channel.,1.1,ACCEPT
RFQ731-000012,6,powerSupply,4,1.585365853658537,alternative electrical supply,alternative electrical supply,The equipment is required to support the alternative electrical supply option.,1.5,ACCEPT
RFQ731-000012,9,protectionArea,2,3.5666666666666678,installation in a protected hazardous area,installation in a protected hazardous area,We require installation in a protected hazardous area.,1.3,ACCEPT
RFQ731-000012,13,stromEingaenge,IS1,1.585365853658537,dedicated current-input channel,dedicated current-input channel,The equipment is required to support a dedicated current-input channel.,1.5,ACCEPT
RFQ731-000012,12,stromSchaltbar,CS1,1.8292682926829271,we would prefer switchable current-output,we would prefer switchable current-output,We would prefer switchable current-output functionality.,1.2,ACCEPT
RFQ731-000012,14,temperaturEingaenge,TT1,1.7682926829268295,we would prefer temperature,we would prefer temperature,We would prefer temperature measurement capability.,1.2,ACCEPT
RFQ731-000012,16,waveInjector,FWI,1.5625,available we would like advanced,available we would like advanced,"Where available, we would like advanced low-temperature measurement capability.",1.2,ACCEPT
RFQ731-000013,12,binaerDigitalOpenColl_MN,MN1,1.741176470588235,require a digital open-collector input,require a digital open-collector input,We require a digital open-collector input.,1.4,ACCEPT
RFQ731-000013,8,certification,NN,1.585365853658537,standard certification package,standard certification package,We require the standard certification package.,0.3,ACCEPT
RFQ731-000013,2,characteristic,GP,1.585365853658537,standard process configuration,standard process configuration,The equipment is required to support standard process configuration.,1.3,ACCEPT
RFQ731-000013,15,customUserFluid,1,1.741176470588235,provide a customer-specific fluid definition,provide a customer-specific fluid definition,"If possible, please provide a customer-specific fluid definition.",1.3,ACCEPT
RFQ731-000013,14,devCategory,G,1.2649739583333337,dynamic gas measurement functionality,dynamic gas measurement functionality,The proposed solution must provide dynamic gas measurement functionality.,0.9,ACCEPT
RFQ731-000013,13,dev_advMeterVerification,1,1.5625,available we would like advanced,available we would like advanced,"Where available, we would like advanced low-temperature measurement capability.",1.5,ACCEPT
RFQ731-000013,14,dynamicGasMaster,1,1.4809451219512195,must provide dynamic gas,must provide dynamic gas,The proposed solution must provide dynamic gas measurement functionality.,1.1,ACCEPT
RFQ731-000013,6,explosionApproval,A,2.1323529411764706,area requiring explosion protection,area requiring explosion protection,We require operation in an area requiring explosion protection.,1.5,ACCEPT
RFQ731-000013,3,housing,ST,2.7777777777777777,available we would like stainless-steel,available we would like stainless-steel,"Where available, we would like stainless-steel enclosure.",0.2,ACCEPT
RFQ731-000013,5,numberOfChannels,1,1.241869918699187,single measurement channel,single measurement channel,The equipment is required to support a single measurement channel.,1.1,ACCEPT
RFQ731-000013,4,powerSupply,1,1.585365853658537,standard power supply,standard power supply,"If possible, please provide standard power supply.",1.5,ACCEPT
