rfq_id,mode,package_aware,target_package,true_configuration_id,recommended_configuration_id,true_rank,candidate_count,requirement_count
RFQ731-000259,V8_EXTRACTED,True,x731,CFG731_7630270d2245c283,CFG731_9e4fccece4d272d3,36,1549,15
RFQ731-000264,V8_EXTRACTED,True,x731,CFG731_567b2aa90592cf41,CFG731_ce4c7976fe8fc47b,25,1549,13
RFQ731-000267,V8_EXTRACTED,True,x731,CFG731_a38141e3f47b5259,CFG731_8d07e19298d09d34,11,1549,13
RFQ731-000272,V8_EXTRACTED,True,x731,CFG731_11a99741e1f7cce9,CFG731_5e61ce3b60d15e11,31,1549,13
RFQ731-000282,V8_EXTRACTED,True,x731,CFG731_bfee42801e80594e,CFG731_31b475abe3d16a99,11,1549,16
RFQ731-000287,V8_EXTRACTED,True,x731,CFG731_c9498cf6f4410d44,CFG731_cb9d6c11077bd307,76,1549,15
RFQ731-000295,V8_EXTRACTED,True,x731,CFG731_da5f98932a1c6afd,CFG731_8d07e19298d09d34,22,1549,16
RFQ731-000301,V8_EXTRACTED,True,x731,CFG731_d8843ca5e91f93ae,CFG731_91e51485b56960b2,23,1549,12
RFQ731-000304,V8_EXTRACTED,True,G731ST-HT,CFG731_fab0d81b6a0ca4e0,CFG731_288e4c99b4e02895,12,151,11
RFQ731-000311,V8_EXTRACTED,True,x731,CFG731_f1291711f7901d90,CFG731_5e61ce3b60d15e11,20,1549,16
RFQ731-000312,V8_EXTRACTED,True,x731,CFG731_75b377161674dea1,CFG731_fa063863b8688588,11,1549,11
RFQ731-000313,V8_EXTRACTED,True,G731ST-HT,CFG731_646d8903da63e1f0,CFG731_c32627af59ba1526,35,151,14
RFQ731-000322,V8_EXTRACTED,True,x731,CFG731_d0bd848c8f934b33,CFG731_f4856d563cc31f77,15,1549,12
RFQ731-000327,V8_EXTRACTED,True,x731,CFG731_576db798689c655c,CFG731_75466cb810218a66,18,1549,12
RFQ731-000328,V8_EXTRACTED,True,x731,CFG731_a92ad5294d9187e9,CFG731_6b5f6983490bc595,21,1549,14
RFQ731-000334,V8_EXTRACTED,True,x731,CFG731_624f3002b3cf1e19,CFG731_8c50542218db5cb0,46,1549,15
RFQ731-000336,V8_EXTRACTED,True,G731ST-LT,CFG731_2a738780f0517f67,CFG731_49cd4cbef1081333,24,153,15
RFQ731-000343,V8_EXTRACTED,True,x731,CFG731_7187559e0dc892c4,CFG731_9e4fccece4d272d3,12,1549,14
RFQ731-000350,V8_EXTRACTED,True,x731,CFG731_90dc5a2ccc9e8c22,CFG731_9e4fccece4d272d3,145,1549,16
RFQ731-000360,V8_EXTRACTED,True,x731,CFG731_9a5bfa9148a9b604,CFG731_6b5f6983490bc595,103,1549,12
RFQ731-000367,V8_EXTRACTED,True,x731,CFG731_05cddc1cd5eab9c6,CFG731_5cfa203ca7029f1c,21,1549,12
RFQ731-000371,V8_EXTRACTED,True,x731,CFG731_0e65994bfbb04e39,CFG731_94be99d48ade0efb,20,1549,15
RFQ731-000375,V8_EXTRACTED,True,x731,CFG731_7a885e8a3e0ce8ad,CFG731_9db378257f9cf6a7,86,1549,13
RFQ731-000377,V8_EXTRACTED,True,x731,CFG731_ecb8a8742e9204c7,CFG731_5e61ce3b60d15e11,11,1549,16
RFQ731-000387,V8_EXTRACTED,True,x731,CFG731_736953a253ffd341,CFG731_1f0c09edcd967945,45,1549,12
RFQ731-000394,V8_EXTRACTED,True,x731,CFG731_2e60fd0380ec7150,CFG731_d9c736acc178c66d,16,1549,16
RFQ731-000395,V8_EXTRACTED,True,x731,CFG731_af36a6c70f11950b,CFG731_12089d5d54f581ac,11,1549,13
RFQ731-000399,V8_EXTRACTED,True,x731,CFG731_df5f598a914fb1cc,CFG731_28ac43a93658ad6b,96,1549,15
RFQ731-000408,V8_EXTRACTED,True,x731,CFG731_162b59c5f8cf5a72,CFG731_482678d927834b42,105,1549,12
RFQ731-000413,V8_EXTRACTED,True,x731,CFG731_66527c2cd3f93f64,CFG731_496bd7a964d6cd85,12,1549,15
RFQ731-000416,V8_EXTRACTED,True,x731,CFG731_ef02695e374fc418,CFG731_c39096767a7ae083,13,1549,16
RFQ731-000420,V8_EXTRACTED,True,x731,CFG731_c9829182065e0285,CFG731_91e51485b56960b2,15,1549,11
RFQ731-000431,V8_EXTRACTED,True,x731,CFG731_091f946b84ae26df,CFG731_c517a14f9cf12c39,27,1549,13
RFQ731-000447,V8_EXTRACTED,True,x731,CFG731_bac2c72e10051b21,CFG731_f0cf22354800092d,11,1549,12
RFQ731-000457,V8_EXTRACTED,True,x731,CFG731_cf57963000260b1d,CFG731_5e61ce3b60d15e11,20,1549,16
RFQ731-000460,V8_EXTRACTED,True,x731,CFG731_d0927fe178fd9279,CFG731_27caf5a2443603ad,13,1549,15
RFQ731-000461,V8_EXTRACTED,True,x731,CFG731_450eff458b4fe00f,CFG731_1f978c234895178c,72,1549,15
RFQ731-000463,V8_EXTRACTED,True,G731ST-LT,CFG731_1feda2f4109d616a,CFG731_ae2e4cfccaff4f50,23,153,12
RFQ731-000467,V8_EXTRACTED,True,x731,CFG731_db983e07a279051a,CFG731_ef980c35ed5ff3e4,12,1549,15
RFQ731-000470,V8_EXTRACTED,True,x731,CFG731_aa7f1abab518f995,CFG731_c3481d11b658e1e9,215,1549,14
RFQ731-000472,V8_EXTRACTED,True,G731ST-LT,CFG731_c5da2661a169f82b,CFG731_455da2f832a6b66d,14,153,15
RFQ731-000473,V8_EXTRACTED,True,x731,CFG731_a38141e3f47b5259,CFG731_8d07e19298d09d34,11,1549,14
RFQ731-000476,V8_EXTRACTED,True,x731,CFG731_260c36430f7c2d03,CFG731_9db378257f9cf6a7,157,1549,13
RFQ731-000482,V8_EXTRACTED,True,x731,CFG731_c348ae803bb36511,CFG731_3662a471d9ce3167,52,1549,17
RFQ731-000485,V8_EXTRACTED,True,x731,CFG731_f4e451f0b68379ff,CFG731_620cb319c2b7c332,159,1549,14
RFQ731-000486,V8_EXTRACTED,True,x731,CFG731_6077133dce604e06,CFG731_3fe779486d988e69,20,1549,15
RFQ731-000488,V8_EXTRACTED,True,x731,CFG731_631ccc0b317dc962,CFG731_2322a268d0a898f9,11,1549,12
RFQ731-000491,V8_EXTRACTED,True,x731,CFG731_7d4c803343a40a05,CFG731_3b2a32abbf148ca1,18,1549,14
RFQ731-000492,V8_EXTRACTED,True,x731,CFG731_5d2495d91e9fa868,CFG731_27b6b45b43224be7,23,1549,12
RFQ731-000507,V8_EXTRACTED,True,x731,CFG731_3dd4cfcf6ee98460,CFG731_e1c54b5b080fabb2,18,1549,16
RFQ731-000513,V8_EXTRACTED,True,G731ST-LT,CFG731_7203705eed387b0a,CFG731_32b4b1ec4513af66,24,153,15
RFQ731-000516,V8_EXTRACTED,True,x731,CFG731_97796c9ac2811c94,CFG731_32b1041fd68aac23,20,1549,16
RFQ731-000517,V8_EXTRACTED,True,x731,CFG731_95e2d680672ff303,CFG731_bcf12907155d8b64,11,1549,14
RFQ731-000528,V8_EXTRACTED,True,x731,CFG731_932b427eaa87c8fa,CFG731_36d7686aca1200ae,33,1549,14
RFQ731-000535,V8_EXTRACTED,True,x731,CFG731_ef2da8cd513b19be,CFG731_9be0c5ce20280448,56,1549,13
RFQ731-000562,V8_EXTRACTED,True,x731,CFG731_b3ebba592f51e280,CFG731_3c119308d8305ad4,49,1549,14
RFQ731-000568,V8_EXTRACTED,True,G731ST-HT,CFG731_ad49f2ad57627f46,CFG731_4aa7d46b9cfa7d7b,11,151,13
RFQ731-000569,V8_EXTRACTED,True,G731ST-HT,CFG731_ed09f23d3bc16841,CFG731_e2d64e127f97296d,71,151,12
RFQ731-000577,V8_EXTRACTED,True,x731,CFG731_27f3f9fc0b2e1643,CFG731_3b2a32abbf148ca1,24,1549,17
RFQ731-000578,V8_EXTRACTED,True,x731,CFG731_dbb33a574e3ad4d8,CFG731_f1355b6f00fd7f67,29,1549,12
RFQ731-000580,V8_EXTRACTED,True,x731,CFG731_a9ec8cda9130252f,CFG731_fa2849b259355775,11,1549,14
RFQ731-000584,V8_EXTRACTED,True,x731,CFG731_274085596a46ecf6,CFG731_3b2a32abbf148ca1,11,1549,16
RFQ731-000590,V8_EXTRACTED,True,x731,CFG731_187ec74b5c4854aa,CFG731_c3481d11b658e1e9,17,1549,13
RFQ731-000600,V8_EXTRACTED,True,x731,CFG731_73ac195ef2754292,CFG731_1af3f9470bd904d5,22,1549,16
RFQ731-000602,V8_EXTRACTED,True,x731,CFG731_31ef54b8ab17d3bb,CFG731_219ac3d01befd6d1,16,1549,14
RFQ731-000603,V8_EXTRACTED,True,x731,CFG731_7d1aac31230162fc,CFG731_83f956404d04e6cd,139,1549,15
RFQ731-000604,V8_EXTRACTED,True,x731,CFG731_4fe142d593643ab8,CFG731_496bd7a964d6cd85,13,1549,14
RFQ731-000612,V8_EXTRACTED,True,x731,CFG731_341c747ed8aff14e,CFG731_f1355b6f00fd7f67,146,1549,14
RFQ731-000619,V8_EXTRACTED,True,x731,CFG731_5be5a82ac0b29989,CFG731_8d07e19298d09d34,17,1549,14
RFQ731-000621,V8_EXTRACTED,True,G731ST-LT,CFG731_0dd81a588b2a1411,CFG731_a40ab19ad6671fbe,13,153,15
RFQ731-000634,V8_EXTRACTED,True,G731ST-LT,CFG731_ad6f77e09c551945,CFG731_0fdf5c36c9c41e69,17,153,12
RFQ731-000649,V8_EXTRACTED,True,x731,CFG731_f8cc7d4d2ef53582,CFG731_214b093bf98ca9ef,54,1549,14
RFQ731-000659,V8_EXTRACTED,True,x731,CFG731_ae1c24f394311970,CFG731_27b6b45b43224be7,16,1549,13
RFQ731-000660,V8_EXTRACTED,True,x731,CFG731_ae1f3e9a90950fc3,CFG731_784eb334d1d77ae7,14,1549,16
RFQ731-000669,V8_EXTRACTED,True,x731,CFG731_10829a99d0812ab9,CFG731_3b2a32abbf148ca1,30,1549,11
RFQ731-000675,V8_EXTRACTED,True,x731,CFG731_6ad3ec8ed100118e,CFG731_509cb555eca833a1,130,1549,15
RFQ731-000676,V8_EXTRACTED,True,x731,CFG731_f2f16ec6756d8443,CFG731_60f3aae8ede70fe0,42,1549,15
RFQ731-000678,V8_EXTRACTED,True,G731CA,CFG731_98ec9650b5463fd0,CFG731_0738cd529389f266,15,48,11
RFQ731-000679,V8_EXTRACTED,True,x731,CFG731_8b6eb20d56ad0a7c,CFG731_5e61ce3b60d15e11,168,1549,16
RFQ731-000689,V8_EXTRACTED,True,x731,CFG731_76d13dd0246c6ccc,CFG731_927f189839c665ae,169,1549,12
RFQ731-000691,V8_EXTRACTED,True,x731,CFG731_3727d181b2806370,CFG731_353333bad447dbef,20,1549,14
RFQ731-000704,V8_EXTRACTED,True,x731,CFG731_ae226e31119be9bd,CFG731_3b2a32abbf148ca1,22,1549,14
RFQ731-000709,V8_EXTRACTED,True,x731,CFG731_9d1ffcce07240574,CFG731_3611bb1fba248e38,101,1549,13
RFQ731-000714,V8_EXTRACTED,True,x731,CFG731_20fe81ae7d0a406e,CFG731_8d07e19298d09d34,25,1549,15
RFQ731-000716,V8_EXTRACTED,True,x731,CFG731_a59bfb67e03ca4c8,CFG731_6b36d25fda044bf5,16,1549,13
RFQ731-000726,V8_EXTRACTED,True,x731,CFG731_9676c8784fca6c61,CFG731_dc321f785d65411f,11,1549,14
RFQ731-000727,V8_EXTRACTED,True,x731,CFG731_ba522ec0a7a74924,CFG731_1f978c234895178c,35,1549,15
RFQ731-000730,V8_EXTRACTED,True,x731,CFG731_d4be02ad7e56a796,CFG731_3b2a32abbf148ca1,11,1549,16
RFQ731-000731,V8_EXTRACTED,True,G731ST-LT,CFG731_3c070a82e4102784,CFG731_32b4b1ec4513af66,20,153,14
RFQ731-000736,V8_EXTRACTED,True,x731,CFG731_8defc1a0775e52a5,CFG731_91e51485b56960b2,17,1549,13
RFQ731-000738,V8_EXTRACTED,True,x731,CFG731_ceb13e5602925e38,CFG731_5e61ce3b60d15e11,12,1549,14
RFQ731-000740,V8_EXTRACTED,True,x731,CFG731_33fed5318b1a4f2f,CFG731_8d07e19298d09d34,72,1549,13
RFQ731-000751,V8_EXTRACTED,True,x731,CFG731_eea573acdafa9ee3,CFG731_7630270d2245c283,12,1549,15
RFQ731-000752,V8_EXTRACTED,True,x731,CFG731_f9254a8bb3738033,CFG731_2e57977cf2dd500a,14,1549,15
RFQ731-000753,V8_EXTRACTED,True,x731,CFG731_75b93da9dd9b0316,CFG731_6f8c15548921e4c2,23,1549,12
RFQ731-000754,V8_EXTRACTED,True,G731ST-HT,CFG731_86a2340212c01d2a,CFG731_6e53621a73b55f2c,14,151,17
RFQ731-000756,V8_EXTRACTED,True,G731ST-HT,CFG731_ad49f2ad57627f46,CFG731_288e4c99b4e02895,39,151,12
RFQ731-000759,V8_EXTRACTED,True,x731,CFG731_aef3ebf3cdf884c1,CFG731_496bd7a964d6cd85,13,1549,14
RFQ731-000772,V8_EXTRACTED,True,x731,CFG731_565e3731063ff5c5,CFG731_8d07e19298d09d34,65,1549,14
RFQ731-000774,V8_EXTRACTED,True,x731,CFG731_d3db38843cf9fb81,CFG731_36d7686aca1200ae,159,1549,15
RFQ731-000782,V8_EXTRACTED,True,x731,CFG731_6472ab3bf7316498,CFG731_747411fe70ba8e8d,13,1549,12
RFQ731-000783,V8_EXTRACTED,True,x731,CFG731_daff07a8bdec497b,CFG731_9fcbeaf9d5010d3a,13,1549,13
RFQ731-000784,V8_EXTRACTED,True,x731,CFG731_bce0bc4b7b3a4799,CFG731_243419c6708378b3,17,1549,15
RFQ731-000787,V8_EXTRACTED,True,G731ST-LT,CFG731_214106ade9f79641,CFG731_515a31451814aae9,19,153,12
RFQ731-000796,V8_EXTRACTED,True,x731,CFG731_25b84d9ab233c6bf,CFG731_9fa436b39059149d,25,1549,10
RFQ731-000799,V8_EXTRACTED,True,x731,CFG731_4f57c7eb0fb7e785,CFG731_3b2a32abbf148ca1,24,1549,14
RFQ731-000800,V8_EXTRACTED,True,x731,CFG731_b3cd6a1a19fbc328,CFG731_70b38ab75d3ca724,11,1549,14
RFQ731-000803,V8_EXTRACTED,True,x731,CFG731_b3506a753aafcfa3,CFG731_c6a3ff6155563d17,11,1549,15
RFQ731-000804,V8_EXTRACTED,True,x731,CFG731_ab9e33e0db28df11,CFG731_fd3397424975992e,50,1549,13
RFQ731-000807,V8_EXTRACTED,True,G731ST-LT,CFG731_dac27b97cd6b7ff8,CFG731_49cd4cbef1081333,74,153,12
RFQ731-000812,V8_EXTRACTED,True,x731,CFG731_8d78781f8753b72a,CFG731_6f8c15548921e4c2,102,1549,12
RFQ731-000820,V8_EXTRACTED,True,G731ST-HT,CFG731_fab0d81b6a0ca4e0,CFG731_288e4c99b4e02895,12,151,12
RFQ731-000821,V8_EXTRACTED,True,G731ST-LT,CFG731_159f3a6877b5a5d2,CFG731_ef044db10b586894,21,153,12
RFQ731-000828,V8_EXTRACTED,True,x731,CFG731_78ea99817ca8be6a,CFG731_357a7724550c556f,148,1549,14
RFQ731-000832,V8_EXTRACTED,True,x731,CFG731_cb6654d77e7e4d72,CFG731_e8e7b7513a5c9544,17,1549,14
RFQ731-000834,V8_EXTRACTED,True,x731,CFG731_d8843ca5e91f93ae,CFG731_91e51485b56960b2,20,1549,9
RFQ731-000835,V8_EXTRACTED,True,G731ST-LT,CFG731_77fac91021549398,CFG731_49cd4cbef1081333,42,153,13
RFQ731-000836,V8_EXTRACTED,True,x731,CFG731_4ba013fed31fb45f,CFG731_f1355b6f00fd7f67,21,1549,13
RFQ731-000841,V8_EXTRACTED,True,x731,CFG731_3ac187941df4fdac,CFG731_6f8c15548921e4c2,25,1549,12
RFQ731-000842,V8_EXTRACTED,True,x731,CFG731_29521f988dd233e6,CFG731_3d652e6a54b1c68b,46,1549,15
RFQ731-000852,V8_EXTRACTED,True,x731,CFG731_bb4f0886ba308d63,CFG731_27b6b45b43224be7,12,1549,13
RFQ731-000853,V8_EXTRACTED,True,x731,CFG731_eea9998b9f9a0bdb,CFG731_135ddf5639321fb6,16,1549,14
RFQ731-000854,V8_EXTRACTED,True,x731,CFG731_c775e192f3d489e9,CFG731_c3481d11b658e1e9,171,1549,12
RFQ731-000875,V8_EXTRACTED,True,x731,CFG731_b7c5e5eddd92ed3a,CFG731_94be99d48ade0efb,12,1549,15
RFQ731-000877,V8_EXTRACTED,True,x731,CFG731_4340f11ba9a46e42,CFG731_357a7724550c556f,60,1549,14
RFQ731-000887,V8_EXTRACTED,True,x731,CFG731_b418359232bf5862,CFG731_219ac3d01befd6d1,14,1549,15
RFQ731-000904,V8_EXTRACTED,True,x731,CFG731_d5a8b991307aace7,CFG731_3b2a32abbf148ca1,11,1549,16
RFQ731-000912,V8_EXTRACTED,True,x731,CFG731_631dadb7c0c7adf5,CFG731_70a71b60723e910d,27,1549,15
RFQ731-000914,V8_EXTRACTED,True,x731,CFG731_910ee0b4b8287063,CFG731_cf543b1c3927ab71,44,1549,13
RFQ731-000921,V8_EXTRACTED,True,G731ST-LT,CFG731_9548d55d92816998,CFG731_49cd4cbef1081333,47,153,14
RFQ731-000922,V8_EXTRACTED,True,x731,CFG731_910ee0b4b8287063,CFG731_ac352f2a7f2cc7ab,11,1549,14
RFQ731-000923,V8_EXTRACTED,True,G731ST-LT,CFG731_58b9913d8024b015,CFG731_32b4b1ec4513af66,12,153,13
RFQ731-000924,V8_EXTRACTED,True,x731,CFG731_1434e7eedafa69d1,CFG731_f1355b6f00fd7f67,347,1549,12
RFQ731-000929,V8_EXTRACTED,True,x731,CFG731_5feb84333ab424ba,CFG731_8c50542218db5cb0,40,1549,16
RFQ731-000931,V8_EXTRACTED,True,x731,CFG731_b761b914f76d159e,CFG731_927f189839c665ae,19,1549,12
RFQ731-000932,V8_EXTRACTED,True,x731,CFG731_f879c0aaba152069,CFG731_27b6b45b43224be7,12,1549,14
RFQ731-000934,V8_EXTRACTED,True,x731,CFG731_ade755d80d357018,CFG731_3b2a32abbf148ca1,35,1549,15
RFQ731-000960,V8_EXTRACTED,True,G731ST-LT,CFG731_515a31451814aae9,CFG731_32b4b1ec4513af66,50,153,14
RFQ731-000963,V8_EXTRACTED,True,x731,CFG731_0ef26d136a7182e8,CFG731_8d07e19298d09d34,17,1549,13
RFQ731-000964,V8_EXTRACTED,True,x731,CFG731_3ada8d565667279d,CFG731_da02526d254e2e35,44,1549,14
RFQ731-000968,V8_EXTRACTED,True,G731ST-HT,CFG731_ad85e442c9239be7,CFG731_b3ed2928d6d65710,17,151,12
RFQ731-000971,V8_EXTRACTED,True,G731ST-LT,CFG731_9c6b16fef6d02aaf,CFG731_32b4b1ec4513af66,39,153,12
RFQ731-000973,V8_EXTRACTED,True,x731,CFG731_c775e192f3d489e9,CFG731_241d60e6ef5278be,16,1549,13
RFQ731-000977,V8_EXTRACTED,True,x731,CFG731_8634a8a0a780401d,CFG731_241d60e6ef5278be,31,1549,14
RFQ731-000995,V8_EXTRACTED,True,x731,CFG731_6472ab3bf7316498,CFG731_747411fe70ba8e8d,19,1549,9
RFQ731-000998,V8_EXTRACTED,True,x731,CFG731_a7aba912cacdcceb,CFG731_219ac3d01befd6d1,16,1549,10
RFQ731-001000,V8_EXTRACTED,True,G731ST-HT,CFG731_a69c8345e2cbb480,CFG731_076cad91966d4c34,19,151,16
RFQ731-001005,V8_EXTRACTED,True,x731,CFG731_9ccdadb28a07accd,CFG731_2e57977cf2dd500a,93,1549,12
RFQ731-001011,V8_EXTRACTED,True,x731,CFG731_91a62b1e0bf4bbce,CFG731_3b2a32abbf148ca1,68,1549,10
RFQ731-001017,V8_EXTRACTED,True,x731,CFG731_98e30468f83e5da1,CFG731_c1d02f1d1235ec05,11,1549,12
RFQ731-001021,V8_EXTRACTED,True,x731,CFG731_d258fff6b39ba941,CFG731_31aa13473958d7d3,12,1549,15
RFQ731-001028,V8_EXTRACTED,True,x731,CFG731_3a955b973baab5a5,CFG731_5e61ce3b60d15e11,31,1549,16
