rfq_id,true_configuration_id,recommended_configuration_id,true_package,recommended_package,top1_score,top1_matches,top1_contradictions,top1_coverage,true_rank,requirements_used
RFQ731-000073,CFG731_1c1fb7a32bf0146b,CFG731_cf4bb519cec0df2f,x731,x731,62.88235294117647,16,0,0.9411764705882353,56,17
RFQ731-000074,CFG731_7994662aa688a3b5,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,47.84615384615385,12,0,0.9230769230769231,52,13
RFQ731-000075,CFG731_fa2849b259355775,CFG731_fa2849b259355775,x731,x731,53.0,14,0,1.0,1,14
RFQ731-000076,CFG731_a7d2a5a9ae465701,CFG731_a7d2a5a9ae465701,F731WD_SingleChannel,F731WD_SingleChannel,43.833333333333336,11,0,0.9166666666666666,1,12
RFQ731-000077,CFG731_a385518a9f31baa0,CFG731_a385518a9f31baa0,x731,x731,54.875,15,1,0.9375,1,16
RFQ731-000078,CFG731_5995fa9fd5d1242f,CFG731_a9f22ebc14287e5d,F731PW,F731PW,39.666666666666664,10,0,0.8333333333333334,2,12
RFQ731-000079,CFG731_6472ab3bf7316498,CFG731_2322a268d0a898f9,x731,x731,52.0,13,0,1.0,50,13
RFQ731-000080,CFG731_4fe142d593643ab8,CFG731_496bd7a964d6cd85,x731,x731,43.857142857142854,13,1,0.9285714285714286,15,14
RFQ731-000081,CFG731_a54fd8962307be18,CFG731_ae2e4cfccaff4f50,G731ST-LT,G731ST-LT,40.0,10,0,1.0,19,10
RFQ731-000082,CFG731_90035585549005ff,CFG731_226e375c4e7aa2a0,x731,x731,43.0,11,0,1.0,7,11
RFQ731-000083,CFG731_574aa7a29f75cd60,CFG731_574aa7a29f75cd60,F731TE,F731TE,49.0,12,0,1.0,1,12
RFQ731-000084,CFG731_5be5a82ac0b29989,CFG731_bba93a1b44b6ab73,x731,x731,29.692307692307693,11,2,0.8461538461538461,44,13
RFQ731-000085,CFG731_0aa987e1ae960c88,CFG731_abcee67081353f16,x731,x731,51.0,13,0,1.0,2,13
RFQ731-000086,CFG731_d3d0547b464f691d,CFG731_b97ce0f180acf155,G731CA,G731CA,40.0,10,0,1.0,3,10
RFQ731-000087,CFG731_6d44172bc82c7ed7,CFG731_cf4bb519cec0df2f,x731,x731,52.76470588235294,15,1,0.8823529411764706,2,17
RFQ731-000088,CFG731_0ce13abf777d04f9,CFG731_63eca10a00ae1f5d,G731ST-HT,G731ST-HT,58.0,15,0,1.0,2,15
RFQ731-000089,CFG731_4340f11ba9a46e42,CFG731_9fcbeaf9d5010d3a,x731,x731,56.0,14,0,1.0,3,14
RFQ731-000090,CFG731_260c36430f7c2d03,CFG731_14299a2a74e42d7f,x731,x731,38.84615384615385,12,1,0.9230769230769231,2,13
RFQ731-000091,CFG731_e6c0885eb14e429c,CFG731_e6c0885eb14e429c,G731ST-LT,G731ST-LT,52.0,13,0,1.0,1,13
RFQ731-000092,CFG731_a7a446c7f3b3183f,CFG731_a9ec8cda9130252f,x731,x731,37.833333333333336,11,1,0.9166666666666666,11,12
RFQ731-000093,CFG731_7f6c0412b6d497fb,CFG731_2e57977cf2dd500a,x731,x731,52.86666666666667,14,0,0.9333333333333333,108,15
RFQ731-000094,CFG731_0738cd529389f266,CFG731_0738cd529389f266,G731CA,G731CA,51.857142857142854,13,0,0.9285714285714286,1,14
RFQ731-000095,CFG731_235ee3a364b5b6ec,CFG731_e8e7b7513a5c9544,x731,x731,36.714285714285715,12,2,0.8571428571428571,23,14
RFQ731-000096,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,G731ST-LT,G731ST-LT,52.0,13,0,1.0,1,13
RFQ731-000097,CFG731_78ea99817ca8be6a,CFG731_357a7724550c556f,x731,x731,53.0,13,0,1.0,81,13
RFQ731-000098,CFG731_dde2f7fe043f7ade,CFG731_7b2f69a7ca55041b,G731ST-HT,G731ST-HT,60.875,15,0,0.9375,34,16
RFQ731-000099,CFG731_917fc613cc9bf56a,CFG731_7ffc09802c7b60bf,x731,x731,57.77777777777778,16,1,0.8888888888888888,52,18
RFQ731-000100,CFG731_35ed22cad11f9a11,CFG731_35ed22cad11f9a11,F731WD_DualChannel,F731WD_DualChannel,38.833333333333336,11,1,0.9166666666666666,1,12
RFQ731-000101,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,F731WD_DualChannel,F731WD_DualChannel,51.733333333333334,13,0,0.8666666666666667,1,15
RFQ731-000102,CFG731_7afa5501026394f9,CFG731_6526112621a9ee97,x731,x731,40.84615384615385,12,1,0.9230769230769231,16,13
RFQ731-000103,CFG731_6942facbe6ebb88b,CFG731_7521d5a6673c8628,x731,x731,50.0,13,0,1.0,14,13
RFQ731-000104,CFG731_d3d0547b464f691d,CFG731_b97ce0f180acf155,G731CA,G731CA,44.0,11,0,1.0,3,11
RFQ731-000105,CFG731_098817d766a37bc2,CFG731_0fdf5c36c9c41e69,G731ST-LT,G731ST-LT,39.529411764705884,13,2,0.7647058823529411,8,17
RFQ731-000106,CFG731_70b6eaf9262ca4d0,CFG731_11c93eca01984a14,F731WD_SingleChannel,F731WD_SingleChannel,48.0,12,0,1.0,3,12
RFQ731-000107,CFG731_b3506a753aafcfa3,CFG731_b3506a753aafcfa3,x731,x731,47.714285714285715,12,0,0.8571428571428571,1,14
RFQ731-000108,CFG731_cf4bb519cec0df2f,CFG731_cf4bb519cec0df2f,x731,x731,56.875,15,0,0.9375,1,16
RFQ731-000109,CFG731_8d78781f8753b72a,CFG731_34e092c266a308aa,x731,x731,55.0,14,0,1.0,21,14
RFQ731-000110,CFG731_187ec74b5c4854aa,CFG731_c3481d11b658e1e9,x731,x731,56.0,14,0,1.0,7,14
RFQ731-000111,CFG731_2e5bd0d53757f625,CFG731_2e5bd0d53757f625,x731,x731,55.86666666666667,14,0,0.9333333333333333,1,15
RFQ731-000112,CFG731_6084e24782dc3f55,CFG731_219ac3d01befd6d1,x731,x731,43.733333333333334,13,1,0.8666666666666667,43,15
RFQ731-000113,CFG731_4ca309199387f8d5,CFG731_4ca309199387f8d5,F731WD_SingleChannel,F731WD_SingleChannel,38.833333333333336,11,1,0.9166666666666666,1,12
RFQ731-000114,CFG731_7bb5689e4b06bfe5,CFG731_482678d927834b42,x731,x731,45.0,12,0,1.0,3,12
RFQ731-000115,CFG731_6920f76e20b3b3ac,CFG731_6bdadac99b2f7b39,x731,x731,36.69230769230769,11,1,0.8461538461538461,7,13
RFQ731-000116,CFG731_abcee67081353f16,CFG731_abcee67081353f16,x731,x731,63.0,16,0,1.0,1,16
RFQ731-000117,CFG731_5882bd12beb09203,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,G731ST-HT,37.833333333333336,11,1,0.9166666666666666,11,12
RFQ731-000118,CFG731_bc9146cb8459e9c2,CFG731_0fdf5c36c9c41e69,G731ST-LT,G731ST-LT,49.75,14,1,0.875,8,16
RFQ731-000119,CFG731_bbffb73f3dff6787,CFG731_bbffb73f3dff6787,G731ST-HT,G731ST-HT,49.86666666666667,14,1,0.9333333333333333,1,15
RFQ731-000120,CFG731_b5710e5f11e2cbc2,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,G731ST-HT,38.69230769230769,11,1,0.8461538461538461,15,13
RFQ731-000121,CFG731_a89154111c50850c,CFG731_05cf1a0209b4f9a8,x731,x731,51.875,15,1,0.9375,26,16
RFQ731-000122,CFG731_0be7d6198235486b,CFG731_11c93eca01984a14,F731WD_SingleChannel,F731WD_SingleChannel,40.0,10,0,1.0,4,10
RFQ731-000123,CFG731_56310c55a01272a3,CFG731_6f8c15548921e4c2,x731,x731,48.0,12,0,1.0,13,12
RFQ731-000124,CFG731_acbf4c45af55caad,CFG731_b97ce0f180acf155,G731CA,G731CA,41.84615384615385,12,1,0.9230769230769231,5,13
RFQ731-000125,CFG731_6b5f6983490bc595,CFG731_9e4fccece4d272d3,x731,x731,44.857142857142854,13,1,0.9285714285714286,51,14
RFQ731-000126,CFG731_92efd7a3c43da152,CFG731_a9f22ebc14287e5d,F731PW,F731PW,30.384615384615383,9,1,0.6923076923076923,7,13
RFQ731-000127,CFG731_9ccdadb28a07accd,CFG731_5ea309f998205da7,x731,x731,49.86666666666667,14,1,0.9333333333333333,17,15
RFQ731-000128,CFG731_b2ad61cdb45a54fb,CFG731_e8e7b7513a5c9544,x731,x731,34.714285714285715,12,2,0.8571428571428571,7,14
RFQ731-000129,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,F731TE,F731TE,36.6,12,2,0.8,1,15
RFQ731-000130,CFG731_32b4b1ec4513af66,CFG731_32b4b1ec4513af66,G731ST-LT,G731ST-LT,52.875,15,1,0.9375,1,16
RFQ731-000131,CFG731_403f51b2e914043b,CFG731_b30ceef5c5f902ca,G731ST-HT,G731ST-HT,49.0,12,0,1.0,29,12
RFQ731-000132,CFG731_87ce9768865f4127,CFG731_620cb319c2b7c332,x731,x731,52.857142857142854,13,0,0.9285714285714286,10,14
RFQ731-000133,CFG731_fa6ab94f1cf566b3,CFG731_a57ffd88d58eb498,G731ST-LT,G731ST-LT,41.714285714285715,12,1,0.8571428571428571,3,14
RFQ731-000134,CFG731_5de6ca53a86b09c9,CFG731_6b809c836e3ca8a1,x731,x731,45.857142857142854,13,1,0.9285714285714286,2,14
RFQ731-000135,CFG731_ede0b25f5f83644d,CFG731_8c50542218db5cb0,x731,x731,46.733333333333334,13,1,0.8666666666666667,101,15
RFQ731-000136,CFG731_9ccdadb28a07accd,CFG731_5ea309f998205da7,x731,x731,48.857142857142854,13,0,0.9285714285714286,9,14
RFQ731-000137,CFG731_efc9d6b915117e15,CFG731_efc9d6b915117e15,x731,x731,59.0,15,0,1.0,1,15
RFQ731-000138,CFG731_ee8e327bbb737abf,CFG731_6357400dd5c2804a,F731WD_SingleChannel,F731WD_SingleChannel,40.0,10,0,1.0,5,10
RFQ731-000139,CFG731_72fe206df86509f8,CFG731_d3db38843cf9fb81,x731,x731,35.714285714285715,12,2,0.8571428571428571,38,14
RFQ731-000140,CFG731_175641fe8d1c7f37,CFG731_175641fe8d1c7f37,G731ST-LT,G731ST-LT,52.0,13,0,1.0,1,13
RFQ731-000141,CFG731_b7a7770d19b6f648,CFG731_e2d64e127f97296d,G731ST-HT,G731ST-HT,43.833333333333336,11,0,0.9166666666666666,62,12
RFQ731-000142,CFG731_e3b7a52ea0694eb1,CFG731_9be0c5ce20280448,x731,x731,40.714285714285715,12,1,0.8571428571428571,3,14
RFQ731-000143,CFG731_8e5ce09a779d2284,CFG731_91e51485b56960b2,x731,x731,53.0,14,0,1.0,6,14
RFQ731-000144,CFG731_2683cf7e09782f5e,CFG731_2683cf7e09782f5e,x731,x731,55.77777777777778,16,1,0.8888888888888888,1,18
RFQ731-000145,CFG731_1d294b2de760852b,CFG731_fa2849b259355775,x731,x731,49.86666666666667,14,1,0.9333333333333333,6,15
RFQ731-000146,CFG731_fd10dd35c97df399,CFG731_8d07e19298d09d34,x731,x731,43.75,14,2,0.875,24,16
RFQ731-000147,CFG731_b83ac25dbd4e47ee,CFG731_91e51485b56960b2,x731,x731,58.0,15,0,1.0,5,15
RFQ731-000148,CFG731_1b8054cb5a92e4fa,CFG731_04a53b6cc81d57d6,x731,x731,39.714285714285715,12,1,0.8571428571428571,49,14
RFQ731-000149,CFG731_88a813121973f952,CFG731_e049618b920d59b6,x731,x731,52.76470588235294,15,1,0.8823529411764706,5,17
RFQ731-000150,CFG731_ef02695e374fc418,CFG731_c39096767a7ae083,x731,x731,55.0,14,0,1.0,5,14
RFQ731-000151,CFG731_819cb4e76943eca6,CFG731_819cb4e76943eca6,F731WD_DualChannel,F731WD_DualChannel,49.0,12,0,1.0,1,12
RFQ731-000152,CFG731_bd51fba2aacb1a3c,CFG731_fd3397424975992e,x731,x731,44.857142857142854,13,1,0.9285714285714286,17,14
RFQ731-000153,CFG731_0fbee36816b7af98,CFG731_0fbee36816b7af98,x731,x731,52.76470588235294,15,1,0.8823529411764706,1,17
RFQ731-000154,CFG731_24b3128196e55c23,CFG731_691a8f2ff165671d,G731CA,G731CA,45.0,11,0,1.0,7,11
RFQ731-000155,CFG731_00533f723f7496de,CFG731_32b4b1ec4513af66,G731ST-LT,G731ST-LT,45.733333333333334,13,1,0.8666666666666667,15,15
RFQ731-000156,CFG731_91e51485b56960b2,CFG731_91e51485b56960b2,x731,x731,54.77777777777778,16,1,0.8888888888888888,1,18
RFQ731-000157,CFG731_97c654bf006e698e,CFG731_97c654bf006e698e,x731,x731,50.0,13,0,1.0,1,13
RFQ731-000158,CFG731_695e540255cc94da,CFG731_3b2a32abbf148ca1,x731,x731,42.84615384615385,12,1,0.9230769230769231,33,13
RFQ731-000159,CFG731_fa6b5a7df55858c0,CFG731_e049618b920d59b6,x731,x731,48.75,14,1,0.875,6,16
RFQ731-000160,CFG731_5331dc313830f4cb,CFG731_b4987f1c95e91d0d,x731,x731,53.76470588235294,15,1,0.8823529411764706,9,17
RFQ731-000161,CFG731_e201a8a6e4588b00,CFG731_9fcbeaf9d5010d3a,x731,x731,46.84615384615385,12,0,0.9230769230769231,5,13
RFQ731-000162,CFG731_65da22cd215fbcf6,CFG731_5dd42015f6f61801,x731,x731,59.78947368421053,17,1,0.8947368421052632,8,19
RFQ731-000163,CFG731_49cd4cbef1081333,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,50.857142857142854,13,0,0.9285714285714286,1,14
RFQ731-000164,CFG731_9c182e1af1606c9d,CFG731_9c182e1af1606c9d,x731,x731,45.857142857142854,13,1,0.9285714285714286,1,14
RFQ731-000165,CFG731_00e033bb831be6d5,CFG731_6cc2f5d089c01baf,G731ST-HT,G731ST-HT,41.714285714285715,12,1,0.8571428571428571,9,14
RFQ731-000166,CFG731_d0bd848c8f934b33,CFG731_f4856d563cc31f77,x731,x731,39.84615384615385,12,1,0.9230769230769231,20,13
RFQ731-000167,CFG731_c41fd04f9eea78e7,CFG731_c41fd04f9eea78e7,x731,x731,54.0,13,0,1.0,1,13
RFQ731-000168,CFG731_6b36d25fda044bf5,CFG731_6b36d25fda044bf5,x731,x731,59.0,15,0,1.0,1,15
RFQ731-000169,CFG731_b3ed2928d6d65710,CFG731_b3ed2928d6d65710,G731ST-HT,G731ST-HT,51.0,13,0,1.0,1,13
RFQ731-000170,CFG731_e98d2be876599c40,CFG731_a7d2a5a9ae465701,F731WD_SingleChannel,F731WD_SingleChannel,44.69230769230769,11,0,0.8461538461538461,3,13
RFQ731-000171,CFG731_956456fc074ebc5a,CFG731_a9f22ebc14287e5d,F731PW,F731PW,35.8,9,0,0.9,4,10
RFQ731-000172,CFG731_9d1ffcce07240574,CFG731_219ac3d01befd6d1,x731,x731,53.875,15,1,0.9375,7,16
RFQ731-000173,CFG731_1b33a9ed446bc0fd,CFG731_b3ed2928d6d65710,G731ST-HT,G731ST-HT,38.0,9,0,1.0,10,9
RFQ731-000174,CFG731_d05c8278d6301e9d,CFG731_c11c5ee5deff9a1e,x731,x731,37.733333333333334,13,2,0.8666666666666667,14,15
RFQ731-000175,CFG731_0fdf5c36c9c41e69,CFG731_0fdf5c36c9c41e69,G731ST-LT,G731ST-LT,54.86666666666667,14,0,0.9333333333333333,1,15
RFQ731-000176,CFG731_84b16be5aab3bf9b,CFG731_2a989bd6dba74d9f,G731ST-HT,G731ST-HT,54.0,14,0,1.0,5,14
RFQ731-000177,CFG731_4e6e53642a913f1a,CFG731_747411fe70ba8e8d,x731,x731,40.0,10,0,1.0,37,10
RFQ731-000178,CFG731_cccd499c66b31e99,CFG731_5e61ce3b60d15e11,x731,x731,52.875,15,1,0.9375,2,16
RFQ731-000179,CFG731_fd7b09f495a568bc,CFG731_6526112621a9ee97,x731,x731,47.84615384615385,12,0,0.9230769230769231,92,13
RFQ731-000180,CFG731_75db38d1df65a8f3,CFG731_ae2e4cfccaff4f50,G731ST-LT,G731ST-LT,47.84615384615385,12,0,0.9230769230769231,9,13
RFQ731-000181,CFG731_5be5a82ac0b29989,CFG731_e8e7b7513a5c9544,x731,x731,28.666666666666668,10,2,0.8333333333333334,15,12
RFQ731-000182,CFG731_7c35d25e0c12df82,CFG731_3b2a32abbf148ca1,x731,x731,53.875,15,1,0.9375,3,16
RFQ731-000183,CFG731_db395082b1a3b8ac,CFG731_89772de94df83ba5,x731,x731,48.86666666666667,14,1,0.9333333333333333,168,15
RFQ731-000184,CFG731_9cedc4ecc45a4b46,CFG731_23aa00a5306a83b2,x731,x731,46.0,12,0,1.0,68,12
RFQ731-000185,CFG731_cbcc0cf44cde6b53,CFG731_2683cf7e09782f5e,x731,x731,49.86666666666667,14,1,0.9333333333333333,7,15
RFQ731-000186,CFG731_0ef26d136a7182e8,CFG731_353333bad447dbef,x731,x731,45.857142857142854,13,1,0.9285714285714286,6,14
RFQ731-000187,CFG731_56f0dbd067fcbe02,CFG731_12089d5d54f581ac,x731,x731,42.714285714285715,12,1,0.8571428571428571,20,14
RFQ731-000188,CFG731_a1cadf8c4a6793ba,CFG731_9e4fccece4d272d3,x731,x731,51.0,13,0,1.0,95,13
