rfq_id,true_configuration_id,true_package,true_rank,recommended_configuration_id,recommended_package,requirements_used
RFQ731-000336,CFG731_2a738780f0517f67,G731ST-LT,25,CFG731_49cd4cbef1081333,G731ST-LT,15
RFQ731-000349,CFG731_edf13ed38a4b54de,G731CA,18,CFG731_b43582909c828d95,G731CA,13
RFQ731-000350,CFG731_90dc5a2ccc9e8c22,x731,111,CFG731_9e4fccece4d272d3,x731,16
RFQ731-000357,CFG731_ff04d32ca467d2a5,G731ST-HT,16,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,14
RFQ731-000360,CFG731_9a5bfa9148a9b604,x731,124,CFG731_6b5f6983490bc595,x731,12
RFQ731-000361,CFG731_162b59c5f8cf5a72,x731,15,CFG731_9fa436b39059149d,x731,13
RFQ731-000367,CFG731_05cddc1cd5eab9c6,x731,21,CFG731_5cfa203ca7029f1c,x731,12
RFQ731-000371,CFG731_0e65994bfbb04e39,x731,50,CFG731_94be99d48ade0efb,x731,15
RFQ731-000375,CFG731_7a885e8a3e0ce8ad,x731,46,CFG731_9db378257f9cf6a7,x731,13
RFQ731-000376,CFG731_45106eaed87837a4,x731,40,CFG731_357a7724550c556f,x731,14
RFQ731-000377,CFG731_ecb8a8742e9204c7,x731,12,CFG731_5e61ce3b60d15e11,x731,16
RFQ731-000384,CFG731_671960d0fb04b698,G731ST-LT,12,CFG731_49cd4cbef1081333,G731ST-LT,16
RFQ731-000386,CFG731_18e687233239e907,x731,27,CFG731_e8e7b7513a5c9544,x731,17
RFQ731-000387,CFG731_736953a253ffd341,x731,48,CFG731_1f0c09edcd967945,x731,12
RFQ731-000394,CFG731_2e60fd0380ec7150,x731,56,CFG731_d9c736acc178c66d,x731,16
RFQ731-000395,CFG731_af36a6c70f11950b,x731,24,CFG731_12089d5d54f581ac,x731,13
RFQ731-000399,CFG731_df5f598a914fb1cc,x731,100,CFG731_28ac43a93658ad6b,x731,15
RFQ731-000400,CFG731_fd10dd35c97df399,x731,24,CFG731_e8e7b7513a5c9544,x731,13
RFQ731-000405,CFG731_235ee3a364b5b6ec,x731,23,CFG731_e8e7b7513a5c9544,x731,14
RFQ731-000408,CFG731_162b59c5f8cf5a72,x731,107,CFG731_482678d927834b42,x731,12
RFQ731-000410,CFG731_6ad3ec8ed100118e,x731,13,CFG731_89772de94df83ba5,x731,16
RFQ731-000413,CFG731_66527c2cd3f93f64,x731,15,CFG731_496bd7a964d6cd85,x731,15
RFQ731-000416,CFG731_ef02695e374fc418,x731,24,CFG731_c39096767a7ae083,x731,16
RFQ731-000420,CFG731_c9829182065e0285,x731,15,CFG731_91e51485b56960b2,x731,11
RFQ731-000421,CFG731_403f51b2e914043b,G731ST-HT,11,CFG731_bbffb73f3dff6787,G731ST-HT,14
RFQ731-000431,CFG731_091f946b84ae26df,x731,41,CFG731_c517a14f9cf12c39,x731,13
RFQ731-000440,CFG731_fd10dd35c97df399,x731,24,CFG731_e8e7b7513a5c9544,x731,14
RFQ731-000447,CFG731_bac2c72e10051b21,x731,11,CFG731_f0cf22354800092d,x731,12
RFQ731-000457,CFG731_cf57963000260b1d,x731,16,CFG731_a41fe4e67e82e94f,x731,16
RFQ731-000460,CFG731_d0927fe178fd9279,x731,101,CFG731_c3481d11b658e1e9,x731,15
RFQ731-000461,CFG731_450eff458b4fe00f,x731,54,CFG731_1f978c234895178c,x731,15
RFQ731-000463,CFG731_1feda2f4109d616a,G731ST-LT,23,CFG731_ae2e4cfccaff4f50,G731ST-LT,12
RFQ731-000467,CFG731_db983e07a279051a,x731,14,CFG731_ef980c35ed5ff3e4,x731,15
RFQ731-000469,CFG731_cb6654d77e7e4d72,x731,17,CFG731_6bdadac99b2f7b39,x731,15
RFQ731-000470,CFG731_aa7f1abab518f995,x731,394,CFG731_c3481d11b658e1e9,x731,14
RFQ731-000472,CFG731_c5da2661a169f82b,G731ST-LT,24,CFG731_455da2f832a6b66d,G731ST-LT,15
RFQ731-000473,CFG731_a38141e3f47b5259,x731,11,CFG731_8d07e19298d09d34,x731,14
RFQ731-000476,CFG731_260c36430f7c2d03,x731,143,CFG731_9db378257f9cf6a7,x731,13
RFQ731-000477,CFG731_4b2c0e571415f5cc,G731ST-HT,12,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,12
RFQ731-000481,CFG731_5fb1bce2eb72cec6,x731,16,CFG731_9a0f0b26c7f24725,x731,14
RFQ731-000482,CFG731_c348ae803bb36511,x731,28,CFG731_3662a471d9ce3167,x731,17
RFQ731-000483,CFG731_f84a3b5f8ae2ffee,x731,11,CFG731_6bdadac99b2f7b39,x731,15
RFQ731-000485,CFG731_f4e451f0b68379ff,x731,128,CFG731_620cb319c2b7c332,x731,14
RFQ731-000486,CFG731_6077133dce604e06,x731,14,CFG731_3fe779486d988e69,x731,15
RFQ731-000488,CFG731_631ccc0b317dc962,x731,11,CFG731_2322a268d0a898f9,x731,12
RFQ731-000489,CFG731_10dc89dcc8388903,x731,35,CFG731_5ae746dac49a854b,x731,16
RFQ731-000491,CFG731_7d4c803343a40a05,x731,38,CFG731_3b2a32abbf148ca1,x731,14
RFQ731-000492,CFG731_5d2495d91e9fa868,x731,23,CFG731_27b6b45b43224be7,x731,12
RFQ731-000513,CFG731_7203705eed387b0a,G731ST-LT,34,CFG731_32b4b1ec4513af66,G731ST-LT,15
RFQ731-000515,CFG731_edf13ed38a4b54de,G731CA,21,CFG731_b97ce0f180acf155,G731CA,13
RFQ731-000516,CFG731_97796c9ac2811c94,x731,22,CFG731_32b1041fd68aac23,x731,16
RFQ731-000517,CFG731_95e2d680672ff303,x731,15,CFG731_bcf12907155d8b64,x731,14
RFQ731-000521,CFG731_b228aa35c0b027ac,x731,11,CFG731_e8e7b7513a5c9544,x731,15
RFQ731-000528,CFG731_932b427eaa87c8fa,x731,26,CFG731_36d7686aca1200ae,x731,14
RFQ731-000535,CFG731_ef2da8cd513b19be,x731,60,CFG731_9be0c5ce20280448,x731,13
RFQ731-000557,CFG731_3c91fea3668ca75e,x731,29,CFG731_e8e7b7513a5c9544,x731,15
RFQ731-000561,CFG731_27ec8892eacc701d,x731,19,CFG731_5b4a5fddf8aa5e11,x731,13
RFQ731-000566,CFG731_b8db8783f5774853,x731,13,CFG731_f97e51d1da57d99f,x731,16
RFQ731-000568,CFG731_ad49f2ad57627f46,G731ST-HT,23,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,13
RFQ731-000569,CFG731_ed09f23d3bc16841,G731ST-HT,71,CFG731_e2d64e127f97296d,G731ST-HT,12
RFQ731-000577,CFG731_27f3f9fc0b2e1643,x731,45,CFG731_3b2a32abbf148ca1,x731,17
RFQ731-000578,CFG731_dbb33a574e3ad4d8,x731,19,CFG731_f1355b6f00fd7f67,x731,12
RFQ731-000584,CFG731_274085596a46ecf6,x731,12,CFG731_3b2a32abbf148ca1,x731,16
RFQ731-000585,CFG731_8d2d91c46ccfb471,x731,11,CFG731_79d5571d44c945f6,x731,19
RFQ731-000590,CFG731_187ec74b5c4854aa,x731,17,CFG731_c3481d11b658e1e9,x731,13
RFQ731-000599,CFG731_f0b756a84ac83cc9,x731,27,CFG731_219ac3d01befd6d1,x731,15
RFQ731-000602,CFG731_31ef54b8ab17d3bb,x731,141,CFG731_219ac3d01befd6d1,x731,14
RFQ731-000603,CFG731_7d1aac31230162fc,x731,159,CFG731_83f956404d04e6cd,x731,15
RFQ731-000604,CFG731_4fe142d593643ab8,x731,13,CFG731_496bd7a964d6cd85,x731,14
RFQ731-000612,CFG731_341c747ed8aff14e,x731,164,CFG731_f1355b6f00fd7f67,x731,14
RFQ731-000619,CFG731_5be5a82ac0b29989,x731,23,CFG731_8d07e19298d09d34,x731,14
RFQ731-000621,CFG731_0dd81a588b2a1411,G731ST-LT,20,CFG731_0fdf5c36c9c41e69,G731ST-LT,15
RFQ731-000628,CFG731_27279ceeaa7fc1fe,x731,11,CFG731_9fa436b39059149d,x731,13
RFQ731-000634,CFG731_ad6f77e09c551945,G731ST-LT,25,CFG731_0fdf5c36c9c41e69,G731ST-LT,12
RFQ731-000639,CFG731_c108b657efc147c3,x731,13,CFG731_fd3397424975992e,x731,16
RFQ731-000649,CFG731_f8cc7d4d2ef53582,x731,64,CFG731_214b093bf98ca9ef,x731,14
RFQ731-000659,CFG731_ae1c24f394311970,x731,25,CFG731_27b6b45b43224be7,x731,13
RFQ731-000660,CFG731_ae1f3e9a90950fc3,x731,14,CFG731_243419c6708378b3,x731,16
RFQ731-000668,CFG731_5bfe9492c76587ec,G731CA,19,CFG731_b97ce0f180acf155,G731CA,13
RFQ731-000669,CFG731_10829a99d0812ab9,x731,30,CFG731_3b2a32abbf148ca1,x731,11
RFQ731-000675,CFG731_6ad3ec8ed100118e,x731,109,CFG731_509cb555eca833a1,x731,15
RFQ731-000676,CFG731_f2f16ec6756d8443,x731,61,CFG731_60f3aae8ede70fe0,x731,15
RFQ731-000678,CFG731_98ec9650b5463fd0,G731CA,11,CFG731_0738cd529389f266,G731CA,11
RFQ731-000679,CFG731_8b6eb20d56ad0a7c,x731,125,CFG731_5e61ce3b60d15e11,x731,16
RFQ731-000687,CFG731_77fac91021549398,G731ST-LT,12,CFG731_49cd4cbef1081333,G731ST-LT,16
RFQ731-000689,CFG731_76d13dd0246c6ccc,x731,160,CFG731_927f189839c665ae,x731,12
RFQ731-000703,CFG731_c42374cc9dea3494,x731,12,CFG731_f430d8ebe4134533,x731,15
RFQ731-000704,CFG731_ae226e31119be9bd,x731,34,CFG731_3b2a32abbf148ca1,x731,14
RFQ731-000709,CFG731_9d1ffcce07240574,x731,92,CFG731_3611bb1fba248e38,x731,13
RFQ731-000710,CFG731_d982a98f914f0a87,G731ST-LT,12,CFG731_32b4b1ec4513af66,G731ST-LT,13
RFQ731-000715,CFG731_671960d0fb04b698,G731ST-LT,11,CFG731_49cd4cbef1081333,G731ST-LT,14
RFQ731-000716,CFG731_a59bfb67e03ca4c8,x731,107,CFG731_6b36d25fda044bf5,x731,13
RFQ731-000727,CFG731_ba522ec0a7a74924,x731,40,CFG731_1f978c234895178c,x731,15
RFQ731-000730,CFG731_d4be02ad7e56a796,x731,11,CFG731_3b2a32abbf148ca1,x731,16
RFQ731-000731,CFG731_3c070a82e4102784,G731ST-LT,37,CFG731_32b4b1ec4513af66,G731ST-LT,14
RFQ731-000735,CFG731_9c6b16fef6d02aaf,G731ST-LT,13,CFG731_32b4b1ec4513af66,G731ST-LT,13
RFQ731-000736,CFG731_8defc1a0775e52a5,x731,128,CFG731_91e51485b56960b2,x731,13
RFQ731-000738,CFG731_ceb13e5602925e38,x731,22,CFG731_5e61ce3b60d15e11,x731,14
RFQ731-000740,CFG731_33fed5318b1a4f2f,x731,80,CFG731_8d07e19298d09d34,x731,13
RFQ731-000749,CFG731_2a6e9b57f90048ca,x731,21,CFG731_241d60e6ef5278be,x731,17
RFQ731-000751,CFG731_eea573acdafa9ee3,x731,15,CFG731_6b36d25fda044bf5,x731,15
RFQ731-000753,CFG731_75b93da9dd9b0316,x731,23,CFG731_6f8c15548921e4c2,x731,12
RFQ731-000754,CFG731_86a2340212c01d2a,G731ST-HT,21,CFG731_e2d64e127f97296d,G731ST-HT,17
RFQ731-000756,CFG731_ad49f2ad57627f46,G731ST-HT,35,CFG731_288e4c99b4e02895,G731ST-HT,12
RFQ731-000759,CFG731_aef3ebf3cdf884c1,x731,13,CFG731_496bd7a964d6cd85,x731,14
RFQ731-000767,CFG731_75466cb810218a66,x731,19,CFG731_9fcbeaf9d5010d3a,x731,14
RFQ731-000772,CFG731_565e3731063ff5c5,x731,55,CFG731_8d07e19298d09d34,x731,14
RFQ731-000774,CFG731_d3db38843cf9fb81,x731,172,CFG731_36d7686aca1200ae,x731,15
RFQ731-000779,CFG731_ade755d80d357018,x731,21,CFG731_620cb319c2b7c332,x731,14
RFQ731-000782,CFG731_6472ab3bf7316498,x731,13,CFG731_747411fe70ba8e8d,x731,12
RFQ731-000783,CFG731_daff07a8bdec497b,x731,67,CFG731_9fcbeaf9d5010d3a,x731,13
RFQ731-000784,CFG731_bce0bc4b7b3a4799,x731,22,CFG731_243419c6708378b3,x731,15
RFQ731-000787,CFG731_214106ade9f79641,G731ST-LT,36,CFG731_49cd4cbef1081333,G731ST-LT,12
RFQ731-000792,CFG731_1b365e0951e7dea4,x731,12,CFG731_784eb334d1d77ae7,x731,16
RFQ731-000796,CFG731_25b84d9ab233c6bf,x731,25,CFG731_9fa436b39059149d,x731,10
RFQ731-000798,CFG731_9fd2ebe15271fc33,x731,16,CFG731_27b6b45b43224be7,x731,16
RFQ731-000799,CFG731_4f57c7eb0fb7e785,x731,35,CFG731_3b2a32abbf148ca1,x731,14
RFQ731-000800,CFG731_b3cd6a1a19fbc328,x731,11,CFG731_70b38ab75d3ca724,x731,14
RFQ731-000804,CFG731_ab9e33e0db28df11,x731,17,CFG731_fd3397424975992e,x731,13
RFQ731-000807,CFG731_dac27b97cd6b7ff8,G731ST-LT,71,CFG731_49cd4cbef1081333,G731ST-LT,12
RFQ731-000812,CFG731_8d78781f8753b72a,x731,97,CFG731_6f8c15548921e4c2,x731,12
RFQ731-000813,CFG731_4189e4dbecbffadb,G731CA,11,CFG731_2aca30183aab25a9,G731CA,15
RFQ731-000814,CFG731_d71a39e1fcf17083,G731ST-HT,14,CFG731_bbffb73f3dff6787,G731ST-HT,14
RFQ731-000820,CFG731_fab0d81b6a0ca4e0,G731ST-HT,12,CFG731_288e4c99b4e02895,G731ST-HT,12
RFQ731-000821,CFG731_159f3a6877b5a5d2,G731ST-LT,21,CFG731_ef044db10b586894,G731ST-LT,12
RFQ731-000828,CFG731_78ea99817ca8be6a,x731,118,CFG731_357a7724550c556f,x731,14
RFQ731-000831,CFG731_9267914435603df0,x731,13,CFG731_89772de94df83ba5,x731,13
RFQ731-000832,CFG731_cb6654d77e7e4d72,x731,24,CFG731_e8e7b7513a5c9544,x731,14
RFQ731-000834,CFG731_d8843ca5e91f93ae,x731,20,CFG731_91e51485b56960b2,x731,9
RFQ731-000835,CFG731_77fac91021549398,G731ST-LT,37,CFG731_49cd4cbef1081333,G731ST-LT,13
RFQ731-000836,CFG731_4ba013fed31fb45f,x731,21,CFG731_f1355b6f00fd7f67,x731,13
RFQ731-000837,CFG731_7756caaf4e5e2963,x731,15,CFG731_516629085c122a4e,x731,16
RFQ731-000841,CFG731_3ac187941df4fdac,x731,25,CFG731_6f8c15548921e4c2,x731,12
RFQ731-000842,CFG731_29521f988dd233e6,x731,69,CFG731_c3481d11b658e1e9,x731,15
RFQ731-000849,CFG731_6d44172bc82c7ed7,x731,12,CFG731_cf4bb519cec0df2f,x731,16
RFQ731-000852,CFG731_bb4f0886ba308d63,x731,12,CFG731_27b6b45b43224be7,x731,13
RFQ731-000853,CFG731_eea9998b9f9a0bdb,x731,15,CFG731_135ddf5639321fb6,x731,14
RFQ731-000854,CFG731_c775e192f3d489e9,x731,195,CFG731_c3481d11b658e1e9,x731,12
RFQ731-000856,CFG731_ad49f2ad57627f46,G731ST-HT,11,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,14
RFQ731-000865,CFG731_9267914435603df0,x731,13,CFG731_89772de94df83ba5,x731,13
RFQ731-000875,CFG731_b7c5e5eddd92ed3a,x731,20,CFG731_c3481d11b658e1e9,x731,15
RFQ731-000877,CFG731_4340f11ba9a46e42,x731,58,CFG731_357a7724550c556f,x731,14
RFQ731-000887,CFG731_b418359232bf5862,x731,21,CFG731_219ac3d01befd6d1,x731,15
RFQ731-000889,CFG731_16b53411ff7f6c9b,G731CA,12,CFG731_0738cd529389f266,G731CA,13
RFQ731-000904,CFG731_d5a8b991307aace7,x731,13,CFG731_3b2a32abbf148ca1,x731,16
RFQ731-000914,CFG731_910ee0b4b8287063,x731,47,CFG731_cf543b1c3927ab71,x731,13
RFQ731-000918,CFG731_c3b5b1049b2ed7bb,x731,12,CFG731_747411fe70ba8e8d,x731,13
RFQ731-000920,CFG731_3d79b5ed69541acc,x731,17,CFG731_219ac3d01befd6d1,x731,15
RFQ731-000921,CFG731_9548d55d92816998,G731ST-LT,50,CFG731_49cd4cbef1081333,G731ST-LT,14
RFQ731-000922,CFG731_910ee0b4b8287063,x731,11,CFG731_ac352f2a7f2cc7ab,x731,14
RFQ731-000923,CFG731_58b9913d8024b015,G731ST-LT,12,CFG731_32b4b1ec4513af66,G731ST-LT,13
RFQ731-000924,CFG731_1434e7eedafa69d1,x731,304,CFG731_f1355b6f00fd7f67,x731,12
RFQ731-000929,CFG731_5feb84333ab424ba,x731,18,CFG731_8c50542218db5cb0,x731,16
RFQ731-000931,CFG731_b761b914f76d159e,x731,19,CFG731_927f189839c665ae,x731,12
RFQ731-000932,CFG731_f879c0aaba152069,x731,12,CFG731_27b6b45b43224be7,x731,14
