rfq_id,mode,package_aware,target_package,true_configuration_id,recommended_configuration_id,recommended_package,top_score,true_rank,candidate_count,requirement_count,mandatory_matches,mandatory_conflicts,preferred_matches,preferred_conflicts,refinement_distance,is_top1
RFQ731-000012,V8_EXTRACTED,False,x731,CFG731_6e27958dc8215006,CFG731_6e27958dc8215006,x731,155.42111205762797,1.0,148,16,11,0,5,0,0.0,True
RFQ731-000013,V8_EXTRACTED,False,x731,CFG731_6526112621a9ee97,CFG731_b86fda83f997f894,x731,143.12824713055952,19.0,138,15,10,0,5,0,0.0,False
RFQ731-000014,V8_EXTRACTED,False,x731,CFG731_5c624ef6fa2b6510,CFG731_7ffc09802c7b60bf,x731,133.78600490749042,39.0,132,18,9,0,7,2,1.6,False
RFQ731-000015,V8_EXTRACTED,False,x731,CFG731_5d255cf6dd296018,CFG731_d47fa87df22e968e,x731,119.08744697513153,10.0,184,15,8,0,6,1,0.0,False
RFQ731-000016,V8_EXTRACTED,False,x731,CFG731_ef02695e374fc418,CFG731_ef02695e374fc418,x731,122.69988357275228,1.0,148,13,9,0,4,0,0.0,True
RFQ731-000017,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_c37386a371e13fa8,CFG731_c37386a371e13fa8,F731WD_DualChannel,107.53302953132476,1.0,512,12,9,0,2,1,1.4,True
RFQ731-000018,V8_EXTRACTED,False,F731TE,CFG731_fd6959ad3c5fd9ed,CFG731_fd6959ad3c5fd9ed,F731TE,77.81471263749403,1.0,484,12,7,0,2,3,3.2,True
RFQ731-000019,V8_EXTRACTED,False,x731,CFG731_6ba028da3bba9c41,CFG731_6ba028da3bba9c41,x731,102.65485823917983,1.0,130,12,9,0,2,1,1.2,True
RFQ731-000020,V8_EXTRACTED,False,x731,CFG731_48772fd385d8dcd5,CFG731_48772fd385d8dcd5,x731,128.41479957436636,1.0,152,16,10,0,4,2,2.8,True
RFQ731-000021,V8_EXTRACTED,False,G731ST-HT,CFG731_5dd35c89836ec88e,CFG731_5dd35c89836ec88e,G731ST-HT,137.5408888091822,1.0,290,13,11,0,2,0,0.0,True
RFQ731-000022,V8_EXTRACTED,False,G731ST-LT,CFG731_a40ab19ad6671fbe,CFG731_a40ab19ad6671fbe,G731ST-LT,141.61132748684844,1.0,344,17,10,0,5,2,2.9000000000000004,True
RFQ731-000023,V8_EXTRACTED,False,x731,CFG731_9ccdadb28a07accd,CFG731_9ccdadb28a07accd,x731,122.68833787661407,1.0,158,12,10,0,1,1,1.2,True
RFQ731-000024,V8_EXTRACTED,False,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_8da1da530d6ae54d,G731ST-LT,110.81694703491154,,284,14,7,0,6,1,1.4,False
RFQ731-000025,V8_EXTRACTED,False,G731ST-HT,CFG731_a4416ae9d698efa6,CFG731_a4416ae9d698efa6,G731ST-HT,132.893388507891,1.0,408,14,11,0,2,1,1.5,True
RFQ731-000026,V8_EXTRACTED,False,x731,CFG731_1b365e0951e7dea4,CFG731_12d9cb8d41e8f486,x731,117.45471801769489,77.0,162,17,10,0,4,3,4.1000000000000005,False
RFQ731-000027,V8_EXTRACTED,False,x731,CFG731_59f86789e43d86f1,CFG731_59f86789e43d86f1,x731,128.54688921643356,1.0,154,14,9,0,5,0,0.0,True
RFQ731-000028,V8_EXTRACTED,False,G731ST-HT,CFG731_8b18ac1c34209d63,CFG731_8b18ac1c34209d63,G731ST-HT,166.42323260401724,1.0,364,17,13,0,2,2,2.7,True
RFQ731-000029,V8_EXTRACTED,False,x731,CFG731_ff3460f478ef969b,CFG731_ff3460f478ef969b,x731,101.94626643950264,1.0,170,17,7,0,7,3,4.1000000000000005,True
RFQ731-000030,V8_EXTRACTED,False,G731ST-HT,CFG731_c759934398f2381a,CFG731_c759934398f2381a,G731ST-HT,121.3044667623147,1.0,312,13,9,0,4,0,0.0,True
RFQ731-000031,V8_EXTRACTED,False,x731,CFG731_b7fc2f4bee7659de,CFG731_93ba38caebb455ef,x731,113.23264084917504,2.0,116,15,9,0,4,2,1.5,False
RFQ731-000032,V8_EXTRACTED,False,x731,CFG731_dc2dca106a6c63c6,CFG731_853a278429394533,x731,114.6855161406026,95.0,144,12,8,0,4,0,0.0,False
RFQ731-000033,V8_EXTRACTED,False,G731CA,CFG731_faff6da73df00950,CFG731_2aca30183aab25a9,G731CA,125.66151219512197,13.0,388,12,9,0,3,0,0.0,False
RFQ731-000034,V8_EXTRACTED,False,G731CA,CFG731_9cc92f888af32c8a,CFG731_b43582909c828d95,G731CA,109.47907837637497,35.0,442,13,9,0,2,2,2.7,False
RFQ731-000035,V8_EXTRACTED,False,G731ST-LT,CFG731_77fac91021549398,CFG731_77fac91021549398,G731ST-LT,120.24555333572455,1.0,420,13,10,0,2,1,1.3,True
RFQ731-000036,V8_EXTRACTED,False,G731ST-HT,CFG731_b46f92852addf866,CFG731_db27f1c998b6e675,G731ST-HT,102.56699845319227,80.0,234,13,7,0,5,1,1.5,False
RFQ731-000037,V8_EXTRACTED,False,x731,CFG731_1b5b895b5e259903,CFG731_693e4f56d8944ca7,x731,120.32044452415114,21.0,178,13,9,0,3,1,1.6,False
RFQ731-000038,V8_EXTRACTED,False,x731,CFG731_04d60387371e1885,CFG731_04d60387371e1885,x731,149.25478527020564,1.0,154,15,11,0,4,0,0.0,True
RFQ731-000039,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,F731WD_DualChannel,149.53228120516502,1.0,412,13,12,0,1,0,0.0,True
RFQ731-000040,V8_EXTRACTED,False,x731,CFG731_f7f0034a8b15f329,CFG731_a41a2d2cef1a675f,x731,117.90301821048541,,162,12,8,0,4,0,0.0,False
RFQ731-000041,V8_EXTRACTED,False,G731ST-HT,CFG731_d71a39e1fcf17083,CFG731_d71a39e1fcf17083,G731ST-HT,115.23859863701578,1.0,290,14,10,0,2,2,1.5,True
RFQ731-000042,V8_EXTRACTED,False,x731,CFG731_8e5ce09a779d2284,CFG731_2e0e24cbfe1ca19b,x731,105.62054835081899,84.0,184,15,7,0,7,1,1.6,False
RFQ731-000043,V8_EXTRACTED,False,x731,CFG731_78ea99817ca8be6a,CFG731_78ea99817ca8be6a,x731,129.2694501330105,1.0,130,14,11,0,2,1,1.3,True
RFQ731-000044,V8_EXTRACTED,False,x731,CFG731_c52f7eb3e0603707,CFG731_c52f7eb3e0603707,x731,133.63252331420372,1.0,162,16,11,0,3,2,1.5,True
RFQ731-000045,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,F731WD_SingleChannel,119.84828144428505,1.0,508,14,10,0,2,2,3.2,True
RFQ731-000046,V8_EXTRACTED,False,x731,CFG731_5e0166a160f3ed77,CFG731_5e0166a160f3ed77,x731,123.07786271520806,1.0,156,13,9,0,4,0,0.0,True
RFQ731-000047,V8_EXTRACTED,False,x731,CFG731_8e97bb2bec352a2c,CFG731_8e97bb2bec352a2c,x731,140.3190658065818,1.0,180,16,11,0,4,1,0.0,True
RFQ731-000048,V8_EXTRACTED,False,G731ST-LT,CFG731_8b6ed3cfa9ed1e59,CFG731_e0009be417f51ccd,G731ST-LT,117.68132254184603,63.0,382,17,8,0,7,2,2.7,False
RFQ731-000049,V8_EXTRACTED,False,x731,CFG731_700e5b0584a9b0fc,CFG731_700e5b0584a9b0fc,x731,103.84020851267337,1.0,176,14,8,0,4,2,1.6,True
RFQ731-000050,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_37e3938c6089bb2d,CFG731_37e3938c6089bb2d,F731WD_DualChannel,118.90166786226688,1.0,492,11,10,0,1,0,0.0,True
RFQ731-000051,V8_EXTRACTED,False,F731TE,CFG731_0c3b33750ffab3ac,CFG731_b27467571d893d92,F731TE,88.11631309182211,8.0,460,9,8,0,0,1,1.8,False
RFQ731-000052,V8_EXTRACTED,False,x731,CFG731_fa6b5a7df55858c0,CFG731_fa6b5a7df55858c0,x731,126.87806108396103,1.0,152,17,9,0,6,2,2.8,True
RFQ731-000053,V8_EXTRACTED,False,x731,CFG731_1cbb464ec15ba84f,CFG731_1cbb464ec15ba84f,x731,147.69951649928265,1.0,136,14,10,0,4,0,0.0,True
RFQ731-000054,V8_EXTRACTED,False,G731CA,CFG731_e85a7fcdd0521e90,CFG731_e85a7fcdd0521e90,G731CA,121.271006169297,1.0,188,12,9,0,2,1,1.3,True
RFQ731-000055,V8_EXTRACTED,False,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,F731TE,131.78760484085237,1.0,412,14,11,0,2,1,1.8,True
RFQ731-000056,V8_EXTRACTED,False,G731ST-LT,CFG731_d5af433b36265df1,CFG731_d5af433b36265df1,G731ST-LT,104.73145384983263,1.0,298,17,8,0,6,3,4.300000000000001,True
RFQ731-000057,V8_EXTRACTED,False,x731,CFG731_d61788aab0d61e0f,CFG731_d61788aab0d61e0f,x731,129.76161652319465,1.0,130,16,9,0,6,1,1.3,True
RFQ731-000058,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_400b0d973c930668,CFG731_0be7d6198235486b,F731WD_SingleChannel,84.31183692013393,13.0,548,11,8,0,1,2,3.1,False
RFQ731-000059,V8_EXTRACTED,False,G731VG,CFG731_6a47b38d62a9fed3,CFG731_40b6e1db6c80bcc1,G731VG,141.96260705478835,127.0,608,14,12,0,1,1,1.3,False
RFQ731-000060,V8_EXTRACTED,False,x731,CFG731_4e7f75dd9496e7b1,CFG731_8216171cc39f78aa,x731,141.1917300035868,73.0,160,14,11,0,3,0,0.0,False
RFQ731-000061,V8_EXTRACTED,False,x731,CFG731_15f034f7c265528f,CFG731_8c50542218db5cb0,x731,135.33344954567195,14.0,148,16,10,0,4,2,2.8,False
RFQ731-000062,V8_EXTRACTED,False,F731TE,CFG731_090330aa38b8e80b,CFG731_54559f782190a122,F731TE,99.53506151362986,75.0,280,11,8,0,2,1,1.6,False
RFQ731-000063,V8_EXTRACTED,False,x731,CFG731_79377060f99f59f3,CFG731_79377060f99f59f3,x731,175.94021695121955,1.0,106,17,14,0,2,1,1.3,True
RFQ731-000064,V8_EXTRACTED,False,F731PW,CFG731_327bfa077bbbd45e,CFG731_0d8116f4900c6919,F731PW,101.19760688665713,38.0,266,12,9,0,1,2,3.1,False
RFQ731-000065,V8_EXTRACTED,False,x731,CFG731_f57ccd8e79618aa1,CFG731_2e0e24cbfe1ca19b,x731,142.27887948350073,48.0,148,15,11,0,3,1,1.3,False
RFQ731-000066,V8_EXTRACTED,False,F731TE,CFG731_a72f99e8160efda6,CFG731_6886c948a9d1ec0c,F731TE,80.9342317073171,40.0,328,13,8,0,2,3,2.9000000000000004,False
RFQ731-000067,V8_EXTRACTED,False,x731,CFG731_31c4aded40f9387f,CFG731_a41e221f51c9a405,x731,144.388362745098,2.0,96,16,11,0,3,2,3.1,False
RFQ731-000068,V8_EXTRACTED,False,x731,CFG731_04e7216b1ba7f935,CFG731_48b8ef3dd5c49a10,x731,153.74708841463416,31.0,150,15,12,0,3,0,0.0,False
RFQ731-000069,V8_EXTRACTED,False,x731,CFG731_95e2d680672ff303,CFG731_e86d82c5ad6683ec,x731,88.2323537386418,,98,14,5,0,8,1,0.0,False
RFQ731-000070,V8_EXTRACTED,False,x731,CFG731_5a8170a3daa0efb9,CFG731_5a8170a3daa0efb9,x731,106.53662944045914,1.0,168,13,6,0,7,0,0.0,True
RFQ731-000071,V8_EXTRACTED,False,G731CA,CFG731_19f7d73d8e42e7bd,CFG731_19f7d73d8e42e7bd,G731CA,99.94094836202777,1.0,348,12,8,0,2,2,2.7,True
RFQ731-000072,V8_EXTRACTED,False,x731,CFG731_d9234c84a58b99ae,CFG731_e1a359096a360a7b,x731,130.69130946990077,48.0,162,15,9,0,5,1,1.6,False
RFQ731-000073,V8_EXTRACTED,False,x731,CFG731_1c1fb7a32bf0146b,CFG731_cf4bb519cec0df2f,x731,152.64040650406503,75.0,138,17,11,0,5,1,1.6,False
RFQ731-000074,V8_EXTRACTED,False,G731ST-LT,CFG731_7994662aa688a3b5,CFG731_5bcbd41401fcf7c5,G731ST-LT,128.50431181252992,,258,13,11,0,1,1,1.4,False
RFQ731-000075,V8_EXTRACTED,False,x731,CFG731_fa2849b259355775,CFG731_fa2849b259355775,x731,140.2363694404591,1.0,140,14,11,0,3,0,0.0,True
RFQ731-000076,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_a7d2a5a9ae465701,CFG731_9a761e6bfde35917,F731WD_SingleChannel,106.25936035389766,13.0,460,12,8,0,3,1,1.4,False
RFQ731-000077,V8_EXTRACTED,False,x731,CFG731_a385518a9f31baa0,CFG731_a385518a9f31baa0,x731,145.48054974892395,1.0,94,16,10,0,5,1,1.3,True
RFQ731-000078,V8_EXTRACTED,False,F731PW,CFG731_5995fa9fd5d1242f,CFG731_5995fa9fd5d1242f,F731PW,93.12926309182211,1.0,250,12,9,0,1,2,3.2,True
RFQ731-000079,V8_EXTRACTED,False,x731,CFG731_6472ab3bf7316498,CFG731_ee2238f976bbbb50,x731,106.89810294117648,28.0,180,13,6,0,7,0,0.0,False
RFQ731-000080,V8_EXTRACTED,False,x731,CFG731_4fe142d593643ab8,CFG731_cb9e502c506da6fb,x731,124.6299337565758,61.0,148,14,9,0,4,1,1.2,False
RFQ731-000081,V8_EXTRACTED,False,G731ST-LT,CFG731_a54fd8962307be18,CFG731_13c87640928bf666,G731ST-LT,105.76052654232426,26.0,248,10,9,0,1,0,0.0,False
RFQ731-000082,V8_EXTRACTED,False,x731,CFG731_90035585549005ff,CFG731_90035585549005ff,x731,102.79918190489003,1.0,106,11,8,0,3,0,0.0,True
RFQ731-000083,V8_EXTRACTED,False,F731TE,CFG731_574aa7a29f75cd60,CFG731_574aa7a29f75cd60,F731TE,133.80949784791966,1.0,458,12,10,0,2,0,0.0,True
RFQ731-000084,V8_EXTRACTED,False,x731,CFG731_5be5a82ac0b29989,CFG731_88cb619bd3d90e89,x731,95.01986917144909,43.0,154,13,8,0,3,2,2.5,False
RFQ731-000085,V8_EXTRACTED,False,x731,CFG731_0aa987e1ae960c88,CFG731_0aa987e1ae960c88,x731,125.99706659493069,1.0,118,13,9,0,4,0,0.0,True
RFQ731-000086,V8_EXTRACTED,False,G731CA,CFG731_d3d0547b464f691d,CFG731_d3d0547b464f691d,G731CA,100.49760868005741,1.0,418,10,7,0,3,0,0.0,True
RFQ731-000087,V8_EXTRACTED,False,x731,CFG731_6d44172bc82c7ed7,CFG731_6d44172bc82c7ed7,x731,164.80454298182687,1.0,164,17,14,0,1,2,1.6,True
RFQ731-000088,V8_EXTRACTED,False,G731ST-HT,CFG731_0ce13abf777d04f9,CFG731_63eca10a00ae1f5d,G731ST-HT,135.79899194972504,65.0,334,15,10,0,5,0,0.0,False
RFQ731-000089,V8_EXTRACTED,False,x731,CFG731_4340f11ba9a46e42,CFG731_9fcbeaf9d5010d3a,x731,130.7551162123386,53.0,146,14,9,0,5,0,0.0,False
RFQ731-000090,V8_EXTRACTED,False,x731,CFG731_260c36430f7c2d03,CFG731_260c36430f7c2d03,x731,122.41830463892873,1.0,156,13,10,0,2,1,1.2,True
RFQ731-000091,V8_EXTRACTED,False,G731ST-LT,CFG731_e6c0885eb14e429c,CFG731_e6c0885eb14e429c,G731ST-LT,122.2480805834529,1.0,360,13,8,0,5,0,0.0,True
RFQ731-000092,V8_EXTRACTED,False,x731,CFG731_a7a446c7f3b3183f,CFG731_947b0b2717816adb,x731,115.54358171927308,19.0,130,12,9,0,2,1,1.2,False
RFQ731-000093,V8_EXTRACTED,False,x731,CFG731_7f6c0412b6d497fb,CFG731_aa82c10f35e81f8d,x731,111.60502039245576,117.0,142,15,8,0,6,1,1.6,False
RFQ731-000094,V8_EXTRACTED,False,G731CA,CFG731_0738cd529389f266,CFG731_55e37d2b9d20276c,G731CA,131.14243143232906,17.0,428,14,10,0,3,1,1.4,False
RFQ731-000095,V8_EXTRACTED,False,x731,CFG731_235ee3a364b5b6ec,CFG731_235ee3a364b5b6ec,x731,113.92254931850792,1.0,102,14,9,0,3,2,2.5,True
RFQ731-000096,V8_EXTRACTED,False,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,G731ST-LT,115.80073959827835,1.0,268,13,7,0,6,0,0.0,True
RFQ731-000097,V8_EXTRACTED,False,x731,CFG731_78ea99817ca8be6a,CFG731_172c288e777d2259,x731,107.09442252510762,95.0,126,13,6,0,7,0,0.0,False
RFQ731-000098,V8_EXTRACTED,False,G731ST-HT,CFG731_dde2f7fe043f7ade,CFG731_7b2f69a7ca55041b,G731ST-HT,138.3944093735055,,444,16,9,0,6,1,1.6,False
RFQ731-000099,V8_EXTRACTED,False,x731,CFG731_917fc613cc9bf56a,CFG731_7ffc09802c7b60bf,x731,124.05588978509087,,158,18,8,0,8,2,2.9000000000000004,False
RFQ731-000100,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_35ed22cad11f9a11,CFG731_35ed22cad11f9a11,F731WD_DualChannel,114.16444864897178,1.0,384,12,9,0,2,1,1.3,True
RFQ731-000101,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,F731WD_DualChannel,123.9537580703013,1.0,420,15,10,0,3,2,3.2,True
RFQ731-000102,V8_EXTRACTED,False,x731,CFG731_7afa5501026394f9,CFG731_7afa5501026394f9,x731,106.48277057627932,1.0,100,13,7,0,5,1,1.3,True
RFQ731-000103,V8_EXTRACTED,False,x731,CFG731_6942facbe6ebb88b,CFG731_7521d5a6673c8628,x731,112.58669545074127,8.0,114,13,8,0,5,0,0.0,False
RFQ731-000104,V8_EXTRACTED,False,G731CA,CFG731_d3d0547b464f691d,CFG731_d3d0547b464f691d,G731CA,97.67645193687233,1.0,414,11,7,0,4,0,0.0,True
RFQ731-000105,V8_EXTRACTED,False,G731ST-LT,CFG731_098817d766a37bc2,CFG731_2db6c530f35d47b9,G731ST-LT,98.97085264227643,11.0,330,17,8,0,5,4,3.0,False
RFQ731-000106,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_11c93eca01984a14,F731WD_SingleChannel,124.7771274509804,10.0,564,12,10,0,2,0,0.0,False
RFQ731-000107,V8_EXTRACTED,False,x731,CFG731_b3506a753aafcfa3,CFG731_b3506a753aafcfa3,x731,93.58041858709949,1.0,156,14,7,0,5,2,3.1,True
RFQ731-000108,V8_EXTRACTED,False,x731,CFG731_cf4bb519cec0df2f,CFG731_cf4bb519cec0df2f,x731,140.25967381785028,1.0,146,16,10,0,5,1,1.6,True
RFQ731-000109,V8_EXTRACTED,False,x731,CFG731_8d78781f8753b72a,CFG731_34e092c266a308aa,x731,137.90349623385939,70.0,170,14,9,0,5,0,0.0,False
RFQ731-000110,V8_EXTRACTED,False,x731,CFG731_187ec74b5c4854aa,CFG731_187ec74b5c4854aa,x731,135.93720594960544,1.0,110,14,9,0,5,0,0.0,True
RFQ731-000111,V8_EXTRACTED,False,x731,CFG731_2e5bd0d53757f625,CFG731_2e5bd0d53757f625,x731,157.21196317551411,1.0,102,15,13,0,1,1,1.6,True
RFQ731-000112,V8_EXTRACTED,False,x731,CFG731_6084e24782dc3f55,CFG731_7003cfd4e569b57b,x731,91.18094847710428,75.0,132,15,6,0,7,2,1.5,False
RFQ731-000113,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_4ca309199387f8d5,CFG731_4ca309199387f8d5,F731WD_SingleChannel,107.48050406504065,1.0,532,12,8,0,3,1,1.3,True
RFQ731-000114,V8_EXTRACTED,False,x731,CFG731_7bb5689e4b06bfe5,CFG731_482678d927834b42,x731,122.81377637045675,28.0,140,12,10,0,2,0,0.0,False
RFQ731-000115,V8_EXTRACTED,False,x731,CFG731_6920f76e20b3b3ac,CFG731_c41fd04f9eea78e7,x731,99.30303401482546,10.0,96,13,8,0,3,2,2.9000000000000004,False
RFQ731-000116,V8_EXTRACTED,False,x731,CFG731_abcee67081353f16,CFG731_abcee67081353f16,x731,156.95738432568152,1.0,122,16,11,0,5,0,0.0,True
RFQ731-000117,V8_EXTRACTED,False,G731ST-HT,CFG731_5882bd12beb09203,CFG731_5882bd12beb09203,G731ST-HT,98.80947883787664,1.0,194,12,8,0,3,1,1.3,True
RFQ731-000118,V8_EXTRACTED,False,G731ST-LT,CFG731_bc9146cb8459e9c2,CFG731_a40ab19ad6671fbe,G731ST-LT,124.42117276422765,120.0,288,16,10,0,4,2,1.4,False
RFQ731-000119,V8_EXTRACTED,False,G731ST-HT,CFG731_bbffb73f3dff6787,CFG731_bbffb73f3dff6787,G731ST-HT,131.88059512195125,1.0,408,15,10,0,4,1,1.3,True
RFQ731-000120,V8_EXTRACTED,False,G731ST-HT,CFG731_b5710e5f11e2cbc2,CFG731_b5710e5f11e2cbc2,G731ST-HT,100.8132211382114,1.0,194,13,9,0,2,2,2.9000000000000004,True
RFQ731-000121,V8_EXTRACTED,False,x731,CFG731_a89154111c50850c,CFG731_61e03f690afcaa1a,x731,142.59303524868486,15.0,136,16,11,0,4,1,1.3,False
RFQ731-000122,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_0be7d6198235486b,CFG731_0be7d6198235486b,F731WD_SingleChannel,109.10499689143951,1.0,562,10,9,0,1,0,0.0,True
RFQ731-000123,V8_EXTRACTED,False,x731,CFG731_56310c55a01272a3,CFG731_56310c55a01272a3,x731,133.90722202295555,1.0,162,12,10,0,2,0,0.0,True
RFQ731-000124,V8_EXTRACTED,False,G731CA,CFG731_acbf4c45af55caad,CFG731_508d465d4c518290,G731CA,126.61708500717363,9.0,388,13,10,0,2,1,0.0,False
RFQ731-000125,V8_EXTRACTED,False,x731,CFG731_6b5f6983490bc595,CFG731_e8d4d37dfb814e2d,x731,124.73654893741036,48.0,128,14,10,0,3,1,1.2,False
RFQ731-000126,V8_EXTRACTED,False,F731PW,CFG731_92efd7a3c43da152,CFG731_b4ae6be198effc31,x731,80.08185724533716,,144,13,6,0,5,2,1.6,False
RFQ731-000127,V8_EXTRACTED,False,x731,CFG731_9ccdadb28a07accd,CFG731_a633b8dd2d541170,x731,121.44215028694406,66.0,172,15,8,0,6,1,1.2,False
RFQ731-000128,V8_EXTRACTED,False,x731,CFG731_b2ad61cdb45a54fb,CFG731_b2ad61cdb45a54fb,x731,112.06777015781924,1.0,122,14,9,0,3,2,2.5,True
RFQ731-000129,V8_EXTRACTED,False,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,F731TE,94.48610864745011,1.0,322,15,7,0,5,3,4.800000000000001,True
RFQ731-000130,V8_EXTRACTED,False,G731ST-LT,CFG731_32b4b1ec4513af66,CFG731_32b4b1ec4513af66,G731ST-LT,149.69942132950746,1.0,204,16,11,0,4,1,1.0,True
RFQ731-000131,V8_EXTRACTED,False,G731ST-HT,CFG731_403f51b2e914043b,CFG731_b30ceef5c5f902ca,G731ST-HT,102.46218077474893,368.0,376,12,7,0,5,0,0.0,False
RFQ731-000132,V8_EXTRACTED,False,x731,CFG731_87ce9768865f4127,CFG731_b525e5caba3146b8,x731,134.2047461083214,2.0,150,14,11,0,2,1,1.6,False
RFQ731-000133,V8_EXTRACTED,False,G731ST-LT,CFG731_fa6ab94f1cf566b3,CFG731_fa6ab94f1cf566b3,G731ST-LT,111.13794846963175,1.0,296,14,9,0,3,2,2.4,True
RFQ731-000134,V8_EXTRACTED,False,x731,CFG731_5de6ca53a86b09c9,CFG731_5de6ca53a86b09c9,x731,126.10096843615497,1.0,122,14,9,0,4,1,1.2,True
RFQ731-000135,V8_EXTRACTED,False,x731,CFG731_ede0b25f5f83644d,CFG731_f7e6eb169c92689f,x731,105.33556288857007,,132,15,6,0,7,2,2.8,False
RFQ731-000136,V8_EXTRACTED,False,x731,CFG731_9ccdadb28a07accd,CFG731_9ccdadb28a07accd,x731,115.3237633085246,1.0,182,14,9,0,4,1,1.6,True
RFQ731-000137,V8_EXTRACTED,False,x731,CFG731_efc9d6b915117e15,CFG731_efc9d6b915117e15,x731,139.55111967957916,1.0,178,15,10,0,5,0,0.0,True
RFQ731-000138,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_ee8e327bbb737abf,CFG731_ee8e327bbb737abf,F731WD_SingleChannel,107.85598475609758,1.0,460,10,9,0,1,0,0.0,True
RFQ731-000139,V8_EXTRACTED,False,x731,CFG731_72fe206df86509f8,CFG731_4bd32ba44f2fdd5b,x731,107.33253604734578,2.0,168,14,9,0,3,2,2.5,False
RFQ731-000140,V8_EXTRACTED,False,G731ST-LT,CFG731_175641fe8d1c7f37,CFG731_175641fe8d1c7f37,G731ST-LT,121.50563558106171,1.0,290,13,7,0,6,0,0.0,True
RFQ731-000141,V8_EXTRACTED,False,G731ST-HT,CFG731_b7a7770d19b6f648,CFG731_a8031a74f6d1710d,G731ST-HT,110.91887135341943,208.0,280,12,9,0,2,1,1.6,False
RFQ731-000142,V8_EXTRACTED,False,x731,CFG731_e3b7a52ea0694eb1,CFG731_e3b7a52ea0694eb1,x731,106.95762482066,1.0,136,14,8,0,4,2,2.8,True
RFQ731-000143,V8_EXTRACTED,False,x731,CFG731_8e5ce09a779d2284,CFG731_5e037d5a44e366b4,x731,146.70707779620994,44.0,138,14,13,0,1,0,0.0,False
