rfq_id,target_package,predicted_configuration_id,true_configuration_id,true_rank,error_type,num_changed_characteristics,changed_characteristics,mandatory_requirements,mandatory_matches,mandatory_mismatches,preferred_requirements,preferred_matches,preferred_mismatches,true_mandatory_matches,true_mandatory_mismatches,predicted_score,predicted_package,recommendation_package_aware
RFQ731-000015,x731,CFG731_5d255cf6dd296018,CFG731_5d255cf6dd296018,1.0,CORRECT_TOP1,0,,9,9,0,6,6,0,9,0,21.78703755868568,x731,false
RFQ731-000016,x731,CFG731_c39096767a7ae083,CFG731_ef02695e374fc418,2.0,TRUE_IN_TOP3,3,stromSchaltbar|temperaturEingaenge|dev_advMeterVerification,10,10,0,4,4,0,10,0,20.370116454090194,x731,false
RFQ731-000017,F731WD_DualChannel,CFG731_c37386a371e13fa8,CFG731_c37386a371e13fa8,1.0,CORRECT_TOP1,0,,10,10,0,2,2,0,10,0,30.890273125287308,F731WD_DualChannel,false
RFQ731-000018,F731TE,CFG731_fd6959ad3c5fd9ed,CFG731_fd6959ad3c5fd9ed,1.0,CORRECT_TOP1,0,,9,9,0,2,2,0,9,0,30.16525792838132,F731TE,false
RFQ731-000019,x731,CFG731_cf0392d0aaac28b1,CFG731_6ba028da3bba9c41,2.0,TRUE_IN_TOP3,1,dev_advMeterVerification,11,11,0,2,2,0,11,0,19.64430360805552,x731,false
RFQ731-000020,x731,CFG731_8d2d91c46ccfb471,CFG731_48772fd385d8dcd5,2.0,TRUE_IN_TOP3,2,dev_advMeterVerification|customUserFluid,10,10,0,5,5,0,10,0,22.961107795458645,x731,false
RFQ731-000021,G731ST-HT,CFG731_fcc72e9951376cf3,CFG731_5dd35c89836ec88e,2.0,TRUE_IN_TOP3,1,stromEingaenge,13,13,0,2,2,0,13,0,27.327531346320782,G731ST-HT,false
RFQ731-000022,G731ST-LT,CFG731_a40ab19ad6671fbe,CFG731_a40ab19ad6671fbe,1.0,CORRECT_TOP1,0,,11,11,0,5,5,0,11,0,26.949215780743785,G731ST-LT,false
RFQ731-000023,x731,CFG731_5ea309f998205da7,CFG731_9ccdadb28a07accd,6.0,TRUE_IN_TOP10,2,dev_advMeterVerification|customUserFluid,12,12,0,2,2,0,12,0,21.281151774626046,x731,false
RFQ731-000024,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,1.0,CORRECT_TOP1,0,,9,9,0,6,6,0,9,0,26.013318501830994,G731ST-LT,false
RFQ731-000025,G731ST-HT,CFG731_a4416ae9d698efa6,CFG731_a4416ae9d698efa6,1.0,CORRECT_TOP1,0,,12,12,0,2,2,0,12,0,25.72347283305394,G731ST-HT,false
RFQ731-000026,x731,CFG731_1b365e0951e7dea4,CFG731_1b365e0951e7dea4,1.0,CORRECT_TOP1,0,,12,12,0,3,3,0,12,0,22.563254164075428,x731,false
RFQ731-000027,x731,CFG731_59f86789e43d86f1,CFG731_59f86789e43d86f1,1.0,CORRECT_TOP1,0,,10,10,0,6,6,0,10,0,23.11716703108541,x731,false
RFQ731-000028,G731ST-HT,CFG731_8b18ac1c34209d63,CFG731_8b18ac1c34209d63,1.0,CORRECT_TOP1,0,,14,14,0,2,2,0,14,0,28.09435905711236,G731ST-HT,false
RFQ731-000029,x731,CFG731_8d2d91c46ccfb471,CFG731_ff3460f478ef969b,2.0,TRUE_IN_TOP3,1,stromSchaltbar,9,9,0,7,7,0,9,0,23.662812691181635,x731,false
RFQ731-000030,G731ST-HT,CFG731_eb70dc35972dc4b7,CFG731_c759934398f2381a,2.0,TRUE_IN_TOP3,1,binaerDigitalOpenColl_MN,10,10,0,4,4,0,10,0,24.904484207716184,G731ST-HT,false
RFQ731-000031,x731,CFG731_5f9d5671c315ce06,CFG731_b7fc2f4bee7659de,4.0,TRUE_IN_TOP5,1,temperaturEingaenge,10,10,0,4,4,0,10,0,20.295728992317635,x731,false
RFQ731-000032,x731,CFG731_dc2dca106a6c63c6,CFG731_dc2dca106a6c63c6,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,18.312053794493757,x731,false
RFQ731-000033,G731CA,CFG731_faff6da73df00950,CFG731_faff6da73df00950,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,33.9910632327716,G731CA,false
RFQ731-000034,G731CA,CFG731_5bfe9492c76587ec,CFG731_9cc92f888af32c8a,2.0,TRUE_IN_TOP3,2,stromSchaltbar|binaerDigitalOpenColl_MN,10,10,0,2,2,0,10,0,25.557947050597736,G731CA,false
RFQ731-000035,G731ST-LT,CFG731_87d8ba5b87cf0a3f,CFG731_77fac91021549398,3.0,TRUE_IN_TOP3,2,temperaturEingaenge|binaerDigitalOpenColl_MN,11,11,0,2,2,0,11,0,22.1571212140856,G731ST-LT,false
RFQ731-000036,G731ST-HT,CFG731_7c70763d4cf79560,CFG731_b46f92852addf866,3.0,TRUE_IN_TOP3,1,stromEingaenge,10,10,0,4,4,0,10,0,25.05446228018259,G731ST-HT,false
RFQ731-000037,x731,CFG731_1b5b895b5e259903,CFG731_1b5b895b5e259903,1.0,CORRECT_TOP1,0,,11,11,0,3,3,0,11,0,23.62359653228389,x731,false
RFQ731-000038,x731,CFG731_04d60387371e1885,CFG731_04d60387371e1885,1.0,CORRECT_TOP1,0,,12,12,0,4,4,0,12,0,22.475336170575464,x731,false
RFQ731-000039,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,1.0,CORRECT_TOP1,0,,12,12,0,1,1,0,12,0,36.30115881302178,F731WD_DualChannel,false
RFQ731-000040,x731,CFG731_f7f0034a8b15f329,CFG731_f7f0034a8b15f329,1.0,CORRECT_TOP1,0,,11,11,0,3,3,0,11,0,23.38311179663129,x731,false
RFQ731-000041,G731ST-HT,CFG731_1a1206cc52132df1,CFG731_d71a39e1fcf17083,4.0,TRUE_IN_TOP5,1,stromSchaltbar,12,12,0,2,2,0,12,0,24.97652934108743,G731ST-HT,false
RFQ731-000042,x731,CFG731_91e51485b56960b2,CFG731_8e5ce09a779d2284,2.0,TRUE_IN_TOP3,3,stromSchaltbar|stromEingaenge|temperaturEingaenge,8,8,0,6,6,0,8,0,19.749176238335373,x731,false
RFQ731-000043,x731,CFG731_12089d5d54f581ac,CFG731_78ea99817ca8be6a,10.0,TRUE_IN_TOP10,1,binaerDigitalOpenColl_MN,11,11,0,2,2,0,11,0,17.94564785417283,x731,false
RFQ731-000044,x731,CFG731_219ac3d01befd6d1,CFG731_c52f7eb3e0603707,3.0,TRUE_IN_TOP3,2,stromSchaltbar|customUserFluid,11,11,0,3,3,0,11,0,20.56894865017536,x731,false
RFQ731-000045,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,1.0,CORRECT_TOP1,0,,11,11,0,2,2,0,11,0,30.762456252706688,F731WD_SingleChannel,false
RFQ731-000046,x731,CFG731_70a71b60723e910d,CFG731_5e0166a160f3ed77,7.0,TRUE_IN_TOP10,2,stromEingaenge|customUserFluid,9,9,0,4,4,0,9,0,19.057670306140743,x731,false
RFQ731-000047,x731,CFG731_3b2a32abbf148ca1,CFG731_8e97bb2bec352a2c,3.0,TRUE_IN_TOP3,2,stromEingaenge|temperaturEingaenge,11,11,0,4,4,0,11,0,21.451333765258923,x731,false
RFQ731-000048,G731ST-LT,CFG731_8b6ed3cfa9ed1e59,CFG731_8b6ed3cfa9ed1e59,1.0,CORRECT_TOP1,0,,9,9,0,6,6,0,9,0,25.88427072102424,G731ST-LT,false
RFQ731-000049,x731,CFG731_700e5b0584a9b0fc,CFG731_700e5b0584a9b0fc,1.0,CORRECT_TOP1,0,,9,9,0,4,4,0,9,0,18.57322755993931,x731,false
RFQ731-000050,F731WD_DualChannel,CFG731_819cb4e76943eca6,CFG731_37e3938c6089bb2d,2.0,TRUE_IN_TOP3,2,stromSchaltbar|binaerOpenColl_MP,10,10,0,1,1,0,10,0,23.304019990790596,F731WD_DualChannel,false
RFQ731-000051,F731TE,CFG731_0c3b33750ffab3ac,CFG731_0c3b33750ffab3ac,1.0,CORRECT_TOP1,0,,10,10,0,1,1,0,10,0,31.343400174165414,F731TE,false
RFQ731-000052,x731,CFG731_0db950a4979d2c52,CFG731_fa6b5a7df55858c0,2.0,TRUE_IN_TOP3,1,stromSchaltbar,10,10,0,6,6,0,10,0,23.16127590853137,x731,false
RFQ731-000053,x731,CFG731_1cbb464ec15ba84f,CFG731_1cbb464ec15ba84f,1.0,CORRECT_TOP1,0,,11,11,0,4,4,0,11,0,22.097653614466537,x731,false
RFQ731-000054,G731CA,CFG731_e85a7fcdd0521e90,CFG731_e85a7fcdd0521e90,1.0,CORRECT_TOP1,0,,10,10,0,2,2,0,10,0,21.84453250899616,G731CA,false
RFQ731-000055,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,1.0,CORRECT_TOP1,0,,11,11,0,2,2,0,11,0,33.41309765756593,F731TE,false
RFQ731-000056,G731ST-LT,CFG731_d5af433b36265df1,CFG731_d5af433b36265df1,1.0,CORRECT_TOP1,0,,9,9,0,6,6,0,9,0,25.64301101461933,G731ST-LT,false
RFQ731-000057,x731,CFG731_2683cf7e09782f5e,CFG731_d61788aab0d61e0f,2.0,TRUE_IN_TOP3,1,customUserFluid,9,9,0,6,6,0,9,0,21.56030578871836,x731,false
RFQ731-000058,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_400b0d973c930668,2.0,TRUE_IN_TOP3,2,stromSchaltbar|binaerOpenColl_MP,10,10,0,1,1,0,10,0,21.75786055230172,F731WD_SingleChannel,false
RFQ731-000059,G731VG,CFG731_6a47b38d62a9fed3,CFG731_6a47b38d62a9fed3,1.0,CORRECT_TOP1,0,,14,14,0,1,1,0,14,0,38.92475428030488,G731VG,false
RFQ731-000060,x731,CFG731_4e7f75dd9496e7b1,CFG731_4e7f75dd9496e7b1,1.0,CORRECT_TOP1,0,,12,12,0,3,3,0,12,0,22.246308921278228,x731,false
RFQ731-000061,x731,CFG731_8c50542218db5cb0,CFG731_15f034f7c265528f,2.0,TRUE_IN_TOP3,1,temperaturEingaenge,12,12,0,3,3,0,12,0,22.126385525093088,x731,false
RFQ731-000062,F731TE,CFG731_090330aa38b8e80b,CFG731_090330aa38b8e80b,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,41.75183379650011,F731TE,false
RFQ731-000063,x731,CFG731_79377060f99f59f3,CFG731_79377060f99f59f3,1.0,CORRECT_TOP1,0,,14,14,0,2,2,0,14,0,23.22495003934884,x731,false
RFQ731-000064,F731PW,CFG731_327bfa077bbbd45e,CFG731_327bfa077bbbd45e,1.0,CORRECT_TOP1,0,,10,10,0,2,2,0,10,0,34.78332108077815,F731PW,false
RFQ731-000065,x731,CFG731_91e51485b56960b2,CFG731_f57ccd8e79618aa1,3.0,TRUE_IN_TOP3,3,stromSchaltbar|temperaturEingaenge|binaerDigitalOpenColl_MN,12,12,0,2,2,0,12,0,19.184721888431515,x731,false
RFQ731-000066,F731TE,CFG731_a72f99e8160efda6,CFG731_a72f99e8160efda6,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,39.06972717643011,F731TE,false
RFQ731-000067,x731,CFG731_31c4aded40f9387f,CFG731_31c4aded40f9387f,1.0,CORRECT_TOP1,0,,13,13,0,3,3,0,13,0,23.26146190494089,x731,false
RFQ731-000068,x731,CFG731_1f978c234895178c,CFG731_04e7216b1ba7f935,6.0,TRUE_IN_TOP10,2,stromSchaltbar|temperaturEingaenge,12,12,0,2,2,0,12,0,19.53791160601119,x731,false
RFQ731-000069,x731,CFG731_95e2d680672ff303,CFG731_95e2d680672ff303,1.0,CORRECT_TOP1,0,,6,6,0,7,7,0,6,0,22.19745234740874,x731,false
RFQ731-000070,x731,CFG731_5a8170a3daa0efb9,CFG731_5a8170a3daa0efb9,1.0,CORRECT_TOP1,0,,7,7,0,7,7,0,7,0,23.425306860834265,x731,false
RFQ731-000071,G731CA,CFG731_19ec976991ce75a9,CFG731_19f7d73d8e42e7bd,2.0,TRUE_IN_TOP3,2,stromSchaltbar|binaerDigitalOpenColl_MN,10,10,0,2,2,0,10,0,23.50282974726883,G731CA,false
RFQ731-000072,x731,CFG731_d9234c84a58b99ae,CFG731_d9234c84a58b99ae,1.0,CORRECT_TOP1,0,,11,11,0,4,4,0,11,0,21.435939795821504,x731,false
RFQ731-000073,x731,CFG731_31aa13473958d7d3,CFG731_1c1fb7a32bf0146b,2.0,TRUE_IN_TOP3,2,stromEingaenge|temperaturEingaenge,12,12,0,3,3,0,12,0,21.423177487183047,x731,false
RFQ731-000074,G731ST-LT,CFG731_0029021d98da4557,CFG731_7994662aa688a3b5,4.0,TRUE_IN_TOP5,1,binaerDigitalOpenColl_MN,13,13,0,1,1,0,13,0,23.66231649659764,G731ST-LT,false
RFQ731-000075,x731,CFG731_fa2849b259355775,CFG731_fa2849b259355775,1.0,CORRECT_TOP1,0,,12,12,0,3,3,0,12,0,22.969309299781035,x731,false
RFQ731-000076,F731WD_SingleChannel,CFG731_a7d2a5a9ae465701,CFG731_a7d2a5a9ae465701,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,34.90497744699932,F731WD_SingleChannel,false
RFQ731-000077,x731,CFG731_a385518a9f31baa0,CFG731_a385518a9f31baa0,1.0,CORRECT_TOP1,0,,10,10,0,5,5,0,10,0,21.87732419972128,x731,false
RFQ731-000078,F731PW,CFG731_5995fa9fd5d1242f,CFG731_5995fa9fd5d1242f,1.0,CORRECT_TOP1,0,,11,11,0,1,1,0,11,0,34.211841562547065,F731PW,false
RFQ731-000079,x731,CFG731_8c8856d21252930e,CFG731_6472ab3bf7316498,3.0,TRUE_IN_TOP3,1,binaerOpenColl_MP,7,7,0,6,6,0,7,0,21.002259722229663,x731,false
RFQ731-000080,x731,CFG731_4fe142d593643ab8,CFG731_4fe142d593643ab8,1.0,CORRECT_TOP1,0,,11,11,0,3,3,0,11,0,21.028220012767903,x731,false
RFQ731-000081,G731ST-LT,CFG731_ae2e4cfccaff4f50,CFG731_a54fd8962307be18,,TRUE_UNRANKED,2,stromEingaenge|binaerDigitalOpenColl_MN,10,10,0,3,3,0,10,0,22.136190922425957,G731ST-LT,false
RFQ731-000082,x731,CFG731_226e375c4e7aa2a0,CFG731_90035585549005ff,7.0,TRUE_IN_TOP10,2,stromSchaltbar|dev_advMeterVerification,9,9,0,3,3,0,9,0,18.255104720456977,x731,false
RFQ731-000083,F731TE,CFG731_574aa7a29f75cd60,CFG731_574aa7a29f75cd60,1.0,CORRECT_TOP1,0,,11,11,0,2,2,0,11,0,35.46079387870506,F731TE,false
RFQ731-000084,x731,CFG731_5be5a82ac0b29989,CFG731_5be5a82ac0b29989,1.0,CORRECT_TOP1,0,,11,11,0,2,2,0,11,0,22.247869374211067,x731,false
RFQ731-000085,x731,CFG731_0aa987e1ae960c88,CFG731_0aa987e1ae960c88,1.0,CORRECT_TOP1,0,,11,11,0,4,4,0,11,0,21.53896047256257,x731,false
RFQ731-000086,G731CA,CFG731_d3d0547b464f691d,CFG731_d3d0547b464f691d,1.0,CORRECT_TOP1,0,,9,9,0,3,3,0,9,0,24.986467532366643,G731CA,false
RFQ731-000087,x731,CFG731_6d44172bc82c7ed7,CFG731_6d44172bc82c7ed7,1.0,CORRECT_TOP1,0,,14,14,0,1,1,0,14,0,21.311039687399248,x731,false
RFQ731-000088,G731ST-HT,CFG731_63eca10a00ae1f5d,CFG731_0ce13abf777d04f9,2.0,TRUE_IN_TOP3,1,temperaturEingaenge,10,10,0,5,5,0,10,0,27.240678629717,G731ST-HT,false
RFQ731-000089,x731,CFG731_9fcbeaf9d5010d3a,CFG731_4340f11ba9a46e42,3.0,TRUE_IN_TOP3,1,temperaturEingaenge,10,10,0,4,4,0,10,0,20.32403734037662,x731,false
RFQ731-000090,x731,CFG731_260c36430f7c2d03,CFG731_260c36430f7c2d03,1.0,CORRECT_TOP1,0,,12,12,0,2,2,0,12,0,24.010745481975945,x731,false
RFQ731-000091,G731ST-LT,CFG731_e6c0885eb14e429c,CFG731_e6c0885eb14e429c,1.0,CORRECT_TOP1,0,,10,10,0,5,5,0,10,0,25.926465785227208,G731ST-LT,false
RFQ731-000092,x731,CFG731_a7a446c7f3b3183f,CFG731_a7a446c7f3b3183f,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,22.821030946600125,x731,false
RFQ731-000093,x731,CFG731_8f470181ad32eeae,CFG731_7f6c0412b6d497fb,3.0,TRUE_IN_TOP3,2,stromEingaenge|customUserFluid,10,10,0,5,5,0,10,0,22.850360538077144,x731,false
RFQ731-000094,G731CA,CFG731_0738cd529389f266,CFG731_0738cd529389f266,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,31.9359459294427,G731CA,false
RFQ731-000095,x731,CFG731_2a8793475d827bb6,CFG731_235ee3a364b5b6ec,7.0,TRUE_IN_TOP10,2,stromSchaltbar|binaerDigitalOpenColl_MN,10,10,0,3,3,0,10,0,19.19786233084901,x731,false
RFQ731-000096,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,1.0,CORRECT_TOP1,0,,9,9,0,6,6,0,9,0,26.013318501830994,G731ST-LT,false
RFQ731-000097,x731,CFG731_12089d5d54f581ac,CFG731_78ea99817ca8be6a,10.0,TRUE_IN_TOP10,1,binaerDigitalOpenColl_MN,7,7,0,6,6,0,7,0,17.94564785417283,x731,false
RFQ731-000098,G731ST-HT,CFG731_a3b03637ed22317c,CFG731_dde2f7fe043f7ade,2.0,TRUE_IN_TOP3,1,stromEingaenge,10,10,0,5,5,0,10,0,26.845086059325325,G731ST-HT,false
RFQ731-000099,x731,CFG731_7ffc09802c7b60bf,CFG731_917fc613cc9bf56a,2.0,TRUE_IN_TOP3,2,temperaturEingaenge|dev_advMeterVerification,8,8,0,6,6,0,8,0,20.037649239561134,x731,false
RFQ731-000100,F731WD_DualChannel,CFG731_35ed22cad11f9a11,CFG731_35ed22cad11f9a11,1.0,CORRECT_TOP1,0,,11,11,0,2,2,0,11,0,36.45113688548819,F731WD_DualChannel,false
RFQ731-000101,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,36.30115881302178,F731WD_DualChannel,false
RFQ731-000102,x731,CFG731_7afa5501026394f9,CFG731_7afa5501026394f9,1.0,CORRECT_TOP1,0,,8,8,0,5,5,0,8,0,21.63650917233036,x731,false
RFQ731-000103,x731,CFG731_7521d5a6673c8628,CFG731_6942facbe6ebb88b,7.0,TRUE_IN_TOP10,2,dynamicGasMaster|customUserFluid,8,8,0,5,5,0,8,0,18.89412908865333,x731,false
RFQ731-000104,G731CA,CFG731_d3d0547b464f691d,CFG731_d3d0547b464f691d,1.0,CORRECT_TOP1,0,,7,7,0,5,5,0,7,0,24.986467532366643,G731CA,false
RFQ731-000105,G731ST-LT,CFG731_a40ab19ad6671fbe,CFG731_098817d766a37bc2,2.0,TRUE_IN_TOP3,1,stromEingaenge,9,9,0,6,6,0,9,0,25.53087321483553,G731ST-LT,false
RFQ731-000106,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,30.762456252706688,F731WD_SingleChannel,false
RFQ731-000107,x731,CFG731_b3506a753aafcfa3,CFG731_b3506a753aafcfa3,1.0,CORRECT_TOP1,0,,8,8,0,5,5,0,8,0,19.60419424824873,x731,false
RFQ731-000108,x731,CFG731_cf4bb519cec0df2f,CFG731_cf4bb519cec0df2f,1.0,CORRECT_TOP1,0,,11,11,0,5,5,0,11,0,22.206915178997583,x731,false
RFQ731-000109,x731,CFG731_8d78781f8753b72a,CFG731_8d78781f8753b72a,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,23.16094095540965,x731,false
RFQ731-000110,x731,CFG731_c3481d11b658e1e9,CFG731_187ec74b5c4854aa,3.0,TRUE_IN_TOP3,1,dev_advMeterVerification,9,9,0,6,6,0,9,0,21.469472408382405,x731,false
RFQ731-000111,x731,CFG731_2e5bd0d53757f625,CFG731_2e5bd0d53757f625,1.0,CORRECT_TOP1,0,,13,13,0,1,1,0,13,0,20.50658751141085,x731,false
RFQ731-000112,x731,CFG731_cd4f211fbf872f2e,CFG731_6084e24782dc3f55,6.0,TRUE_IN_TOP10,2,stromSchaltbar|customUserFluid,7,7,0,6,6,0,7,0,19.363709512596134,x731,false
RFQ731-000113,F731WD_SingleChannel,CFG731_4ca309199387f8d5,CFG731_4ca309199387f8d5,1.0,CORRECT_TOP1,0,,9,9,0,4,4,0,9,0,30.61247818024028,F731WD_SingleChannel,false
RFQ731-000114,x731,CFG731_7bb5689e4b06bfe5,CFG731_7bb5689e4b06bfe5,1.0,CORRECT_TOP1,0,,12,12,0,2,2,0,12,0,22.927825164337264,x731,false
RFQ731-000115,x731,CFG731_6920f76e20b3b3ac,CFG731_6920f76e20b3b3ac,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,23.403455702086067,x731,false
RFQ731-000116,x731,CFG731_abcee67081353f16,CFG731_abcee67081353f16,1.0,CORRECT_TOP1,0,,11,11,0,5,5,0,11,0,22.843062840896607,x731,false
RFQ731-000117,G731ST-HT,CFG731_4de012f7232f644d,CFG731_5882bd12beb09203,4.0,TRUE_IN_TOP5,1,stromEingaenge,11,11,0,3,3,0,11,0,25.65312149077509,G731ST-HT,false
RFQ731-000118,G731ST-LT,CFG731_a40ab19ad6671fbe,CFG731_bc9146cb8459e9c2,2.0,TRUE_IN_TOP3,1,temperaturEingaenge,11,11,0,4,4,0,11,0,25.593998570698155,G731ST-LT,false
RFQ731-000119,G731ST-HT,CFG731_bbffb73f3dff6787,CFG731_bbffb73f3dff6787,1.0,CORRECT_TOP1,0,,12,12,0,4,4,0,12,0,28.55370077555966,G731ST-HT,false
RFQ731-000120,G731ST-HT,CFG731_3f42c988dc83cb23,CFG731_b5710e5f11e2cbc2,4.0,TRUE_IN_TOP5,1,stromEingaenge,12,12,0,2,2,0,12,0,25.751984721529897,G731ST-HT,false
RFQ731-000121,x731,CFG731_cb9d6c11077bd307,CFG731_a89154111c50850c,4.0,TRUE_IN_TOP5,2,stromSchaltbar|binaerDigitalOpenColl_MN,11,11,0,3,3,0,11,0,19.25466462401234,x731,false
RFQ731-000122,F731WD_SingleChannel,CFG731_11c93eca01984a14,CFG731_0be7d6198235486b,2.0,TRUE_IN_TOP3,2,stromSchaltbar|binaerOpenColl_MP,10,10,0,1,1,0,10,0,25.359137294119503,F731WD_SingleChannel,false
RFQ731-000123,x731,CFG731_a41a2d2cef1a675f,CFG731_56310c55a01272a3,2.0,TRUE_IN_TOP3,1,stromSchaltbar,11,11,0,2,2,0,11,0,21.20532373195894,x731,false
RFQ731-000124,G731CA,CFG731_acbf4c45af55caad,CFG731_acbf4c45af55caad,1.0,CORRECT_TOP1,0,,12,12,0,2,2,0,12,0,30.84912820940112,G731CA,false
RFQ731-000125,x731,CFG731_6b5f6983490bc595,CFG731_6b5f6983490bc595,1.0,CORRECT_TOP1,0,,11,11,0,3,3,0,11,0,21.06988714230186,x731,false
RFQ731-000126,F731PW,CFG731_92efd7a3c43da152,CFG731_92efd7a3c43da152,1.0,CORRECT_TOP1,0,,9,9,0,3,3,0,9,0,35.610524999026474,F731PW,false
RFQ731-000127,x731,CFG731_5ea309f998205da7,CFG731_9ccdadb28a07accd,6.0,TRUE_IN_TOP10,2,dev_advMeterVerification|customUserFluid,9,9,0,5,5,0,9,0,21.281151774626046,x731,false
RFQ731-000128,x731,CFG731_f97e51d1da57d99f,CFG731_b2ad61cdb45a54fb,2.0,TRUE_IN_TOP3,2,stromSchaltbar|stromEingaenge,10,10,0,4,4,0,10,0,21.33063731912753,x731,false
RFQ731-000129,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,1.0,CORRECT_TOP1,0,,8,8,0,5,5,0,8,0,33.41309765756593,F731TE,false
RFQ731-000130,G731ST-LT,CFG731_32b4b1ec4513af66,CFG731_32b4b1ec4513af66,1.0,CORRECT_TOP1,0,,12,12,0,4,4,0,12,0,26.93012428508898,G731ST-LT,false
RFQ731-000131,G731ST-HT,CFG731_bbffb73f3dff6787,CFG731_403f51b2e914043b,4.0,TRUE_IN_TOP5,3,stromSchaltbar|stromEingaenge|temperaturEingaenge,9,9,0,4,4,0,9,0,24.326060558805334,G731ST-HT,false
