rfq_id,characteristic,internal_value,error_type
RFQ731-002188,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-000642,dataInterface,NN,TRUE_POSITIVE
RFQ731-001672,customUserFluid,1,TRUE_POSITIVE
RFQ731-003378,characteristic,GP,TRUE_POSITIVE
RFQ731-001476,waveInjector,FWI,TRUE_POSITIVE
RFQ731-001662,devCategory,G,TRUE_POSITIVE
RFQ731-000787,customUserFluid,1,TRUE_POSITIVE
RFQ731-001979,numberOfChannels,1,TRUE_POSITIVE
RFQ731-004221,explosionApproval,K,TRUE_POSITIVE
RFQ731-000447,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-000084,waveInjector,FWI,TRUE_POSITIVE
RFQ731-003121,numberOfChannels,1,TRUE_POSITIVE
RFQ731-003853,explosionApproval,N,TRUE_POSITIVE
RFQ731-004362,customUserFluid,1,TRUE_POSITIVE
RFQ731-000473,characteristic,GP,TRUE_POSITIVE
RFQ731-003033,certification,NN,TRUE_POSITIVE
RFQ731-003135,devCategory,G,TRUE_POSITIVE
RFQ731-003329,housing,ST,TRUE_POSITIVE
RFQ731-004750,housing,ST,TRUE_POSITIVE
RFQ731-000892,numberOfChannels,1,TRUE_POSITIVE
RFQ731-000840,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-002591,characteristic,GP,TRUE_POSITIVE
RFQ731-000035,numberOfChannels,1,TRUE_POSITIVE
RFQ731-004310,numberOfChannels,1,TRUE_POSITIVE
RFQ731-004799,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-000740,numberOfChannels,1,TRUE_POSITIVE
RFQ731-000861,powerSupply,4,TRUE_POSITIVE
RFQ731-003189,powerSupply,1,TRUE_POSITIVE
RFQ731-001162,powerSupply,1,TRUE_POSITIVE
RFQ731-001291,housing,ST,TRUE_POSITIVE
RFQ731-002474,waveInjector,FWI,TRUE_POSITIVE
RFQ731-001686,powerSupply,1,TRUE_POSITIVE
RFQ731-000157,devCategory,G,TRUE_POSITIVE
RFQ731-001410,devCategory,F,TRUE_POSITIVE
RFQ731-004765,customUserFluid,1,TRUE_POSITIVE
RFQ731-003520,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-002132,numberOfChannels,1,TRUE_POSITIVE
RFQ731-001387,powerSupply,1,TRUE_POSITIVE
RFQ731-000034,protectionArea,2,TRUE_POSITIVE
RFQ731-002424,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-002319,devCategory,G,TRUE_POSITIVE
RFQ731-001522,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-004253,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-001600,waveInjector,FWI,TRUE_POSITIVE
RFQ731-003945,numberOfChannels,1,TRUE_POSITIVE
RFQ731-001260,powerSupply,1,TRUE_POSITIVE
RFQ731-002062,powerSupply,1,TRUE_POSITIVE
RFQ731-002512,customUserFluid,1,TRUE_POSITIVE
RFQ731-001496,numberOfChannels,1,TRUE_POSITIVE
RFQ731-004115,housing,ST,TRUE_POSITIVE
RFQ731-004808,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-001386,housing,ST,TRUE_POSITIVE
RFQ731-001012,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-002866,waveInjector,FWI,TRUE_POSITIVE
RFQ731-000583,powerSupply,4,TRUE_POSITIVE
RFQ731-003031,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-000167,certification,NN,TRUE_POSITIVE
RFQ731-003911,protectionArea,2,TRUE_POSITIVE
RFQ731-004889,characteristic,GP,TRUE_POSITIVE
RFQ731-003472,explosionApproval,N,TRUE_POSITIVE
RFQ731-003721,explosionApproval,N,TRUE_POSITIVE
RFQ731-002923,characteristic,ST,TRUE_POSITIVE
RFQ731-004968,housing,ST,TRUE_POSITIVE
RFQ731-002030,characteristic,GP,TRUE_POSITIVE
RFQ731-001577,waveInjector,FWI,TRUE_POSITIVE
RFQ731-002645,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-003300,dataInterface,NN,TRUE_POSITIVE
RFQ731-001025,powerSupply,1,TRUE_POSITIVE
RFQ731-003916,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-004351,powerSupply,1,TRUE_POSITIVE
RFQ731-004386,devCategory,G,TRUE_POSITIVE
RFQ731-003393,characteristic,GP,TRUE_POSITIVE
RFQ731-000842,characteristic,GP,TRUE_POSITIVE
RFQ731-004695,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-004397,waveInjector,FWI,TRUE_POSITIVE
RFQ731-004816,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-002725,explosionApproval,N,TRUE_POSITIVE
RFQ731-003859,customUserFluid,1,TRUE_POSITIVE
RFQ731-001831,housing,ST,TRUE_POSITIVE
RFQ731-000474,housing,ST,TRUE_POSITIVE
RFQ731-003679,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-003909,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-003981,certification,NN,TRUE_POSITIVE
RFQ731-003021,binaerOpenColl_MP,MP4,TRUE_POSITIVE
RFQ731-003251,steamApplication,H,TRUE_POSITIVE
RFQ731-003030,numberOfChannels,1,TRUE_POSITIVE
RFQ731-001363,numberOfChannels,2,TRUE_POSITIVE
RFQ731-001306,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-000293,numberOfChannels,1,TRUE_POSITIVE
RFQ731-002710,protectionArea,2,TRUE_POSITIVE
RFQ731-004442,protectionArea,2,TRUE_POSITIVE
RFQ731-000063,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-001743,waveInjector,FWI,TRUE_POSITIVE
RFQ731-001792,explosionApproval,K,TRUE_POSITIVE
RFQ731-002917,customUserFluid,1,TRUE_POSITIVE
RFQ731-004837,housing,ST,TRUE_POSITIVE
RFQ731-002449,dataInterface,NN,TRUE_POSITIVE
RFQ731-003774,steamApplication,H,TRUE_POSITIVE
RFQ731-000753,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-002451,housing,ST,TRUE_POSITIVE
RFQ731-001237,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-001724,characteristic,CA,TRUE_POSITIVE
RFQ731-001688,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-003166,dataInterface,NN,TRUE_POSITIVE
RFQ731-004777,characteristic,GP,TRUE_POSITIVE
RFQ731-001087,characteristic,GP,TRUE_POSITIVE
RFQ731-001626,devCategory,G,TRUE_POSITIVE
RFQ731-000703,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-004039,protectionArea,2,TRUE_POSITIVE
RFQ731-001856,powerSupply,1,TRUE_POSITIVE
RFQ731-003678,explosionApproval,N,TRUE_POSITIVE
RFQ731-003907,dataInterface,NN,TRUE_POSITIVE
RFQ731-001299,explosionApproval,K,TRUE_POSITIVE
RFQ731-000979,protectionArea,2,TRUE_POSITIVE
RFQ731-001832,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-002672,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-002914,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-004234,powerSupply,1,TRUE_POSITIVE
RFQ731-002249,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-000840,waveInjector,FWI,TRUE_POSITIVE
RFQ731-000768,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-001937,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-000306,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-002705,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-004420,numberOfChannels,1,TRUE_POSITIVE
RFQ731-004683,characteristic,GP,TRUE_POSITIVE
RFQ731-003603,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-000708,powerSupply,4,TRUE_POSITIVE
RFQ731-000281,binaerOpenColl_MP,MP4,TRUE_POSITIVE
RFQ731-001266,housing,ST,TRUE_POSITIVE
RFQ731-003622,numberOfChannels,1,TRUE_POSITIVE
RFQ731-001116,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-001574,characteristic,GP,TRUE_POSITIVE
RFQ731-000091,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-002039,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-004074,certification,NN,TRUE_POSITIVE
RFQ731-002843,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-004935,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-001205,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-000762,protectionArea,2,TRUE_POSITIVE
RFQ731-002190,certification,NN,TRUE_POSITIVE
RFQ731-002551,devCategory,G,TRUE_POSITIVE
RFQ731-003633,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-002540,powerSupply,4,TRUE_POSITIVE
RFQ731-000018,housing,ST,TRUE_POSITIVE
RFQ731-004793,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-003601,housing,ST,TRUE_POSITIVE
RFQ731-000993,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-004364,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-003504,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-003041,housing,ST,TRUE_POSITIVE
RFQ731-000600,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-001910,characteristic,GP,TRUE_POSITIVE
RFQ731-002228,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-004220,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-004044,housing,ST,TRUE_POSITIVE
RFQ731-000250,explosionApproval,N,TRUE_POSITIVE
RFQ731-001457,dynamicGasMaster,1,TRUE_POSITIVE
RFQ731-000480,characteristic,GP,TRUE_POSITIVE
RFQ731-000135,dataInterface,NN,TRUE_POSITIVE
RFQ731-002403,housing,ST,TRUE_POSITIVE
RFQ731-003102,housing,ST,TRUE_POSITIVE
RFQ731-002279,certification,NN,TRUE_POSITIVE
RFQ731-000684,powerSupply,1,TRUE_POSITIVE
RFQ731-001330,explosionApproval,A,TRUE_POSITIVE
RFQ731-004749,waveInjector,FWI,TRUE_POSITIVE
RFQ731-002049,numberOfChannels,1,TRUE_POSITIVE
RFQ731-000049,protectionArea,2,TRUE_POSITIVE
RFQ731-003729,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-000687,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-002460,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-003895,dataInterface,NN,TRUE_POSITIVE
RFQ731-004520,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-000980,explosionApproval,F,TRUE_POSITIVE
RFQ731-000364,waveInjector,FWI,TRUE_POSITIVE
RFQ731-003942,powerSupply,4,TRUE_POSITIVE
RFQ731-001700,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-004595,waveInjector,FWI,TRUE_POSITIVE
RFQ731-002511,dataInterface,NN,TRUE_POSITIVE
RFQ731-000963,customUserFluid,1,TRUE_POSITIVE
RFQ731-002732,powerSupply,4,TRUE_POSITIVE
RFQ731-002735,explosionApproval,A,TRUE_POSITIVE
RFQ731-000286,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-001441,numberOfChannels,1,TRUE_POSITIVE
RFQ731-001548,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-002413,powerSupply,1,TRUE_POSITIVE
RFQ731-001129,certification,NN,TRUE_POSITIVE
RFQ731-001196,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-003337,powerSupply,1,TRUE_POSITIVE
RFQ731-001716,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-000830,waveInjector,FWI,TRUE_POSITIVE
RFQ731-001254,devCategory,G,TRUE_POSITIVE
RFQ731-004526,powerSupply,1,TRUE_POSITIVE
RFQ731-002196,characteristic,GP,TRUE_POSITIVE
RFQ731-003876,numberOfChannels,1,TRUE_POSITIVE
RFQ731-001780,housing,ST,TRUE_POSITIVE
RFQ731-003960,numberOfChannels,1,TRUE_POSITIVE
RFQ731-003608,powerSupply,4,TRUE_POSITIVE
RFQ731-004199,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-003718,powerSupply,1,TRUE_POSITIVE
RFQ731-003079,powerSupply,4,TRUE_POSITIVE
RFQ731-000823,powerSupply,4,TRUE_POSITIVE
RFQ731-002092,housing,ST,TRUE_POSITIVE
RFQ731-000101,explosionApproval,N,TRUE_POSITIVE
RFQ731-004203,powerSupply,1,TRUE_POSITIVE
RFQ731-001194,dataInterface,NN,TRUE_POSITIVE
RFQ731-004710,housing,ST,TRUE_POSITIVE
RFQ731-000753,waveInjector,FWI,TRUE_POSITIVE
RFQ731-004437,devCategory,F,TRUE_POSITIVE
RFQ731-000616,numberOfChannels,1,TRUE_POSITIVE
RFQ731-000409,certification,NN,TRUE_POSITIVE
RFQ731-003074,devCategory,G,TRUE_POSITIVE
RFQ731-004057,dataInterface,NN,TRUE_POSITIVE
RFQ731-002754,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-000445,dataInterface,NN,TRUE_POSITIVE
RFQ731-000735,certification,NN,TRUE_POSITIVE
RFQ731-000302,housing,ST,TRUE_POSITIVE
RFQ731-004085,dataInterface,NN,TRUE_POSITIVE
RFQ731-004404,powerSupply,1,TRUE_POSITIVE
RFQ731-001195,protectionArea,2,TRUE_POSITIVE
RFQ731-004646,characteristic,ST,TRUE_POSITIVE
RFQ731-004878,dataInterface,NN,TRUE_POSITIVE
RFQ731-001881,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-003583,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-001654,powerSupply,4,TRUE_POSITIVE
RFQ731-003813,powerSupply,4,TRUE_POSITIVE
RFQ731-004350,dynamicGasMaster,1,TRUE_POSITIVE
RFQ731-002635,devCategory,G,TRUE_POSITIVE
RFQ731-003780,housing,ST,TRUE_POSITIVE
RFQ731-004895,certification,NN,TRUE_POSITIVE
RFQ731-000224,devCategory,G,TRUE_POSITIVE
RFQ731-002286,explosionApproval,N,TRUE_POSITIVE
RFQ731-002585,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-000081,devCategory,G,TRUE_POSITIVE
RFQ731-002775,housing,ST,TRUE_POSITIVE
RFQ731-003487,housing,ST,TRUE_POSITIVE
RFQ731-003705,powerSupply,1,TRUE_POSITIVE
RFQ731-002320,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-001116,waveInjector,FWI,TRUE_POSITIVE
RFQ731-003864,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-000448,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-002399,numberOfChannels,1,TRUE_POSITIVE
RFQ731-002830,waveInjector,FWI,TRUE_POSITIVE
RFQ731-000696,powerSupply,1,TRUE_POSITIVE
RFQ731-002111,dataInterface,NN,TRUE_POSITIVE
RFQ731-002712,explosionApproval,K,TRUE_POSITIVE
RFQ731-000099,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-002619,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-002351,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-004220,waveInjector,FWI,TRUE_POSITIVE
RFQ731-002386,waveInjector,FWI,TRUE_POSITIVE
RFQ731-003630,characteristic,WD,TRUE_POSITIVE
RFQ731-003674,devCategory,F,TRUE_POSITIVE
RFQ731-000412,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-002350,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-001628,certification,NN,TRUE_POSITIVE
RFQ731-004375,protectionArea,2,TRUE_POSITIVE
RFQ731-002700,devCategory,G,TRUE_POSITIVE
RFQ731-001814,protectionArea,2,TRUE_POSITIVE
RFQ731-001988,characteristic,GP,TRUE_POSITIVE
RFQ731-003990,powerSupply,1,TRUE_POSITIVE
RFQ731-003850,certification,NN,TRUE_POSITIVE
RFQ731-002477,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-003743,explosionApproval,N,TRUE_POSITIVE
RFQ731-000053,customUserFluid,1,TRUE_POSITIVE
RFQ731-004520,waveInjector,FWI,TRUE_POSITIVE
RFQ731-003613,protectionArea,2,TRUE_POSITIVE
RFQ731-001192,explosionApproval,K,TRUE_POSITIVE
RFQ731-001615,characteristic,GP,TRUE_POSITIVE
RFQ731-004735,protectionArea,N,TRUE_POSITIVE
RFQ731-000203,certification,NN,TRUE_POSITIVE
RFQ731-000715,housing,ST,TRUE_POSITIVE
RFQ731-001770,certification,MN,TRUE_POSITIVE
RFQ731-003176,characteristic,GP,TRUE_POSITIVE
RFQ731-000124,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-004264,explosionApproval,A,TRUE_POSITIVE
RFQ731-001652,powerSupply,1,TRUE_POSITIVE
RFQ731-002215,numberOfChannels,1,TRUE_POSITIVE
RFQ731-001234,housing,ST,TRUE_POSITIVE
RFQ731-004890,steamApplication,H,TRUE_POSITIVE
RFQ731-002746,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-003366,devCategory,F,TRUE_POSITIVE
RFQ731-000199,certification,NN,TRUE_POSITIVE
RFQ731-001328,powerSupply,1,TRUE_POSITIVE
RFQ731-003994,explosionApproval,F,TRUE_POSITIVE
RFQ731-001625,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-002775,numberOfChannels,2,TRUE_POSITIVE
RFQ731-002669,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-000689,characteristic,GP,TRUE_POSITIVE
RFQ731-000890,protectionArea,2,TRUE_POSITIVE
RFQ731-001264,devCategory,G,TRUE_POSITIVE
RFQ731-001980,protectionArea,2,TRUE_POSITIVE
RFQ731-002241,steamApplication,H,TRUE_POSITIVE
RFQ731-002389,stromSchaltbar,CS2,TRUE_POSITIVE
RFQ731-003182,housing,ST,TRUE_POSITIVE
RFQ731-001379,devCategory,F,TRUE_POSITIVE
RFQ731-004277,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-003371,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-001395,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-001081,characteristic,GP,TRUE_POSITIVE
RFQ731-003036,powerSupply,4,TRUE_POSITIVE
RFQ731-005000,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-001751,explosionApproval,N,TRUE_POSITIVE
RFQ731-001262,powerSupply,1,TRUE_POSITIVE
RFQ731-004741,customUserFluid,1,TRUE_POSITIVE
RFQ731-001044,explosionApproval,N,TRUE_POSITIVE
RFQ731-003811,housing,ST,TRUE_POSITIVE
RFQ731-001824,protectionArea,N,TRUE_POSITIVE
RFQ731-000780,temperaturEingaenge,TT2,TRUE_POSITIVE
RFQ731-000615,customUserFluid,1,TRUE_POSITIVE
RFQ731-002531,certification,NN,TRUE_POSITIVE
RFQ731-002187,waveInjector,FWI,TRUE_POSITIVE
RFQ731-003249,certification,NN,TRUE_POSITIVE
RFQ731-004813,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-002973,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-004550,powerSupply,4,TRUE_POSITIVE
RFQ731-003402,powerSupply,4,TRUE_POSITIVE
RFQ731-003775,protectionArea,2,TRUE_POSITIVE
RFQ731-002971,characteristic,GP,TRUE_POSITIVE
RFQ731-000352,explosionApproval,F,TRUE_POSITIVE
RFQ731-000366,stromSchaltbar,CS2,TRUE_POSITIVE
RFQ731-001030,certification,NN,TRUE_POSITIVE
RFQ731-001962,numberOfChannels,2,TRUE_POSITIVE
RFQ731-002730,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-003614,stromEingaenge,IS1,TRUE_POSITIVE
RFQ731-004640,devCategory,F,TRUE_POSITIVE
RFQ731-000541,housing,ST,TRUE_POSITIVE
RFQ731-003269,devCategory,G,TRUE_POSITIVE
RFQ731-000409,dynamicGasMaster,1,TRUE_POSITIVE
RFQ731-004231,dataInterface,NN,TRUE_POSITIVE
RFQ731-000720,characteristic,GP,TRUE_POSITIVE
RFQ731-002952,numberOfChannels,1,TRUE_POSITIVE
RFQ731-003749,explosionApproval,A,TRUE_POSITIVE
RFQ731-004081,protectionArea,2,TRUE_POSITIVE
RFQ731-001978,devCategory,F,TRUE_POSITIVE
RFQ731-003261,devCategory,F,TRUE_POSITIVE
RFQ731-002524,explosionApproval,A,TRUE_POSITIVE
RFQ731-003868,powerSupply,4,TRUE_POSITIVE
RFQ731-000515,characteristic,CA,TRUE_POSITIVE
RFQ731-001650,housing,ST,TRUE_POSITIVE
RFQ731-000850,certification,NN,TRUE_POSITIVE
RFQ731-003769,powerSupply,1,TRUE_POSITIVE
RFQ731-003977,characteristic,ST,TRUE_POSITIVE
RFQ731-003991,binaerDigitalOpenColl_MN,MN1,TRUE_POSITIVE
RFQ731-001371,devCategory,G,TRUE_POSITIVE
RFQ731-000466,certification,NN,TRUE_POSITIVE
RFQ731-003996,dataInterface,NN,TRUE_POSITIVE
RFQ731-003786,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-001666,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-003384,characteristic,ST,TRUE_POSITIVE
RFQ731-004978,stromSchaltbar,CS1,TRUE_POSITIVE
RFQ731-000721,waveInjector,FWI,TRUE_POSITIVE
RFQ731-003188,numberOfChannels,1,TRUE_POSITIVE
RFQ731-000090,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-002023,temperaturEingaenge,TT1,TRUE_POSITIVE
RFQ731-000239,powerSupply,1,TRUE_POSITIVE
RFQ731-004488,binaerOpenColl_MP,MP4,TRUE_POSITIVE
RFQ731-000197,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-003905,explosionApproval,N,TRUE_POSITIVE
RFQ731-004148,dev_advMeterVerification,1,TRUE_POSITIVE
RFQ731-002565,devCategory,F,TRUE_POSITIVE
RFQ731-004830,binaerOpenColl_MP,MP1,TRUE_POSITIVE
RFQ731-001282,devCategory,G,TRUE_POSITIVE
RFQ731-002417,devCategory,G,TRUE_POSITIVE
RFQ731-004009,certification,NN,TRUE_POSITIVE
