rfq_id,mode,package_aware,target_package,recommended_configuration_id,true_configuration_id,true_rank,error_type,top_score,mandatory_matches,mandatory_conflicts,preferred_matches,preferred_conflicts,refinement_distance
RFQ731-000011,V8_EXTRACTED,False,G731ST-HT,CFG731_cd71ec2726e971ef,CFG731_cd71ec2726e971ef,1.0,CORRECT_TOP1,145.28437858680059,12,0,1,1,1.5
RFQ731-000012,V8_EXTRACTED,False,x731,CFG731_6e27958dc8215006,CFG731_6e27958dc8215006,1.0,CORRECT_TOP1,155.42111205762797,11,0,5,0,0.0
RFQ731-000013,V8_EXTRACTED,False,x731,CFG731_b86fda83f997f894,CFG731_6526112621a9ee97,19.0,TRUE_BEYOND_TOP10,143.12824713055952,10,0,5,0,0.0
RFQ731-000014,V8_EXTRACTED,False,x731,CFG731_7ffc09802c7b60bf,CFG731_5c624ef6fa2b6510,39.0,TRUE_BEYOND_TOP10,133.78600490749042,9,0,7,2,1.6
RFQ731-000015,V8_EXTRACTED,False,x731,CFG731_d47fa87df22e968e,CFG731_5d255cf6dd296018,10.0,TRUE_IN_TOP10,119.08744697513153,8,0,6,1,0.0
RFQ731-000016,V8_EXTRACTED,False,x731,CFG731_ef02695e374fc418,CFG731_ef02695e374fc418,1.0,CORRECT_TOP1,122.69988357275228,9,0,4,0,0.0
RFQ731-000017,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_c37386a371e13fa8,CFG731_c37386a371e13fa8,1.0,CORRECT_TOP1,107.53302953132476,9,0,2,1,1.4
RFQ731-000018,V8_EXTRACTED,False,F731TE,CFG731_fd6959ad3c5fd9ed,CFG731_fd6959ad3c5fd9ed,1.0,CORRECT_TOP1,77.81471263749403,7,0,2,3,3.2
RFQ731-000019,V8_EXTRACTED,False,x731,CFG731_6ba028da3bba9c41,CFG731_6ba028da3bba9c41,1.0,CORRECT_TOP1,102.65485823917983,9,0,2,1,1.2
RFQ731-000020,V8_EXTRACTED,False,x731,CFG731_48772fd385d8dcd5,CFG731_48772fd385d8dcd5,1.0,CORRECT_TOP1,128.41479957436636,10,0,4,2,2.8
RFQ731-000021,V8_EXTRACTED,False,G731ST-HT,CFG731_5dd35c89836ec88e,CFG731_5dd35c89836ec88e,1.0,CORRECT_TOP1,137.5408888091822,11,0,2,0,0.0
RFQ731-000022,V8_EXTRACTED,False,G731ST-LT,CFG731_a40ab19ad6671fbe,CFG731_a40ab19ad6671fbe,1.0,CORRECT_TOP1,141.61132748684844,10,0,5,2,2.9000000000000004
RFQ731-000023,V8_EXTRACTED,False,x731,CFG731_9ccdadb28a07accd,CFG731_9ccdadb28a07accd,1.0,CORRECT_TOP1,122.68833787661407,10,0,1,1,1.2
RFQ731-000024,V8_EXTRACTED,False,G731ST-LT,CFG731_8da1da530d6ae54d,CFG731_1d89d7fdc7355744,,TRUE_UNRANKED,110.81694703491154,7,0,6,1,1.4
RFQ731-000025,V8_EXTRACTED,False,G731ST-HT,CFG731_a4416ae9d698efa6,CFG731_a4416ae9d698efa6,1.0,CORRECT_TOP1,132.893388507891,11,0,2,1,1.5
RFQ731-000026,V8_EXTRACTED,False,x731,CFG731_12d9cb8d41e8f486,CFG731_1b365e0951e7dea4,77.0,TRUE_BEYOND_TOP10,117.45471801769489,10,0,4,3,4.1000000000000005
RFQ731-000027,V8_EXTRACTED,False,x731,CFG731_59f86789e43d86f1,CFG731_59f86789e43d86f1,1.0,CORRECT_TOP1,128.54688921643356,9,0,5,0,0.0
RFQ731-000028,V8_EXTRACTED,False,G731ST-HT,CFG731_8b18ac1c34209d63,CFG731_8b18ac1c34209d63,1.0,CORRECT_TOP1,166.42323260401724,13,0,2,2,2.7
RFQ731-000029,V8_EXTRACTED,False,x731,CFG731_ff3460f478ef969b,CFG731_ff3460f478ef969b,1.0,CORRECT_TOP1,101.94626643950264,7,0,7,3,4.1000000000000005
RFQ731-000030,V8_EXTRACTED,False,G731ST-HT,CFG731_c759934398f2381a,CFG731_c759934398f2381a,1.0,CORRECT_TOP1,121.3044667623147,9,0,4,0,0.0
RFQ731-000031,V8_EXTRACTED,False,x731,CFG731_93ba38caebb455ef,CFG731_b7fc2f4bee7659de,2.0,TRUE_IN_TOP3,113.23264084917504,9,0,4,2,1.5
RFQ731-000032,V8_EXTRACTED,False,x731,CFG731_853a278429394533,CFG731_dc2dca106a6c63c6,95.0,TRUE_BEYOND_TOP10,114.6855161406026,8,0,4,0,0.0
RFQ731-000033,V8_EXTRACTED,False,G731CA,CFG731_2aca30183aab25a9,CFG731_faff6da73df00950,13.0,TRUE_BEYOND_TOP10,125.66151219512197,9,0,3,0,0.0
RFQ731-000034,V8_EXTRACTED,False,G731CA,CFG731_b43582909c828d95,CFG731_9cc92f888af32c8a,35.0,TRUE_BEYOND_TOP10,109.47907837637497,9,0,2,2,2.7
RFQ731-000035,V8_EXTRACTED,False,G731ST-LT,CFG731_77fac91021549398,CFG731_77fac91021549398,1.0,CORRECT_TOP1,120.24555333572455,10,0,2,1,1.3
RFQ731-000036,V8_EXTRACTED,False,G731ST-HT,CFG731_db27f1c998b6e675,CFG731_b46f92852addf866,80.0,TRUE_BEYOND_TOP10,102.56699845319227,7,0,5,1,1.5
RFQ731-000037,V8_EXTRACTED,False,x731,CFG731_693e4f56d8944ca7,CFG731_1b5b895b5e259903,21.0,TRUE_BEYOND_TOP10,120.32044452415114,9,0,3,1,1.6
RFQ731-000038,V8_EXTRACTED,False,x731,CFG731_04d60387371e1885,CFG731_04d60387371e1885,1.0,CORRECT_TOP1,149.25478527020564,11,0,4,0,0.0
RFQ731-000039,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,1.0,CORRECT_TOP1,149.53228120516502,12,0,1,0,0.0
RFQ731-000040,V8_EXTRACTED,False,x731,CFG731_a41a2d2cef1a675f,CFG731_f7f0034a8b15f329,,TRUE_UNRANKED,117.90301821048541,8,0,4,0,0.0
RFQ731-000041,V8_EXTRACTED,False,G731ST-HT,CFG731_d71a39e1fcf17083,CFG731_d71a39e1fcf17083,1.0,CORRECT_TOP1,115.23859863701578,10,0,2,2,1.5
RFQ731-000042,V8_EXTRACTED,False,x731,CFG731_2e0e24cbfe1ca19b,CFG731_8e5ce09a779d2284,84.0,TRUE_BEYOND_TOP10,105.62054835081899,7,0,7,1,1.6
RFQ731-000043,V8_EXTRACTED,False,x731,CFG731_78ea99817ca8be6a,CFG731_78ea99817ca8be6a,1.0,CORRECT_TOP1,129.2694501330105,11,0,2,1,1.3
RFQ731-000044,V8_EXTRACTED,False,x731,CFG731_c52f7eb3e0603707,CFG731_c52f7eb3e0603707,1.0,CORRECT_TOP1,133.63252331420372,11,0,3,2,1.5
RFQ731-000045,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,1.0,CORRECT_TOP1,119.84828144428505,10,0,2,2,3.2
RFQ731-000046,V8_EXTRACTED,False,x731,CFG731_5e0166a160f3ed77,CFG731_5e0166a160f3ed77,1.0,CORRECT_TOP1,123.07786271520806,9,0,4,0,0.0
RFQ731-000047,V8_EXTRACTED,False,x731,CFG731_8e97bb2bec352a2c,CFG731_8e97bb2bec352a2c,1.0,CORRECT_TOP1,140.3190658065818,11,0,4,1,0.0
RFQ731-000048,V8_EXTRACTED,False,G731ST-LT,CFG731_e0009be417f51ccd,CFG731_8b6ed3cfa9ed1e59,63.0,TRUE_BEYOND_TOP10,117.68132254184603,8,0,7,2,2.7
RFQ731-000049,V8_EXTRACTED,False,x731,CFG731_700e5b0584a9b0fc,CFG731_700e5b0584a9b0fc,1.0,CORRECT_TOP1,103.84020851267337,8,0,4,2,1.6
RFQ731-000050,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_37e3938c6089bb2d,CFG731_37e3938c6089bb2d,1.0,CORRECT_TOP1,118.90166786226688,10,0,1,0,0.0
RFQ731-000051,V8_EXTRACTED,False,F731TE,CFG731_b27467571d893d92,CFG731_0c3b33750ffab3ac,8.0,TRUE_IN_TOP10,88.11631309182211,8,0,0,1,1.8
RFQ731-000052,V8_EXTRACTED,False,x731,CFG731_fa6b5a7df55858c0,CFG731_fa6b5a7df55858c0,1.0,CORRECT_TOP1,126.87806108396103,9,0,6,2,2.8
RFQ731-000053,V8_EXTRACTED,False,x731,CFG731_1cbb464ec15ba84f,CFG731_1cbb464ec15ba84f,1.0,CORRECT_TOP1,147.69951649928265,10,0,4,0,0.0
RFQ731-000054,V8_EXTRACTED,False,G731CA,CFG731_e85a7fcdd0521e90,CFG731_e85a7fcdd0521e90,1.0,CORRECT_TOP1,121.271006169297,9,0,2,1,1.3
RFQ731-000055,V8_EXTRACTED,False,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,1.0,CORRECT_TOP1,131.78760484085237,11,0,2,1,1.8
RFQ731-000056,V8_EXTRACTED,False,G731ST-LT,CFG731_d5af433b36265df1,CFG731_d5af433b36265df1,1.0,CORRECT_TOP1,104.73145384983263,8,0,6,3,4.300000000000001
RFQ731-000057,V8_EXTRACTED,False,x731,CFG731_d61788aab0d61e0f,CFG731_d61788aab0d61e0f,1.0,CORRECT_TOP1,129.76161652319465,9,0,6,1,1.3
RFQ731-000058,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_0be7d6198235486b,CFG731_400b0d973c930668,13.0,TRUE_BEYOND_TOP10,84.31183692013393,8,0,1,2,3.1
RFQ731-000059,V8_EXTRACTED,False,G731VG,CFG731_40b6e1db6c80bcc1,CFG731_6a47b38d62a9fed3,127.0,TRUE_BEYOND_TOP10,141.96260705478835,12,0,1,1,1.3
RFQ731-000060,V8_EXTRACTED,False,x731,CFG731_8216171cc39f78aa,CFG731_4e7f75dd9496e7b1,73.0,TRUE_BEYOND_TOP10,141.1917300035868,11,0,3,0,0.0
RFQ731-000061,V8_EXTRACTED,False,x731,CFG731_8c50542218db5cb0,CFG731_15f034f7c265528f,14.0,TRUE_BEYOND_TOP10,135.33344954567195,10,0,4,2,2.8
RFQ731-000062,V8_EXTRACTED,False,F731TE,CFG731_54559f782190a122,CFG731_090330aa38b8e80b,75.0,TRUE_BEYOND_TOP10,99.53506151362986,8,0,2,1,1.6
RFQ731-000063,V8_EXTRACTED,False,x731,CFG731_79377060f99f59f3,CFG731_79377060f99f59f3,1.0,CORRECT_TOP1,175.94021695121955,14,0,2,1,1.3
RFQ731-000064,V8_EXTRACTED,False,F731PW,CFG731_0d8116f4900c6919,CFG731_327bfa077bbbd45e,38.0,TRUE_BEYOND_TOP10,101.19760688665713,9,0,1,2,3.1
RFQ731-000065,V8_EXTRACTED,False,x731,CFG731_2e0e24cbfe1ca19b,CFG731_f57ccd8e79618aa1,48.0,TRUE_BEYOND_TOP10,142.27887948350073,11,0,3,1,1.3
RFQ731-000066,V8_EXTRACTED,False,F731TE,CFG731_6886c948a9d1ec0c,CFG731_a72f99e8160efda6,40.0,TRUE_BEYOND_TOP10,80.9342317073171,8,0,2,3,2.9000000000000004
RFQ731-000067,V8_EXTRACTED,False,x731,CFG731_a41e221f51c9a405,CFG731_31c4aded40f9387f,2.0,TRUE_IN_TOP3,144.388362745098,11,0,3,2,3.1
RFQ731-000068,V8_EXTRACTED,False,x731,CFG731_48b8ef3dd5c49a10,CFG731_04e7216b1ba7f935,31.0,TRUE_BEYOND_TOP10,153.74708841463416,12,0,3,0,0.0
RFQ731-000069,V8_EXTRACTED,False,x731,CFG731_e86d82c5ad6683ec,CFG731_95e2d680672ff303,,TRUE_UNRANKED,88.2323537386418,5,0,8,1,0.0
RFQ731-000070,V8_EXTRACTED,False,x731,CFG731_5a8170a3daa0efb9,CFG731_5a8170a3daa0efb9,1.0,CORRECT_TOP1,106.53662944045914,6,0,7,0,0.0
RFQ731-000071,V8_EXTRACTED,False,G731CA,CFG731_19f7d73d8e42e7bd,CFG731_19f7d73d8e42e7bd,1.0,CORRECT_TOP1,99.94094836202777,8,0,2,2,2.7
RFQ731-000072,V8_EXTRACTED,False,x731,CFG731_e1a359096a360a7b,CFG731_d9234c84a58b99ae,48.0,TRUE_BEYOND_TOP10,130.69130946990077,9,0,5,1,1.6
RFQ731-000073,V8_EXTRACTED,False,x731,CFG731_cf4bb519cec0df2f,CFG731_1c1fb7a32bf0146b,75.0,TRUE_BEYOND_TOP10,152.64040650406503,11,0,5,1,1.6
RFQ731-000074,V8_EXTRACTED,False,G731ST-LT,CFG731_5bcbd41401fcf7c5,CFG731_7994662aa688a3b5,,TRUE_UNRANKED,128.50431181252992,11,0,1,1,1.4
RFQ731-000075,V8_EXTRACTED,False,x731,CFG731_fa2849b259355775,CFG731_fa2849b259355775,1.0,CORRECT_TOP1,140.2363694404591,11,0,3,0,0.0
RFQ731-000076,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_9a761e6bfde35917,CFG731_a7d2a5a9ae465701,13.0,TRUE_BEYOND_TOP10,106.25936035389766,8,0,3,1,1.4
RFQ731-000077,V8_EXTRACTED,False,x731,CFG731_a385518a9f31baa0,CFG731_a385518a9f31baa0,1.0,CORRECT_TOP1,145.48054974892395,10,0,5,1,1.3
RFQ731-000078,V8_EXTRACTED,False,F731PW,CFG731_5995fa9fd5d1242f,CFG731_5995fa9fd5d1242f,1.0,CORRECT_TOP1,93.12926309182211,9,0,1,2,3.2
RFQ731-000079,V8_EXTRACTED,False,x731,CFG731_ee2238f976bbbb50,CFG731_6472ab3bf7316498,28.0,TRUE_BEYOND_TOP10,106.89810294117648,6,0,7,0,0.0
RFQ731-000080,V8_EXTRACTED,False,x731,CFG731_cb9e502c506da6fb,CFG731_4fe142d593643ab8,61.0,TRUE_BEYOND_TOP10,124.6299337565758,9,0,4,1,1.2
RFQ731-000081,V8_EXTRACTED,False,G731ST-LT,CFG731_13c87640928bf666,CFG731_a54fd8962307be18,26.0,TRUE_BEYOND_TOP10,105.76052654232426,9,0,1,0,0.0
RFQ731-000082,V8_EXTRACTED,False,x731,CFG731_90035585549005ff,CFG731_90035585549005ff,1.0,CORRECT_TOP1,102.79918190489003,8,0,3,0,0.0
RFQ731-000083,V8_EXTRACTED,False,F731TE,CFG731_574aa7a29f75cd60,CFG731_574aa7a29f75cd60,1.0,CORRECT_TOP1,133.80949784791966,10,0,2,0,0.0
RFQ731-000084,V8_EXTRACTED,False,x731,CFG731_88cb619bd3d90e89,CFG731_5be5a82ac0b29989,43.0,TRUE_BEYOND_TOP10,95.01986917144909,8,0,3,2,2.5
RFQ731-000085,V8_EXTRACTED,False,x731,CFG731_0aa987e1ae960c88,CFG731_0aa987e1ae960c88,1.0,CORRECT_TOP1,125.99706659493069,9,0,4,0,0.0
RFQ731-000086,V8_EXTRACTED,False,G731CA,CFG731_d3d0547b464f691d,CFG731_d3d0547b464f691d,1.0,CORRECT_TOP1,100.49760868005741,7,0,3,0,0.0
RFQ731-000087,V8_EXTRACTED,False,x731,CFG731_6d44172bc82c7ed7,CFG731_6d44172bc82c7ed7,1.0,CORRECT_TOP1,164.80454298182687,14,0,1,2,1.6
RFQ731-000088,V8_EXTRACTED,False,G731ST-HT,CFG731_63eca10a00ae1f5d,CFG731_0ce13abf777d04f9,65.0,TRUE_BEYOND_TOP10,135.79899194972504,10,0,5,0,0.0
RFQ731-000089,V8_EXTRACTED,False,x731,CFG731_9fcbeaf9d5010d3a,CFG731_4340f11ba9a46e42,53.0,TRUE_BEYOND_TOP10,130.7551162123386,9,0,5,0,0.0
RFQ731-000090,V8_EXTRACTED,False,x731,CFG731_260c36430f7c2d03,CFG731_260c36430f7c2d03,1.0,CORRECT_TOP1,122.41830463892873,10,0,2,1,1.2
RFQ731-000091,V8_EXTRACTED,False,G731ST-LT,CFG731_e6c0885eb14e429c,CFG731_e6c0885eb14e429c,1.0,CORRECT_TOP1,122.2480805834529,8,0,5,0,0.0
RFQ731-000092,V8_EXTRACTED,False,x731,CFG731_947b0b2717816adb,CFG731_a7a446c7f3b3183f,19.0,TRUE_BEYOND_TOP10,115.54358171927308,9,0,2,1,1.2
RFQ731-000093,V8_EXTRACTED,False,x731,CFG731_aa82c10f35e81f8d,CFG731_7f6c0412b6d497fb,117.0,TRUE_BEYOND_TOP10,111.60502039245576,8,0,6,1,1.6
RFQ731-000094,V8_EXTRACTED,False,G731CA,CFG731_55e37d2b9d20276c,CFG731_0738cd529389f266,17.0,TRUE_BEYOND_TOP10,131.14243143232906,10,0,3,1,1.4
RFQ731-000095,V8_EXTRACTED,False,x731,CFG731_235ee3a364b5b6ec,CFG731_235ee3a364b5b6ec,1.0,CORRECT_TOP1,113.92254931850792,9,0,3,2,2.5
RFQ731-000096,V8_EXTRACTED,False,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,1.0,CORRECT_TOP1,115.80073959827835,7,0,6,0,0.0
RFQ731-000097,V8_EXTRACTED,False,x731,CFG731_172c288e777d2259,CFG731_78ea99817ca8be6a,95.0,TRUE_BEYOND_TOP10,107.09442252510762,6,0,7,0,0.0
RFQ731-000098,V8_EXTRACTED,False,G731ST-HT,CFG731_7b2f69a7ca55041b,CFG731_dde2f7fe043f7ade,,TRUE_UNRANKED,138.3944093735055,9,0,6,1,1.6
RFQ731-000099,V8_EXTRACTED,False,x731,CFG731_7ffc09802c7b60bf,CFG731_917fc613cc9bf56a,,TRUE_UNRANKED,124.05588978509087,8,0,8,2,2.9000000000000004
RFQ731-000100,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_35ed22cad11f9a11,CFG731_35ed22cad11f9a11,1.0,CORRECT_TOP1,114.16444864897178,9,0,2,1,1.3
RFQ731-000101,V8_EXTRACTED,False,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,1.0,CORRECT_TOP1,123.9537580703013,10,0,3,2,3.2
RFQ731-000102,V8_EXTRACTED,False,x731,CFG731_7afa5501026394f9,CFG731_7afa5501026394f9,1.0,CORRECT_TOP1,106.48277057627932,7,0,5,1,1.3
RFQ731-000103,V8_EXTRACTED,False,x731,CFG731_7521d5a6673c8628,CFG731_6942facbe6ebb88b,8.0,TRUE_IN_TOP10,112.58669545074127,8,0,5,0,0.0
RFQ731-000104,V8_EXTRACTED,False,G731CA,CFG731_d3d0547b464f691d,CFG731_d3d0547b464f691d,1.0,CORRECT_TOP1,97.67645193687233,7,0,4,0,0.0
RFQ731-000105,V8_EXTRACTED,False,G731ST-LT,CFG731_2db6c530f35d47b9,CFG731_098817d766a37bc2,11.0,TRUE_BEYOND_TOP10,98.97085264227643,8,0,5,4,3.0
RFQ731-000106,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_11c93eca01984a14,CFG731_70b6eaf9262ca4d0,10.0,TRUE_IN_TOP10,124.7771274509804,10,0,2,0,0.0
RFQ731-000107,V8_EXTRACTED,False,x731,CFG731_b3506a753aafcfa3,CFG731_b3506a753aafcfa3,1.0,CORRECT_TOP1,93.58041858709949,7,0,5,2,3.1
RFQ731-000108,V8_EXTRACTED,False,x731,CFG731_cf4bb519cec0df2f,CFG731_cf4bb519cec0df2f,1.0,CORRECT_TOP1,140.25967381785028,10,0,5,1,1.6
RFQ731-000109,V8_EXTRACTED,False,x731,CFG731_34e092c266a308aa,CFG731_8d78781f8753b72a,70.0,TRUE_BEYOND_TOP10,137.90349623385939,9,0,5,0,0.0
RFQ731-000110,V8_EXTRACTED,False,x731,CFG731_187ec74b5c4854aa,CFG731_187ec74b5c4854aa,1.0,CORRECT_TOP1,135.93720594960544,9,0,5,0,0.0
RFQ731-000111,V8_EXTRACTED,False,x731,CFG731_2e5bd0d53757f625,CFG731_2e5bd0d53757f625,1.0,CORRECT_TOP1,157.21196317551411,13,0,1,1,1.6
RFQ731-000112,V8_EXTRACTED,False,x731,CFG731_7003cfd4e569b57b,CFG731_6084e24782dc3f55,75.0,TRUE_BEYOND_TOP10,91.18094847710428,6,0,7,2,1.5
RFQ731-000113,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_4ca309199387f8d5,CFG731_4ca309199387f8d5,1.0,CORRECT_TOP1,107.48050406504065,8,0,3,1,1.3
RFQ731-000114,V8_EXTRACTED,False,x731,CFG731_482678d927834b42,CFG731_7bb5689e4b06bfe5,28.0,TRUE_BEYOND_TOP10,122.81377637045675,10,0,2,0,0.0
RFQ731-000115,V8_EXTRACTED,False,x731,CFG731_c41fd04f9eea78e7,CFG731_6920f76e20b3b3ac,10.0,TRUE_IN_TOP10,99.30303401482546,8,0,3,2,2.9000000000000004
RFQ731-000116,V8_EXTRACTED,False,x731,CFG731_abcee67081353f16,CFG731_abcee67081353f16,1.0,CORRECT_TOP1,156.95738432568152,11,0,5,0,0.0
RFQ731-000117,V8_EXTRACTED,False,G731ST-HT,CFG731_5882bd12beb09203,CFG731_5882bd12beb09203,1.0,CORRECT_TOP1,98.80947883787664,8,0,3,1,1.3
RFQ731-000118,V8_EXTRACTED,False,G731ST-LT,CFG731_a40ab19ad6671fbe,CFG731_bc9146cb8459e9c2,120.0,TRUE_BEYOND_TOP10,124.42117276422765,10,0,4,2,1.4
RFQ731-000119,V8_EXTRACTED,False,G731ST-HT,CFG731_bbffb73f3dff6787,CFG731_bbffb73f3dff6787,1.0,CORRECT_TOP1,131.88059512195125,10,0,4,1,1.3
RFQ731-000120,V8_EXTRACTED,False,G731ST-HT,CFG731_b5710e5f11e2cbc2,CFG731_b5710e5f11e2cbc2,1.0,CORRECT_TOP1,100.8132211382114,9,0,2,2,2.9000000000000004
RFQ731-000121,V8_EXTRACTED,False,x731,CFG731_61e03f690afcaa1a,CFG731_a89154111c50850c,15.0,TRUE_BEYOND_TOP10,142.59303524868486,11,0,4,1,1.3
RFQ731-000122,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_0be7d6198235486b,CFG731_0be7d6198235486b,1.0,CORRECT_TOP1,109.10499689143951,9,0,1,0,0.0
RFQ731-000123,V8_EXTRACTED,False,x731,CFG731_56310c55a01272a3,CFG731_56310c55a01272a3,1.0,CORRECT_TOP1,133.90722202295555,10,0,2,0,0.0
RFQ731-000124,V8_EXTRACTED,False,G731CA,CFG731_508d465d4c518290,CFG731_acbf4c45af55caad,9.0,TRUE_IN_TOP10,126.61708500717363,10,0,2,1,0.0
RFQ731-000125,V8_EXTRACTED,False,x731,CFG731_e8d4d37dfb814e2d,CFG731_6b5f6983490bc595,48.0,TRUE_BEYOND_TOP10,124.73654893741036,10,0,3,1,1.2
RFQ731-000126,V8_EXTRACTED,False,F731PW,CFG731_b4ae6be198effc31,CFG731_92efd7a3c43da152,,TRUE_UNRANKED,80.08185724533716,6,0,5,2,1.6
RFQ731-000127,V8_EXTRACTED,False,x731,CFG731_a633b8dd2d541170,CFG731_9ccdadb28a07accd,66.0,TRUE_BEYOND_TOP10,121.44215028694406,8,0,6,1,1.2
RFQ731-000128,V8_EXTRACTED,False,x731,CFG731_b2ad61cdb45a54fb,CFG731_b2ad61cdb45a54fb,1.0,CORRECT_TOP1,112.06777015781924,9,0,3,2,2.5
RFQ731-000129,V8_EXTRACTED,False,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,1.0,CORRECT_TOP1,94.48610864745011,7,0,5,3,4.800000000000001
RFQ731-000130,V8_EXTRACTED,False,G731ST-LT,CFG731_32b4b1ec4513af66,CFG731_32b4b1ec4513af66,1.0,CORRECT_TOP1,149.69942132950746,11,0,4,1,1.0
RFQ731-000131,V8_EXTRACTED,False,G731ST-HT,CFG731_b30ceef5c5f902ca,CFG731_403f51b2e914043b,368.0,TRUE_BEYOND_TOP10,102.46218077474893,7,0,5,0,0.0
RFQ731-000132,V8_EXTRACTED,False,x731,CFG731_b525e5caba3146b8,CFG731_87ce9768865f4127,2.0,TRUE_IN_TOP3,134.2047461083214,11,0,2,1,1.6
RFQ731-000133,V8_EXTRACTED,False,G731ST-LT,CFG731_fa6ab94f1cf566b3,CFG731_fa6ab94f1cf566b3,1.0,CORRECT_TOP1,111.13794846963175,9,0,3,2,2.4
RFQ731-000134,V8_EXTRACTED,False,x731,CFG731_5de6ca53a86b09c9,CFG731_5de6ca53a86b09c9,1.0,CORRECT_TOP1,126.10096843615497,9,0,4,1,1.2
RFQ731-000135,V8_EXTRACTED,False,x731,CFG731_f7e6eb169c92689f,CFG731_ede0b25f5f83644d,,TRUE_UNRANKED,105.33556288857007,6,0,7,2,2.8
RFQ731-000136,V8_EXTRACTED,False,x731,CFG731_9ccdadb28a07accd,CFG731_9ccdadb28a07accd,1.0,CORRECT_TOP1,115.3237633085246,9,0,4,1,1.6
RFQ731-000137,V8_EXTRACTED,False,x731,CFG731_efc9d6b915117e15,CFG731_efc9d6b915117e15,1.0,CORRECT_TOP1,139.55111967957916,10,0,5,0,0.0
RFQ731-000138,V8_EXTRACTED,False,F731WD_SingleChannel,CFG731_ee8e327bbb737abf,CFG731_ee8e327bbb737abf,1.0,CORRECT_TOP1,107.85598475609758,9,0,1,0,0.0
RFQ731-000139,V8_EXTRACTED,False,x731,CFG731_4bd32ba44f2fdd5b,CFG731_72fe206df86509f8,2.0,TRUE_IN_TOP3,107.33253604734578,9,0,3,2,2.5
RFQ731-000140,V8_EXTRACTED,False,G731ST-LT,CFG731_175641fe8d1c7f37,CFG731_175641fe8d1c7f37,1.0,CORRECT_TOP1,121.50563558106171,7,0,6,0,0.0
RFQ731-000141,V8_EXTRACTED,False,G731ST-HT,CFG731_a8031a74f6d1710d,CFG731_b7a7770d19b6f648,208.0,TRUE_BEYOND_TOP10,110.91887135341943,9,0,2,1,1.6
