rfq_id,rank,configuration_id,ground_truth_configuration_id,is_ground_truth_configuration,package_context,target_package,record_type,evidence_level,score,mandatory_total,mandatory_satisfied,mandatory_violated,mandatory_fully_satisfied,preferred_total,preferred_satisfied,preferred_different,unmentioned_features,candidate_status
RFQ731-000004,6,CFG731_22da0d6030817265,CFG731_de503c5e46490150,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.55250599586825,10,10,0,True,3,3,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000004,7,CFG731_4c72f78c1186e8f7,CFG731_de503c5e46490150,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.55250599586825,10,10,0,True,3,3,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000004,8,CFG731_de503c5e46490150,CFG731_de503c5e46490150,True,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.55250599586825,10,10,0,True,3,3,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000004,9,CFG731_32b4b1ec4513af66,CFG731_de503c5e46490150,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,18.07425478086377,10,9,1,False,3,3,0,3,MANDATORY_VIOLATION
RFQ731-000004,10,CFG731_3ebdd541d6efe614,CFG731_de503c5e46490150,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,18.07425478086377,10,9,1,False,3,3,0,2,MANDATORY_VIOLATION
RFQ731-000005,1,CFG731_db395082b1a3b8ac,CFG731_db395082b1a3b8ac,True,x731,x731,OBSERVED,OBSERVED,22.940611540664392,10,10,0,True,4,4,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000005,2,CFG731_f0e6b17b1bb2d5ab,CFG731_db395082b1a3b8ac,False,x731,x731,OBSERVED,OBSERVED,20.42573459745875,10,10,0,True,4,3,1,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000005,3,CFG731_73e28cb740f9cabe,CFG731_db395082b1a3b8ac,False,x731,x731,OBSERVED,OBSERVED,19.6689305488634,10,9,1,False,4,4,0,0,MANDATORY_VIOLATION
RFQ731-000005,4,CFG731_ee025bd421210eb1,CFG731_db395082b1a3b8ac,False,x731,x731,OBSERVED,OBSERVED,18.47931848008714,10,10,0,True,4,3,1,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000005,5,CFG731_dbe9c00b3af80524,CFG731_db395082b1a3b8ac,False,x731,x731,OBSERVED,OBSERVED,18.462360325659915,10,9,1,False,4,4,0,0,MANDATORY_VIOLATION
RFQ731-000005,6,CFG731_1147f9711c4bff84,CFG731_db395082b1a3b8ac,False,x731,x731,OBSERVED,OBSERVED,17.647668667209118,10,9,1,False,4,3,1,0,MANDATORY_VIOLATION
RFQ731-000005,7,CFG731_a432887204e8d090,CFG731_db395082b1a3b8ac,False,x731,x731,OBSERVED,OBSERVED,16.37035033569018,10,9,1,False,4,4,0,0,MANDATORY_VIOLATION
RFQ731-000005,8,CFG731_adb08ca5dce20691,CFG731_db395082b1a3b8ac,False,x731,x731,OBSERVED,OBSERVED,16.37035033569018,10,9,1,False,4,4,0,0,MANDATORY_VIOLATION
RFQ731-000005,9,CFG731_c640b5e8e10ff5e6,CFG731_db395082b1a3b8ac,False,x731,x731,OBSERVED,OBSERVED,15.964441536881498,10,10,0,True,4,2,2,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000005,10,CFG731_21cf39d47f0d98ac,CFG731_db395082b1a3b8ac,False,x731,x731,OBSERVED,OBSERVED,15.20763748828615,10,9,1,False,4,3,1,0,MANDATORY_VIOLATION
RFQ731-000006,1,CFG731_3b2a32abbf148ca1,CFG731_541ce2492ce71d94,False,x731,x731,DERIVED,VERY_STRONG,20.327921389887216,12,12,0,True,2,2,0,3,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000006,2,CFG731_98bdc6937e342d40,CFG731_541ce2492ce71d94,False,x731,x731,DERIVED,VERY_STRONG,20.327921389887216,12,12,0,True,2,2,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000006,3,CFG731_541ce2492ce71d94,CFG731_541ce2492ce71d94,True,x731,x731,DERIVED,VERY_STRONG,20.327921389887216,12,12,0,True,2,2,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000006,4,CFG731_3df9fddf845f3508,CFG731_541ce2492ce71d94,False,x731,x731,DERIVED,VERY_STRONG,20.327921389887216,12,12,0,True,2,2,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000006,5,CFG731_42c4381af5ae3412,CFG731_541ce2492ce71d94,False,x731,x731,DERIVED,VERY_STRONG,20.327921389887216,12,12,0,True,2,2,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000006,6,CFG731_8c429238b2628537,CFG731_541ce2492ce71d94,False,x731,x731,DERIVED,VERY_STRONG,20.327921389887216,12,12,0,True,2,2,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000006,7,CFG731_d4dafb658c85c692,CFG731_541ce2492ce71d94,False,x731,x731,DERIVED,VERY_STRONG,20.327921389887216,12,12,0,True,2,2,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000006,8,CFG731_6638f62366414007,CFG731_541ce2492ce71d94,False,x731,x731,DERIVED,VERY_STRONG,20.327921389887216,12,12,0,True,2,2,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000006,9,CFG731_f4e7010207bfdfc0,CFG731_541ce2492ce71d94,False,x731,x731,DERIVED,VERY_STRONG,17.924672008788406,12,11,1,False,2,2,0,1,MANDATORY_VIOLATION
RFQ731-000006,10,CFG731_b16b5f82b033935f,CFG731_541ce2492ce71d94,False,x731,x731,DERIVED,VERY_STRONG,17.924672008788406,12,11,1,False,2,2,0,3,MANDATORY_VIOLATION
RFQ731-000007,1,CFG731_a59cc7e57b856164,CFG731_134ecd7b8190bed1,False,x731,x731,DERIVED,VERY_STRONG,19.755499301034664,9,9,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000007,2,CFG731_134ecd7b8190bed1,CFG731_134ecd7b8190bed1,True,x731,x731,DERIVED,VERY_STRONG,19.755499301034664,9,9,0,True,4,4,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000007,3,CFG731_5feb84333ab424ba,CFG731_134ecd7b8190bed1,False,x731,x731,DERIVED,VERY_STRONG,19.755499301034664,9,9,0,True,4,4,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000007,4,CFG731_1d78950cabc90332,CFG731_134ecd7b8190bed1,False,x731,x731,DERIVED,VERY_STRONG,19.755499301034664,9,9,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000007,5,CFG731_404424158a3493ae,CFG731_134ecd7b8190bed1,False,x731,x731,DERIVED,VERY_STRONG,19.755499301034664,9,9,0,True,4,4,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000007,6,CFG731_de67d4c164ed05bc,CFG731_134ecd7b8190bed1,False,x731,x731,DERIVED,VERY_STRONG,19.755499301034664,9,9,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000007,7,CFG731_bfee42801e80594e,CFG731_134ecd7b8190bed1,False,x731,x731,DERIVED,VERY_STRONG,19.755499301034664,9,9,0,True,4,4,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000007,8,CFG731_c887ba58c35036a9,CFG731_134ecd7b8190bed1,False,x731,x731,DERIVED,VERY_STRONG,19.755499301034664,9,9,0,True,4,4,0,3,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000007,9,CFG731_ef2da8cd513b19be,CFG731_134ecd7b8190bed1,False,x731,x731,DERIVED,VERY_STRONG,17.352249919935858,9,9,0,True,4,3,1,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000007,10,CFG731_0ccac09f5dbb32fb,CFG731_134ecd7b8190bed1,False,x731,x731,DERIVED,VERY_STRONG,17.352249919935858,9,9,0,True,4,3,1,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000008,1,CFG731_3f42c988dc83cb23,CFG731_b5710e5f11e2cbc2,False,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,25.751984721529897,10,10,0,True,4,4,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000008,2,CFG731_d03860c1f327a8d1,CFG731_b5710e5f11e2cbc2,False,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,25.751984721529897,10,10,0,True,4,4,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000008,3,CFG731_329b582435fea539,CFG731_b5710e5f11e2cbc2,False,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,25.751984721529897,10,10,0,True,4,4,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000008,4,CFG731_b5710e5f11e2cbc2,CFG731_b5710e5f11e2cbc2,True,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,25.751984721529897,10,10,0,True,4,4,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000008,5,CFG731_4de012f7232f644d,CFG731_b5710e5f11e2cbc2,False,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,22.480303729728902,10,9,1,False,4,4,0,2,MANDATORY_VIOLATION
RFQ731-000008,6,CFG731_37f37296c515d083,CFG731_b5710e5f11e2cbc2,False,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,22.480303729728902,10,9,1,False,4,4,0,1,MANDATORY_VIOLATION
RFQ731-000008,7,CFG731_5882bd12beb09203,CFG731_b5710e5f11e2cbc2,False,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,22.480303729728902,10,9,1,False,4,4,0,1,MANDATORY_VIOLATION
RFQ731-000008,8,CFG731_8fd0ed37b442c386,CFG731_b5710e5f11e2cbc2,False,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,21.29069166095265,10,10,0,True,4,3,1,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000008,9,CFG731_168475c8045761e7,CFG731_b5710e5f11e2cbc2,False,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,21.29069166095265,10,10,0,True,4,3,1,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000008,10,CFG731_8c2005b3a4cbdd8a,CFG731_b5710e5f11e2cbc2,False,G731ST-HT,G731ST-HT,DERIVED,VERY_STRONG,21.29069166095265,10,10,0,True,4,3,1,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000009,1,CFG731_646d8903da63e1f0,CFG731_646d8903da63e1f0,True,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,26.99506413179173,10,10,0,True,5,5,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000009,2,CFG731_a56f1437a0b4ca31,CFG731_646d8903da63e1f0,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,26.99506413179173,10,10,0,True,5,5,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000009,3,CFG731_00e033bb831be6d5,CFG731_646d8903da63e1f0,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,23.945825409189062,10,9,1,False,5,5,0,0,MANDATORY_VIOLATION
RFQ731-000009,4,CFG731_240d537f14b1a01d,CFG731_646d8903da63e1f0,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,23.945825409189062,10,9,1,False,5,5,0,1,MANDATORY_VIOLATION
RFQ731-000009,5,CFG731_e489ae1a5426e276,CFG731_646d8903da63e1f0,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,23.723383139990744,10,9,1,False,5,5,0,1,MANDATORY_VIOLATION
RFQ731-000009,6,CFG731_1a1206cc52132df1,CFG731_646d8903da63e1f0,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,22.53377107121448,10,10,0,True,5,4,1,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000009,7,CFG731_c3a136a8630f644d,CFG731_646d8903da63e1f0,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,22.53377107121448,10,10,0,True,5,4,1,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000009,8,CFG731_265337e27ab1207c,CFG731_646d8903da63e1f0,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,22.53377107121448,10,10,0,True,5,4,1,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000009,9,CFG731_a3b03637ed22317c,CFG731_646d8903da63e1f0,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,22.17936225373784,10,9,1,False,5,5,0,1,MANDATORY_VIOLATION
RFQ731-000009,10,CFG731_dde2f7fe043f7ade,CFG731_646d8903da63e1f0,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,22.17936225373784,10,9,1,False,5,5,0,0,MANDATORY_VIOLATION
RFQ731-000010,1,CFG731_87d8ba5b87cf0a3f,CFG731_9e44a82e6c1db982,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.72157556398946,8,8,0,True,5,5,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000010,2,CFG731_e1516ef53069d5e2,CFG731_9e44a82e6c1db982,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.72157556398946,8,8,0,True,5,5,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000010,3,CFG731_a40ab19ad6671fbe,CFG731_9e44a82e6c1db982,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.72157556398946,8,8,0,True,5,5,0,3,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000010,4,CFG731_cc64ce3eaedacb17,CFG731_9e44a82e6c1db982,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.72157556398946,8,8,0,True,5,5,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000010,5,CFG731_9e44a82e6c1db982,CFG731_9e44a82e6c1db982,True,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.72157556398946,8,8,0,True,5,5,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000010,6,CFG731_d3944f427f0609b6,CFG731_9e44a82e6c1db982,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.72157556398946,8,8,0,True,5,5,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000010,7,CFG731_bc9146cb8459e9c2,CFG731_9e44a82e6c1db982,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.72157556398946,8,8,0,True,5,5,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000010,8,CFG731_098817d766a37bc2,CFG731_9e44a82e6c1db982,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,22.72157556398946,8,8,0,True,5,5,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000010,9,CFG731_515a31451814aae9,CFG731_9e44a82e6c1db982,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,18.26028250341221,8,7,1,False,5,5,0,1,MANDATORY_VIOLATION
RFQ731-000010,10,CFG731_750dd83a06ba43cb,CFG731_9e44a82e6c1db982,False,G731ST-LT,G731ST-LT,DERIVED,VERY_STRONG,18.26028250341221,8,7,1,False,5,5,0,3,MANDATORY_VIOLATION
RFQ731-000011,1,CFG731_ef8d68b6d278bfec,CFG731_cd71ec2726e971ef,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,25.28506140626629,13,13,0,True,1,1,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000011,2,CFG731_8b18ac1c34209d63,CFG731_cd71ec2726e971ef,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,25.28506140626629,13,13,0,True,1,1,0,2,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000011,3,CFG731_708466e4f37148f0,CFG731_cd71ec2726e971ef,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,25.28506140626629,13,13,0,True,1,1,0,1,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000011,4,CFG731_cd71ec2726e971ef,CFG731_cd71ec2726e971ef,True,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,25.28506140626629,13,13,0,True,1,1,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000011,5,CFG731_b30ceef5c5f902ca,CFG731_cd71ec2726e971ef,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,22.093790632972727,13,12,1,False,1,1,0,0,MANDATORY_VIOLATION
RFQ731-000011,6,CFG731_d44e54f35ee15977,CFG731_cd71ec2726e971ef,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,22.093790632972727,13,12,1,False,1,1,0,1,MANDATORY_VIOLATION
RFQ731-000011,7,CFG731_f9cbe189d57c95a1,CFG731_cd71ec2726e971ef,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,22.093790632972727,13,12,1,False,1,1,0,1,MANDATORY_VIOLATION
RFQ731-000011,8,CFG731_80619ff0be976225,CFG731_cd71ec2726e971ef,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,22.093790632972727,13,12,1,False,1,1,0,2,MANDATORY_VIOLATION
RFQ731-000011,9,CFG731_b3ed2928d6d65710,CFG731_cd71ec2726e971ef,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,20.806810191261818,13,12,1,False,1,1,0,0,MANDATORY_VIOLATION
RFQ731-000011,10,CFG731_076cad91966d4c34,CFG731_cd71ec2726e971ef,False,G731ST-HT,G731ST-HT,OBSERVED,OBSERVED,20.806810191261818,13,12,1,False,1,1,0,2,MANDATORY_VIOLATION
RFQ731-000012,1,CFG731_6e27958dc8215006,CFG731_6e27958dc8215006,True,x731,x731,DERIVED,MODERATE,23.05019727261671,11,11,0,True,5,5,0,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000012,2,CFG731_8d07e19298d09d34,CFG731_6e27958dc8215006,False,x731,x731,DERIVED,MODERATE,20.27213134236708,11,10,1,False,5,5,0,0,MANDATORY_VIOLATION
RFQ731-000012,3,CFG731_32b1041fd68aac23,CFG731_6e27958dc8215006,False,x731,x731,DERIVED,MODERATE,19.93137309836084,11,10,1,False,5,5,0,0,MANDATORY_VIOLATION
RFQ731-000012,4,CFG731_92d4ed621aef46c2,CFG731_6e27958dc8215006,False,x731,x731,DERIVED,MODERATE,19.858926499323147,11,10,1,False,5,5,0,0,MANDATORY_VIOLATION
RFQ731-000012,5,CFG731_c9f7a6e9a165e99d,CFG731_6e27958dc8215006,False,x731,x731,DERIVED,MODERATE,19.77851628081572,11,11,0,True,5,4,1,0,MANDATORY_SATISFIED_PREFERRED_ANALYZED
RFQ731-000012,6,CFG731_71dcda3a004aaa52,CFG731_6e27958dc8215006,False,x731,x731,DERIVED,MODERATE,18.05943536011219,11,10,1,False,5,5,0,1,MANDATORY_VIOLATION
