package,characteristic_a,characteristic_b,value_a,value_b,joint_count,joint_probability,conditional_b_given_a,conditional_a_given_b
"in {NOVALUE, 'F731PW'}",dataInterface,certification,"in {'NN', 'MR', 'BM', 'FF', 'PA', 'HS'}","in {'NN', 'WN'}",4,0.2,1.0,0.25
"in {NOVALUE, 'F731PW'}",dataInterface,certification,"in {'NN', 'MR', 'BM', 'FF', 'PA'}","in {'NN', 'WN'}",4,0.2,1.0,0.25
"in {NOVALUE, 'F731PW'}",dataInterface,certification,"in {'NN', 'MT', 'MR', 'BM', 'BT', 'FF', 'PA', 'HS'}",NN,1,0.05,1.0,0.25
"in {NOVALUE, 'F731PW'}",dataInterface,certification,"in {'NN', 'MT', 'MR', 'BM', 'BT', 'FF', 'PA'}",NN,1,0.05,1.0,0.25
"in {NOVALUE, 'F731PW'}",protectionArea,certification,2,NN,4,0.2,0.2,1.0
"in {NOVALUE, 'F731PW'}",protectionArea,certification,2,"in {'NN', 'WN'}",16,0.8,0.8,1.0
"in {NOVALUE, 'F731PW'}",explosionApproval,protectionArea,F,2,4,0.2,1.0,0.2
"in {NOVALUE, 'F731PW'}",explosionApproval,protectionArea,K,2,8,0.4,1.0,0.4
"in {NOVALUE, 'F731PW'}",explosionApproval,protectionArea,"in {'A', 'E', 'P', 'J', 'S'}",2,8,0.4,1.0,0.4
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,MN2,NOVALUE,3,0.15,1.0,0.25
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,MP2,2,0.1,0.25,1.0
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,"in {'MP2', 'MP4'}",2,0.1,0.25,1.0
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,"in {NOVALUE, 'MP2', 'MP4'}",2,0.1,0.25,1.0
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,"in {NOVALUE, 'MP2'}",2,0.1,0.25,1.0
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {'MN2', 'MN4'}",NOVALUE,3,0.15,1.0,0.25
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'MN2', 'MN4'}",NOVALUE,3,0.15,1.0,0.25
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'MN2'}",NOVALUE,3,0.15,1.0,0.25
"in {NOVALUE, 'F731TE'}",explosionApproval,certification,F,NN,6,0.23076923076923078,1.0,1.0
"in {NOVALUE, 'F731TE'}",explosionApproval,certification,K,"in {'NN', 'WN'}",6,0.23076923076923078,1.0,0.5
"in {NOVALUE, 'F731TE'}",explosionApproval,certification,N,"in {'NN', 'WN', 'FN'}",8,0.3076923076923077,1.0,1.0
"in {NOVALUE, 'F731TE'}",explosionApproval,certification,"in {'A', 'E', 'P', 'J', 'S'}","in {'NN', 'WN'}",6,0.23076923076923078,1.0,0.5
"in {NOVALUE, 'F731TE'}",stromEingaenge,temperaturEingaenge,NOVALUE,TT2,13,0.5,0.5,1.0
"in {NOVALUE, 'F731TE'}",stromEingaenge,temperaturEingaenge,NOVALUE,"in {'TT2', 'TT4'}",13,0.5,0.5,1.0
"in {NOVALUE, 'F731TE'}",stromSchaltbar,stromEingaenge,CS2,NOVALUE,4,0.15384615384615385,1.0,0.15384615384615385
"in {NOVALUE, 'F731TE'}",stromSchaltbar,stromEingaenge,NOVALUE,NOVALUE,10,0.38461538461538464,1.0,0.38461538461538464
"in {NOVALUE, 'F731TE'}",stromSchaltbar,stromEingaenge,"in {'CS2', 'CS3'}",NOVALUE,8,0.3076923076923077,1.0,0.3076923076923077
"in {NOVALUE, 'F731TE'}",stromSchaltbar,stromEingaenge,"in {'CS2', 'CS4'}",NOVALUE,4,0.15384615384615385,1.0,0.15384615384615385
"in {NOVALUE, 'F731TE'}",stromSchaltbar,temperaturEingaenge,CS2,"in {'TT2', 'TT4'}",4,0.15384615384615385,1.0,0.3076923076923077
"in {NOVALUE, 'F731TE'}",stromSchaltbar,temperaturEingaenge,NOVALUE,TT2,5,0.19230769230769232,0.5,0.38461538461538464
"in {NOVALUE, 'F731TE'}",stromSchaltbar,temperaturEingaenge,NOVALUE,"in {'TT2', 'TT4'}",5,0.19230769230769232,0.5,0.38461538461538464
"in {NOVALUE, 'F731TE'}",stromSchaltbar,temperaturEingaenge,"in {'CS2', 'CS3'}",TT2,4,0.15384615384615385,0.5,0.3076923076923077
"in {NOVALUE, 'F731TE'}",stromSchaltbar,temperaturEingaenge,"in {'CS2', 'CS3'}","in {'TT2', 'TT4'}",4,0.15384615384615385,0.5,0.3076923076923077
"in {NOVALUE, 'F731TE'}",stromSchaltbar,temperaturEingaenge,"in {'CS2', 'CS4'}",TT2,4,0.15384615384615385,1.0,0.3076923076923077
"in {NOVALUE, 'F731TE'}",housing,powerSupply,"in {'ST', 'AL'}","in {'1', '4'}",26,1.0,1.0,1.0
"in {NOVALUE, 'F731TE'}",numberOfChannels,temperaturEingaenge,1,TT2,13,0.5,1.0,1.0
"in {NOVALUE, 'F731TE'}",numberOfChannels,temperaturEingaenge,2,"in {'TT2', 'TT4'}",13,0.5,1.0,1.0
"in {NOVALUE, 'F731TE'}",dataInterface,certification,NN,"in {'NN', 'WN'}",4,0.15384615384615385,1.0,0.3333333333333333
"in {NOVALUE, 'F731TE'}",dataInterface,certification,"in {'MT', 'BT'}","in {'NN', 'WN', 'FN'}",2,0.07692307692307693,1.0,0.25
"in {NOVALUE, 'F731TE'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}",NN,2,0.07692307692307693,0.5,0.3333333333333333
"in {NOVALUE, 'F731TE'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}","in {'NN', 'WN', 'FN'}",2,0.07692307692307693,0.5,0.25
"in {NOVALUE, 'F731TE'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM', 'HS'}",NN,2,0.07692307692307693,0.3333333333333333,0.3333333333333333
"in {NOVALUE, 'F731TE'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM', 'HS'}","in {'NN', 'WN'}",4,0.15384615384615385,0.6666666666666666,0.3333333333333333
"in {NOVALUE, 'F731TE'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}","in {'NN', 'WN', 'FN'}",2,0.07692307692307693,1.0,0.25
"in {NOVALUE, 'F731TE'}",dataInterface,certification,"in {'PA', 'MR', 'FF', 'BM', 'HS'}",NN,2,0.07692307692307693,0.3333333333333333,0.3333333333333333
"in {NOVALUE, 'F731TE'}",dataInterface,certification,"in {'PA', 'MR', 'FF', 'BM', 'HS'}","in {'NN', 'WN'}",4,0.15384615384615385,0.6666666666666666,0.3333333333333333
"in {NOVALUE, 'F731TE'}",dataInterface,certification,"in {'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}","in {'NN', 'WN', 'FN'}",2,0.07692307692307693,1.0,0.25
"in {NOVALUE, 'F731TE'}",protectionArea,certification,2,NN,6,0.23076923076923078,0.3333333333333333,1.0
"in {NOVALUE, 'F731TE'}",protectionArea,certification,2,"in {'NN', 'WN'}",12,0.46153846153846156,0.6666666666666666,1.0
"in {NOVALUE, 'F731TE'}",protectionArea,certification,N,"in {'NN', 'WN', 'FN'}",8,0.3076923076923077,1.0,1.0
"in {NOVALUE, 'F731TE'}",explosionApproval,protectionArea,F,2,6,0.23076923076923078,1.0,0.3333333333333333
"in {NOVALUE, 'F731TE'}",explosionApproval,protectionArea,K,2,6,0.23076923076923078,1.0,0.3333333333333333
"in {NOVALUE, 'F731TE'}",explosionApproval,protectionArea,N,N,8,0.3076923076923077,1.0,1.0
"in {NOVALUE, 'F731TE'}",explosionApproval,protectionArea,"in {'A', 'E', 'P', 'J', 'S'}",2,6,0.23076923076923078,1.0,0.3333333333333333
"in {NOVALUE, 'F731TE'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,MN4,NOVALUE,4,0.15384615384615385,1.0,0.2857142857142857
"in {NOVALUE, 'F731TE'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,MP4,12,0.46153846153846156,0.5454545454545454,1.0
"in {NOVALUE, 'F731TE'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,NOVALUE,10,0.38461538461538464,0.45454545454545453,0.7142857142857143
"in {NOVALUE, 'F731WD_DualChannel'}",explosionApproval,certification,N,CN,6,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",explosionApproval,certification,N,"in {'NN', 'WN', 'FN'}",6,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",stromEingaenge,temperaturEingaenge,NOVALUE,NOVALUE,2,0.16666666666666666,1.0,0.16666666666666666
"in {NOVALUE, 'F731WD_DualChannel'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,4,0.3333333333333333,1.0,0.3333333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1'}",NOVALUE,6,0.5,1.0,0.5
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,stromEingaenge,CS2,"in {NOVALUE, 'IS1', 'IS2'}",2,0.16666666666666666,0.5,0.5
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,stromEingaenge,CS2,"in {NOVALUE, 'IS1'}",2,0.16666666666666666,0.5,0.3333333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",2,0.16666666666666666,0.5,0.5
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1'}",2,0.16666666666666666,0.5,0.3333333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,stromEingaenge,"in {'CS2', 'CS3'}","in {NOVALUE, 'IS1'}",2,0.16666666666666666,1.0,0.3333333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,stromEingaenge,"in {'CS2', 'CS4'}",NOVALUE,2,0.16666666666666666,1.0,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,temperaturEingaenge,CS2,NOVALUE,4,0.3333333333333333,1.0,0.3333333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,temperaturEingaenge,NOVALUE,NOVALUE,4,0.3333333333333333,1.0,0.3333333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,temperaturEingaenge,"in {'CS2', 'CS3'}",NOVALUE,2,0.16666666666666666,1.0,0.16666666666666666
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,temperaturEingaenge,"in {'CS2', 'CS4'}",NOVALUE,2,0.16666666666666666,1.0,0.16666666666666666
"in {NOVALUE, 'F731WD_DualChannel'}",housing,powerSupply,"in {'ST', 'AL'}",1,6,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",housing,powerSupply,"in {'ST', 'AL'}","in {'1', '4'}",6,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",numberOfChannels,temperaturEingaenge,2,NOVALUE,12,1.0,1.0,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,certification,HS,CN,2,0.16666666666666666,0.5,0.3333333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,certification,HS,"in {'NN', 'WN', 'FN'}",2,0.16666666666666666,0.5,0.3333333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,certification,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",CN,3,0.25,0.5,0.5
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,certification,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}","in {'NN', 'WN', 'FN'}",3,0.25,0.5,0.5
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,certification,"in {'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",CN,1,0.08333333333333333,0.5,0.16666666666666666
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,certification,"in {'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}","in {'NN', 'WN', 'FN'}",1,0.08333333333333333,0.5,0.16666666666666666
"in {NOVALUE, 'F731WD_DualChannel'}",protectionArea,certification,N,CN,6,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",protectionArea,certification,N,"in {'NN', 'WN', 'FN'}",6,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",explosionApproval,protectionArea,N,N,12,1.0,1.0,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,MP4,8,0.6666666666666666,0.6666666666666666,1.0
"in {NOVALUE, 'F731WD_DualChannel'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,NOVALUE,4,0.3333333333333333,0.3333333333333333,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",explosionApproval,certification,N,CN,4,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",explosionApproval,certification,N,"in {'NN', 'WN', 'FN'}",4,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,4,0.5,1.0,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1'}",NOVALUE,4,0.5,1.0,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,stromEingaenge,CS2,"in {NOVALUE, 'IS1', 'IS2'}",2,0.25,0.5,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,stromEingaenge,CS2,"in {NOVALUE, 'IS1'}",2,0.25,0.5,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",2,0.25,0.5,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1'}",2,0.25,0.5,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,temperaturEingaenge,CS2,NOVALUE,4,0.5,1.0,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,temperaturEingaenge,NOVALUE,NOVALUE,4,0.5,1.0,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",housing,powerSupply,"in {'ST', 'AL'}",1,4,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",housing,powerSupply,"in {'ST', 'AL'}","in {'1', '4'}",4,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",numberOfChannels,temperaturEingaenge,1,NOVALUE,8,1.0,1.0,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,certification,HS,CN,2,0.25,0.5,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,certification,HS,"in {'NN', 'WN', 'FN'}",2,0.25,0.5,0.5
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,certification,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",CN,1,0.125,0.5,0.25
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,certification,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}","in {'NN', 'WN', 'FN'}",1,0.125,0.5,0.25
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,certification,"in {'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",CN,1,0.125,0.5,0.25
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,certification,"in {'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}","in {'NN', 'WN', 'FN'}",1,0.125,0.5,0.25
"in {NOVALUE, 'F731WD_SingleChannel'}",protectionArea,certification,N,CN,4,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",protectionArea,certification,N,"in {'NN', 'WN', 'FN'}",4,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",explosionApproval,protectionArea,N,N,8,1.0,1.0,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,MP4,4,0.5,0.5,1.0
"in {NOVALUE, 'F731WD_SingleChannel'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,NOVALUE,4,0.5,0.5,1.0
"in {NOVALUE, 'G731CA'}",explosionApproval,certification,F,NN,6,0.25,1.0,1.0
"in {NOVALUE, 'G731CA'}",explosionApproval,certification,K,"in {'NN', 'WN'}",6,0.25,1.0,0.5
"in {NOVALUE, 'G731CA'}",explosionApproval,certification,N,"in {'NN', 'WN', 'FN'}",6,0.25,1.0,1.0
"in {NOVALUE, 'G731CA'}",explosionApproval,certification,"in {'A', 'E', 'P', 'J', 'S'}","in {'NN', 'WN'}",6,0.25,1.0,0.5
"in {NOVALUE, 'G731CA'}",stromEingaenge,temperaturEingaenge,IS1,TT1,4,0.16666666666666666,0.5,0.3333333333333333
"in {NOVALUE, 'G731CA'}",stromEingaenge,temperaturEingaenge,IS1,"in {'TT1', 'TT2'}",4,0.16666666666666666,0.5,0.3333333333333333
"in {NOVALUE, 'G731CA'}",stromEingaenge,temperaturEingaenge,"in {'IS1', 'IS2'}",TT1,8,0.3333333333333333,0.5,0.6666666666666666
"in {NOVALUE, 'G731CA'}",stromEingaenge,temperaturEingaenge,"in {'IS1', 'IS2'}","in {'TT1', 'TT2'}",8,0.3333333333333333,0.5,0.6666666666666666
"in {NOVALUE, 'G731CA'}",stromSchaltbar,stromEingaenge,CS2,IS1,8,0.3333333333333333,0.5,1.0
"in {NOVALUE, 'G731CA'}",stromSchaltbar,stromEingaenge,CS2,"in {'IS1', 'IS2'}",8,0.3333333333333333,0.5,0.5
"in {NOVALUE, 'G731CA'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {'IS1', 'IS2'}",8,0.3333333333333333,1.0,0.5
"in {NOVALUE, 'G731CA'}",stromSchaltbar,temperaturEingaenge,CS2,TT1,8,0.3333333333333333,0.5,0.6666666666666666
"in {NOVALUE, 'G731CA'}",stromSchaltbar,temperaturEingaenge,CS2,"in {'TT1', 'TT2'}",8,0.3333333333333333,0.5,0.6666666666666666
"in {NOVALUE, 'G731CA'}",stromSchaltbar,temperaturEingaenge,NOVALUE,TT1,4,0.16666666666666666,0.5,0.3333333333333333
"in {NOVALUE, 'G731CA'}",stromSchaltbar,temperaturEingaenge,NOVALUE,"in {'TT1', 'TT2'}",4,0.16666666666666666,0.5,0.3333333333333333
"in {NOVALUE, 'G731CA'}",housing,powerSupply,"in {'ST', 'AL'}","in {'1', '4'}",24,1.0,1.0,1.0
"in {NOVALUE, 'G731CA'}",numberOfChannels,temperaturEingaenge,1,TT1,12,0.5,1.0,1.0
"in {NOVALUE, 'G731CA'}",numberOfChannels,temperaturEingaenge,2,"in {'TT1', 'TT2'}",12,0.5,1.0,1.0
"in {NOVALUE, 'G731CA'}",dataInterface,certification,HS,NN,1,0.041666666666666664,0.14285714285714285,0.16666666666666666
"in {NOVALUE, 'G731CA'}",dataInterface,certification,HS,"in {'NN', 'WN', 'FN'}",2,0.08333333333333333,0.2857142857142857,0.3333333333333333
"in {NOVALUE, 'G731CA'}",dataInterface,certification,HS,"in {'NN', 'WN'}",4,0.16666666666666666,0.5714285714285714,0.3333333333333333
"in {NOVALUE, 'G731CA'}",dataInterface,certification,"in {'MT', 'BT', 'PA', 'MR', 'FF', 'BM', 'HS'}",NN,3,0.125,1.0,0.5
"in {NOVALUE, 'G731CA'}",dataInterface,certification,"in {'MT', 'BT', 'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}","in {'NN', 'WN', 'FN'}",2,0.08333333333333333,1.0,0.3333333333333333
"in {NOVALUE, 'G731CA'}",dataInterface,certification,"in {'NN', 'MT', 'BT', 'PA', 'MR', 'FF', 'BM'}",NN,2,0.08333333333333333,1.0,0.3333333333333333
"in {NOVALUE, 'G731CA'}",dataInterface,certification,"in {'NN', 'MT', 'BT', 'PA', 'MR', 'FF', 'DB', 'BM'}","in {'NN', 'WN', 'FN'}",2,0.08333333333333333,1.0,0.3333333333333333
"in {NOVALUE, 'G731CA'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM'}","in {'NN', 'WN'}",4,0.16666666666666666,1.0,0.3333333333333333
"in {NOVALUE, 'G731CA'}",dataInterface,certification,"in {'PA', 'MR', 'FF', 'BM', 'HS'}","in {'NN', 'WN'}",4,0.16666666666666666,1.0,0.3333333333333333
"in {NOVALUE, 'G731CA'}",protectionArea,certification,2,NN,6,0.25,0.3333333333333333,1.0
"in {NOVALUE, 'G731CA'}",protectionArea,certification,2,"in {'NN', 'WN'}",12,0.5,0.6666666666666666,1.0
"in {NOVALUE, 'G731CA'}",protectionArea,certification,N,"in {'NN', 'WN', 'FN'}",6,0.25,1.0,1.0
"in {NOVALUE, 'G731CA'}",explosionApproval,protectionArea,F,2,6,0.25,1.0,0.3333333333333333
"in {NOVALUE, 'G731CA'}",explosionApproval,protectionArea,K,2,6,0.25,1.0,0.3333333333333333
"in {NOVALUE, 'G731CA'}",explosionApproval,protectionArea,N,N,6,0.25,1.0,1.0
"in {NOVALUE, 'G731CA'}",explosionApproval,protectionArea,"in {'A', 'E', 'P', 'J', 'S'}",2,6,0.25,1.0,0.3333333333333333
"in {NOVALUE, 'G731CA'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,MN4,NOVALUE,4,0.16666666666666666,1.0,0.3333333333333333
"in {NOVALUE, 'G731CA'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,MP4,12,0.5,0.6,1.0
"in {NOVALUE, 'G731CA'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,NOVALUE,8,0.3333333333333333,0.4,0.6666666666666666
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,certification,F,NN,19,0.14285714285714285,1.0,1.0
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,certification,K,"in {'NN', 'WN'}",38,0.2857142857142857,1.0,0.5
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,certification,N,"in {'NN', 'WN', 'FN'}",38,0.2857142857142857,1.0,1.0
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,certification,"in {'A', 'E', 'P', 'J', 'S'}","in {'NN', 'WN'}",38,0.2857142857142857,1.0,0.5
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,temperaturEingaenge,NOVALUE,NOVALUE,7,0.05263157894736842,0.14285714285714285,0.3333333333333333
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,temperaturEingaenge,NOVALUE,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",21,0.15789473684210525,0.42857142857142855,1.0
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,temperaturEingaenge,NOVALUE,"in {NOVALUE, 'TT1', 'TT2'}",21,0.15789473684210525,0.42857142857142855,0.5
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",NOVALUE,14,0.10526315789473684,1.0,0.6666666666666666
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}","in {NOVALUE, 'TT1'}",21,0.15789473684210525,1.0,0.75
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2'}","in {NOVALUE, 'TT1', 'TT2'}",21,0.15789473684210525,1.0,0.5
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",21,0.15789473684210525,0.75,1.0
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1'}","in {NOVALUE, 'TT1'}",7,0.05263157894736842,0.25,0.25
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",14,0.10526315789473684,0.6666666666666666,1.0
