source_row,characteristic,raw_value,rule_type,parsed_values,value_count
2,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
2,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",allowed_values,NOVALUE|CS1|CS2|CS3,4
2,stromEingaenge,"in {NOVALUE, 'IS1'}",allowed_values,NOVALUE|IS1,2
2,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2', 'TT3'}",allowed_values,NOVALUE|TT1|TT2|TT3,4
2,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
2,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
2,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
2,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
3,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
3,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
3,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
3,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
3,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
3,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
3,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
3,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
3,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",allowed_values,NOVALUE|CS1|CS2,3
3,stromEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",allowed_values,NOVALUE|IS1|IS2,3
3,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2'}",allowed_values,NOVALUE|TT1|TT2,3
3,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
3,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
3,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
3,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
4,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
4,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
4,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
4,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
4,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
4,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
4,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
4,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
4,stromSchaltbar,"in {NOVALUE, 'CS1'}",allowed_values,NOVALUE|CS1,2
4,stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",allowed_values,NOVALUE|IS1|IS2|IS3,4
4,temperaturEingaenge," in {NOVALUE, 'TT1'}",allowed_values,NOVALUE|TT1,2
4,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
4,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
4,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
4,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
5,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
5,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
5,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
5,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
5,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
5,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
5,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
5,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
5,stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",allowed_values,NOVALUE|IS1|IS2|IS3|IS4,5
5,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
5,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
5,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
5,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
6,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
6,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
6,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
6,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
6,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
6,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
6,dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",allowed_values,NN|PA|MR|FF|DB|BM,6
6,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
6,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",allowed_values,NOVALUE|CS1|CS2|CS3|CS4,5
6,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
6,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
6,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
6,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
7,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
7,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
7,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
7,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
7,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
7,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
7,dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",allowed_values,NN|PA|MR|FF|DB|BM,6
7,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
7,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",allowed_values,NOVALUE|CS1|CS2|CS3,4
7,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2'}",allowed_values,NOVALUE|TT1|TT2,3
7,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
7,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
7,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
7,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
8,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
8,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
8,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
8,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
8,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
8,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
8,dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",allowed_values,NN|PA|MR|FF|DB|BM,6
8,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
8,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",allowed_values,NOVALUE|CS1|CS2|CS3,4
8,stromEingaenge,"in {NOVALUE, 'IS1'}",allowed_values,NOVALUE|IS1,2
8,temperaturEingaenge," in {NOVALUE, 'TT1'}",allowed_values,NOVALUE|TT1,2
8,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
8,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
8,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
8,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
9,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
9,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
9,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
9,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
9,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
9,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
9,dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",allowed_values,NN|PA|MR|FF|DB|BM,6
9,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
9,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",allowed_values,NOVALUE|CS1|CS2,3
9,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",allowed_values,NOVALUE|TT1|TT2|TT3|TT4,5
9,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
9,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
9,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
9,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
10,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
10,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
10,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
10,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
10,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
10,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
10,dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",allowed_values,NN|PA|MR|FF|DB|BM,6
10,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
10,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",allowed_values,NOVALUE|CS1|CS2,3
10,stromEingaenge,"in {NOVALUE, 'IS1'}",allowed_values,NOVALUE|IS1,2
10,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2', 'TT3'}",allowed_values,NOVALUE|TT1|TT2|TT3,4
10,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
10,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
10,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
10,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
11,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
11,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
11,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
11,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
11,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
11,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
11,dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",allowed_values,NN|PA|MR|FF|DB|BM,6
11,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
11,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",allowed_values,NOVALUE|CS1|CS2,3
11,stromEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",allowed_values,NOVALUE|IS1|IS2,3
11,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2'}",allowed_values,NOVALUE|TT1|TT2,3
11,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
11,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
11,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
11,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
12,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
12,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
12,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
12,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
12,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
12,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
12,dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",allowed_values,NN|PA|MR|FF|DB|BM,6
12,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
12,stromSchaltbar,"in {NOVALUE, 'CS1'}",allowed_values,NOVALUE|CS1,2
12,stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",allowed_values,NOVALUE|IS1|IS2|IS3,4
12,temperaturEingaenge," in {NOVALUE, 'TT1'}",allowed_values,NOVALUE|TT1,2
12,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
12,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
12,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
12,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
13,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
13,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
13,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
13,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
13,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
13,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
13,dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",allowed_values,NN|PA|MR|FF|DB|BM,6
13,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
13,stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",allowed_values,NOVALUE|IS1|IS2|IS3|IS4,5
13,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
13,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
13,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
13,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
14,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
14,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
14,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
14,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
14,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
14,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
14,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
14,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",allowed_values,NOVALUE|CS1|CS2|CS3,4
14,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2'}",allowed_values,NOVALUE|TT1|TT2,3
14,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
14,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
14,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
14,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
15,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
15,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
15,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
15,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
15,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
15,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
15,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
15,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",allowed_values,NOVALUE|CS1|CS2,3
15,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",allowed_values,NOVALUE|TT1|TT2|TT3|TT4,5
15,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
15,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
15,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
15,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
16,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
16,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
16,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
16,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
16,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
16,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
16,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
16,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",allowed_values,NOVALUE|CS1|CS2,3
16,stromEingaenge,"in {NOVALUE, 'IS1'}",allowed_values,NOVALUE|IS1,2
16,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2', 'TT3'}",allowed_values,NOVALUE|TT1|TT2|TT3,4
16,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
16,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
16,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
16,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
17,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
17,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
17,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
17,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
17,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
17,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
17,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
17,stromSchaltbar,"in {NOVALUE, 'CS1'}",allowed_values,NOVALUE|CS1,2
17,stromEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",allowed_values,NOVALUE|IS1|IS2,3
17,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2'}",allowed_values,NOVALUE|TT1|TT2,3
17,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
17,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
17,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
17,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
18,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
18,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
18,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
18,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
18,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
18,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
18,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
18,stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",allowed_values,NOVALUE|IS1|IS2|IS3,4
18,temperaturEingaenge," in {NOVALUE, 'TT1'}",allowed_values,NOVALUE|TT1,2
18,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
18,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
18,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
18,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
19,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
19,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
19,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
19,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
19,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
19,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
19,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
19,binaerDigitalOpenColl_MN,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",allowed_values,NOVALUE|MN1|MN2|MN3|MN4,5
19,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",allowed_values,NOVALUE|CS1|CS2|CS3|CS4,5
19,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2'}",allowed_values,NOVALUE|TT1|TT2,3
19,waveInjector,"in {'FWI', 'FWY', NOVALUE}",allowed_values,FWI|FWY|NOVALUE,3
19,tagPlate,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
19,dev_advMeterVerification,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
19,customUserFluid,"in {NOVALUE, 1}",allowed_values,NOVALUE|1,2
20,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",allowed_values,0|1|2|3,4
20,packageFixed_dev,"in {NOVALUE, 'x731'}",allowed_values,NOVALUE|x731,2
20,housing,"in {'ST', 'AL'}",allowed_values,ST|AL,2
20,powerSupply,"in {'1', '4'}",allowed_values,1|4,2
20,numberOfChannels,"in {1, 2}",allowed_values,1|2,2
20,certification,"in {'NN', 'WN', 'FN'}",allowed_values,NN|WN|FN,3
20,dataInterface,"in {'NN', 'MT', 'BT'}",allowed_values,NN|MT|BT,3
20,binaerDigitalOpenColl_MN,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",allowed_values,NOVALUE|MN1|MN2|MN3|MN4,5
20,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",allowed_values,NOVALUE|CS1|CS2|CS3,4
20,temperaturEingaenge," in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",allowed_values,NOVALUE|TT1|TT2|TT3|TT4,5
