rfq_id,candidate_count,true_rank,top1,top3,top5,top10,mrr,ndcg5,predicted_configuration_id,true_configuration_id,error_bucket
RFQ731-001388,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_4297d68b978dc0d5,CFG731_7bb3a18bcb60bab4,2
RFQ731-001533,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_fcc72e9951376cf3,CFG731_5dd35c89836ec88e,2
RFQ731-001599,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_8d07e19298d09d34,CFG731_ddfa4ab00c1bcdd0,3-5
RFQ731-001630,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_6e096e946540ab4e,CFG731_ac8195f5cce7d089,3-5
RFQ731-001645,11,2,0,1,1,1,0.5,0.6309297535714575,CFG731_bbffb73f3dff6787,CFG731_a3b03637ed22317c,11-50
RFQ731-001732,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_ab4075c601d1397c,CFG731_77dd17c48f15826c,3-5
RFQ731-001804,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_97796c9ac2811c94,CFG731_186348c5f967a6f7,3-5
RFQ731-001882,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_78d3b084a795c836,CFG731_27bb9f530dcb688a,2
RFQ731-001931,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_076cad91966d4c34,CFG731_c32627af59ba1526,2
RFQ731-001996,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_e0009be417f51ccd,CFG731_a40ab19ad6671fbe,6-10
RFQ731-002138,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_63eca10a00ae1f5d,CFG731_cc9ac35e4d9a1854,6-10
RFQ731-002144,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_f97e51d1da57d99f,CFG731_8eb1a4c3831aebc6,3-5
RFQ731-002263,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_ddd1ce28a3456ff6,CFG731_935bc110c01e9e85,3-5
RFQ731-002282,5,2,0,1,1,1,0.5,0.6309297535714575,CFG731_608c0251ef380592,CFG731_c887ba58c35036a9,3-5
RFQ731-002330,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_b86bbf24b1c3a419,CFG731_2db6c530f35d47b9,2
RFQ731-002360,11,2,0,1,1,1,0.5,0.6309297535714575,CFG731_bbffb73f3dff6787,CFG731_a3b03637ed22317c,11-50
RFQ731-002647,5,2,0,1,1,1,0.5,0.6309297535714575,CFG731_608c0251ef380592,CFG731_c887ba58c35036a9,3-5
RFQ731-002752,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_073f991a6c9a4683,CFG731_117f19eb2913314e,2
RFQ731-002834,4,3,0,1,1,1,0.3333333333333333,0.5,CFG731_0836695982aaa38c,CFG731_1cbb464ec15ba84f,3-5
RFQ731-002908,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_83f956404d04e6cd,CFG731_9a0f0b26c7f24725,3-5
RFQ731-003051,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_f235f4dd7693c885,CFG731_2aca30183aab25a9,2
RFQ731-003085,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_eee37571734035ae,CFG731_02ec1e408c44cf5d,2
RFQ731-003218,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_03ef652e52353f2f,CFG731_bb61f56875b25c60,2
RFQ731-003274,5,2,0,1,1,1,0.5,0.6309297535714575,CFG731_97796c9ac2811c94,CFG731_241d60e6ef5278be,3-5
RFQ731-003350,3,2,0,1,1,1,0.5,0.6309297535714575,CFG731_1af3f9470bd904d5,CFG731_4a42ba5932c01b01,3-5
RFQ731-003360,12,2,0,1,1,1,0.5,0.6309297535714575,CFG731_076cad91966d4c34,CFG731_831a7150258499af,11-50
RFQ731-003551,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_f87794e7a98d0b11,CFG731_60f3aae8ede70fe0,6-10
RFQ731-003590,4,3,0,1,1,1,0.3333333333333333,0.5,CFG731_086adbe1d654b214,CFG731_b65f8c1aefa2a95b,3-5
RFQ731-003593,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_e85a7fcdd0521e90,CFG731_acbf4c45af55caad,2
RFQ731-003607,3,2,0,1,1,1,0.5,0.6309297535714575,CFG731_bbffb73f3dff6787,CFG731_a3b03637ed22317c,3-5
RFQ731-003755,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_6e096e946540ab4e,CFG731_ac8195f5cce7d089,6-10
RFQ731-003893,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_83f956404d04e6cd,CFG731_9a0f0b26c7f24725,3-5
RFQ731-003920,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_28454766bbc80cb9,CFG731_31d150421c4341a3,2
RFQ731-003944,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_329b582435fea539,CFG731_d03860c1f327a8d1,3-5
RFQ731-003997,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_400b0d973c930668,CFG731_70b6eaf9262ca4d0,2
RFQ731-004027,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_8da1da530d6ae54d,CFG731_1d89d7fdc7355744,2
RFQ731-004088,11,2,0,1,1,1,0.5,0.6309297535714575,CFG731_63eca10a00ae1f5d,CFG731_cc9ac35e4d9a1854,11-50
RFQ731-004152,3,2,0,1,1,1,0.5,0.6309297535714575,CFG731_5995fa9fd5d1242f,CFG731_956456fc074ebc5a,3-5
RFQ731-004188,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_cd1c2b236ffda331,CFG731_35ed22cad11f9a11,2
RFQ731-004378,7,2,0,1,1,1,0.5,0.6309297535714575,CFG731_6e096e946540ab4e,CFG731_ac8195f5cce7d089,6-10
RFQ731-004402,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_f235f4dd7693c885,CFG731_2aca30183aab25a9,2
RFQ731-004511,16,2,0,1,1,1,0.5,0.6309297535714575,CFG731_c39096767a7ae083,CFG731_91e51485b56960b2,11-50
RFQ731-004596,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_32b1041fd68aac23,CFG731_70b38ab75d3ca724,2
RFQ731-004611,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_2cb814ee06486282,CFG731_817824ee3a762453,2
RFQ731-004636,4,3,0,1,1,1,0.3333333333333333,0.5,CFG731_086adbe1d654b214,CFG731_b65f8c1aefa2a95b,3-5
RFQ731-004681,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_83f956404d04e6cd,CFG731_9a0f0b26c7f24725,2
RFQ731-004685,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_e80085d86d0bbfa9,CFG731_cf4bb519cec0df2f,2
RFQ731-004797,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_086adbe1d654b214,CFG731_960e69befde5f9f6,2
RFQ731-004811,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_7203705eed387b0a,CFG731_7b1edd53e8bbad40,2
RFQ731-004912,7,3,0,1,1,1,0.3333333333333333,0.5,CFG731_086adbe1d654b214,CFG731_5f9d5671c315ce06,6-10
