rfq_id,customer_id,canonical_configuration_id,target_package,record_type,evidence_level,nearest_real_distance,source_canonical_configuration_id,ground_truth_hidden_from_customer
RFQ731-000045,CUST73100152,CFG731_70b6eaf9262ca4d0,F731WD_SingleChannel,OBSERVED,OBSERVED,0,CFG731_70b6eaf9262ca4d0,True
RFQ731-000046,CUST73100232,CFG731_5e0166a160f3ed77,x731,DERIVED,MODERATE,2,CFG731_efc9d6b915117e15,True
RFQ731-000047,CUST73100101,CFG731_8e97bb2bec352a2c,x731,OBSERVED,OBSERVED,0,CFG731_8e97bb2bec352a2c,True
RFQ731-000048,CUST73100232,CFG731_8b6ed3cfa9ed1e59,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_c5da2661a169f82b,True
RFQ731-000049,CUST73100080,CFG731_700e5b0584a9b0fc,x731,DERIVED,VERY_STRONG,1,CFG731_c7c53fc5541f1dc1,True
RFQ731-000050,CUST73100106,CFG731_37e3938c6089bb2d,F731WD_DualChannel,OBSERVED,OBSERVED,0,CFG731_37e3938c6089bb2d,True
RFQ731-000051,CUST73100208,CFG731_0c3b33750ffab3ac,F731TE,OBSERVED,OBSERVED,0,CFG731_0c3b33750ffab3ac,True
RFQ731-000052,CUST73100172,CFG731_fa6b5a7df55858c0,x731,DERIVED,VERY_STRONG,1,CFG731_28ac43a93658ad6b,True
RFQ731-000053,CUST73100188,CFG731_1cbb464ec15ba84f,x731,DERIVED,MODERATE,1,CFG731_b8b11650a048baf7,True
RFQ731-000054,CUST73100090,CFG731_e85a7fcdd0521e90,G731CA,DERIVED,VERY_STRONG,1,CFG731_d97c333965654bd3,True
RFQ731-000055,CUST73100131,CFG731_07fb816f7dc25bc8,F731TE,OBSERVED,OBSERVED,0,CFG731_07fb816f7dc25bc8,True
RFQ731-000056,CUST73100072,CFG731_d5af433b36265df1,G731ST-LT,OBSERVED,OBSERVED,0,CFG731_d5af433b36265df1,True
RFQ731-000057,CUST73100190,CFG731_d61788aab0d61e0f,x731,DERIVED,MODERATE,1,CFG731_7f60255816247683,True
RFQ731-000058,CUST73100149,CFG731_400b0d973c930668,F731WD_SingleChannel,OBSERVED,OBSERVED,0,CFG731_400b0d973c930668,True
RFQ731-000059,CUST73100233,CFG731_6a47b38d62a9fed3,G731VG,OBSERVED,OBSERVED,0,CFG731_6a47b38d62a9fed3,True
RFQ731-000060,CUST73100128,CFG731_4e7f75dd9496e7b1,x731,DERIVED,VERY_STRONG,1,CFG731_04a704e692f8fd05,True
RFQ731-000061,CUST73100235,CFG731_15f034f7c265528f,x731,DERIVED,VERY_STRONG,1,CFG731_5bb390da70b6fee3,True
RFQ731-000062,CUST73100153,CFG731_090330aa38b8e80b,F731TE,DERIVED,MODERATE,1,CFG731_6886c948a9d1ec0c,True
RFQ731-000063,CUST73100216,CFG731_79377060f99f59f3,x731,DERIVED,MODERATE,1,CFG731_1fb424bf591da0b3,True
RFQ731-000064,CUST73100191,CFG731_327bfa077bbbd45e,F731PW,DERIVED,VERY_STRONG,1,CFG731_a9f22ebc14287e5d,True
RFQ731-000065,CUST73100240,CFG731_f57ccd8e79618aa1,x731,DERIVED,VERY_STRONG,1,CFG731_afd2371086bf1e03,True
RFQ731-000066,CUST73100057,CFG731_a72f99e8160efda6,F731TE,DERIVED,VERY_STRONG,1,CFG731_6886c948a9d1ec0c,True
RFQ731-000067,CUST73100177,CFG731_31c4aded40f9387f,x731,DERIVED,MODERATE,1,CFG731_abcee67081353f16,True
RFQ731-000068,CUST73100026,CFG731_04e7216b1ba7f935,x731,DERIVED,VERY_STRONG,1,CFG731_1f978c234895178c,True
RFQ731-000069,CUST73100198,CFG731_95e2d680672ff303,x731,DERIVED,MODERATE,1,CFG731_f7f0034a8b15f329,True
RFQ731-000070,CUST73100232,CFG731_5a8170a3daa0efb9,x731,OBSERVED,OBSERVED,0,CFG731_5a8170a3daa0efb9,True
RFQ731-000071,CUST73100183,CFG731_19f7d73d8e42e7bd,G731CA,DERIVED,VERY_STRONG,1,CFG731_48d7cdb31a45af93,True
RFQ731-000072,CUST73100179,CFG731_d9234c84a58b99ae,x731,DERIVED,VERY_STRONG,1,CFG731_b83ac25dbd4e47ee,True
RFQ731-000073,CUST73100189,CFG731_1c1fb7a32bf0146b,x731,DERIVED,VERY_STRONG,1,CFG731_3c119308d8305ad4,True
RFQ731-000074,CUST73100134,CFG731_7994662aa688a3b5,G731ST-LT,DERIVED,MODERATE,1,CFG731_7203705eed387b0a,True
RFQ731-000075,CUST73100182,CFG731_fa2849b259355775,x731,OBSERVED,OBSERVED,0,CFG731_fa2849b259355775,True
RFQ731-000076,CUST73100070,CFG731_a7d2a5a9ae465701,F731WD_SingleChannel,OBSERVED,OBSERVED,0,CFG731_a7d2a5a9ae465701,True
RFQ731-000077,CUST73100089,CFG731_a385518a9f31baa0,x731,DERIVED,MODERATE,1,CFG731_509cb555eca833a1,True
RFQ731-000078,CUST73100065,CFG731_5995fa9fd5d1242f,F731PW,OBSERVED,OBSERVED,0,CFG731_5995fa9fd5d1242f,True
RFQ731-000079,CUST73100081,CFG731_6472ab3bf7316498,x731,DERIVED,VERY_STRONG,1,CFG731_8c8856d21252930e,True
RFQ731-000080,CUST73100233,CFG731_4fe142d593643ab8,x731,DERIVED,VERY_STRONG,1,CFG731_04a704e692f8fd05,True
RFQ731-000081,CUST73100072,CFG731_a54fd8962307be18,G731ST-LT,DERIVED,LOW,2,CFG731_175641fe8d1c7f37,True
RFQ731-000082,CUST73100164,CFG731_90035585549005ff,x731,DERIVED,LOW,2,CFG731_9b931b5025055c84,True
RFQ731-000083,CUST73100166,CFG731_574aa7a29f75cd60,F731TE,OBSERVED,OBSERVED,0,CFG731_574aa7a29f75cd60,True
RFQ731-000084,CUST73100105,CFG731_5be5a82ac0b29989,x731,DERIVED,MODERATE,1,CFG731_f3fed379f1eb01f9,True
RFQ731-000085,CUST73100011,CFG731_0aa987e1ae960c88,x731,OBSERVED,OBSERVED,0,CFG731_0aa987e1ae960c88,True
RFQ731-000086,CUST73100220,CFG731_d3d0547b464f691d,G731CA,OBSERVED,OBSERVED,0,CFG731_d3d0547b464f691d,True
RFQ731-000087,CUST73100023,CFG731_6d44172bc82c7ed7,x731,DERIVED,MODERATE,1,CFG731_775c3458f44938c0,True
RFQ731-000088,CUST73100123,CFG731_0ce13abf777d04f9,G731ST-HT,DERIVED,VERY_STRONG,1,CFG731_a288340143e53b7f,True
RFQ731-000089,CUST73100122,CFG731_4340f11ba9a46e42,x731,OBSERVED,OBSERVED,0,CFG731_4340f11ba9a46e42,True
RFQ731-000090,CUST73100045,CFG731_260c36430f7c2d03,x731,OBSERVED,OBSERVED,0,CFG731_260c36430f7c2d03,True
RFQ731-000091,CUST73100225,CFG731_e6c0885eb14e429c,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_175641fe8d1c7f37,True
RFQ731-000092,CUST73100026,CFG731_a7a446c7f3b3183f,x731,OBSERVED,OBSERVED,0,CFG731_a7a446c7f3b3183f,True
RFQ731-000093,CUST73100039,CFG731_7f6c0412b6d497fb,x731,DERIVED,MODERATE,1,CFG731_b74fb5418dad3b38,True
RFQ731-000094,CUST73100181,CFG731_0738cd529389f266,G731CA,OBSERVED,OBSERVED,0,CFG731_0738cd529389f266,True
RFQ731-000095,CUST73100072,CFG731_235ee3a364b5b6ec,x731,DERIVED,LOW,2,CFG731_2a8793475d827bb6,True
RFQ731-000096,CUST73100042,CFG731_1d89d7fdc7355744,G731ST-LT,OBSERVED,OBSERVED,0,CFG731_1d89d7fdc7355744,True
RFQ731-000097,CUST73100082,CFG731_78ea99817ca8be6a,x731,DERIVED,LOW,2,CFG731_f1614000023c2800,True
RFQ731-000098,CUST73100173,CFG731_dde2f7fe043f7ade,G731ST-HT,OBSERVED,OBSERVED,0,CFG731_dde2f7fe043f7ade,True
RFQ731-000099,CUST73100122,CFG731_917fc613cc9bf56a,x731,DERIVED,VERY_STRONG,1,CFG731_b5f8987a85e1ce9a,True
RFQ731-000100,CUST73100073,CFG731_35ed22cad11f9a11,F731WD_DualChannel,OBSERVED,OBSERVED,0,CFG731_35ed22cad11f9a11,True
RFQ731-000101,CUST73100042,CFG731_a4610f5f38e7d946,F731WD_DualChannel,OBSERVED,OBSERVED,0,CFG731_a4610f5f38e7d946,True
RFQ731-000102,CUST73100123,CFG731_7afa5501026394f9,x731,OBSERVED,OBSERVED,0,CFG731_7afa5501026394f9,True
RFQ731-000103,CUST73100177,CFG731_6942facbe6ebb88b,x731,DERIVED,MODERATE,2,CFG731_91a62b1e0bf4bbce,True
RFQ731-000104,CUST73100190,CFG731_d3d0547b464f691d,G731CA,OBSERVED,OBSERVED,0,CFG731_d3d0547b464f691d,True
RFQ731-000105,CUST73100176,CFG731_098817d766a37bc2,G731ST-LT,OBSERVED,OBSERVED,0,CFG731_098817d766a37bc2,True
RFQ731-000106,CUST73100061,CFG731_70b6eaf9262ca4d0,F731WD_SingleChannel,OBSERVED,OBSERVED,0,CFG731_70b6eaf9262ca4d0,True
RFQ731-000107,CUST73100237,CFG731_b3506a753aafcfa3,x731,DERIVED,VERY_STRONG,1,CFG731_fc0b29ae617f0a6b,True
RFQ731-000108,CUST73100210,CFG731_cf4bb519cec0df2f,x731,OBSERVED,OBSERVED,0,CFG731_cf4bb519cec0df2f,True
RFQ731-000109,CUST73100147,CFG731_8d78781f8753b72a,x731,OBSERVED,OBSERVED,0,CFG731_8d78781f8753b72a,True
RFQ731-000110,CUST73100069,CFG731_187ec74b5c4854aa,x731,DERIVED,MODERATE,2,CFG731_e80085d86d0bbfa9,True
RFQ731-000111,CUST73100038,CFG731_2e5bd0d53757f625,x731,DERIVED,MODERATE,1,CFG731_b54844b4c5cc208b,True
RFQ731-000112,CUST73100005,CFG731_6084e24782dc3f55,x731,DERIVED,LOW,2,CFG731_9d1ffcce07240574,True
RFQ731-000113,CUST73100230,CFG731_4ca309199387f8d5,F731WD_SingleChannel,OBSERVED,OBSERVED,0,CFG731_4ca309199387f8d5,True
RFQ731-000114,CUST73100199,CFG731_7bb5689e4b06bfe5,x731,DERIVED,STRONG,1,CFG731_6f8c15548921e4c2,True
RFQ731-000115,CUST73100091,CFG731_6920f76e20b3b3ac,x731,DERIVED,MODERATE,1,CFG731_011ca4ba794bd4d6,True
RFQ731-000116,CUST73100023,CFG731_abcee67081353f16,x731,OBSERVED,OBSERVED,0,CFG731_abcee67081353f16,True
RFQ731-000117,CUST73100206,CFG731_5882bd12beb09203,G731ST-HT,DERIVED,MODERATE,1,CFG731_9f9bc93c4b0253cf,True
RFQ731-000118,CUST73100078,CFG731_bc9146cb8459e9c2,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_098817d766a37bc2,True
RFQ731-000119,CUST73100064,CFG731_bbffb73f3dff6787,G731ST-HT,OBSERVED,OBSERVED,0,CFG731_bbffb73f3dff6787,True
RFQ731-000120,CUST73100038,CFG731_b5710e5f11e2cbc2,G731ST-HT,DERIVED,VERY_STRONG,1,CFG731_288e4c99b4e02895,True
RFQ731-000121,CUST73100218,CFG731_a89154111c50850c,x731,DERIVED,MODERATE,1,CFG731_2712ee2024ca9ca7,True
RFQ731-000122,CUST73100208,CFG731_0be7d6198235486b,F731WD_SingleChannel,OBSERVED,OBSERVED,0,CFG731_0be7d6198235486b,True
RFQ731-000123,CUST73100231,CFG731_56310c55a01272a3,x731,DERIVED,MODERATE,1,CFG731_6f8c15548921e4c2,True
RFQ731-000124,CUST73100117,CFG731_acbf4c45af55caad,G731CA,OBSERVED,OBSERVED,0,CFG731_acbf4c45af55caad,True
RFQ731-000125,CUST73100106,CFG731_6b5f6983490bc595,x731,DERIVED,VERY_STRONG,1,CFG731_6e791fbe7ba5db5e,True
RFQ731-000126,CUST73100214,CFG731_92efd7a3c43da152,F731PW,OBSERVED,OBSERVED,0,CFG731_92efd7a3c43da152,True
RFQ731-000127,CUST73100135,CFG731_9ccdadb28a07accd,x731,DERIVED,VERY_STRONG,1,CFG731_14299a2a74e42d7f,True
RFQ731-000128,CUST73100123,CFG731_b2ad61cdb45a54fb,x731,DERIVED,MODERATE,1,CFG731_70aa5a64b0803277,True
RFQ731-000129,CUST73100250,CFG731_07fb816f7dc25bc8,F731TE,OBSERVED,OBSERVED,0,CFG731_07fb816f7dc25bc8,True
RFQ731-000130,CUST73100143,CFG731_32b4b1ec4513af66,G731ST-LT,OBSERVED,OBSERVED,0,CFG731_32b4b1ec4513af66,True
RFQ731-000131,CUST73100121,CFG731_403f51b2e914043b,G731ST-HT,DERIVED,VERY_STRONG,1,CFG731_68193b179adae994,True
RFQ731-000132,CUST73100245,CFG731_87ce9768865f4127,x731,DERIVED,LOW,2,CFG731_70b38ab75d3ca724,True
RFQ731-000133,CUST73100013,CFG731_fa6ab94f1cf566b3,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_175641fe8d1c7f37,True
RFQ731-000134,CUST73100230,CFG731_5de6ca53a86b09c9,x731,DERIVED,LOW,2,CFG731_608c0251ef380592,True
RFQ731-000135,CUST73100019,CFG731_ede0b25f5f83644d,x731,DERIVED,MODERATE,1,CFG731_fc0b29ae617f0a6b,True
RFQ731-000136,CUST73100029,CFG731_9ccdadb28a07accd,x731,DERIVED,VERY_STRONG,1,CFG731_14299a2a74e42d7f,True
RFQ731-000137,CUST73100229,CFG731_efc9d6b915117e15,x731,OBSERVED,OBSERVED,0,CFG731_efc9d6b915117e15,True
RFQ731-000138,CUST73100138,CFG731_ee8e327bbb737abf,F731WD_SingleChannel,OBSERVED,OBSERVED,0,CFG731_ee8e327bbb737abf,True
RFQ731-000139,CUST73100055,CFG731_72fe206df86509f8,x731,DERIVED,LOW,2,CFG731_93048b37febc2c6d,True
RFQ731-000140,CUST73100042,CFG731_175641fe8d1c7f37,G731ST-LT,OBSERVED,OBSERVED,0,CFG731_175641fe8d1c7f37,True
RFQ731-000141,CUST73100004,CFG731_b7a7770d19b6f648,G731ST-HT,DERIVED,VERY_STRONG,1,CFG731_7c5284fb5f15d1d6,True
RFQ731-000142,CUST73100228,CFG731_e3b7a52ea0694eb1,x731,DERIVED,MODERATE,1,CFG731_5bb390da70b6fee3,True
RFQ731-000143,CUST73100114,CFG731_8e5ce09a779d2284,x731,DERIVED,VERY_STRONG,1,CFG731_9d03b3ff10a7b30e,True
RFQ731-000144,CUST73100096,CFG731_2683cf7e09782f5e,x731,OBSERVED,OBSERVED,0,CFG731_2683cf7e09782f5e,True
RFQ731-000145,CUST73100223,CFG731_1d294b2de760852b,x731,DERIVED,VERY_STRONG,1,CFG731_75466cb810218a66,True
RFQ731-000146,CUST73100209,CFG731_fd10dd35c97df399,x731,DERIVED,MODERATE,1,CFG731_ddfa4ab00c1bcdd0,True
RFQ731-000147,CUST73100015,CFG731_b83ac25dbd4e47ee,x731,OBSERVED,OBSERVED,0,CFG731_b83ac25dbd4e47ee,True
RFQ731-000148,CUST73100085,CFG731_1b8054cb5a92e4fa,x731,DERIVED,LOW,2,CFG731_296392aa95929245,True
RFQ731-000149,CUST73100046,CFG731_88a813121973f952,x731,OBSERVED,OBSERVED,0,CFG731_88a813121973f952,True
RFQ731-000150,CUST73100054,CFG731_ef02695e374fc418,x731,DERIVED,VERY_STRONG,1,CFG731_afd2371086bf1e03,True
RFQ731-000151,CUST73100143,CFG731_819cb4e76943eca6,F731WD_DualChannel,OBSERVED,OBSERVED,0,CFG731_819cb4e76943eca6,True
RFQ731-000152,CUST73100145,CFG731_bd51fba2aacb1a3c,x731,DERIVED,LOW,2,CFG731_353333bad447dbef,True
RFQ731-000153,CUST73100116,CFG731_0fbee36816b7af98,x731,OBSERVED,OBSERVED,0,CFG731_0fbee36816b7af98,True
RFQ731-000154,CUST73100147,CFG731_24b3128196e55c23,G731CA,DERIVED,VERY_STRONG,1,CFG731_691a8f2ff165671d,True
RFQ731-000155,CUST73100078,CFG731_00533f723f7496de,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_a2a709ad804cc5a2,True
RFQ731-000156,CUST73100239,CFG731_91e51485b56960b2,x731,OBSERVED,OBSERVED,0,CFG731_91e51485b56960b2,True
RFQ731-000157,CUST73100184,CFG731_97c654bf006e698e,x731,DERIVED,LOW,2,CFG731_04a704e692f8fd05,True
RFQ731-000158,CUST73100025,CFG731_695e540255cc94da,x731,DERIVED,MODERATE,1,CFG731_ae226e31119be9bd,True
RFQ731-000159,CUST73100156,CFG731_fa6b5a7df55858c0,x731,DERIVED,VERY_STRONG,1,CFG731_28ac43a93658ad6b,True
RFQ731-000160,CUST73100076,CFG731_5331dc313830f4cb,x731,DERIVED,MODERATE,1,CFG731_24a2c6ef94654845,True
RFQ731-000161,CUST73100146,CFG731_e201a8a6e4588b00,x731,DERIVED,MODERATE,1,CFG731_337790e6bbcf15f4,True
RFQ731-000162,CUST73100024,CFG731_65da22cd215fbcf6,x731,DERIVED,VERY_STRONG,1,CFG731_775c3458f44938c0,True
RFQ731-000163,CUST73100084,CFG731_49cd4cbef1081333,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_0e146b48e4ed8b98,True
RFQ731-000164,CUST73100223,CFG731_9c182e1af1606c9d,x731,DERIVED,MODERATE,2,CFG731_f7f0034a8b15f329,True
RFQ731-000165,CUST73100196,CFG731_00e033bb831be6d5,G731ST-HT,DERIVED,MODERATE,1,CFG731_dde2f7fe043f7ade,True
RFQ731-000166,CUST73100040,CFG731_d0bd848c8f934b33,x731,DERIVED,LOW,2,CFG731_ef4cf0e053e2d332,True
RFQ731-000167,CUST73100138,CFG731_c41fd04f9eea78e7,x731,DERIVED,VERY_STRONG,1,CFG731_011ca4ba794bd4d6,True
RFQ731-000168,CUST73100213,CFG731_6b36d25fda044bf5,x731,OBSERVED,OBSERVED,0,CFG731_6b36d25fda044bf5,True
RFQ731-000169,CUST73100122,CFG731_b3ed2928d6d65710,G731ST-HT,DERIVED,VERY_STRONG,1,CFG731_cd71ec2726e971ef,True
RFQ731-000170,CUST73100151,CFG731_e98d2be876599c40,F731WD_SingleChannel,OBSERVED,OBSERVED,0,CFG731_e98d2be876599c40,True
RFQ731-000171,CUST73100154,CFG731_956456fc074ebc5a,F731PW,OBSERVED,OBSERVED,0,CFG731_956456fc074ebc5a,True
RFQ731-000172,CUST73100092,CFG731_9d1ffcce07240574,x731,OBSERVED,OBSERVED,0,CFG731_9d1ffcce07240574,True
RFQ731-000173,CUST73100035,CFG731_1b33a9ed446bc0fd,G731ST-HT,DERIVED,LOW,2,CFG731_cd71ec2726e971ef,True
RFQ731-000174,CUST73100241,CFG731_d05c8278d6301e9d,x731,DERIVED,LOW,2,CFG731_784eb334d1d77ae7,True
RFQ731-000175,CUST73100064,CFG731_0fdf5c36c9c41e69,G731ST-LT,OBSERVED,OBSERVED,0,CFG731_0fdf5c36c9c41e69,True
RFQ731-000176,CUST73100013,CFG731_84b16be5aab3bf9b,G731ST-HT,OBSERVED,OBSERVED,0,CFG731_84b16be5aab3bf9b,True
RFQ731-000177,CUST73100177,CFG731_4e6e53642a913f1a,x731,DERIVED,LOW,2,CFG731_8c8856d21252930e,True
RFQ731-000178,CUST73100198,CFG731_cccd499c66b31e99,x731,DERIVED,MODERATE,1,CFG731_de6efef3a5b620bb,True
RFQ731-000179,CUST73100158,CFG731_fd7b09f495a568bc,x731,OBSERVED,OBSERVED,0,CFG731_fd7b09f495a568bc,True
RFQ731-000180,CUST73100146,CFG731_75db38d1df65a8f3,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_d432b6fd40e9e78c,True
RFQ731-000181,CUST73100072,CFG731_5be5a82ac0b29989,x731,DERIVED,MODERATE,1,CFG731_f3fed379f1eb01f9,True
RFQ731-000182,CUST73100171,CFG731_7c35d25e0c12df82,x731,DERIVED,LOW,2,CFG731_219ac3d01befd6d1,True
RFQ731-000183,CUST73100092,CFG731_db395082b1a3b8ac,x731,OBSERVED,OBSERVED,0,CFG731_db395082b1a3b8ac,True
RFQ731-000184,CUST73100002,CFG731_9cedc4ecc45a4b46,x731,DERIVED,VERY_STRONG,1,CFG731_1c5301147dd0cfb1,True
RFQ731-000185,CUST73100057,CFG731_cbcc0cf44cde6b53,x731,DERIVED,MODERATE,1,CFG731_7f60255816247683,True
RFQ731-000186,CUST73100006,CFG731_0ef26d136a7182e8,x731,DERIVED,VERY_STRONG,1,CFG731_353333bad447dbef,True
RFQ731-000187,CUST73100179,CFG731_56f0dbd067fcbe02,x731,DERIVED,LOW,2,CFG731_e4d6e304563c3bae,True
RFQ731-000188,CUST73100101,CFG731_a1cadf8c4a6793ba,x731,DERIVED,MODERATE,2,CFG731_fde1ab2a4808b544,True
RFQ731-000189,CUST73100074,CFG731_956456fc074ebc5a,F731PW,OBSERVED,OBSERVED,0,CFG731_956456fc074ebc5a,True
RFQ731-000190,CUST73100138,CFG731_d2a75fda6f761c1b,G731CA,DERIVED,VERY_STRONG,1,CFG731_14235f3888d71408,True
RFQ731-000191,CUST73100188,CFG731_b1196e0942d6104e,x731,DERIVED,VERY_STRONG,1,CFG731_9f3028be2110afe1,True
RFQ731-000192,CUST73100223,CFG731_d97c333965654bd3,G731CA,OBSERVED,OBSERVED,0,CFG731_d97c333965654bd3,True
RFQ731-000193,CUST73100083,CFG731_9e44a82e6c1db982,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_098817d766a37bc2,True
