rfq_id,customer_id,customer_name,customer_type,industry,country,currency,payment_terms,delivery_terms,project_name,application,rfq_status,generation_version
RFQ731-000014,CUST73100029,Evergreen Engineering Solutions FZE,System Integrator,Water & Wastewater,Germany,EUR,within 45 days net,CPT,Measurement Infrastructure Upgrade,wastewater processing,OPEN,V2
RFQ731-000015,CUST73100204,Metrix Manufacturing Technologies B.V.,Distributor,Pharmaceutical,Germany,EUR,within 60 days net,DAP,Utility Measurement Upgrade,clean utility measurement,OPEN,V2
RFQ731-000016,CUST73100038,Nexon Process Engineering GmbH,Engineering Company,Oil & Gas,Spain,EUR,within 60 days net,DAP,Process Instrumentation Upgrade,pipeline monitoring,OPEN,V2
RFQ731-000017,CUST73100094,Quantum Petrochemical Solutions B.V.,End User,Power & Utilities,Netherlands,EUR,within 60 days net,CPT,Process Instrumentation Upgrade,power plant process monitoring,OPEN,V2
RFQ731-000018,CUST73100230,Continental Process Automation GmbH,System Integrator,Power & Utilities,Germany,EUR,within 30 days net,CPT,New Production Line,utility water measurement,OPEN,V2
RFQ731-000019,CUST73100127,Delta Industrial Services GmbH,End User,Power & Utilities,United Arab Emirates,USD,within 60 days net,CPT,New Plant Installation,energy infrastructure,OPEN,V2
RFQ731-000020,CUST73100087,Nova Process Systems B.V.,System Integrator,Pharmaceutical,United Arab Emirates,USD,within 30 days net,CPT,Plant Modernisation Project,production process monitoring,OPEN,V2
RFQ731-000021,CUST73100168,Global Process Automation AG,EPC Contractor,Power & Utilities,Germany,EUR,within 30 days net,EXW,Measurement System Upgrade,utility water measurement,OPEN,V2
RFQ731-000022,CUST73100107,Meridian Automation Systems S.A.,Distributor,Power & Utilities,Spain,EUR,within 30 days net,CPT,Process Instrumentation Upgrade,process monitoring,OPEN,V2
RFQ731-000023,CUST73100043,Meridian Automation Systems FZE,End User,Oil & Gas,Germany,EUR,within 30 days net,EXW,Process Automation Project,pipeline monitoring,OPEN,V2
RFQ731-000024,CUST73100160,Quantum Manufacturing Technologies B.V.,EPC Contractor,Water & Wastewater,India,EUR,within 30 days net,DDP,Measurement Infrastructure Upgrade,wastewater processing,OPEN,V2
RFQ731-000025,CUST73100130,Evergreen Industrial Services AG,System Integrator,Water & Wastewater,Türkiye,EUR,within 60 days net,FCA,Process Automation Project,wastewater processing,OPEN,V2
RFQ731-000026,CUST73100053,Vertex Instrumentation FZE,End User,Water & Wastewater,Saudi Arabia,USD,within 30 days net,EXW,Process Automation Project,water treatment,OPEN,V2
RFQ731-000027,CUST73100139,Orion Process Automation AG,End User,Food & Beverage,Türkiye,EUR,within 30 days net,EXW,Plant Modernisation Project,production utility monitoring,OPEN,V2
RFQ731-000028,CUST73100018,Nova Measurement Technologies GmbH,System Integrator,Water & Wastewater,Germany,EUR,within 60 days net,CPT,New Plant Installation,wastewater processing,OPEN,V2
RFQ731-000029,CUST73100232,Vertex Process Engineering AG,End User,Chemical,Netherlands,EUR,within 45 days net,DAP,Measurement System Upgrade,plant utility measurement,OPEN,V2
RFQ731-000030,CUST73100058,United Petrochemical Solutions FZE,EPC Contractor,Food & Beverage,Spain,EUR,within 60 days net,CPT,Metering System Replacement,production line monitoring,OPEN,V2
RFQ731-000031,CUST73100249,Summit Automation Systems S.A.,EPC Contractor,Oil & Gas,Netherlands,EUR,within 60 days net,FCA,Plant Modernisation Project,process gas measurement,OPEN,V2
RFQ731-000032,CUST73100145,Apex Instrumentation FZE,End User,Mining & Metals,United Arab Emirates,USD,within 60 days net,CPT,Process Expansion Project,production measurement,OPEN,V2
RFQ731-000033,CUST73100205,Delta Process Engineering GmbH,End User,Oil & Gas,Spain,EUR,within 60 days net,DAP,New Production Line,production measurement,OPEN,V2
RFQ731-000034,CUST73100085,Sterling Process Automation AG,End User,Chemical,India,EUR,within 45 days net,FCA,Measurement System Upgrade,plant utility measurement,OPEN,V2
RFQ731-000035,CUST73100004,Apex Process Engineering Ltd.,Engineering Company,Oil & Gas,Germany,EUR,within 60 days net,DAP,Measurement Infrastructure Upgrade,pipeline monitoring,OPEN,V2
RFQ731-000036,CUST73100179,Dynamic Industrial Technologies S.A.,End User,Power & Utilities,Saudi Arabia,USD,within 45 days net,EXW,Measurement System Upgrade,energy infrastructure,OPEN,V2
RFQ731-000037,CUST73100140,Apex Manufacturing Technologies Ltd.,End User,Oil & Gas,France,EUR,within 90 days net,DDP,New Plant Installation,gas processing,OPEN,V2
RFQ731-000038,CUST73100131,Global Engineering Solutions B.V.,End User,Pharmaceutical,India,EUR,within 60 days net,DDP,Metering System Replacement,clean utility measurement,OPEN,V2
RFQ731-000039,CUST73100018,Nova Measurement Technologies GmbH,System Integrator,Water & Wastewater,Germany,EUR,within 60 days net,CPT,Measurement Infrastructure Upgrade,treatment plant monitoring,OPEN,V2
RFQ731-000040,CUST73100197,Continental Petrochemical Solutions GmbH,EPC Contractor,Food & Beverage,Spain,EUR,within 45 days net,DAP,Metering System Replacement,food production,OPEN,V2
RFQ731-000041,CUST73100105,Metrix Process Automation GmbH,System Integrator,Oil & Gas,United Kingdom,GBP,within 60 days net,EXW,New Plant Installation,gas processing,OPEN,V2
RFQ731-000042,CUST73100101,Precision Engineering Solutions FZE,End User,Mining & Metals,Germany,EUR,within 30 days net,DAP,Process Instrumentation Upgrade,mineral processing,OPEN,V2
RFQ731-000043,CUST73100054,Nexon Engineering Solutions B.V.,End User,Chemical,Netherlands,EUR,within 45 days net,CPT,New Plant Installation,plant utility measurement,OPEN,V2
RFQ731-000044,CUST73100115,Quantum Energy Systems Ltd.,Engineering Company,Oil & Gas,Türkiye,EUR,within 45 days net,CPT,New Plant Installation,gas processing,OPEN,V2
RFQ731-000045,CUST73100152,Evergreen Industrial Services B.V.,EPC Contractor,Food & Beverage,Italy,EUR,within 60 days net,DAP,Utility Measurement Upgrade,food production,OPEN,V2
RFQ731-000046,CUST73100232,Vertex Process Engineering AG,End User,Chemical,Netherlands,EUR,within 45 days net,DAP,Metering System Replacement,chemical production,OPEN,V2
RFQ731-000047,CUST73100101,Precision Engineering Solutions FZE,End User,Mining & Metals,Germany,EUR,within 30 days net,DAP,Process Instrumentation Upgrade,mineral processing,OPEN,V2
RFQ731-000048,CUST73100232,Vertex Process Engineering AG,End User,Chemical,Netherlands,EUR,within 45 days net,DAP,Measurement Infrastructure Upgrade,batch process monitoring,OPEN,V2
RFQ731-000049,CUST73100080,Dynamic Measurement Technologies AG,System Integrator,Engineering & EPC,Netherlands,EUR,within 30 days net,CPT,Metering System Replacement,process automation project,OPEN,V2
RFQ731-000050,CUST73100106,Evergreen Industrial Technologies GmbH,End User,Oil & Gas,India,EUR,within 30 days net,FCA,Measurement System Upgrade,production measurement,OPEN,V2
RFQ731-000051,CUST73100208,United Process Automation AG,End User,Research & Development,Türkiye,EUR,within 30 days net,DAP,Metering System Replacement,research process monitoring,OPEN,V2
RFQ731-000052,CUST73100172,Prime Measurement Technologies GmbH,End User,Research & Development,Germany,EUR,within 60 days net,CPT,Process Automation Project,experimental process monitoring,OPEN,V2
RFQ731-000053,CUST73100188,Pioneer Instrumentation S.A.,End User,Oil & Gas,Türkiye,EUR,within 60 days net,EXW,Plant Modernisation Project,gas processing,OPEN,V2
RFQ731-000054,CUST73100090,Dynamic Measurement Technologies B.V.,End User,Mining & Metals,United Arab Emirates,USD,within 60 days net,DAP,Measurement System Upgrade,mineral processing,OPEN,V2
RFQ731-000055,CUST73100131,Global Engineering Solutions B.V.,End User,Pharmaceutical,India,EUR,within 60 days net,DDP,Process Instrumentation Upgrade,production process monitoring,OPEN,V2
RFQ731-000056,CUST73100072,Orion Process Engineering Ltd.,End User,Chemical,Germany,EUR,within 90 days net,CPT,Metering System Replacement,plant utility measurement,OPEN,V2
RFQ731-000057,CUST73100190,Industrial Engineering Solutions FZE,Engineering Company,Chemical,Germany,EUR,within 30 days net,FCA,Metering System Replacement,batch process monitoring,OPEN,V2
RFQ731-000058,CUST73100149,Pioneer Automation Systems Ltd.,End User,Oil & Gas,Netherlands,EUR,within 30 days net,DAP,Measurement System Upgrade,pipeline monitoring,OPEN,V2
RFQ731-000059,CUST73100233,Global Process Systems AG,End User,Pharmaceutical,Türkiye,EUR,advance payment,CPT,Metering System Replacement,pharmaceutical process monitoring,OPEN,V2
RFQ731-000060,CUST73100128,Horizon Process Systems S.A.,EPC Contractor,Manufacturing,Spain,EUR,within 60 days net,DAP,New Production Line,production process monitoring,OPEN,V2
RFQ731-000061,CUST73100235,Quantum Industrial Services S.A.,End User,Manufacturing,Türkiye,EUR,within 60 days net,CPT,Measurement Infrastructure Upgrade,process automation,OPEN,V2
RFQ731-000062,CUST73100153,Evergreen Engineering Solutions AG,End User,Water & Wastewater,Germany,EUR,within 60 days net,DDP,Process Instrumentation Upgrade,treatment plant monitoring,OPEN,V2
RFQ731-000063,CUST73100216,Vertex Measurement Technologies AG,End User,Water & Wastewater,Germany,EUR,within 60 days net,FCA,Process Automation Project,treatment plant monitoring,OPEN,V2
RFQ731-000064,CUST73100191,Metrix Instrumentation S.A.,End User,Oil & Gas,Saudi Arabia,USD,within 45 days net,CPT,Metering System Replacement,pipeline monitoring,OPEN,V2
RFQ731-000065,CUST73100240,Advanced Automation Systems B.V.,System Integrator,Chemical,United Arab Emirates,USD,within 60 days net,CPT,Measurement System Upgrade,process flow measurement,OPEN,V2
RFQ731-000066,CUST73100057,Advanced Energy Systems Ltd.,EPC Contractor,Food & Beverage,Türkiye,EUR,within 45 days net,FCA,Process Expansion Project,food production,OPEN,V2
RFQ731-000067,CUST73100177,Integrated Petrochemical Solutions S.A.,End User,Engineering & EPC,India,EUR,within 60 days net,EXW,Utility Measurement Upgrade,measurement system implementation,OPEN,V2
RFQ731-000068,CUST73100026,Global Manufacturing Technologies FZE,End User,Mining & Metals,Germany,EUR,within 60 days net,CPT,Process Instrumentation Upgrade,mineral processing,OPEN,V2
RFQ731-000069,CUST73100198,Summit Process Systems AG,End User,Food & Beverage,Italy,EUR,within 60 days net,DDP,New Production Line,production utility monitoring,OPEN,V2
RFQ731-000070,CUST73100232,Vertex Process Engineering AG,End User,Chemical,Netherlands,EUR,within 45 days net,DAP,Measurement Infrastructure Upgrade,chemical production,OPEN,V2
RFQ731-000071,CUST73100183,Sterling Energy Systems Ltd.,End User,Manufacturing,United Kingdom,GBP,within 60 days net,CPT,New Plant Installation,plant utility measurement,OPEN,V2
RFQ731-000072,CUST73100179,Dynamic Industrial Technologies S.A.,End User,Power & Utilities,Saudi Arabia,USD,within 45 days net,EXW,Measurement System Upgrade,process monitoring,OPEN,V2
RFQ731-000073,CUST73100189,Dynamic Process Engineering AG,End User,Manufacturing,Italy,EUR,advance payment,CPT,Metering System Replacement,production process monitoring,OPEN,V2
RFQ731-000074,CUST73100134,Meridian Industrial Technologies B.V.,End User,Food & Beverage,Türkiye,EUR,within 30 days net,EXW,Utility Measurement Upgrade,production utility monitoring,OPEN,V2
RFQ731-000075,CUST73100182,Atlas Process Engineering FZE,System Integrator,Manufacturing,Saudi Arabia,USD,within 45 days net,EXW,Measurement Infrastructure Upgrade,manufacturing process measurement,OPEN,V2
RFQ731-000076,CUST73100070,Advanced Automation Systems Ltd.,End User,Manufacturing,Germany,EUR,within 60 days net,DAP,Process Expansion Project,process automation,OPEN,V2
RFQ731-000077,CUST73100089,Global Instrumentation S.A.,End User,Power & Utilities,United Kingdom,GBP,within 30 days net,EXW,Process Automation Project,power plant process monitoring,OPEN,V2
RFQ731-000078,CUST73100065,Industrial Engineering Solutions B.V.,End User,Research & Development,Türkiye,EUR,within 60 days net,CPT,Utility Measurement Upgrade,pilot plant measurement,OPEN,V2
RFQ731-000079,CUST73100081,Global Process Engineering AG,End User,Food & Beverage,Italy,EUR,advance payment,DDP,Process Automation Project,process water measurement,OPEN,V2
RFQ731-000080,CUST73100233,Global Process Systems AG,End User,Pharmaceutical,Türkiye,EUR,advance payment,CPT,Utility Measurement Upgrade,production process monitoring,OPEN,V2
RFQ731-000081,CUST73100072,Orion Process Engineering Ltd.,End User,Chemical,Germany,EUR,within 90 days net,CPT,Process Expansion Project,process flow measurement,OPEN,V2
RFQ731-000082,CUST73100164,Nexon Measurement Technologies AG,End User,Chemical,Türkiye,EUR,within 60 days net,DAP,Process Expansion Project,chemical production,OPEN,V2
RFQ731-000083,CUST73100166,Precision Instrumentation S.A.,End User,Water & Wastewater,Netherlands,EUR,within 45 days net,EXW,Process Instrumentation Upgrade,utility water measurement,OPEN,V2
RFQ731-000084,CUST73100105,Metrix Process Automation GmbH,System Integrator,Oil & Gas,United Kingdom,GBP,within 60 days net,EXW,Process Expansion Project,process gas measurement,OPEN,V2
RFQ731-000085,CUST73100011,Orion Industrial Technologies GmbH,System Integrator,Oil & Gas,Netherlands,EUR,within 60 days net,CPT,Plant Modernisation Project,gas processing,OPEN,V2
RFQ731-000086,CUST73100220,Apex Industrial Technologies FZE,End User,Food & Beverage,United Kingdom,GBP,advance payment,CPT,Plant Modernisation Project,process water measurement,OPEN,V2
RFQ731-000087,CUST73100023,United Energy Systems GmbH,EPC Contractor,Manufacturing,India,EUR,within 30 days net,EXW,Utility Measurement Upgrade,plant utility measurement,OPEN,V2
RFQ731-000088,CUST73100123,Precision Automation Systems FZE,System Integrator,Research & Development,United Kingdom,GBP,within 30 days net,CPT,New Production Line,test facility measurement,OPEN,V2
RFQ731-000089,CUST73100122,Advanced Industrial Services B.V.,End User,Water & Wastewater,Saudi Arabia,USD,within 90 days net,DDP,Metering System Replacement,utility water measurement,OPEN,V2
RFQ731-000090,CUST73100045,Precision Energy Systems GmbH,Distributor,Pharmaceutical,Türkiye,EUR,within 45 days net,CPT,New Production Line,production process monitoring,OPEN,V2
RFQ731-000091,CUST73100225,Summit Automation Systems FZE,End User,Food & Beverage,Türkiye,EUR,within 30 days net,DAP,Process Automation Project,production utility monitoring,OPEN,V2
RFQ731-000092,CUST73100026,Global Manufacturing Technologies FZE,End User,Mining & Metals,Germany,EUR,within 60 days net,CPT,Utility Measurement Upgrade,mineral processing,OPEN,V2
RFQ731-000093,CUST73100039,Meridian Instrumentation AG,EPC Contractor,Water & Wastewater,Türkiye,EUR,within 60 days net,CPT,Measurement System Upgrade,water treatment,OPEN,V2
RFQ731-000094,CUST73100181,Evergreen Process Engineering AG,System Integrator,Research & Development,Spain,EUR,within 60 days net,CPT,Process Automation Project,laboratory process system,OPEN,V2
RFQ731-000095,CUST73100072,Orion Process Engineering Ltd.,End User,Chemical,Germany,EUR,within 90 days net,CPT,Measurement Infrastructure Upgrade,chemical process measurement,OPEN,V2
RFQ731-000096,CUST73100042,Sterling Process Engineering GmbH,End User,Chemical,Netherlands,EUR,within 45 days net,CPT,Metering System Replacement,process flow measurement,OPEN,V2
RFQ731-000097,CUST73100082,Precision Automation Systems S.A.,Distributor,Pharmaceutical,Netherlands,EUR,within 60 days net,CPT,Process Expansion Project,clean utility measurement,OPEN,V2
RFQ731-000098,CUST73100173,Dynamic Industrial Services Ltd.,End User,Food & Beverage,Germany,EUR,within 30 days net,EXW,Metering System Replacement,food production,OPEN,V2
RFQ731-000099,CUST73100122,Advanced Industrial Services B.V.,End User,Water & Wastewater,Saudi Arabia,USD,within 90 days net,DDP,New Plant Installation,utility water measurement,OPEN,V2
RFQ731-000100,CUST73100073,Pioneer Manufacturing Technologies B.V.,EPC Contractor,Chemical,Netherlands,EUR,within 30 days net,DDP,New Plant Installation,process flow measurement,OPEN,V2
RFQ731-000101,CUST73100042,Sterling Process Engineering GmbH,End User,Chemical,Netherlands,EUR,within 45 days net,CPT,New Production Line,batch process monitoring,OPEN,V2
RFQ731-000102,CUST73100123,Precision Automation Systems FZE,System Integrator,Research & Development,United Kingdom,GBP,within 30 days net,CPT,Measurement Infrastructure Upgrade,experimental process monitoring,OPEN,V2
RFQ731-000103,CUST73100177,Integrated Petrochemical Solutions S.A.,End User,Engineering & EPC,India,EUR,within 60 days net,EXW,Measurement System Upgrade,process automation project,OPEN,V2
RFQ731-000104,CUST73100190,Industrial Engineering Solutions FZE,Engineering Company,Chemical,Germany,EUR,within 30 days net,FCA,Process Instrumentation Upgrade,chemical production,OPEN,V2
RFQ731-000105,CUST73100176,Quantum Manufacturing Technologies FZE,System Integrator,Pharmaceutical,Spain,EUR,within 30 days net,CPT,Metering System Replacement,process water measurement,OPEN,V2
RFQ731-000106,CUST73100061,Advanced Process Systems GmbH,Engineering Company,Power & Utilities,Germany,EUR,within 30 days net,FCA,New Production Line,utility measurement,OPEN,V2
RFQ731-000107,CUST73100237,Global Industrial Services FZE,End User,Water & Wastewater,Saudi Arabia,USD,within 60 days net,FCA,Utility Measurement Upgrade,treatment plant monitoring,OPEN,V2
RFQ731-000108,CUST73100210,Continental Engineering Solutions B.V.,End User,Chemical,Spain,EUR,within 45 days net,CPT,Process Expansion Project,process flow measurement,OPEN,V2
RFQ731-000109,CUST73100147,Delta Measurement Technologies Ltd.,End User,Mining & Metals,Netherlands,EUR,within 90 days net,FCA,Measurement System Upgrade,plant utility monitoring,OPEN,V2
RFQ731-000110,CUST73100069,Vector Engineering Solutions S.A.,End User,Chemical,India,EUR,within 60 days net,DAP,Utility Measurement Upgrade,chemical process measurement,OPEN,V2
RFQ731-000111,CUST73100038,Nexon Process Engineering GmbH,Engineering Company,Oil & Gas,Spain,EUR,within 60 days net,DAP,Measurement Infrastructure Upgrade,pipeline monitoring,OPEN,V2
RFQ731-000112,CUST73100005,Apex Manufacturing Technologies S.A.,End User,Mining & Metals,Germany,EUR,within 60 days net,DAP,Process Automation Project,plant utility monitoring,OPEN,V2
RFQ731-000113,CUST73100230,Continental Process Automation GmbH,System Integrator,Power & Utilities,Germany,EUR,within 30 days net,CPT,Process Automation Project,energy infrastructure,OPEN,V2
RFQ731-000114,CUST73100199,Vector Measurement Technologies FZE,Distributor,Manufacturing,France,EUR,within 90 days net,CPT,New Production Line,production line monitoring,OPEN,V2
RFQ731-000115,CUST73100091,Atlas Automation Systems Ltd.,End User,Pharmaceutical,Saudi Arabia,USD,within 90 days net,CPT,Process Expansion Project,pharmaceutical process monitoring,OPEN,V2
RFQ731-000116,CUST73100023,United Energy Systems GmbH,EPC Contractor,Manufacturing,India,EUR,within 30 days net,EXW,Measurement Infrastructure Upgrade,process automation,OPEN,V2
RFQ731-000117,CUST73100206,Delta Engineering Solutions FZE,End User,Engineering & EPC,United Arab Emirates,USD,within 30 days net,DAP,Process Automation Project,measurement system implementation,OPEN,V2
RFQ731-000118,CUST73100078,Vector Measurement Technologies GmbH,End User,Oil & Gas,Türkiye,EUR,within 90 days net,FCA,Process Expansion Project,hydrocarbon process measurement,OPEN,V2
RFQ731-000119,CUST73100064,Dynamic Automation Systems AG,End User,Pharmaceutical,Netherlands,EUR,advance payment,DAP,Utility Measurement Upgrade,process water measurement,OPEN,V2
RFQ731-000120,CUST73100038,Nexon Process Engineering GmbH,Engineering Company,Oil & Gas,Spain,EUR,within 60 days net,DAP,New Plant Installation,pipeline monitoring,OPEN,V2
RFQ731-000121,CUST73100218,Quantum Process Systems Ltd.,EPC Contractor,Water & Wastewater,India,EUR,within 30 days net,CPT,Process Expansion Project,water distribution,OPEN,V2
RFQ731-000122,CUST73100208,United Process Automation AG,End User,Research & Development,Türkiye,EUR,within 30 days net,DAP,Measurement System Upgrade,research process monitoring,OPEN,V2
RFQ731-000123,CUST73100231,Advanced Industrial Technologies B.V.,End User,Pharmaceutical,France,EUR,within 30 days net,EXW,Metering System Replacement,pharmaceutical process monitoring,OPEN,V2
RFQ731-000124,CUST73100117,Apex Process Automation FZE,End User,Pharmaceutical,France,EUR,within 60 days net,EXW,Plant Modernisation Project,clean utility measurement,OPEN,V2
RFQ731-000125,CUST73100106,Evergreen Industrial Technologies GmbH,End User,Oil & Gas,India,EUR,within 30 days net,FCA,Metering System Replacement,production measurement,OPEN,V2
RFQ731-000126,CUST73100214,Pioneer Petrochemical Solutions AG,End User,Pharmaceutical,Germany,EUR,within 60 days net,CPT,Metering System Replacement,process water measurement,OPEN,V2
RFQ731-000127,CUST73100135,Vector Energy Systems Ltd.,EPC Contractor,Mining & Metals,Spain,EUR,within 90 days net,EXW,New Plant Installation,process water measurement,OPEN,V2
RFQ731-000128,CUST73100123,Precision Automation Systems FZE,System Integrator,Research & Development,United Kingdom,GBP,within 30 days net,CPT,Process Automation Project,research process monitoring,OPEN,V2
RFQ731-000129,CUST73100250,Quantum Industrial Services GmbH,EPC Contractor,Chemical,Germany,EUR,within 30 days net,CPT,Process Expansion Project,chemical process measurement,OPEN,V2
RFQ731-000130,CUST73100143,Delta Process Systems S.A.,End User,Pharmaceutical,Germany,EUR,within 60 days net,CPT,New Production Line,process water measurement,OPEN,V2
RFQ731-000131,CUST73100121,Precision Process Automation B.V.,End User,Pharmaceutical,Spain,EUR,within 90 days net,CPT,Metering System Replacement,clean utility measurement,OPEN,V2
RFQ731-000132,CUST73100245,Sterling Instrumentation GmbH,End User,Oil & Gas,Türkiye,EUR,within 45 days net,CPT,Process Instrumentation Upgrade,hydrocarbon process measurement,OPEN,V2
RFQ731-000133,CUST73100013,Delta Industrial Services FZE,End User,Food & Beverage,Saudi Arabia,USD,within 45 days net,DAP,Process Automation Project,process water measurement,OPEN,V2
RFQ731-000134,CUST73100230,Continental Process Automation GmbH,System Integrator,Power & Utilities,Germany,EUR,within 30 days net,CPT,Process Expansion Project,utility measurement,OPEN,V2
RFQ731-000135,CUST73100019,Nexon Manufacturing Technologies S.A.,End User,Mining & Metals,Germany,EUR,within 60 days net,EXW,Plant Modernisation Project,plant utility monitoring,OPEN,V2
RFQ731-000136,CUST73100029,Evergreen Engineering Solutions FZE,System Integrator,Water & Wastewater,Germany,EUR,within 45 days net,CPT,Process Automation Project,water distribution,OPEN,V2
RFQ731-000137,CUST73100229,Vector Petrochemical Solutions GmbH,End User,Water & Wastewater,Netherlands,EUR,within 30 days net,DDP,Utility Measurement Upgrade,water distribution,OPEN,V2
RFQ731-000138,CUST73100138,Delta Energy Systems B.V.,EPC Contractor,Chemical,Türkiye,EUR,within 30 days net,FCA,New Plant Installation,plant utility measurement,OPEN,V2
RFQ731-000139,CUST73100055,Dynamic Process Automation GmbH,EPC Contractor,Mining & Metals,Türkiye,EUR,within 30 days net,FCA,Measurement Infrastructure Upgrade,metallurgical process monitoring,OPEN,V2
RFQ731-000140,CUST73100042,Sterling Process Engineering GmbH,End User,Chemical,Netherlands,EUR,within 45 days net,CPT,Measurement System Upgrade,chemical process measurement,OPEN,V2
RFQ731-000141,CUST73100004,Apex Process Engineering Ltd.,Engineering Company,Oil & Gas,Germany,EUR,within 60 days net,DAP,Process Expansion Project,pipeline monitoring,OPEN,V2
RFQ731-000142,CUST73100228,Delta Process Automation FZE,End User,Food & Beverage,India,EUR,within 30 days net,DAP,New Production Line,sanitary process measurement,OPEN,V2
RFQ731-000143,CUST73100114,Dynamic Engineering Solutions GmbH,Distributor,Oil & Gas,India,EUR,within 90 days net,CPT,Process Automation Project,process gas measurement,OPEN,V2
RFQ731-000144,CUST73100096,Global Industrial Technologies B.V.,System Integrator,Water & Wastewater,Spain,EUR,within 30 days net,FCA,Plant Modernisation Project,utility water measurement,OPEN,V2
RFQ731-000145,CUST73100223,Precision Instrumentation Ltd.,End User,Chemical,France,EUR,within 45 days net,CPT,Process Automation Project,chemical process measurement,OPEN,V2
RFQ731-000146,CUST73100209,Atlas Process Engineering B.V.,System Integrator,Chemical,France,EUR,within 30 days net,DDP,Process Instrumentation Upgrade,plant utility measurement,OPEN,V2
RFQ731-000147,CUST73100015,Orion Petrochemical Solutions FZE,EPC Contractor,Oil & Gas,Saudi Arabia,USD,within 90 days net,DDP,Measurement Infrastructure Upgrade,gas processing,OPEN,V2
RFQ731-000148,CUST73100085,Sterling Process Automation AG,End User,Chemical,India,EUR,within 45 days net,FCA,Process Expansion Project,process flow measurement,OPEN,V2
RFQ731-000149,CUST73100046,Orion Automation Systems FZE,End User,Oil & Gas,France,EUR,within 45 days net,CPT,Process Instrumentation Upgrade,gas processing,OPEN,V2
RFQ731-000150,CUST73100054,Nexon Engineering Solutions B.V.,End User,Chemical,Netherlands,EUR,within 45 days net,CPT,Measurement Infrastructure Upgrade,process flow measurement,OPEN,V2
RFQ731-000151,CUST73100143,Delta Process Systems S.A.,End User,Pharmaceutical,Germany,EUR,within 60 days net,CPT,Measurement System Upgrade,clean utility measurement,OPEN,V2
RFQ731-000152,CUST73100145,Apex Instrumentation FZE,End User,Mining & Metals,United Arab Emirates,USD,within 60 days net,CPT,Measurement Infrastructure Upgrade,metallurgical process monitoring,OPEN,V2
RFQ731-000153,CUST73100116,Pioneer Petrochemical Solutions B.V.,EPC Contractor,Oil & Gas,United Arab Emirates,USD,within 45 days net,FCA,Process Automation Project,gas processing,OPEN,V2
RFQ731-000154,CUST73100147,Delta Measurement Technologies Ltd.,End User,Mining & Metals,Netherlands,EUR,within 90 days net,FCA,Metering System Replacement,plant utility monitoring,OPEN,V2
RFQ731-000155,CUST73100078,Vector Measurement Technologies GmbH,End User,Oil & Gas,Türkiye,EUR,within 90 days net,FCA,Utility Measurement Upgrade,production measurement,OPEN,V2
RFQ731-000156,CUST73100239,Vertex Automation Systems GmbH,System Integrator,Oil & Gas,Germany,EUR,within 60 days net,CPT,New Production Line,gas processing,OPEN,V2
RFQ731-000157,CUST73100184,Orion Process Automation GmbH,System Integrator,Mining & Metals,Türkiye,EUR,within 60 days net,CPT,Metering System Replacement,mineral processing,OPEN,V2
