rfq_id,customer_id,customer_name,customer_reference,project_reference,rfq_date,requested_delivery_date,quantity,currency,payment_terms,delivery_terms,customer_country,industry,primary_application,customer_type,target_configuration_id,target_package,target_generation_method,target_evidence_level,source_type,synthetic_version
RFQ731-000024,CUST73100225,Summit Automation Systems FZE,ENQ-571439,Process Monitoring,2026-03-10,2026-08-19,2,EUR,within 30 days net,DAP,Türkiye,Food & Beverage,Utility monitoring,End User,CFG731_7eb5b2d6a16dd3a3,x731,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000025,CUST73100132,Nexon Manufacturing Technologies GmbH,PROJECT-513663,Pipeline Monitoring Project,2026-04-04,2026-05-19,5,EUR,within 60 days net,FCA,India,Manufacturing,Cooling systems,EPC Contractor,CFG731_59f86789e43d86f1,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000026,CUST73100023,United Energy Systems GmbH,REQ-642739,Pipeline Monitoring Project,2026-05-15,2026-08-14,2,EUR,within 30 days net,EXW,India,Manufacturing,Production utilities,EPC Contractor,CFG731_7986bd8f29a06f04,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000027,CUST73100070,Advanced Automation Systems Ltd.,PROJECT-846155,Flow Measurement Replacement,2026-02-07,2026-04-30,3,EUR,within 60 days net,DAP,Germany,Manufacturing,Cooling systems,End User,CFG731_b1cb604b4f0bb460,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000028,CUST73100107,Meridian Automation Systems S.A.,REQ-608938,Plant Instrumentation,2026-02-22,2026-05-23,2,EUR,within 30 days net,CPT,Spain,Power & Utilities,Energy monitoring,Distributor,CFG731_59f86789e43d86f1,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000029,CUST73100115,Quantum Energy Systems Ltd.,INST-200146,Measurement Upgrade Project,2026-01-28,2026-03-07,5,EUR,within 45 days net,CPT,Türkiye,Oil & Gas,Pipeline measurement,Engineering Company,CFG731_ad85e442c9239be7,G731ST-HT,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000030,CUST73100044,United Engineering Solutions S.A.,ENQ-832233,Flow Metering Requirement,2026-06-03,2026-11-29,2,EUR,within 60 days net,CPT,Netherlands,Power & Utilities,Utility monitoring,End User,CFG731_24b3128196e55c23,G731CA,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000031,CUST73100145,Apex Instrumentation FZE,REQ-751513,Flow Measurement Replacement,2026-07-29,2027-01-01,1,USD,within 60 days net,CPT,United Arab Emirates,Mining & Metals,Slurry measurement,End User,CFG731_49bb1327a04ca706,G731ST-HT,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000032,CUST73100245,Sterling Instrumentation GmbH,INST-408311,Flow Metering Requirement,2026-06-26,2026-11-10,2,EUR,within 45 days net,CPT,Türkiye,Oil & Gas,Pipeline measurement,End User,CFG731_2defd08a3d98d7b7,x731,TWO_CHARACTERISTIC,LOW,SYNTHETIC,731_RFQ_V1
RFQ731-000033,CUST73100200,Dynamic Process Automation Ltd.,RFQ-817632,Process Monitoring,2026-03-23,2026-08-13,5,EUR,within 60 days net,DDP,Germany,Manufacturing,Process monitoring,End User,CFG731_75466cb810218a66,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000034,CUST73100101,Precision Engineering Solutions FZE,PROJECT-900450,Flow Measurement Replacement,2026-05-10,2026-07-27,1,EUR,within 30 days net,DAP,Germany,Mining & Metals,Process water,End User,CFG731_92efd7a3c43da152,F731PW,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000035,CUST73100041,Vertex Process Automation S.A.,RFQ-437493,Process Measurement Upgrade,2026-07-22,2026-09-14,3,EUR,within 60 days net,FCA,Italy,Chemical,Batch process measurement,Distributor,CFG731_3352d611bcf09d74,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000036,CUST73100057,Advanced Energy Systems Ltd.,REQ-454437,Process Expansion Project,2026-03-11,2026-06-10,3,EUR,within 45 days net,FCA,Türkiye,Food & Beverage,Production process measurement,EPC Contractor,CFG731_b7f57838c36b4a79,x731,TWO_CHARACTERISTIC,LOW,SYNTHETIC,731_RFQ_V1
RFQ731-000037,CUST73100202,Integrated Petrochemical Solutions FZE,INST-383867,Plant Instrumentation,2026-01-20,2026-03-25,1,EUR,within 90 days net,CPT,Italy,Mining & Metals,Mineral processing,End User,CFG731_0aa987e1ae960c88,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000038,CUST73100045,Precision Energy Systems GmbH,PROJECT-428001,Process Monitoring,2026-05-21,2026-09-08,1,EUR,within 45 days net,CPT,Türkiye,Pharmaceutical,Batch process measurement,Distributor,CFG731_337790e6bbcf15f4,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000039,CUST73100195,Orion Process Automation Ltd.,REQ-946520,Measurement System Upgrade,2026-01-09,2026-03-13,3,USD,within 30 days net,FCA,Saudi Arabia,Oil & Gas,Gas measurement,End User,CFG731_7c78a4beb9b12eb2,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000040,CUST73100099,Meridian Energy Systems GmbH,REQ-234967,Measurement System Upgrade,2026-02-05,2026-03-28,5,EUR,within 90 days net,CPT,India,Water & Wastewater,Utility water measurement,Distributor,CFG731_8ff92e2888b6b13f,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000041,CUST73100170,Integrated Energy Systems GmbH,INST-892651,Plant Instrumentation,2026-04-09,2026-08-08,5,EUR,within 90 days net,FCA,France,Oil & Gas,Refinery process measurement,End User,CFG731_8e5ce09a779d2284,x731,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000042,CUST73100103,Pioneer Process Engineering B.V.,INST-395165,Measurement System Upgrade,2026-05-10,2026-10-30,2,USD,within 30 days net,DDP,Saudi Arabia,Power & Utilities,Cooling water measurement,End User,CFG731_a21a59f437ae7e67,x731,TWO_CHARACTERISTIC,LOW,SYNTHETIC,731_RFQ_V1
RFQ731-000043,CUST73100104,United Industrial Services FZE,REQ-433278,Measurement System Upgrade,2026-04-23,2026-07-06,1,EUR,within 30 days net,FCA,Türkiye,Food & Beverage,CIP monitoring,System Integrator,CFG731_455da2f832a6b66d,G731ST-LT,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000044,CUST73100131,Global Engineering Solutions B.V.,ENQ-441847,Flow Measurement Replacement,2026-01-01,2026-03-02,2,EUR,within 60 days net,DDP,India,Pharmaceutical,Clean utility monitoring,End User,CFG731_0e146b48e4ed8b98,G731ST-LT,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000045,CUST73100091,Atlas Automation Systems Ltd.,PROJECT-621933,Flow Measurement Replacement,2026-04-08,2026-06-03,1,USD,within 90 days net,CPT,Saudi Arabia,Pharmaceutical,Batch process measurement,End User,CFG731_2a989bd6dba74d9f,G731ST-HT,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000046,CUST73100139,Orion Process Automation AG,PROJECT-127931,Plant Instrumentation,2026-04-29,2026-07-22,5,EUR,within 30 days net,EXW,Türkiye,Food & Beverage,Liquid process measurement,End User,CFG731_ae877a3b18b65d0a,G731ST-LT,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000047,CUST73100177,Integrated Petrochemical Solutions S.A.,PROJECT-506458,Process Monitoring,2026-04-17,2026-07-27,4,EUR,within 60 days net,EXW,India,Engineering & EPC,Engineering project,End User,CFG731_c4cc21845d696c93,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000048,CUST73100133,Continental Process Systems GmbH,RFQ-731687,Process Measurement Upgrade,2026-02-28,2026-08-26,10,EUR,within 90 days net,CPT,Spain,Oil & Gas,Refinery process measurement,End User,CFG731_c8b190cd8da9a6dd,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000049,CUST73100169,Apex Engineering Solutions S.A.,INST-139133,Utility Measurement Project,2026-04-18,2026-06-21,10,EUR,within 30 days net,DAP,Germany,Power & Utilities,Energy monitoring,EPC Contractor,CFG731_9a761e6bfde35917,F731WD_SingleChannel,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000050,CUST73100164,Nexon Measurement Technologies AG,PROJECT-479764,Flow Measurement Replacement,2026-02-26,2026-04-15,2,EUR,within 60 days net,DAP,Türkiye,Chemical,Liquid flow measurement,End User,CFG731_63eca10a00ae1f5d,G731ST-HT,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000051,CUST73100138,Delta Energy Systems B.V.,PROJECT-160303,Process Expansion Project,2026-07-18,2026-09-08,1,EUR,within 30 days net,FCA,Türkiye,Chemical,Batch process measurement,EPC Contractor,CFG731_ef2da8cd513b19be,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000052,CUST73100087,Nova Process Systems B.V.,ENQ-255931,Flow Measurement Replacement,2026-05-21,2026-10-05,3,USD,within 30 days net,CPT,United Arab Emirates,Pharmaceutical,Process water,System Integrator,CFG731_a1bf91a6c5841fc0,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000053,CUST73100108,Global Process Automation Ltd.,REQ-457392,Flow Metering Requirement,2026-07-02,2026-10-04,4,EUR,within 90 days net,DDP,France,Water & Wastewater,Wastewater monitoring,End User,CFG731_a6d4830ed3aa2681,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000054,CUST73100237,Global Industrial Services FZE,PROJECT-300591,Flow Measurement Replacement,2026-01-10,2026-03-02,1,USD,within 60 days net,FCA,Saudi Arabia,Water & Wastewater,Utility water measurement,End User,CFG731_92efd7a3c43da152,F731PW,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000055,CUST73100022,Precision Industrial Services AG,REQ-295243,Plant Instrumentation,2026-02-09,2026-06-03,1,EUR,within 30 days net,DDP,Italy,Oil & Gas,Process monitoring,End User,CFG731_9a659fd01cd1d239,x731,TWO_CHARACTERISTIC,STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000056,CUST73100063,Nova Process Automation AG,INST-997229,Measurement Upgrade Project,2026-07-04,2026-09-07,4,EUR,within 30 days net,CPT,Netherlands,Research & Development,Laboratory testing,EPC Contractor,CFG731_a4416ae9d698efa6,G731ST-HT,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000057,CUST73100182,Atlas Process Engineering FZE,REQ-957196,Flow Measurement Replacement,2026-01-19,2026-02-28,3,USD,within 45 days net,EXW,Saudi Arabia,Manufacturing,Cooling systems,System Integrator,CFG731_d258fff6b39ba941,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000058,CUST73100249,Summit Automation Systems S.A.,REQ-191703,Measurement Upgrade Project,2026-05-31,2026-10-16,1,EUR,within 60 days net,FCA,Netherlands,Oil & Gas,Refinery process measurement,EPC Contractor,CFG731_935bc110c01e9e85,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000059,CUST73100166,Precision Instrumentation S.A.,INST-627909,Plant Instrumentation,2026-03-19,2026-07-28,3,EUR,within 45 days net,EXW,Netherlands,Water & Wastewater,Water treatment,End User,CFG731_541ce2492ce71d94,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000060,CUST73100189,Dynamic Process Engineering AG,REQ-237464,Process Measurement Upgrade,2026-02-05,2026-06-24,1,EUR,advance payment,CPT,Italy,Manufacturing,Production utilities,End User,CFG731_ef6e203c92a71c88,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000061,CUST73100048,Prime Industrial Services FZE,REQ-323833,Pipeline Monitoring Project,2026-07-26,2026-10-18,1,EUR,within 60 days net,DAP,Germany,Research & Development,Prototype testing,EPC Contractor,CFG731_e98d2be876599c40,F731WD_SingleChannel,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000062,CUST73100232,Vertex Process Engineering AG,PROJECT-838568,Process Measurement Upgrade,2026-07-11,2026-09-12,3,EUR,within 45 days net,DAP,Netherlands,Chemical,Liquid flow measurement,End User,CFG731_b5710e5f11e2cbc2,G731ST-HT,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000063,CUST73100105,Metrix Process Automation GmbH,INST-595401,Plant Instrumentation,2026-02-02,2026-04-27,5,GBP,within 60 days net,EXW,United Kingdom,Oil & Gas,Gas measurement,System Integrator,CFG731_316522b7cc87d9a1,x731,TWO_CHARACTERISTIC,LOW,SYNTHETIC,731_RFQ_V1
RFQ731-000064,CUST73100007,Horizon Process Automation Ltd.,REQ-136765,Flow Metering Requirement,2026-03-29,2026-05-22,2,GBP,within 60 days net,CPT,United Kingdom,Mining & Metals,Slurry measurement,End User,CFG731_6526112621a9ee97,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000065,CUST73100120,Precision Process Engineering FZE,INST-927065,Measurement System Upgrade,2026-07-29,2026-10-05,2,EUR,within 30 days net,DAP,France,Engineering & EPC,Plant construction,End User,CFG731_daff07a8bdec497b,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000066,CUST73100140,Apex Manufacturing Technologies Ltd.,REQ-742906,Process Monitoring,2026-03-14,2026-04-26,3,EUR,within 90 days net,DDP,France,Oil & Gas,Refinery process measurement,End User,CFG731_3c119308d8305ad4,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000067,CUST73100051,Precision Instrumentation GmbH,PROJECT-153814,Process Monitoring,2026-03-21,2026-06-21,2,USD,within 30 days net,EXW,United Arab Emirates,Oil & Gas,Pipeline measurement,End User,CFG731_96d353c7a2763a68,x731,TWO_CHARACTERISTIC,LOW,SYNTHETIC,731_RFQ_V1
RFQ731-000068,CUST73100175,Horizon Measurement Technologies GmbH,REQ-523493,Instrumentation Package Project,2026-03-10,2026-07-25,1,EUR,within 60 days net,CPT,Italy,Chemical,Liquid flow measurement,EPC Contractor,CFG731_2a989bd6dba74d9f,G731ST-HT,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000069,CUST73100228,Delta Process Automation FZE,INST-301620,Flow Measurement Replacement,2026-07-12,2026-10-25,1,EUR,within 30 days net,DAP,India,Food & Beverage,Production process measurement,End User,CFG731_f2009d42f55088a9,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000070,CUST73100049,Delta Manufacturing Technologies GmbH,PROJECT-537864,Flow Metering Requirement,2026-02-01,2026-05-24,1,EUR,within 60 days net,FCA,Türkiye,Oil & Gas,Pipeline measurement,End User,CFG731_b827079551368856,G731ST-HT,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000071,CUST73100192,Summit Process Systems S.A.,ENQ-594228,Plant Instrumentation,2026-04-26,2026-10-20,2,USD,within 60 days net,CPT,United Arab Emirates,Oil & Gas,Gas measurement,End User,CFG731_22da0d6030817265,G731ST-LT,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000072,CUST73100208,United Process Automation AG,PROJECT-505938,Process Monitoring,2026-02-02,2026-04-05,2,EUR,within 30 days net,DAP,Türkiye,Research & Development,Pilot plant testing,End User,CFG731_874928f24c55285e,F731TE,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000073,CUST73100020,Meridian Process Automation S.A.,REQ-429215,Flow Measurement Replacement,2026-04-01,2026-09-10,20,EUR,within 45 days net,DAP,Türkiye,Pharmaceutical,Process validation,End User,CFG731_45106eaed87837a4,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000074,CUST73100122,Advanced Industrial Services B.V.,PROJECT-468171,Flow Metering Requirement,2026-07-18,2026-09-06,3,USD,within 90 days net,DDP,Saudi Arabia,Water & Wastewater,Raw water measurement,End User,CFG731_9e44a82e6c1db982,G731ST-LT,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000075,CUST73100250,Quantum Industrial Services GmbH,INST-202659,Plant Modernization Project,2026-07-27,2026-11-16,5,EUR,within 30 days net,CPT,Germany,Chemical,Liquid flow measurement,EPC Contractor,CFG731_bbffb73f3dff6787,G731ST-HT,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000076,CUST73100210,Continental Engineering Solutions B.V.,INST-427381,Flow Measurement Replacement,2026-03-08,2026-09-03,2,EUR,within 45 days net,CPT,Spain,Chemical,Process control,End User,CFG731_3781457447e45e13,G731CA,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000077,CUST73100092,Summit Instrumentation FZE,REQ-144858,Pipeline Monitoring Project,2026-02-18,2026-06-27,1,EUR,within 60 days net,DAP,France,Mining & Metals,Mineral processing,Engineering Company,CFG731_162b59c5f8cf5a72,x731,TWO_CHARACTERISTIC,STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000078,CUST73100106,Evergreen Industrial Technologies GmbH,REQ-699457,Measurement System Upgrade,2026-03-30,2026-08-06,2,EUR,within 30 days net,FCA,India,Oil & Gas,Refinery process measurement,End User,CFG731_0b2f7a45dffefd5b,G731CA,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000079,CUST73100218,Quantum Process Systems Ltd.,PROJECT-539347,Plant Modernization Project,2026-03-03,2026-08-28,5,EUR,within 30 days net,CPT,India,Water & Wastewater,Utility water measurement,EPC Contractor,CFG731_b65f8c1aefa2a95b,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000080,CUST73100058,United Petrochemical Solutions FZE,REQ-915123,Utility Measurement Project,2026-04-16,2026-10-13,3,EUR,within 60 days net,CPT,Spain,Food & Beverage,Utility monitoring,EPC Contractor,CFG731_90dc5a2ccc9e8c22,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000081,CUST73100171,Precision Measurement Technologies AG,ENQ-636963,Process Measurement Upgrade,2026-01-13,2026-03-13,5,EUR,advance payment,FCA,Germany,Power & Utilities,Process water measurement,End User,CFG731_400b0d973c930668,F731WD_SingleChannel,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000082,CUST73100021,Nexon Process Systems B.V.,ENQ-627381,Flow Measurement Replacement,2026-01-28,2026-04-27,2,EUR,within 45 days net,DDP,Türkiye,Oil & Gas,Pipeline measurement,End User,CFG731_6a47b38d62a9fed3,G731VG,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
