rfq_id,requirement_id,requirement_sequence,characteristic,required_value,requirement_description,requirement_type,ground_truth,source
RFQ731-000002,RFQ731-000002-REQ-006,6,explosionApproval,F,hazardous-area application,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-007,7,protectionArea,2,protection area 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-008,8,certification,NN,standard certification,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-009,9,dataInterface,PA,data interface PA,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-010,10,temperaturEingaenge,TT2,temperature input TT2,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-011,11,dev_advMeterVerification,1,Advanced Meter Verification 1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-001,1,devCategory,G,gas measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-002,2,characteristic,ST,standard temperature application,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-004,4,powerSupply,1,standard power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-005,5,numberOfChannels,2,number of measurement channels 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-006,6,explosionApproval,K,explosion protection K,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-007,7,protectionArea,2,protection area 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-008,8,certification,NN,standard certification,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-009,9,dataInterface,NN,data interface NN,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-010,10,stromEingaenge,IS1,current input IS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-011,11,temperaturEingaenge,TT1,temperature input TT1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-012,12,binaerOpenColl_MP,MP1,open-collector output MP1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-013,13,waveInjector,FWI,WaveInjector cryogenic option,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-014,14,customUserFluid,1,custom user fluid 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000003,RFQ731-000003-REQ-015,15,steamApplication,H,steam application H,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-001,1,devCategory,G,gas measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-002,2,characteristic,ST,standard temperature application,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-004,4,powerSupply,1,standard power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-006,6,explosionApproval,K,explosion protection K,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-007,7,protectionArea,2,protection area 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-008,8,certification,NN,standard certification,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-009,9,dataInterface,NN,data interface NN,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-010,10,temperaturEingaenge,TT1,temperature input TT1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-011,11,binaerDigitalOpenColl_MN,MN1,digital open-collector input MN1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-012,12,dev_advMeterVerification,1,Advanced Meter Verification 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-013,13,customUserFluid,1,custom user fluid 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000004,RFQ731-000004-REQ-014,14,steamApplication,N,steam application N,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-001,1,devCategory,F,flow measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-002,2,characteristic,GP,general-purpose configuration,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-004,4,powerSupply,1,standard power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-006,6,explosionApproval,A,explosion protection A,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-007,7,protectionArea,2,protection area 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-008,8,certification,NN,standard certification,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-009,9,dataInterface,NN,data interface NN,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-010,10,stromSchaltbar,CS1,switchable current output CS1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-011,11,stromEingaenge,IS1,current input IS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-012,12,temperaturEingaenge,TT1,temperature input TT1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-013,13,binaerOpenColl_MP,MP1,open-collector output MP1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-014,14,waveInjector,FWI,WaveInjector cryogenic option,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-015,15,dev_advMeterVerification,1,Advanced Meter Verification 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000005,RFQ731-000005-REQ-016,16,customUserFluid,1,custom user fluid 1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-001,1,devCategory,F,flow measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-002,2,characteristic,GP,general-purpose configuration,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-004,4,powerSupply,4,alternative power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-006,6,explosionApproval,A,explosion protection A,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-007,7,protectionArea,2,protection area 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-008,8,certification,MN,certification MN,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-009,9,dataInterface,HS,high-speed communication,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-010,10,stromEingaenge,IS1,current input IS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-011,11,temperaturEingaenge,TT1,temperature input TT1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-012,12,binaerDigitalOpenColl_MN,MN1,digital open-collector input MN1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-013,13,waveInjector,FWI,WaveInjector cryogenic option,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000006,RFQ731-000006-REQ-014,14,dev_advMeterVerification,1,Advanced Meter Verification 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-001,1,devCategory,G,gas measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-002,2,characteristic,ST,standard temperature application,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-004,4,powerSupply,1,standard power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-006,6,explosionApproval,A,explosion protection A,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-007,7,protectionArea,2,protection area 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-008,8,certification,NN,standard certification,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-009,9,dataInterface,NN,data interface NN,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-010,10,stromSchaltbar,CS1,switchable current output CS1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-011,11,binaerDigitalOpenColl_MN,MN1,digital open-collector input MN1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-012,12,dev_advMeterVerification,1,Advanced Meter Verification 1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-013,13,customUserFluid,1,custom user fluid 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000007,RFQ731-000007-REQ-014,14,steamApplication,N,steam application N,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-001,1,devCategory,F,flow measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-002,2,characteristic,WD,dual/single channel measurement configuration,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-004,4,powerSupply,1,standard power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-006,6,explosionApproval,N,non-hazardous-area application,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-007,7,protectionArea,N,protection area N,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-008,8,certification,NN,standard certification,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-009,9,dataInterface,PA,data interface PA,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-010,10,stromEingaenge,IS1,current input IS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000008,RFQ731-000008-REQ-011,11,dev_advMeterVerification,1,Advanced Meter Verification 1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-001,1,devCategory,G,gas measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-002,2,characteristic,VG,specialized gas measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-003,3,housing,ST,stainless-steel housing,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-004,4,powerSupply,1,standard power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-005,5,numberOfChannels,2,number of measurement channels 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-006,6,explosionApproval,F,hazardous-area application,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-007,7,protectionArea,2,protection area 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-008,8,certification,NN,standard certification,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-009,9,dataInterface,HS,high-speed communication,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-010,10,stromSchaltbar,CS2,switchable current output CS2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-011,11,stromEingaenge,IS1,current input IS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-012,12,temperaturEingaenge,TT1,temperature input TT1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-013,13,binaerDigitalOpenColl_MN,MN2,digital open-collector input MN2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-014,14,dev_advMeterVerification,1,Advanced Meter Verification 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000009,RFQ731-000009-REQ-015,15,dynamicGasMaster,1,Dynamic Gas Master 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-001,1,devCategory,F,flow measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-002,2,characteristic,GP,general-purpose configuration,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-004,4,powerSupply,1,standard power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-006,6,explosionApproval,N,non-hazardous-area application,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-007,7,protectionArea,N,protection area N,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-008,8,certification,NN,standard certification,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-009,9,dataInterface,NN,data interface NN,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-010,10,stromSchaltbar,CS1,switchable current output CS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-011,11,temperaturEingaenge,TT1,temperature input TT1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-012,12,binaerOpenColl_MP,MP1,open-collector output MP1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000010,RFQ731-000010-REQ-013,13,waveInjector,FWI,WaveInjector cryogenic option,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-001,1,devCategory,F,flow measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-002,2,characteristic,WD,dual/single channel measurement configuration,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-004,4,powerSupply,1,standard power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-006,6,explosionApproval,N,non-hazardous-area application,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-007,7,protectionArea,N,protection area N,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-008,8,certification,NN,standard certification,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-009,9,dataInterface,PA,data interface PA,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-010,10,stromEingaenge,IS1,current input IS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000011,RFQ731-000011-REQ-011,11,dev_advMeterVerification,1,Advanced Meter Verification 1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-001,1,devCategory,S,device category S,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-002,2,characteristic,GP,general-purpose configuration,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-004,4,powerSupply,4,alternative power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-006,6,explosionApproval,A,explosion protection A,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-007,7,protectionArea,2,protection area 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-008,8,certification,MN,certification MN,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-009,9,dataInterface,NN,data interface NN,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-010,10,stromSchaltbar,CS1,switchable current output CS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-011,11,stromEingaenge,IS1,current input IS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-012,12,temperaturEingaenge,TT1,temperature input TT1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-013,13,binaerOpenColl_MP,MP1,open-collector output MP1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000012,RFQ731-000012-REQ-014,14,waveInjector,FWI,WaveInjector cryogenic option,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000013,RFQ731-000013-REQ-001,1,devCategory,G,gas measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000013,RFQ731-000013-REQ-002,2,characteristic,GP,general-purpose configuration,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000013,RFQ731-000013-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000013,RFQ731-000013-REQ-004,4,powerSupply,4,alternative power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000013,RFQ731-000013-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
