synthetic_record_id,canonical_configuration_id,package_context,record_type,generation_method,source_canonical_configuration_id,source_frequency,nearest_real_distance,num_changed_characteristics,changed_characteristics,constraint_valid,evidence_level,evidence_score,devCategory,characteristic,housing,powerSupply,numberOfChannels,explosionApproval,protectionArea,certification,dataInterface,stromSchaltbar,stromEingaenge,temperaturEingaenge,binaerDigitalOpenColl_MN,binaerOpenColl_MP,waveInjector,dev_advMeterVerification,dynamicGasMaster,customUserFluid,steamApplication,synthetic_dataset,technical_configuration_status
SYN731_000020,CFG731_040069031f4f021c,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_04a704e692f8fd05,0,1,1,dev_advMeterVerification,True,VERY_STRONG,94.0,G,GP,ST,4,1,A,2,MN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000021,CFG731_b3ed2928d6d65710,G731ST-HT,DERIVED,ONE_CHARACTERISTIC,CFG731_cd71ec2726e971ef,0,1,1,dataInterface,True,VERY_STRONG,95.1,G,ST,ST,1,2,A,2,NN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,H,731_V5,SYNTHETIC_DERIVED
SYN731_000022,CFG731_f631a6c90eb75354,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_98bdc6937e342d40,0,1,1,powerSupply,True,VERY_STRONG,93.0,G,GP,ST,4,1,K,2,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000023,CFG731_700e5b0584a9b0fc,x731,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,CFG731_c7c53fc5541f1dc1,0,1,2,stromSchaltbar|temperaturEingaenge,True,VERY_STRONG,98.2,F,GP,ST,1,1,K,2,NN,NN,NOVALUE,NOVALUE,NOVALUE,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000024,CFG731_226e375c4e7aa2a0,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_337790e6bbcf15f4,0,1,2,dataInterface|customUserFluid,True,MODERATE,68.8,F,GP,ST,1,1,N,N,NN,HS,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000025,CFG731_92efd7a3c43da152,F731PW,OBSERVED,REAL_OBSERVED,CFG731_92efd7a3c43da152,2,0,0,,True,OBSERVED,100.0,F,PW,ST,1,1,K,2,NN,MR,CS1,NOVALUE,NOVALUE,NOVALUE,MP2,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000026,CFG731_dc2dca106a6c63c6,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_f1614000023c2800,0,2,2,binaerOpenColl_MP|dev_advMeterVerification,True,LOW,52.0,F,GP,ST,1,1,K,2,NN,NN,CS1,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,NOVALUE,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000027,CFG731_1d623542e1ada7d8,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_afd2371086bf1e03,0,2,2,dataInterface|dev_advMeterVerification,True,LOW,53.8,G,GP,ST,1,1,N,N,NN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000028,CFG731_1642db5c21ada469,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_b65b306a03ca71c9,0,1,2,devCategory|explosionApproval,True,MODERATE,62.6,G,GP,ST,1,1,F,2,NN,NN,NOVALUE,IS1,NOVALUE,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000029,CFG731_736d7f6d47393e47,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_04a704e692f8fd05,0,1,1,binaerOpenColl_MP,True,VERY_STRONG,93.7,G,GP,ST,4,1,A,2,MN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000030,CFG731_4e59e6fc4174afa3,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_8c8856d21252930e,0,1,1,powerSupply,True,VERY_STRONG,93.0,H,GP,ST,4,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000031,CFG731_92efd7a3c43da152,F731PW,OBSERVED,REAL_OBSERVED,CFG731_92efd7a3c43da152,2,0,0,,True,OBSERVED,100.0,F,PW,ST,1,1,K,2,NN,MR,CS1,NOVALUE,NOVALUE,NOVALUE,MP2,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000032,CFG731_574aa7a29f75cd60,F731TE,OBSERVED,REAL_OBSERVED,CFG731_574aa7a29f75cd60,2,0,0,,True,OBSERVED,100.0,F,TE,ST,1,2,N,N,NN,NN,CS2,NOVALUE,TT2,NOVALUE,MP4,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000033,CFG731_736953a253ffd341,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_33fed5318b1a4f2f,0,1,2,temperaturEingaenge|dev_advMeterVerification,True,MODERATE,66.8,F,GP,ST,4,1,N,N,MN,NN,CS1,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000034,CFG731_97c654bf006e698e,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_04a704e692f8fd05,0,2,2,dataInterface|customUserFluid,True,LOW,53.8,G,GP,ST,4,1,A,2,MN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,1,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000035,CFG731_9681c4eec01b7fad,G731ST-HT,OBSERVED,REAL_OBSERVED,CFG731_9681c4eec01b7fad,2,0,0,,True,OBSERVED,100.0,G,ST,ST,1,2,K,2,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,H,731_V5,REAL_OBSERVED
SYN731_000036,CFG731_5c624ef6fa2b6510,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_775c3458f44938c0,0,1,1,stromSchaltbar,True,VERY_STRONG,94.2,G,GP,ST,1,1,K,2,NN,NN,NOVALUE,NOVALUE,TT1,MN1,NOVALUE,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000037,CFG731_e8e7b7513a5c9544,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_b4987f1c95e91d0d,0,1,2,powerSupply|explosionApproval,True,MODERATE,62.0,F,GP,ST,4,1,F,2,NN,NN,CS1,IS1,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000038,CFG731_12089d5d54f581ac,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_c7c53fc5541f1dc1,0,1,1,stromSchaltbar,True,VERY_STRONG,94.2,F,GP,ST,1,1,K,2,NN,NN,NOVALUE,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000039,CFG731_ae1f3e9a90950fc3,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_23aa00a5306a83b2,0,1,2,explosionApproval|binaerOpenColl_MP,True,MODERATE,65.5,G,GP,ST,4,1,F,2,MN,NN,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000040,CFG731_c37386a371e13fa8,F731WD_DualChannel,DERIVED,ONE_CHARACTERISTIC,CFG731_d2034bb5aa313dac,0,1,1,dataInterface,True,VERY_STRONG,95.1,F,WD,ST,1,2,N,N,NN,HS,CS2,NOVALUE,NOVALUE,NOVALUE,MP4,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000041,CFG731_3b2a32abbf148ca1,x731,OBSERVED,REAL_OBSERVED,CFG731_3b2a32abbf148ca1,7,0,0,,True,OBSERVED,100.0,G,GP,ST,1,1,K,2,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,1,1,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000042,CFG731_7b1edd53e8bbad40,G731ST-LT,OBSERVED,REAL_OBSERVED,CFG731_7b1edd53e8bbad40,2,0,0,,True,OBSERVED,100.0,G,ST,ST,1,1,K,2,NN,HS,CS1,NOVALUE,TT1,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N,731_V5,REAL_OBSERVED
SYN731_000043,CFG731_515a31451814aae9,G731ST-LT,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,CFG731_c5da2661a169f82b,0,1,2,stromSchaltbar|temperaturEingaenge,True,VERY_STRONG,98.2,G,ST,ST,1,1,K,2,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N,731_V5,SYNTHETIC_DERIVED
SYN731_000044,CFG731_800f2acd9158b556,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_5feb84333ab424ba,0,1,1,devCategory,True,VERY_STRONG,93.0,G,GP,ST,4,1,N,N,MN,NN,NOVALUE,IS1,NOVALUE,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000045,CFG731_6cc2f5d089c01baf,G731ST-HT,OBSERVED,REAL_OBSERVED,CFG731_6cc2f5d089c01baf,1,0,0,,True,OBSERVED,100.0,G,ST,ST,1,2,K,2,NN,NN,CS1,NOVALUE,NOVALUE,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H,731_V5,REAL_OBSERVED
SYN731_000046,CFG731_27b6b45b43224be7,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_9d03b3ff10a7b30e,0,1,1,powerSupply,True,VERY_STRONG,93.0,G,GP,ST,4,1,N,N,NN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000047,CFG731_f1355b6f00fd7f67,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_0fbee36816b7af98,0,1,2,stromSchaltbar|dev_advMeterVerification,True,MODERATE,69.2,G,GP,ST,4,1,A,2,MN,HS,NOVALUE,IS1,TT1,MN1,NOVALUE,FWI,NOVALUE,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000048,CFG731_219ac3d01befd6d1,x731,OBSERVED,REAL_OBSERVED,CFG731_219ac3d01befd6d1,7,0,0,,True,OBSERVED,100.0,F,GP,ST,1,1,K,2,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000049,CFG731_04a53b6cc81d57d6,x731,OBSERVED,REAL_OBSERVED,CFG731_04a53b6cc81d57d6,2,0,0,,True,OBSERVED,100.0,F,GP,ST,1,1,F,2,NN,HS,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000050,CFG731_fe9a409c6b2ba9cc,x731,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,CFG731_c7c53fc5541f1dc1,0,1,2,stromEingaenge|temperaturEingaenge,True,VERY_STRONG,98.2,F,GP,ST,1,1,K,2,NN,NN,CS1,IS1,NOVALUE,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000051,CFG731_e03b41992c837b34,G731ST-LT,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,CFG731_455da2f832a6b66d,0,1,2,stromSchaltbar|stromEingaenge,True,VERY_STRONG,98.2,G,ST,ST,1,1,A,2,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N,731_V5,SYNTHETIC_DERIVED
SYN731_000052,CFG731_19bcffd0eb2806b8,G731ST-LT,DERIVED,TWO_CHARACTERISTIC,CFG731_d3944f427f0609b6,0,2,2,dataInterface|stromEingaenge,True,LOW,49.0,G,ST,ST,1,1,K,2,NN,HS,NOVALUE,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N,731_V5,SYNTHETIC_DERIVED
SYN731_000053,CFG731_eb70dc35972dc4b7,G731ST-HT,OBSERVED,REAL_OBSERVED,CFG731_eb70dc35972dc4b7,4,0,0,,True,OBSERVED,100.0,G,ST,ST,1,2,N,N,NN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H,731_V5,REAL_OBSERVED
SYN731_000054,CFG731_40b6e1db6c80bcc1,G731VG,OBSERVED,REAL_OBSERVED,CFG731_40b6e1db6c80bcc1,1,0,0,,True,OBSERVED,100.0,G,VG,ST,1,2,F,2,NN,NN,CS2,IS1,TT1,MN2,NOVALUE,NOVALUE,1,1,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000055,CFG731_aa4779c40e6c2de0,G731ST-HT,DERIVED,ONE_CHARACTERISTIC,CFG731_9681c4eec01b7fad,0,1,1,binaerOpenColl_MP,True,VERY_STRONG,93.7,G,ST,ST,1,2,K,2,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,FWI,NOVALUE,NOVALUE,1,H,731_V5,SYNTHETIC_DERIVED
SYN731_000056,CFG731_be171d4bbfab2b66,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_7f60255816247683,0,1,2,dataInterface|customUserFluid,True,MODERATE,68.8,G,GP,ST,1,1,A,2,NN,HS,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,1,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000057,CFG731_0029021d98da4557,G731ST-LT,OBSERVED,REAL_OBSERVED,CFG731_0029021d98da4557,1,0,0,,True,OBSERVED,100.0,G,ST,ST,1,1,K,2,NN,HS,NOVALUE,IS1,TT1,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N,731_V5,REAL_OBSERVED
SYN731_000058,CFG731_b97ce0f180acf155,G731CA,OBSERVED,REAL_OBSERVED,CFG731_b97ce0f180acf155,1,0,0,,True,OBSERVED,100.0,G,CA,ST,1,1,A,2,NN,NN,CS2,IS1,TT1,NOVALUE,MP4,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000059,CFG731_e2d64e127f97296d,G731ST-HT,OBSERVED,REAL_OBSERVED,CFG731_e2d64e127f97296d,1,0,0,,True,OBSERVED,100.0,G,ST,ST,1,2,A,2,NN,HS,NOVALUE,IS1,TT1,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H,731_V5,REAL_OBSERVED
SYN731_000060,CFG731_7c78a4beb9b12eb2,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_9f9a8730b26472c2,0,1,1,binaerOpenColl_MP,True,VERY_STRONG,93.7,G,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000061,CFG731_37f66c3948c00e57,G731ST-HT,DERIVED,ONE_CHARACTERISTIC,CFG731_f23946dbf617272b,0,1,1,binaerOpenColl_MP,True,VERY_STRONG,93.7,G,ST,ST,1,2,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,FWI,NOVALUE,NOVALUE,1,H,731_V5,SYNTHETIC_DERIVED
SYN731_000062,CFG731_6886c948a9d1ec0c,F731TE,OBSERVED,REAL_OBSERVED,CFG731_6886c948a9d1ec0c,2,0,0,,True,OBSERVED,100.0,F,TE,ST,1,1,F,2,NN,NN,CS2,NOVALUE,TT2,MN4,NOVALUE,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000063,CFG731_cc03e3852895ae99,G731ST-LT,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,CFG731_0e146b48e4ed8b98,0,1,2,stromSchaltbar|temperaturEingaenge,True,VERY_STRONG,98.2,G,ST,ST,1,1,A,2,NN,NN,NOVALUE,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N,731_V5,SYNTHETIC_DERIVED
SYN731_000064,CFG731_691a8f2ff165671d,G731CA,OBSERVED,REAL_OBSERVED,CFG731_691a8f2ff165671d,1,0,0,,True,OBSERVED,100.0,G,CA,ST,1,1,N,N,NN,MT,NOVALUE,IS1,TT1,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000065,CFG731_9eed4a2d2e84d134,G731ST-HT,DERIVED,TWO_CHARACTERISTIC,CFG731_68193b179adae994,0,2,2,stromSchaltbar|binaerOpenColl_MP,True,LOW,52.9,G,ST,ST,1,2,K,2,NN,NN,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,NOVALUE,NOVALUE,1,H,731_V5,SYNTHETIC_DERIVED
SYN731_000066,CFG731_c32627af59ba1526,G731ST-HT,OBSERVED,REAL_OBSERVED,CFG731_c32627af59ba1526,2,0,0,,True,OBSERVED,100.0,G,ST,ST,1,2,A,2,NN,HS,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,H,731_V5,REAL_OBSERVED
SYN731_000067,CFG731_e5a85c19cf4647dd,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_c7c53fc5541f1dc1,0,1,2,devCategory|dataInterface,True,MODERATE,65.4,G,GP,ST,1,1,K,2,NN,HS,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000068,CFG731_2a8793475d827bb6,x731,OBSERVED,REAL_OBSERVED,CFG731_2a8793475d827bb6,4,0,0,,True,OBSERVED,100.0,F,GP,ST,4,1,F,2,MN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000069,CFG731_4e7f75dd9496e7b1,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_04a704e692f8fd05,0,1,1,dataInterface,True,VERY_STRONG,95.1,G,GP,ST,4,1,A,2,MN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000070,CFG731_fa063863b8688588,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_de67d4c164ed05bc,0,1,1,dev_advMeterVerification,True,VERY_STRONG,94.0,F,GP,ST,4,1,N,N,MN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000071,CFG731_8048d4394d2fbde3,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_f7f0034a8b15f329,0,1,2,stromSchaltbar|binaerOpenColl_MP,True,MODERATE,67.9,H,GP,ST,1,1,K,2,NN,HS,NOVALUE,IS1,TT1,NOVALUE,NOVALUE,FWI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000072,CFG731_579057193c092394,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_7f60255816247683,0,1,1,stromSchaltbar,True,VERY_STRONG,94.2,G,GP,ST,1,1,A,2,NN,NN,NOVALUE,NOVALUE,TT1,MN1,NOVALUE,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
