synthetic_id,data_origin,generation_method,source_row,package_context,changed_characteristics,num_changed_characteristics,pairwise_compatibility_score,constraint_valid,exact_duplicate_of_real,novelty_score,OrgUnitAreaOfDocument,marke,packageFixed_dev,installationsart,devCategory,type,characteristic,housing,powerSupply,numberOfChannels,explosionApproval,protectionArea,intrinsicSafety,certification,dataInterface,binaerDigitalOptoRelay,binaerDigitalReedRelay,binaerDigitalOpenColl_MN,binaerDigitalOpenCollExia_MA,binaerOpenColl_MP,binaerOpenColl_BC,binaerOpenColl_SC,binaerOpenColl30v,binaerOpenCollExib,binaerOpenCollNamur,binaerOptoRelay_BO,binaerOptoRelay_SO,binaerReedRelay_BR,binaerReedRelay_SR,frequenz0_5khz_FO,frequenz0_5khz_FC,frequenz0_5khzNamur,frequenz5_15HzExia,spannung0_10v,spannung0_1v,stromAktiv,stromAktiv24,stromPassiv,stromPassivExib,StromPassivExia,stromSchaltbar,binaerEingaenge,spannungsEingaenge,stromEingaenge,stromEingaenge_passiv,stromEingaengeExia,temperaturEingaenge,temperaturEingaengeExi,hardwareAP,steamApplication,waveInjector,tagPlate,inclusiveManual,powerCable,carryingCase,measuringTape,dev_advMeterVerification,dynamicGasMaster,customUserFluid
SYN_731_000012,SYNTHETIC,constrained_empirical_recombination,137,x731,dev_advMeterVerification,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,G,731,GP,ST,1,1,A,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1,1
SYN_731_000013,SYNTHETIC,constrained_empirical_recombination,804,x731,dev_advMeterVerification|certification,2,1.0,True,False,0.03389830508474576,0,flexim,x731,stationaer,G,731,GP,ST,4,1,F,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1,1
SYN_731_000014,SYNTHETIC,constrained_empirical_recombination,434,x731,powerSupply|stromEingaenge,2,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,F,731,GP,ST,4,1,F,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,1
SYN_731_000015,SYNTHETIC,constrained_empirical_recombination,909,x731,dynamicGasMaster,1,1.0,True,False,0.01694915254237288,3,flexim,x731,stationaer,G,731,GP,ST,1,1,K,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,1
SYN_731_000016,SYNTHETIC,constrained_empirical_recombination,405,x731,devCategory|temperaturEingaenge,2,1.0,True,False,0.03389830508474576,0,flexim,x731,stationaer,F,731,GP,ST,1,1,A,2,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE
SYN_731_000017,SYNTHETIC,constrained_empirical_recombination,443,x731,customUserFluid,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,F,731,GP,ST,1,1,F,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,NOVALUE
SYN_731_000018,SYNTHETIC,constrained_empirical_recombination,778,x731,stromEingaenge|dev_advMeterVerification,2,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,F,731,GP,ST,4,1,F,2,N,MN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1
SYN_731_000019,SYNTHETIC,constrained_empirical_recombination,410,x731,devCategory|customUserFluid,2,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,F,731,GP,ST,1,1,A,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1
SYN_731_000020,SYNTHETIC,constrained_empirical_recombination,316,G731ST-HT,temperaturEingaenge|dataInterface|stromSchaltbar,3,1.0,True,False,0.01694915254237288,0,flexim,G731ST-HT,stationaer,G,731,ST,ST,1,2,N,N,N,NN,HS,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,H,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1
SYN_731_000021,SYNTHETIC,constrained_empirical_recombination,908,x731,customUserFluid,1,1.0,True,False,0.01694915254237288,3,flexim,x731,stationaer,G,731,GP,ST,1,1,K,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,1,NOVALUE
SYN_731_000022,SYNTHETIC,constrained_empirical_recombination,912,x731,powerSupply,1,1.0,True,False,0.01694915254237288,3,flexim,x731,stationaer,G,731,GP,ST,4,1,K,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,1,1
SYN_731_000023,SYNTHETIC,constrained_empirical_recombination,798,x731,certification,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,G,731,GP,ST,4,1,F,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,1,1
SYN_731_000024,SYNTHETIC,constrained_empirical_recombination,481,G731ST-LT,temperaturEingaenge|stromEingaenge,2,1.0,True,False,0.01694915254237288,0,flexim,G731ST-LT,stationaer,G,731,ST,ST,1,1,F,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,N,NOVALUE,1,QI,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,1
SYN_731_000025,SYNTHETIC,constrained_empirical_recombination,525,x731,dynamicGasMaster|devCategory,2,1.0,True,False,0.03389830508474576,0,flexim,x731,stationaer,G,731,GP,ST,1,1,F,2,N,NN,HS,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE
SYN_731_000026,SYNTHETIC,constrained_empirical_recombination,1007,G731ST-HT,stromSchaltbar|dataInterface|explosionApproval,3,1.0,True,False,0.03389830508474576,3,flexim,G731ST-HT,stationaer,G,731,ST,ST,1,2,A,2,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,H,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1
SYN_731_000027,SYNTHETIC,constrained_empirical_recombination,686,x731,certification|dev_advMeterVerification,2,1.0,True,False,0.03389830508474576,0,flexim,x731,stationaer,G,731,GP,ST,4,1,A,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1,1
SYN_731_000028,SYNTHETIC,constrained_empirical_recombination,219,G731CA,dataInterface,1,1.0,True,False,0.01694915254237288,0,flexim,G731CA,stationaer,G,731,CA,ST,1,2,N,N,N,NN,PA,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP4,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS2,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1,QI,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,NOVALUE
SYN_731_000029,SYNTHETIC,constrained_empirical_recombination,811,x731,temperaturEingaenge|dataInterface,2,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,G,731,GP,ST,4,1,F,2,N,MN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,1,1
SYN_731_000030,SYNTHETIC,constrained_empirical_recombination,771,x731,stromSchaltbar,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,S,731,GP,ST,4,1,A,2,N,MN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE
SYN_731_000031,SYNTHETIC,constrained_empirical_recombination,389,x731,dataInterface,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,S,731,GP,ST,1,1,N,N,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE
SYN_731_000032,SYNTHETIC,constrained_empirical_recombination,681,x731,dev_advMeterVerification,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,G,731,GP,ST,4,1,A,2,N,MN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1,1
