canonical_configuration_id,package_context,source_canonical_configuration_id,source_row,generation_method,num_changed_characteristics,changed_characteristics,nearest_real_distance,constraint_valid,devCategory,characteristic,housing,powerSupply,numberOfChannels,explosionApproval,protectionArea,certification,dataInterface,stromSchaltbar,stromEingaenge,temperaturEingaenge,binaerDigitalOpenColl_MN,binaerOpenColl_MP,waveInjector,dev_advMeterVerification,dynamicGasMaster,customUserFluid,steamApplication
CFG731_19baaeb9cede6226,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,devCategory|dataInterface,1,True,G,GP,ST,1,1,N,N,NN,HS,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_86b45f3244313c4c,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,devCategory|stromSchaltbar,2,True,G,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_a9a1b4f80067a4f8,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,devCategory|stromEingaenge,1,True,G,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_db8bcd9b778dd779,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,devCategory|temperaturEingaenge,1,True,G,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_3b0b258f343eeb50,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,devCategory|binaerOpenColl_MP,2,True,G,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_b12f8236a3451de0,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,devCategory|dev_advMeterVerification,2,True,G,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_eda792960a2be318,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,devCategory|customUserFluid,2,True,G,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_bd2172ffd6b9273a,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,powerSupply|dataInterface,1,True,F,GP,ST,4,1,N,N,NN,HS,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_a637e0279eb4057c,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,powerSupply|stromSchaltbar,2,True,F,GP,ST,4,1,N,N,NN,NN,NOVALUE,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_b3e3a6b67244fee2,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,powerSupply|stromEingaenge,1,True,F,GP,ST,4,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_d23aaf66e54f2879,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,powerSupply|temperaturEingaenge,1,True,F,GP,ST,4,1,N,N,NN,NN,CS1,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_31a18db04baa6fd4,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,powerSupply|binaerOpenColl_MP,2,True,F,GP,ST,4,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_7a6e9e503add9a86,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,powerSupply|dev_advMeterVerification,2,True,F,GP,ST,4,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_3823a7587dcc8acd,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,powerSupply|customUserFluid,2,True,F,GP,ST,4,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_e201a8a6e4588b00,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,dataInterface|stromSchaltbar,1,True,F,GP,ST,1,1,N,N,NN,HS,NOVALUE,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_c8b190cd8da9a6dd,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,dataInterface|temperaturEingaenge,1,True,F,GP,ST,1,1,N,N,NN,HS,CS1,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_39083521b1413e72,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,dataInterface|binaerOpenColl_MP,1,True,F,GP,ST,1,1,N,N,NN,HS,CS1,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_119a20b427126927,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,dataInterface|dev_advMeterVerification,1,True,F,GP,ST,1,1,N,N,NN,HS,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_226e375c4e7aa2a0,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,dataInterface|customUserFluid,1,True,F,GP,ST,1,1,N,N,NN,HS,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_e15eff3ae96d540d,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,stromSchaltbar|binaerOpenColl_MP,2,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_a7bfb569663dddda,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,stromSchaltbar|dev_advMeterVerification,2,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_f2b6724ca609efbb,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,stromSchaltbar|customUserFluid,2,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_d678e0b075667fe6,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,stromEingaenge|binaerOpenColl_MP,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_2322a268d0a898f9,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,stromEingaenge|dev_advMeterVerification,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_34e092c266a308aa,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,stromEingaenge|customUserFluid,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_edab6a88a6aa05f2,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,temperaturEingaenge|binaerOpenColl_MP,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_ff097f9103f53b5a,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,temperaturEingaenge|dev_advMeterVerification,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_e1d2e81ba7d62466,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,temperaturEingaenge|customUserFluid,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_522530e274838a31,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,binaerOpenColl_MP|dev_advMeterVerification,2,True,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_3ada8d565667279d,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,binaerOpenColl_MP|customUserFluid,2,True,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_7b9680fed3d10056,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,dev_advMeterVerification|customUserFluid,2,True,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,NOVALUE,NOVALUE
CFG731_038a2660d5cee54f,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,devCategory|powerSupply,2,True,G,GP,ST,4,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_031651b598bdbd79,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,devCategory|dataInterface,1,True,G,GP,ST,1,1,N,N,NN,HS,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_9d34457cb8c133dc,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,devCategory|stromSchaltbar,2,True,G,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_c525a37447671864,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,devCategory|temperaturEingaenge,2,True,G,GP,ST,1,1,N,N,NN,NN,CS1,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_b8070c62182175c5,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,devCategory|binaerOpenColl_MP,2,True,G,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_747411fe70ba8e8d,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,devCategory|dev_advMeterVerification,2,True,G,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_644719cdcafff305,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,devCategory|customUserFluid,2,True,G,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_0836695982aaa38c,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,powerSupply|dataInterface,1,True,F,GP,ST,4,1,N,N,NN,HS,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_79f99d32e0a6d17f,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,powerSupply|stromSchaltbar,2,True,F,GP,ST,4,1,N,N,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_5b3a933dc5921b13,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,powerSupply|temperaturEingaenge,2,True,F,GP,ST,4,1,N,N,NN,NN,CS1,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_60943f1ab66aced1,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,powerSupply|binaerOpenColl_MP,2,True,F,GP,ST,4,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_e6c73c4b934d6ecc,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,powerSupply|dev_advMeterVerification,2,True,F,GP,ST,4,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_228013cfd0470f7a,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,powerSupply|customUserFluid,2,True,F,GP,ST,4,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_3ae84ec7fd839281,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,dataInterface|temperaturEingaenge,1,True,F,GP,ST,1,1,N,N,NN,HS,CS1,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_b628b65d59261136,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,dataInterface|binaerOpenColl_MP,1,True,F,GP,ST,1,1,N,N,NN,HS,CS1,IS1,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_7df8eeec8bf7a18c,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,dataInterface|dev_advMeterVerification,1,True,F,GP,ST,1,1,N,N,NN,HS,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_9d5f3b4b7b2dfa7b,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,dataInterface|customUserFluid,1,True,F,GP,ST,1,1,N,N,NN,HS,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_21fc5cd75945ca37,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,stromSchaltbar|binaerOpenColl_MP,2,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_4c78b52d0d6ffd12,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,stromSchaltbar|dev_advMeterVerification,2,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_4a74cf409767dc05,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,stromSchaltbar|customUserFluid,2,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_a21a59f437ae7e67,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,temperaturEingaenge|binaerOpenColl_MP,2,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,NOVALUE,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_7dc7e05dc3a86833,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,temperaturEingaenge|dev_advMeterVerification,2,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_5d06feec2cf158a4,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,temperaturEingaenge|customUserFluid,2,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_fa77e06d1d78c642,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,binaerOpenColl_MP|dev_advMeterVerification,2,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,NOVALUE,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_3b1c6eec9492c07d,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,binaerOpenColl_MP|customUserFluid,2,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_ee2238f976bbbb50,x731,CFG731_62d0f0f6bab9bdcb,2,TWO_CHARACTERISTIC,2,dev_advMeterVerification|customUserFluid,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,NOVALUE,NOVALUE
CFG731_1f7c154d7e34e86e,x731,CFG731_4340f11ba9a46e42,5,ONE_CHARACTERISTIC,1,devCategory,1,True,G,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_daff07a8bdec497b,x731,CFG731_4340f11ba9a46e42,5,ONE_CHARACTERISTIC,1,powerSupply,1,True,F,GP,ST,4,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_1eb1391e8678682e,x731,CFG731_4340f11ba9a46e42,5,ONE_CHARACTERISTIC,1,dataInterface,1,True,F,GP,ST,1,1,N,N,NN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_fa1bab5909cf6920,x731,CFG731_4340f11ba9a46e42,5,ONE_CHARACTERISTIC,1,binaerOpenColl_MP,1,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_c368d3c9941ce0d3,x731,CFG731_4340f11ba9a46e42,5,ONE_CHARACTERISTIC,1,dev_advMeterVerification,1,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_59cf92483eaddfcb,x731,CFG731_4340f11ba9a46e42,5,ONE_CHARACTERISTIC,1,customUserFluid,1,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_531d24932ca67dc3,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,devCategory|powerSupply,2,True,G,GP,ST,4,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_13fd2d2caa3a98e1,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,devCategory|dataInterface,2,True,G,GP,ST,1,1,N,N,NN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_1da4fdf45dc64ccc,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,devCategory|stromEingaenge,2,True,G,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_30d6fc56f3f23343,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,devCategory|binaerOpenColl_MP,2,True,G,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_34bf8aa6c521cef0,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,devCategory|dev_advMeterVerification,2,True,G,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_2f02ab817f2cabc6,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,devCategory|customUserFluid,2,True,G,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_00371d84f40e7440,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,powerSupply|dataInterface,2,True,F,GP,ST,4,1,N,N,NN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_87274fb3dc8d442a,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,powerSupply|stromEingaenge,2,True,F,GP,ST,4,1,N,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_917c1c364980ae35,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,powerSupply|binaerOpenColl_MP,2,True,F,GP,ST,4,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_ee267206d2d2a094,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,powerSupply|dev_advMeterVerification,2,True,F,GP,ST,4,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_a9c6c5b5f3bcff53,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,powerSupply|customUserFluid,2,True,F,GP,ST,4,1,N,N,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_ee1048227e0d75e5,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,dataInterface|stromEingaenge,2,True,F,GP,ST,1,1,N,N,NN,HS,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_2686ab8bb7012e53,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,dataInterface|binaerOpenColl_MP,2,True,F,GP,ST,1,1,N,N,NN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_ae86c3f020cc8077,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,dataInterface|dev_advMeterVerification,2,True,F,GP,ST,1,1,N,N,NN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_232eb2e3754808f7,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,dataInterface|customUserFluid,2,True,F,GP,ST,1,1,N,N,NN,HS,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_91d15ca1a2ef4e0b,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,stromEingaenge|binaerOpenColl_MP,2,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_dcb861813fdbeb01,x731,CFG731_4340f11ba9a46e42,5,TWO_CHARACTERISTIC,2,stromEingaenge|dev_advMeterVerification,2,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
