regime,pairwise_feature,audit_status
PROVENANCE_AWARE,CATDIFF__generation_method__REAL_OBSERVED,APPROVED
PROVENANCE_AWARE,CATDIFF__generation_method__TWO_CHARACTERISTIC,APPROVED
PROVENANCE_AWARE,CATDIFF__evidence_level__LOW,APPROVED
PROVENANCE_AWARE,CATDIFF__evidence_level__MODERATE,APPROVED
PROVENANCE_AWARE,CATDIFF__evidence_level__OBSERVED,APPROVED
PROVENANCE_AWARE,CATDIFF__evidence_level__STRONG,APPROVED
PROVENANCE_AWARE,CATDIFF__evidence_level__VERY_STRONG,APPROVED
MECHANISTIC_UPPER_BOUND,DIFF__source_frequency,APPROVED
MECHANISTIC_UPPER_BOUND,DIFF__nearest_real_distance,APPROVED
MECHANISTIC_UPPER_BOUND,DIFF__num_changed_characteristics,APPROVED
MECHANISTIC_UPPER_BOUND,DIFF__evidence_score,APPROVED
MECHANISTIC_UPPER_BOUND,DIFF__source_frequency_score,APPROVED
MECHANISTIC_UPPER_BOUND,DIFF__real_proximity_score,APPROVED
MECHANISTIC_UPPER_BOUND,DIFF__low_change_score,APPROVED
MECHANISTIC_UPPER_BOUND,DIFF__observed_configuration_score,APPROVED
MECHANISTIC_UPPER_BOUND,DIFF__evidence_score_normalized,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_stromSchaltbar__CS1,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_stromSchaltbar__CS2,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_stromSchaltbar__NOVALUE,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_stromEingaenge__IS1,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_stromEingaenge__NOVALUE,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_temperaturEingaenge__NOVALUE,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_temperaturEingaenge__TT1,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_binaerDigitalOpenColl_MN__MN4,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_binaerOpenColl_MP__MP1,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_binaerOpenColl_MP__MP2,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_binaerOpenColl_MP__MP4,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_binaerOpenColl_MP__NOVALUE,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_dev_advMeterVerification__1,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_dev_advMeterVerification__NOVALUE,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_dynamicGasMaster__1,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_dynamicGasMaster__NOVALUE,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_customUserFluid__1,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__config_customUserFluid__NOVALUE,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__record_type__DERIVED,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__record_type__OBSERVED,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__generation_method__DEPENDENCY_TWO_CHARACTERISTIC,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__generation_method__ONE_CHARACTERISTIC,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__generation_method__REAL_OBSERVED,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__generation_method__TWO_CHARACTERISTIC,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__evidence_level__LOW,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__evidence_level__MODERATE,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__evidence_level__OBSERVED,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__evidence_level__STRONG,APPROVED
MECHANISTIC_UPPER_BOUND,CATDIFF__evidence_level__VERY_STRONG,APPROVED
