rfq_id,regime,model,package,predicted_configuration_id,synthetic_engineer_configuration_id,model_probability,candidate_count,exact_choice,mandatory_equivalent,mandatory_preferred_equivalent,predicted_mandatory_total,predicted_mandatory_satisfied,predicted_mandatory_violations,predicted_preferred_total,predicted_preferred_satisfied,predicted_preferred_differences,ground_truth_mandatory_valid,ground_truth_mandatory_preferred_valid,outcome_category
RFQ731-000369,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_DUALCHANNEL,CFG731_819cb4e76943eca6,CFG731_c37386a371e13fa8,0.9529395916062868,2,False,True,True,10,10,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000370,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-LT,CFG731_d124ccffa669c3a2,CFG731_6e088ee30195b6c4,0.8575009578864483,4,False,True,True,11,11,0,3,3,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000375,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_7a885e8a3e0ce8ad,CFG731_7a885e8a3e0ce8ad,0.8628989896485779,1,True,True,True,10,10,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000379,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_SINGLECHANNEL,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,0.9737191628982412,1,True,True,True,10,10,0,3,3,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000384,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-LT,CFG731_0fdf5c36c9c41e69,CFG731_671960d0fb04b698,0.6876847527563457,4,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000391,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_63eca10a00ae1f5d,CFG731_a4416ae9d698efa6,0.874254024603375,4,False,True,True,9,9,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000396,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731TE,CFG731_31d150421c4341a3,CFG731_31d150421c4341a3,0.9917598678573044,2,True,True,True,9,9,0,2,2,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000410,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_89772de94df83ba5,CFG731_6ad3ec8ed100118e,0.823811392737933,3,False,True,True,9,9,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000419,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_8d2d91c46ccfb471,CFG731_acd18bc8a73cfdde,0.9857308701769596,2,False,True,True,10,10,0,6,6,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000427,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_SINGLECHANNEL,CFG731_a7d2a5a9ae465701,CFG731_ee8e327bbb737abf,0.59686371742816,2,False,True,True,7,7,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000433,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_c39096767a7ae083,CFG731_a9a1b4f80067a4f8,0.9848104015817832,2,False,True,True,10,10,0,6,6,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000471,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_a56f1437a0b4ca31,CFG731_240d537f14b1a01d,0.7129960971353864,2,False,True,True,11,11,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000480,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_abcee67081353f16,CFG731_ebf26b0112810ef9,0.8868682200148731,4,False,True,True,12,12,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000481,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_8d2d91c46ccfb471,CFG731_5fb1bce2eb72cec6,0.9341854291113152,3,False,True,True,12,12,0,3,3,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000484,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_DUALCHANNEL,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,0.966134076190367,1,True,True,True,13,13,0,0,0,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000511,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_7b2f69a7ca55041b,CFG731_1b33a9ed446bc0fd,0.7279952626043991,23,False,True,True,10,10,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000512,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_d9234c84a58b99ae,CFG731_9676c8784fca6c61,0.9588850158215968,2,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000513,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-LT,CFG731_7203705eed387b0a,CFG731_7203705eed387b0a,0.9549098308973858,1,True,True,True,14,14,0,2,2,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000524,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_5e61ce3b60d15e11,CFG731_23aa00a5306a83b2,0.8301239116227727,4,False,True,True,12,12,0,3,3,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000543,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_c775e192f3d489e9,CFG731_fd7b09f495a568bc,0.8213005459060316,2,False,True,True,11,11,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000552,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_a56f1437a0b4ca31,CFG731_e489ae1a5426e276,0.7129960971353864,2,False,True,True,11,11,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000563,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_fcc72e9951376cf3,CFG731_7c70763d4cf79560,0.7306323633113949,3,False,True,True,11,11,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000564,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_6e096e946540ab4e,CFG731_dc94cc026338b073,0.5562990025871767,12,False,True,True,11,11,0,1,1,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000572,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731TE,CFG731_8b8ba7e2341f1295,CFG731_8b8ba7e2341f1295,0.9844194555203474,1,True,True,True,11,11,0,2,2,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000573,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_219ac3d01befd6d1,CFG731_8ce087647633b913,0.8031112387325017,8,False,True,True,9,9,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000582,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_DUALCHANNEL,CFG731_5076f1c2c0488d0e,CFG731_5076f1c2c0488d0e,0.9820772183482764,2,True,True,True,7,7,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000589,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-LT,CFG731_d124ccffa669c3a2,CFG731_ae2e4cfccaff4f50,0.9468337088207892,2,False,True,True,8,8,0,7,7,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000592,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-LT,CFG731_e0009be417f51ccd,CFG731_77fac91021549398,0.7064763390880066,10,False,True,True,10,10,0,3,3,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000636,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-LT,CFG731_996314000fcfec4b,CFG731_455da2f832a6b66d,0.9566333302890024,2,False,True,True,12,12,0,3,3,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000637,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_8c50542218db5cb0,CFG731_e268c539b23ee9e5,0.9019235476726418,6,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000638,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_d27f5f5f307014a8,CFG731_54946322ece48230,0.4934171294426083,6,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000646,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_9755a9db60d7534d,CFG731_5be5a82ac0b29989,0.9099545406467668,2,False,True,True,9,9,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
