rfq_id,candidate_count_x,true_rank,top1,top3,top5,top10,mrr,ndcg5,true_configuration_id,predicted_configuration_id,engineer_configuration_id,error_type,candidate_count_y,difficulty_bucket
RFQ731-001112,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_60f3aae8ede70fe0,CFG731_f87794e7a98d0b11,CFG731_bdd144687fe20504,IDENTITY_REFERENCE_MISMATCH,6,6-10
RFQ731-001121,3,2,0,1,1,1,0.5,0.6309297535714575,CFG731_c775e192f3d489e9,CFG731_f7f0034a8b15f329,CFG731_8634a8a0a780401d,IDENTITY_REFERENCE_MISMATCH,3,3-5
RFQ731-001388,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_7bb3a18bcb60bab4,CFG731_4297d68b978dc0d5,CFG731_7bb3a18bcb60bab4,RANKING_MISMATCH,2,2
RFQ731-001533,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_5dd35c89836ec88e,CFG731_fcc72e9951376cf3,CFG731_5dd35c89836ec88e,RANKING_MISMATCH,2,2
RFQ731-001599,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_ddfa4ab00c1bcdd0,CFG731_8d07e19298d09d34,CFG731_1ff2c28c953275c5,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-001630,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_ac8195f5cce7d089,CFG731_6e096e946540ab4e,CFG731_c40b4ffa9a4b1399,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-001645,11,2,0,1,1,1,0.5,0.6309297535714575,CFG731_a3b03637ed22317c,CFG731_bbffb73f3dff6787,CFG731_aa4779c40e6c2de0,IDENTITY_REFERENCE_MISMATCH,11,11-50
RFQ731-001732,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_77dd17c48f15826c,CFG731_ab4075c601d1397c,CFG731_d982a98f914f0a87,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-001804,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_186348c5f967a6f7,CFG731_97796c9ac2811c94,CFG731_f287b32480efae51,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-001882,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_27bb9f530dcb688a,CFG731_78d3b084a795c836,CFG731_27bb9f530dcb688a,RANKING_MISMATCH,2,2
RFQ731-001931,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_c32627af59ba1526,CFG731_076cad91966d4c34,CFG731_c32627af59ba1526,RANKING_MISMATCH,2,2
RFQ731-001996,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_a40ab19ad6671fbe,CFG731_e0009be417f51ccd,CFG731_0e0f01b5586b92da,IDENTITY_REFERENCE_MISMATCH,6,6-10
RFQ731-002138,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_cc9ac35e4d9a1854,CFG731_63eca10a00ae1f5d,CFG731_c759934398f2381a,IDENTITY_REFERENCE_MISMATCH,6,6-10
RFQ731-002144,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_8eb1a4c3831aebc6,CFG731_f97e51d1da57d99f,CFG731_fd10dd35c97df399,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-002263,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_935bc110c01e9e85,CFG731_ddd1ce28a3456ff6,CFG731_cf0392d0aaac28b1,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-002282,5,2,0,1,1,1,0.5,0.6309297535714575,CFG731_c887ba58c35036a9,CFG731_608c0251ef380592,CFG731_7157b3d45716ad8f,IDENTITY_REFERENCE_MISMATCH,5,3-5
RFQ731-002330,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_2db6c530f35d47b9,CFG731_b86bbf24b1c3a419,CFG731_2db6c530f35d47b9,RANKING_MISMATCH,2,2
RFQ731-002360,11,2,0,1,1,1,0.5,0.6309297535714575,CFG731_a3b03637ed22317c,CFG731_bbffb73f3dff6787,CFG731_aa4779c40e6c2de0,IDENTITY_REFERENCE_MISMATCH,11,11-50
RFQ731-002543,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_b8b11650a048baf7,CFG731_bbcb665ced67f8c3,CFG731_39083521b1413e72,IDENTITY_REFERENCE_MISMATCH,6,6-10
RFQ731-002647,5,2,0,1,1,1,0.5,0.6309297535714575,CFG731_c887ba58c35036a9,CFG731_608c0251ef380592,CFG731_7157b3d45716ad8f,IDENTITY_REFERENCE_MISMATCH,5,3-5
RFQ731-002908,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_9a0f0b26c7f24725,CFG731_83f956404d04e6cd,CFG731_f4dfffb8a9fa30f7,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-003085,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_02ec1e408c44cf5d,CFG731_eee37571734035ae,CFG731_02ec1e408c44cf5d,RANKING_MISMATCH,2,2
RFQ731-003274,5,2,0,1,1,1,0.5,0.6309297535714575,CFG731_241d60e6ef5278be,CFG731_97796c9ac2811c94,CFG731_33f869b0c10dd59d,IDENTITY_REFERENCE_MISMATCH,5,3-5
RFQ731-003551,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_60f3aae8ede70fe0,CFG731_f87794e7a98d0b11,CFG731_338a3238e967f681,IDENTITY_REFERENCE_MISMATCH,6,6-10
RFQ731-003607,3,2,0,1,1,1,0.5,0.6309297535714575,CFG731_a3b03637ed22317c,CFG731_bbffb73f3dff6787,CFG731_38414c1018b8f89e,IDENTITY_REFERENCE_MISMATCH,3,3-5
RFQ731-003755,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_ac8195f5cce7d089,CFG731_6e096e946540ab4e,CFG731_87ce9768865f4127,IDENTITY_REFERENCE_MISMATCH,6,6-10
RFQ731-003893,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_9a0f0b26c7f24725,CFG731_83f956404d04e6cd,CFG731_9eee2266c8068ada,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-003944,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_d03860c1f327a8d1,CFG731_329b582435fea539,CFG731_168475c8045761e7,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-004027,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_1d89d7fdc7355744,CFG731_8da1da530d6ae54d,CFG731_1d89d7fdc7355744,RANKING_MISMATCH,2,2
RFQ731-004088,11,2,0,1,1,1,0.5,0.6309297535714575,CFG731_cc9ac35e4d9a1854,CFG731_63eca10a00ae1f5d,CFG731_37f66c3948c00e57,IDENTITY_REFERENCE_MISMATCH,11,11-50
RFQ731-004378,7,2,0,1,1,1,0.5,0.6309297535714575,CFG731_ac8195f5cce7d089,CFG731_6e096e946540ab4e,CFG731_dd3145b6d50f35f0,IDENTITY_REFERENCE_MISMATCH,7,6-10
RFQ731-004511,16,2,0,1,1,1,0.5,0.6309297535714575,CFG731_91e51485b56960b2,CFG731_c39096767a7ae083,CFG731_2e9ef53f42218763,IDENTITY_REFERENCE_MISMATCH,16,11-50
RFQ731-004596,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_70b38ab75d3ca724,CFG731_32b1041fd68aac23,CFG731_70b38ab75d3ca724,RANKING_MISMATCH,2,2
RFQ731-004681,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_9a0f0b26c7f24725,CFG731_83f956404d04e6cd,CFG731_9a0f0b26c7f24725,RANKING_MISMATCH,2,2
RFQ731-004685,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_cf4bb519cec0df2f,CFG731_e80085d86d0bbfa9,CFG731_cf4bb519cec0df2f,RANKING_MISMATCH,2,2
RFQ731-004758,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_37e3938c6089bb2d,CFG731_819cb4e76943eca6,CFG731_d135404efcd6265d,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-004811,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_7b1edd53e8bbad40,CFG731_7203705eed387b0a,CFG731_7b1edd53e8bbad40,RANKING_MISMATCH,2,2
