rfq_id,ml_split,candidate_count,positive_candidates,target_rate,package,has_positive_target
RFQ731-000084,TRAIN,2,1,0.5,X731,True
RFQ731-000085,TRAIN,2,1,0.5,X731,True
RFQ731-000086,TRAIN,2,1,0.5,G731CA,True
RFQ731-000087,VALIDATION,3,1,0.3333333333333333,X731,True
RFQ731-000088,TRAIN,2,1,0.5,G731ST-HT,True
RFQ731-000089,TRAIN,4,1,0.25,X731,True
RFQ731-000090,TRAIN,1,1,1.0,X731,True
RFQ731-000091,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000092,TRAIN,1,1,1.0,X731,True
RFQ731-000093,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000094,TRAIN,1,1,1.0,G731CA,True
RFQ731-000095,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000096,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000097,TRAIN,12,1,0.08333333333333333,X731,True
RFQ731-000098,TRAIN,2,1,0.5,G731ST-HT,True
RFQ731-000099,TEST,7,1,0.14285714285714285,X731,True
RFQ731-000100,TRAIN,1,1,1.0,F731WD_DUALCHANNEL,True
RFQ731-000101,TEST,1,1,1.0,F731WD_DUALCHANNEL,True
RFQ731-000102,VALIDATION,2,1,0.5,X731,True
RFQ731-000103,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000104,TRAIN,2,1,0.5,G731CA,True
RFQ731-000105,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000106,TRAIN,1,1,1.0,F731WD_SINGLECHANNEL,True
RFQ731-000107,TEST,6,1,0.16666666666666666,X731,True
RFQ731-000108,TRAIN,2,1,0.5,X731,True
RFQ731-000109,TEST,1,1,1.0,X731,True
RFQ731-000110,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000111,TEST,4,1,0.25,X731,True
RFQ731-000112,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000113,TEST,1,1,1.0,F731WD_SINGLECHANNEL,True
RFQ731-000114,TRAIN,1,1,1.0,X731,True
RFQ731-000115,TRAIN,1,1,1.0,X731,True
RFQ731-000116,VALIDATION,1,1,1.0,X731,True
RFQ731-000117,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000118,VALIDATION,2,1,0.5,G731ST-LT,True
RFQ731-000119,TEST,1,1,1.0,G731ST-HT,True
RFQ731-000120,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000121,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000122,VALIDATION,2,1,0.5,F731WD_SINGLECHANNEL,True
RFQ731-000123,TRAIN,2,1,0.5,X731,True
RFQ731-000124,TRAIN,1,1,1.0,G731CA,True
RFQ731-000125,VALIDATION,6,1,0.16666666666666666,X731,True
RFQ731-000126,TEST,1,1,1.0,F731PW,True
RFQ731-000127,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000128,TRAIN,4,1,0.25,X731,True
RFQ731-000129,TEST,1,1,1.0,F731TE,True
RFQ731-000130,TRAIN,1,1,1.0,G731ST-LT,True
RFQ731-000131,TRAIN,8,1,0.125,G731ST-HT,True
RFQ731-000132,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000133,TRAIN,6,1,0.16666666666666666,G731ST-LT,True
RFQ731-000134,TEST,5,1,0.2,X731,True
RFQ731-000135,VALIDATION,6,1,0.16666666666666666,X731,True
RFQ731-000136,VALIDATION,6,1,0.16666666666666666,X731,True
RFQ731-000137,TEST,2,1,0.5,X731,True
RFQ731-000138,TRAIN,2,1,0.5,F731WD_SINGLECHANNEL,True
RFQ731-000139,VALIDATION,8,1,0.125,X731,True
RFQ731-000140,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000141,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000142,TEST,4,1,0.25,X731,True
RFQ731-000143,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000144,VALIDATION,2,1,0.5,X731,True
RFQ731-000145,TRAIN,4,1,0.25,X731,True
RFQ731-000146,TRAIN,4,1,0.25,X731,True
RFQ731-000147,TEST,4,1,0.25,X731,True
RFQ731-000148,TRAIN,11,1,0.09090909090909091,X731,True
RFQ731-000149,TEST,2,1,0.5,X731,True
RFQ731-000150,TEST,5,1,0.2,X731,True
RFQ731-000151,TRAIN,1,1,1.0,F731WD_DUALCHANNEL,True
RFQ731-000152,TRAIN,11,1,0.09090909090909091,X731,True
RFQ731-000153,TRAIN,1,1,1.0,X731,True
RFQ731-000154,TRAIN,2,1,0.5,G731CA,True
RFQ731-000155,TRAIN,4,1,0.25,G731ST-LT,True
RFQ731-000156,TRAIN,1,1,1.0,X731,True
RFQ731-000157,VALIDATION,5,1,0.2,X731,True
RFQ731-000158,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000159,VALIDATION,2,1,0.5,X731,True
RFQ731-000160,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000161,VALIDATION,4,1,0.25,X731,True
RFQ731-000162,VALIDATION,2,1,0.5,X731,True
RFQ731-000163,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000164,TRAIN,1,1,1.0,X731,True
RFQ731-000165,TEST,4,1,0.25,G731ST-HT,True
RFQ731-000166,TRAIN,11,1,0.09090909090909091,X731,True
RFQ731-000167,TRAIN,1,1,1.0,X731,True
RFQ731-000168,TRAIN,2,1,0.5,X731,True
RFQ731-000169,TEST,4,1,0.25,G731ST-HT,True
RFQ731-000170,VALIDATION,1,1,1.0,F731WD_SINGLECHANNEL,True
RFQ731-000171,TRAIN,1,1,1.0,F731PW,True
RFQ731-000172,VALIDATION,4,1,0.25,X731,True
RFQ731-000173,TRAIN,23,1,0.043478260869565216,G731ST-HT,True
RFQ731-000174,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000175,TRAIN,1,1,1.0,G731ST-LT,True
RFQ731-000176,TRAIN,2,1,0.5,G731ST-HT,True
RFQ731-000177,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000178,VALIDATION,2,1,0.5,X731,True
RFQ731-000179,TRAIN,2,1,0.5,X731,True
RFQ731-000180,VALIDATION,11,1,0.09090909090909091,G731ST-LT,True
RFQ731-000181,TEST,2,1,0.5,X731,True
RFQ731-000182,TEST,4,1,0.25,X731,True
RFQ731-000183,VALIDATION,1,1,1.0,X731,True
RFQ731-000184,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000185,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000186,TEST,7,1,0.14285714285714285,X731,True
RFQ731-000187,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000188,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000189,VALIDATION,1,1,1.0,F731PW,True
RFQ731-000190,VALIDATION,1,1,1.0,G731CA,True
RFQ731-000191,TRAIN,2,1,0.5,X731,True
RFQ731-000192,TRAIN,2,1,0.5,G731CA,True
RFQ731-000193,TRAIN,8,1,0.125,G731ST-LT,True
RFQ731-000194,VALIDATION,7,1,0.14285714285714285,X731,True
RFQ731-000195,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000196,TRAIN,1,1,1.0,X731,True
RFQ731-000197,TRAIN,2,1,0.5,X731,True
RFQ731-000198,TEST,1,1,1.0,X731,True
RFQ731-000199,TRAIN,5,1,0.2,G731ST-LT,True
RFQ731-000200,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000201,VALIDATION,2,1,0.5,X731,True
RFQ731-000202,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000203,TRAIN,2,1,0.5,G731ST-HT,True
RFQ731-000204,TRAIN,2,1,0.5,F731TE,True
RFQ731-000205,VALIDATION,1,1,1.0,X731,True
RFQ731-000206,VALIDATION,1,1,1.0,X731,True
RFQ731-000207,TRAIN,1,1,1.0,F731TE,True
RFQ731-000208,VALIDATION,1,1,1.0,F731PW,True
RFQ731-000209,VALIDATION,4,1,0.25,X731,True
RFQ731-000210,TRAIN,1,1,1.0,F731WD_DUALCHANNEL,True
RFQ731-000211,TRAIN,2,1,0.5,F731WD_SINGLECHANNEL,True
RFQ731-000212,TEST,6,1,0.16666666666666666,X731,True
RFQ731-000213,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000214,TEST,1,1,1.0,G731CA,True
RFQ731-000215,TRAIN,1,1,1.0,G731CA,True
RFQ731-000216,TEST,3,1,0.3333333333333333,X731,True
RFQ731-000217,TRAIN,1,1,1.0,F731PW,True
RFQ731-000218,TEST,3,1,0.3333333333333333,X731,True
RFQ731-000219,VALIDATION,2,1,0.5,F731TE,True
RFQ731-000220,TRAIN,1,1,1.0,X731,True
RFQ731-000221,TRAIN,1,1,1.0,F731TE,True
RFQ731-000222,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000223,TEST,1,1,1.0,G731ST-HT,True
RFQ731-000224,TEST,6,1,0.16666666666666666,X731,True
RFQ731-000225,TRAIN,2,1,0.5,F731TE,True
RFQ731-000226,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000227,VALIDATION,1,1,1.0,X731,True
RFQ731-000228,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000229,VALIDATION,4,1,0.25,G731ST-LT,True
RFQ731-000230,TRAIN,1,1,1.0,G731CA,True
RFQ731-000231,TRAIN,4,1,0.25,X731,True
RFQ731-000232,TEST,4,1,0.25,G731ST-HT,True
RFQ731-000233,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000234,TRAIN,1,1,1.0,X731,True
RFQ731-000235,TRAIN,3,1,0.3333333333333333,G731ST-LT,True
RFQ731-000236,TRAIN,2,1,0.5,G731CA,True
RFQ731-000237,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000238,TRAIN,4,1,0.25,X731,True
RFQ731-000239,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000240,TRAIN,1,1,1.0,G731ST-LT,True
RFQ731-000241,TEST,4,1,0.25,X731,True
RFQ731-000242,TRAIN,2,1,0.5,X731,True
RFQ731-000243,TEST,1,1,1.0,X731,True
RFQ731-000244,VALIDATION,4,1,0.25,X731,True
RFQ731-000245,TRAIN,2,1,0.5,G731CA,True
RFQ731-000246,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000247,VALIDATION,4,1,0.25,G731ST-HT,True
RFQ731-000248,VALIDATION,7,1,0.14285714285714285,X731,True
RFQ731-000249,TEST,4,1,0.25,X731,True
RFQ731-000250,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000251,TRAIN,4,1,0.25,X731,True
RFQ731-000252,TRAIN,5,1,0.2,X731,True
RFQ731-000253,TRAIN,4,1,0.25,X731,True
RFQ731-000254,TRAIN,2,1,0.5,X731,True
RFQ731-000255,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000256,TRAIN,1,1,1.0,G731ST-HT,True
RFQ731-000257,TEST,7,1,0.14285714285714285,X731,True
RFQ731-000258,VALIDATION,4,1,0.25,G731ST-HT,True
RFQ731-000259,TRAIN,2,1,0.5,X731,True
RFQ731-000260,TEST,3,1,0.3333333333333333,X731,True
RFQ731-000261,TRAIN,2,1,0.5,X731,True
RFQ731-000262,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000263,TRAIN,1,1,1.0,G731ST-LT,True
RFQ731-000264,TRAIN,13,1,0.07692307692307693,X731,True
RFQ731-000265,VALIDATION,2,1,0.5,G731ST-LT,True
RFQ731-000266,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000267,TEST,4,1,0.25,X731,True
RFQ731-000268,TRAIN,4,1,0.25,X731,True
RFQ731-000269,TRAIN,2,1,0.5,X731,True
RFQ731-000270,TEST,1,1,1.0,F731WD_DUALCHANNEL,True
RFQ731-000271,TRAIN,1,1,1.0,F731PW,True
RFQ731-000272,TRAIN,1,1,1.0,X731,True
RFQ731-000273,TEST,5,1,0.2,X731,True
RFQ731-000274,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000275,TEST,1,1,1.0,F731WD_DUALCHANNEL,True
RFQ731-000276,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000277,VALIDATION,2,1,0.5,X731,True
RFQ731-000278,TRAIN,2,1,0.5,X731,True
RFQ731-000279,TEST,2,1,0.5,X731,True
RFQ731-000280,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000281,TEST,1,1,1.0,F731TE,True
RFQ731-000282,TRAIN,4,1,0.25,X731,True
RFQ731-000283,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000284,TRAIN,2,1,0.5,F731WD_DUALCHANNEL,True
RFQ731-000285,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000286,TEST,1,1,1.0,G731ST-HT,True
RFQ731-000287,TRAIN,1,1,1.0,X731,True
RFQ731-000288,VALIDATION,2,1,0.5,G731ST-LT,True
RFQ731-000289,TRAIN,2,1,0.5,X731,True
RFQ731-000290,TRAIN,2,1,0.5,X731,True
RFQ731-000291,TRAIN,1,1,1.0,F731TE,True
RFQ731-000292,TRAIN,1,1,1.0,X731,True
RFQ731-000293,TEST,1,1,1.0,X731,True
RFQ731-000294,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000295,TEST,3,1,0.3333333333333333,X731,True
RFQ731-000296,VALIDATION,4,1,0.25,X731,True
RFQ731-000297,VALIDATION,1,1,1.0,G731CA,True
RFQ731-000298,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000299,VALIDATION,8,1,0.125,G731ST-LT,True
RFQ731-000300,TRAIN,1,1,1.0,G731ST-HT,True
RFQ731-000301,TRAIN,2,1,0.5,X731,True
RFQ731-000302,TRAIN,2,1,0.5,F731TE,True
RFQ731-000303,TRAIN,2,1,0.5,X731,True
RFQ731-000304,TRAIN,12,1,0.08333333333333333,G731ST-HT,True
RFQ731-000305,TEST,5,1,0.2,X731,True
RFQ731-000306,TRAIN,2,1,0.5,G731ST-HT,True
RFQ731-000307,TRAIN,1,1,1.0,F731WD_SINGLECHANNEL,True
RFQ731-000308,TRAIN,3,1,0.3333333333333333,G731ST-LT,True
RFQ731-000309,TRAIN,1,1,1.0,G731ST-HT,True
RFQ731-000310,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000311,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000312,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000313,TEST,2,1,0.5,G731ST-HT,True
RFQ731-000314,TRAIN,1,1,1.0,X731,True
RFQ731-000315,TRAIN,2,1,0.5,X731,True
RFQ731-000316,TRAIN,2,1,0.5,G731CA,True
RFQ731-000317,TRAIN,8,1,0.125,G731ST-LT,True
RFQ731-000318,TRAIN,4,1,0.25,X731,True
RFQ731-000319,TRAIN,8,1,0.125,X731,True
RFQ731-000320,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000321,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000322,TRAIN,11,1,0.09090909090909091,X731,True
RFQ731-000323,TRAIN,1,1,1.0,F731PW,True
RFQ731-000324,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000325,TRAIN,1,1,1.0,F731WD_SINGLECHANNEL,True
RFQ731-000326,TRAIN,10,1,0.1,G731ST-LT,True
RFQ731-000327,TEST,12,1,0.08333333333333333,X731,True
RFQ731-000328,VALIDATION,1,1,1.0,X731,True
RFQ731-000329,TEST,8,1,0.125,X731,True
RFQ731-000330,TRAIN,2,1,0.5,G731ST-HT,True
RFQ731-000331,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000332,TRAIN,4,1,0.25,X731,True
RFQ731-000333,VALIDATION,2,1,0.5,X731,True
RFQ731-000334,TEST,4,1,0.25,X731,True
RFQ731-000335,TRAIN,2,1,0.5,G731ST-LT,True
RFQ731-000336,VALIDATION,4,1,0.25,G731ST-LT,True
RFQ731-000337,TRAIN,4,1,0.25,X731,True
RFQ731-000338,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000339,TRAIN,1,1,1.0,X731,True
RFQ731-000340,TRAIN,1,1,1.0,X731,True
RFQ731-000341,TRAIN,4,1,0.25,X731,True
RFQ731-000342,TRAIN,2,1,0.5,X731,True
RFQ731-000343,TEST,5,1,0.2,X731,True
RFQ731-000344,TRAIN,2,1,0.5,G731CA,True
RFQ731-000345,TRAIN,4,1,0.25,G731ST-LT,True
RFQ731-000346,VALIDATION,2,1,0.5,G731CA,True
RFQ731-000347,TRAIN,2,1,0.5,G731ST-HT,True
RFQ731-000348,TRAIN,8,1,0.125,X731,True
RFQ731-000349,TEST,1,1,1.0,G731CA,True
RFQ731-000350,VALIDATION,7,1,0.14285714285714285,X731,True
RFQ731-000351,TRAIN,1,1,1.0,G731ST-LT,True
RFQ731-000352,TRAIN,4,1,0.25,G731ST-LT,True
RFQ731-000353,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000354,TRAIN,2,1,0.5,X731,True
RFQ731-000355,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000356,TRAIN,2,1,0.5,G731CA,True
RFQ731-000357,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000358,TRAIN,8,1,0.125,X731,True
RFQ731-000359,VALIDATION,1,1,1.0,F731PW,True
RFQ731-000360,TRAIN,1,1,1.0,X731,True
RFQ731-000361,TRAIN,1,1,1.0,X731,True
RFQ731-000362,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000363,TRAIN,2,1,0.5,X731,True
RFQ731-000364,TRAIN,1,1,1.0,X731,True
RFQ731-000365,TEST,4,1,0.25,X731,True
RFQ731-000366,TRAIN,1,1,1.0,F731WD_DUALCHANNEL,True
RFQ731-000367,TRAIN,13,1,0.07692307692307693,X731,True
RFQ731-000368,TRAIN,2,1,0.5,X731,True
RFQ731-000369,TEST,2,1,0.5,F731WD_DUALCHANNEL,True
RFQ731-000370,TEST,4,1,0.25,G731ST-LT,True
RFQ731-000371,TRAIN,5,1,0.2,X731,True
RFQ731-000372,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000373,VALIDATION,1,1,1.0,G731CA,True
RFQ731-000374,TRAIN,4,1,0.25,X731,True
RFQ731-000375,TEST,1,1,1.0,X731,True
RFQ731-000376,TRAIN,1,1,1.0,X731,True
RFQ731-000377,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000378,TRAIN,1,1,1.0,G731VG,True
RFQ731-000379,TEST,1,1,1.0,F731WD_SINGLECHANNEL,True
RFQ731-000380,VALIDATION,1,1,1.0,G731CA,True
RFQ731-000381,TRAIN,4,1,0.25,X731,True
RFQ731-000382,VALIDATION,2,1,0.5,G731ST-LT,True
RFQ731-000383,TRAIN,8,1,0.125,G731ST-HT,True
RFQ731-000384,TEST,4,1,0.25,G731ST-LT,True
RFQ731-000385,TRAIN,1,1,1.0,F731TE,True
RFQ731-000386,TRAIN,4,1,0.25,X731,True
RFQ731-000387,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000388,VALIDATION,3,1,0.3333333333333333,X731,True
RFQ731-000389,TRAIN,11,1,0.09090909090909091,X731,True
RFQ731-000390,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000391,TEST,4,1,0.25,G731ST-HT,True
RFQ731-000392,TRAIN,1,1,1.0,F731PW,True
RFQ731-000393,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000394,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000395,TRAIN,8,1,0.125,X731,True
RFQ731-000396,TEST,2,1,0.5,F731TE,True
RFQ731-000397,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000398,TRAIN,1,1,1.0,G731VG,True
RFQ731-000399,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000400,TRAIN,4,1,0.25,X731,True
RFQ731-000401,TRAIN,2,1,0.5,X731,True
RFQ731-000402,TRAIN,1,1,1.0,F731WD_SINGLECHANNEL,True
RFQ731-000403,TRAIN,2,1,0.5,G731CA,True
RFQ731-000404,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000405,TRAIN,7,1,0.14285714285714285,X731,True
RFQ731-000406,TRAIN,5,1,0.2,X731,True
RFQ731-000407,VALIDATION,2,1,0.5,G731CA,True
RFQ731-000408,TRAIN,1,1,1.0,X731,True
RFQ731-000409,TRAIN,2,1,0.5,X731,True
RFQ731-000410,TEST,3,1,0.3333333333333333,X731,True
RFQ731-000411,TRAIN,2,1,0.5,X731,True
RFQ731-000412,TRAIN,1,1,1.0,X731,True
RFQ731-000413,TRAIN,4,1,0.25,X731,True
RFQ731-000414,VALIDATION,1,1,1.0,X731,True
RFQ731-000415,TRAIN,1,1,1.0,X731,True
RFQ731-000416,TRAIN,5,1,0.2,X731,True
RFQ731-000417,TRAIN,2,1,0.5,G731CA,True
RFQ731-000418,TRAIN,2,1,0.5,F731TE,True
RFQ731-000419,TEST,2,1,0.5,X731,True
RFQ731-000420,VALIDATION,1,1,1.0,X731,True
RFQ731-000421,TRAIN,8,1,0.125,G731ST-HT,True
RFQ731-000422,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000423,TRAIN,1,1,1.0,X731,True
RFQ731-000424,TRAIN,2,1,0.5,X731,True
RFQ731-000425,VALIDATION,4,1,0.25,X731,True
RFQ731-000426,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000427,TEST,2,1,0.5,F731WD_SINGLECHANNEL,True
RFQ731-000428,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000429,TRAIN,2,1,0.5,X731,True
RFQ731-000430,TRAIN,1,1,1.0,G731CA,True
RFQ731-000431,TRAIN,2,1,0.5,X731,True
RFQ731-000432,TRAIN,3,1,0.3333333333333333,G731ST-LT,True
RFQ731-000433,TEST,2,1,0.5,X731,True
RFQ731-000434,TRAIN,1,1,1.0,G731ST-HT,True
RFQ731-000435,TRAIN,3,1,0.3333333333333333,X731,True
RFQ731-000436,TRAIN,1,1,1.0,G731ST-LT,True
RFQ731-000437,TRAIN,6,1,0.16666666666666666,X731,True
RFQ731-000438,TRAIN,1,1,1.0,F731PW,True
RFQ731-000439,TRAIN,2,1,0.5,X731,True
RFQ731-000440,VALIDATION,4,1,0.25,X731,True
RFQ731-000441,TRAIN,4,1,0.25,G731ST-HT,True
RFQ731-000442,TRAIN,4,1,0.25,X731,True
RFQ731-000443,VALIDATION,2,1,0.5,G731CA,True
RFQ731-000444,TRAIN,10,1,0.1,G731ST-LT,True
RFQ731-000445,TRAIN,4,1,0.25,X731,True
RFQ731-000446,TRAIN,5,1,0.2,X731,True
RFQ731-000447,TRAIN,4,1,0.25,X731,True
