feature,regime,rationale,use_in_realistic_baseline,recommended_usage,dtype,feature_kind,unique_non_null,missing_count,missing_rate,constant_feature,pearson_with_target,spearman_with_target,categorical_association,high_association_flag
source_frequency,PROVENANCE_PROCESS,Synthetic provenance/process metadata,NO,Use only in provenance-aware sensitivity experiment,int64,numeric,5,0,0.0,False,0.5656890698180974,0.569457232703103,,False
mandatory_preferred_valid,REALISTIC_REQUIREMENT,Requirement-derived candidate satisfaction feature,YES,Realistic baseline; candidate-pool filtering caveat,bool,categorical_low_cardinality,1,0,0.0,True,,,,False
mandatory_satisfied,REALISTIC_REQUIREMENT,Requirement-derived candidate satisfaction feature,YES,Realistic baseline; candidate-pool filtering caveat,int64,numeric,13,0,0.0,False,0.07666003760977148,0.07153884217100445,,False
mandatory_total,REALISTIC_REQUIREMENT,Requirement-derived candidate satisfaction feature,YES,Realistic baseline; candidate-pool filtering caveat,int64,numeric,13,0,0.0,False,0.07666003760977148,0.07153884217100445,,False
mandatory_valid,REALISTIC_REQUIREMENT,Requirement-derived candidate satisfaction feature,YES,Realistic baseline; candidate-pool filtering caveat,bool,categorical_low_cardinality,1,0,0.0,True,,,,False
mandatory_violations,REALISTIC_REQUIREMENT,Requirement-derived candidate satisfaction feature,YES,Realistic baseline; candidate-pool filtering caveat,int64,categorical_low_cardinality,1,0,0.0,True,,,,False
preferred_differences,REALISTIC_REQUIREMENT,Requirement-derived candidate satisfaction feature,YES,Realistic baseline; candidate-pool filtering caveat,int64,categorical_low_cardinality,1,0,0.0,True,,,,False
preferred_satisfied,REALISTIC_REQUIREMENT,Requirement-derived candidate satisfaction feature,YES,Realistic baseline; candidate-pool filtering caveat,int64,numeric,11,0,0.0,False,0.05042869754910708,0.0486241577832242,,False
preferred_total,REALISTIC_REQUIREMENT,Requirement-derived candidate satisfaction feature,YES,Realistic baseline; candidate-pool filtering caveat,int64,numeric,11,0,0.0,False,0.05042869754910708,0.0486241577832242,,False
evidence_score_normalized,SYNTHETIC_MECHANISM,Direct component of synthetic engineer preference mechanism,NO,Use only in mechanistic upper-bound experiment,float64,numeric,64,0,0.0,False,0.35887726177816676,0.4707229405477313,,False
low_change_score,SYNTHETIC_MECHANISM,Direct component of synthetic engineer preference mechanism,NO,Use only in mechanistic upper-bound experiment,float64,numeric,3,0,0.0,False,0.514464368941339,0.5153241000245927,,False
observed_configuration_score,SYNTHETIC_MECHANISM,Direct component of synthetic engineer preference mechanism,NO,Use only in mechanistic upper-bound experiment,float64,numeric,2,0,0.0,False,0.5174647168122395,0.517464716812238,,False
real_proximity_score,SYNTHETIC_MECHANISM,Direct component of synthetic engineer preference mechanism,NO,Use only in mechanistic upper-bound experiment,float64,numeric,3,0,0.0,False,0.4858772552402128,0.5081054705279788,,False
source_frequency_score,SYNTHETIC_MECHANISM,Direct component of synthetic engineer preference mechanism,NO,Use only in mechanistic upper-bound experiment,float64,numeric,5,0,0.0,False,0.5656890698180985,0.569457232703103,,False
unmentioned_features,SYNTHETIC_MECHANISM,Direct component of synthetic engineer preference mechanism,NO,Use only in mechanistic upper-bound experiment,int64,numeric,8,0,0.0,False,-0.1847329369566909,-0.1849419589882765,,False
config_binaerDigitalOpenColl_MN,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,4,0,0.0,False,,,0.16806087158323468,False
config_binaerOpenColl_MP,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,4,0,0.0,False,,,0.1832240203233689,False
config_certification,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,3,0,0.0,False,,,0.09616225398964914,False
config_characteristic,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,7,0,0.0,False,,,0.26436213482065124,False
config_customUserFluid,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,2,0,0.0,False,,,0.09365986328971738,False
config_dataInterface,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,5,0,0.0,False,,,0.1749745282197603,False
config_devCategory,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,4,0,0.0,False,,,0.13492197579095833,False
config_dev_advMeterVerification,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,2,0,0.0,False,,,0.09873378137132813,False
config_dynamicGasMaster,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,2,0,0.0,False,,,0.012799556270224752,False
config_explosionApproval,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,4,0,0.0,False,,,0.048333786563267506,False
config_housing,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,1,0,0.0,True,,,,False
config_numberOfChannels,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,int64,numeric,2,0,0.0,False,0.05407245538166115,0.054072455381661305,,False
config_powerSupply,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,int64,numeric,2,0,0.0,False,-0.024001207411420488,-0.02400120741142039,,False
config_protectionArea,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,2,0,0.0,False,,,0.022909376351084285,False
config_steamApplication,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,3,0,0.0,False,,,0.03655873124493936,False
config_stromEingaenge,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,3,0,0.0,False,,,0.20856854151416537,False
config_stromSchaltbar,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,3,0,0.0,False,,,0.3420996644263063,False
config_temperaturEingaenge,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,3,0,0.0,False,,,0.2732549065217624,False
config_waveInjector,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,2,0,0.0,False,,,0.15158665916877068,False
rfq_ground_truth_evidence_level,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,5,0,0.0,False,,,0.30342395921294885,False
rfq_ground_truth_nearest_real_distance,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,int64,numeric,3,0,0.0,False,-0.28966833409135945,-0.2840839210057234,,False
rfq_ground_truth_record_type,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,str,categorical_low_cardinality,2,0,0.0,False,,,0.2815247611341786,False
rfq_mandatory_requirement_count,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,int64,numeric,13,0,0.0,False,0.07666003760977148,0.07153884217100445,,False
rfq_preferred_requirement_count,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,int64,numeric,11,0,0.0,False,0.05042869754910708,0.0486241577832242,,False
rfq_requirement_count,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,int64,numeric,8,0,0.0,False,0.1847329369566908,0.1849419589882765,,False
rfq_unique_required_characteristics,UNCLASSIFIED,Not explicitly approved by V4.2 feature governance,NO,Exclude until manually reviewed,int64,numeric,8,0,0.0,False,0.1847329369566908,0.1849419589882765,,False
